date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2026-01-24 00:00:00+00:00,15789.06325,15938.291,15668.174786422785,16208.408040767192
2026-01-24 01:00:00+00:00,15178.943749999999,15577.331,15307.214628789785,15847.447883134191
2026-01-24 02:00:00+00:00,14840.94125,15461.11,15190.99335263089,15731.226606975297
2026-01-24 03:00:00+00:00,14917.98625,15732.7,15462.583401854512,16002.816656198918
2026-01-24 04:00:00+00:00,15127.0665,17028.537,16758.419567671463,17298.65282201587
2026-01-24 05:00:00+00:00,15755.87675,19307.588,19037.471283965067,19577.704538309474
2026-01-24 06:00:00+00:00,16509.514000000003,21068.232,20798.115578381217,21338.348832725624
2026-01-24 07:00:00+00:00,17411.12575,21812.756,21542.640303781485,22082.87355812589
2026-01-24 08:00:00+00:00,18059.09175,22023.662,21753.54558619918,22293.778840543586
2026-01-24 09:00:00+00:00,18467.146,22244.531,21974.414019136002,22514.64727348041
2026-01-24 10:00:00+00:00,18462.941,22113.744,21843.626917678543,22383.86017202295
2026-01-24 11:00:00+00:00,18117.68375,21879.443,21609.32619297041,22149.559447314816
2026-01-24 12:00:00+00:00,17752.624499999998,21585.607,21315.49149373171,21855.72474807612
2026-01-24 13:00:00+00:00,17461.9565,21221.457,20951.33983904347,21491.573093387877
2026-01-24 14:00:00+00:00,17481.468249999998,21301.836,21031.72029769594,21571.95355204035
2026-01-24 15:00:00+00:00,18018.08475,21874.537,21604.420817714818,22144.654072059224
2026-01-24 16:00:00+00:00,19089.31875,22470.63,22200.514398774005,22740.74765311841
2026-01-24 17:00:00+00:00,19392.22225,21909.385,21639.268712387693,22179.5019667321
2026-01-24 18:00:00+00:00,18700.096250000002,21312.158,21042.041996448035,21582.27525079244
2026-01-24 19:00:00+00:00,17581.14675,20248.516,19978.398798170245,20518.63205251465
2026-01-24 20:00:00+00:00,16787.37775,19098.736,18828.62068022586,19368.853934570267
2026-01-24 21:00:00+00:00,16364.8275,18179.748,17909.63145332448,18449.864707668887
2026-01-24 22:00:00+00:00,15547.2235,17262.035,16991.918746578904,17532.15200092331
2026-01-24 23:00:00+00:00,15111.115,16506.396,16236.27987640311,16776.513130747517
2026-01-25 00:00:00+00:00,14343.6545,15956.684,15686.567137157897,16226.800391502304
2026-01-25 01:00:00+00:00,13686.711,15544.482,15274.365442786899,15814.598697131305
2026-01-25 02:00:00+00:00,13368.06275,15480.174,15210.057141486925,15750.29039583133
2026-01-25 03:00:00+00:00,13375.222249999999,15974.351,15704.23361056724,16244.466864911647
2026-01-25 04:00:00+00:00,13465.33575,16419.693,16149.576773447983,16689.81002779239
2026-01-25 05:00:00+00:00,13851.75325,18011.273,17741.15732668907,18281.390581033476
2026-01-25 06:00:00+00:00,14710.34775,20005.244,19735.126883708956,20275.360138053362
2026-01-25 07:00:00+00:00,15732.57325,20833.61,20563.492364370566,21103.725618714972
2026-01-25 08:00:00+00:00,16744.09575,21267.223,20997.106105713814,21537.33936005822
2026-01-25 09:00:00+00:00,17292.773,21590.895,21320.777869007157,21861.011123351564
2026-01-25 10:00:00+00:00,17690.59775,21897.793,21627.6767867837,22167.910041128107
2026-01-25 11:00:00+00:00,17477.35275,21756.18,21486.063161547845,22026.29641589225
2026-01-25 12:00:00+00:00,17320.214,21661.242,21391.126120886907,21931.359375231314
2026-01-25 13:00:00+00:00,16967.76,21416.035,21145.919270610513,21686.152524954923
2026-01-25 14:00:00+00:00,17037.848,21687.004,21416.887845443496,21957.121099787902
2026-01-25 15:00:00+00:00,17468.12325,21727.303,21457.186081471787,21997.419335816194
2026-01-25 16:00:00+00:00,18826.359,22031.621,21761.503724113834,22301.736978458244
2026-01-25 17:00:00+00:00,19005.11775,22097.1,21826.9840203828,22367.217274727205
2026-01-25 18:00:00+00:00,18394.96225,21670.188,21400.071457067286,21940.304711411693
2026-01-25 19:00:00+00:00,17617.6925,20473.31,20203.19493309743,20743.428187441838
2026-01-25 20:00:00+00:00,17006.44425,19306.326,19036.209901756487,19576.443156100893
2026-01-25 21:00:00+00:00,16815.74675,18321.8,18051.683738851054,18591.91699319546
2026-01-25 22:00:00+00:00,16171.48725,17392.826,17122.710440447318,17662.943694791724
2026-01-25 23:00:00+00:00,15721.83675,16430.078,16159.96140523907,16700.194659583478
2026-01-26 00:00:00+00:00,14985.85175,15585.934,15315.81687891713,15856.050133261537
2026-01-26 01:00:00+00:00,14963.5355,15134.13,14864.012927334794,15404.246181679202
2026-01-26 02:00:00+00:00,15237.447,15084.87,14814.753069076167,15354.986323420573
2026-01-26 03:00:00+00:00,15533.35825,15308.158,15038.041617540874,15578.27487188528
2026-01-26 04:00:00+00:00,16948.87575,16629.95,16359.831634403217,16900.064888747624
2026-01-26 05:00:00+00:00,19275.07025,18675.129,18405.01261172538,18945.245866069785
2026-01-26 06:00:00+00:00,21498.78925,20807.746,20537.62926659441,21077.862520938816
2026-01-26 07:00:00+00:00,22620.60875,21643.164,21373.048350302117,21913.281604646523
2026-01-26 08:00:00+00:00,23112.8375,21609.312,21339.195137823925,21879.42839216833
2026-01-26 09:00:00+00:00,23676.845,21614.998,21344.881563120212,21885.11481746462
2026-01-26 10:00:00+00:00,23727.67475,21533.066,21262.95023027979,21803.183484624195
2026-01-26 11:00:00+00:00,23447.62425,21337.129,21067.013145963432,21607.24640030784
2026-01-26 12:00:00+00:00,22884.634,21149.3,20879.184218319548,21419.417472663954
2026-01-26 13:00:00+00:00,22412.54575,20950.967,20680.851256199785,21221.08451054419
2026-01-26 14:00:00+00:00,22125.862,20832.818,20562.702469686552,21102.93572403096
2026-01-26 15:00:00+00:00,22197.0235,21102.326,20832.208956943352,21372.44221128776
2026-01-26 16:00:00+00:00,22517.7675,21293.775,21023.658405311595,21563.891659656
2026-01-26 17:00:00+00:00,22515.71425,20918.432,20648.314534861616,21188.547789206023
2026-01-26 18:00:00+00:00,21647.289,20030.068,19759.951756431015,20300.18501077542
2026-01-26 19:00:00+00:00,20290.64475,19138.941,18868.825707320724,19409.05896166513
2026-01-26 20:00:00+00:00,19078.04,18063.754,17793.63820844142,18333.871462785828
2026-01-26 21:00:00+00:00,18341.4325,17282.473,17012.355315500885,17552.58856984529
2026-01-26 22:00:00+00:00,17203.87675,16300.793,16030.676745042929,16570.909999387335
2026-01-26 23:00:00+00:00,16425.90325,15748.01,15477.893160520523,16018.126414864932
2026-01-27 00:00:00+00:00,15742.38925,15056.937,14786.820324763601,15327.053579108007
2026-01-27 01:00:00+00:00,15028.87925,14664.529,14394.413011237039,14934.646265581445
2026-01-27 02:00:00+00:00,15282.04975,14609.503,14339.386488057406,14879.619742401812
2026-01-27 03:00:00+00:00,15858.319,14946.602,14676.485227831605,15216.718482176011
2026-01-27 04:00:00+00:00,17248.55775,16235.073,15964.956622868613,16505.18987721302
2026-01-27 05:00:00+00:00,19592.810250000002,18566.271,18296.155123017696,18836.388377362102
2026-01-27 06:00:00+00:00,21209.317750000002,20428.07,20157.95322181156,20698.186476155966
2026-01-27 07:00:00+00:00,22040.6985,21211.809,20941.6916938979,21481.924948242307
2026-01-27 08:00:00+00:00,22309.33925,21292.62,21022.502818644243,21562.73607298865
2026-01-27 09:00:00+00:00,22502.5955,21336.852,21066.735900413274,21606.96915475768
2026-01-27 10:00:00+00:00,22766.5715,21607.998,21337.881368112612,21878.11462245702
2026-01-27 11:00:00+00:00,22536.353750000002,21239.729,20969.612531959847,21509.845786304253
2026-01-27 12:00:00+00:00,22007.9955,20809.498,20539.38084614996,21079.614100494367
2026-01-27 13:00:00+00:00,21490.77275,20359.914,20089.797420938903,20630.030675283313
2026-01-27 14:00:00+00:00,21428.3645,20157.37,19887.251687171065,20427.48494151547
2026-01-27 15:00:00+00:00,21823.504500000003,20337.639,20067.521506385372,20607.75476072978
2026-01-27 16:00:00+00:00,22717.2745,21029.137,20759.01987366558,21299.253128009987
2026-01-27 17:00:00+00:00,22560.74925,20883.826,20613.709187522807,21153.942441867213
2026-01-27 18:00:00+00:00,22150.944750000002,20221.338,19951.22159050419,20491.454844848595
2026-01-27 19:00:00+00:00,21008.1215,19095.37,18825.25223183606,19365.485486180467
2026-01-27 20:00:00+00:00,19930.9185,17983.31,17713.194476571363,18253.42773091577
2026-01-27 21:00:00+00:00,18854.3345,16986.762,16716.644616387654,17256.87787073206
2026-01-27 22:00:00+00:00,17649.3345,15961.745,15691.628824475205,16231.862078819611
2026-01-27 23:00:00+00:00,16918.0925,15189.187,14919.070194154421,15459.303448498827
2026-01-28 00:00:00+00:00,16221.03725,14749.048,14478.931572337267,15019.164826681676
2026-01-28 01:00:00+00:00,15730.02075,14373.526,14103.410043619102,14643.64329796351
2026-01-28 02:00:00+00:00,15648.339249999999,14397.83,14127.713252474696,14667.946506819102
2026-01-28 03:00:00+00:00,16255.864,14664.684,14394.566857003983,14934.80011134839
2026-01-28 04:00:00+00:00,17406.095,15766.638,15496.521297540243,16036.75455188465
2026-01-28 05:00:00+00:00,19517.55475,18205.86,17935.742541292133,18475.97579563654
2026-01-28 06:00:00+00:00,21252.7655,20059.848,19789.73064994692,20329.963904291326
2026-01-28 07:00:00+00:00,22106.4675,20925.008,20654.89052716854,21195.123781512946
2026-01-28 08:00:00+00:00,22347.57325,21059.723,20789.606010973544,21329.83926531795
2026-01-28 09:00:00+00:00,22756.87525,21333.164,21063.04768414967,21603.280938494077
2026-01-28 10:00:00+00:00,22831.85725,21428.479,21158.363003401748,21698.596257746154
2026-01-28 11:00:00+00:00,22433.1735,21340.764,21070.647954188535,21610.88120853294
2026-01-28 12:00:00+00:00,21779.988,21177.576,20907.45884211421,21447.692096458617
2026-01-28 13:00:00+00:00,21275.9055,20797.781,20527.665435718107,21067.898690062513
2026-01-28 14:00:00+00:00,21184.83425,20828.182,20558.065155159213,21098.29840950362
2026-01-28 15:00:00+00:00,21635.12025,21010.943,20740.827462896246,21281.060717240653
2026-01-28 16:00:00+00:00,22682.212,21557.27,21287.153256540878,21827.386510885284
2026-01-28 17:00:00+00:00,22671.9255,21420.072,21149.95514939223,21690.188403736636
2026-01-28 18:00:00+00:00,21819.130250000002,20759.06,20488.94426762913,21029.177521973535
2026-01-28 19:00:00+00:00,20733.54475,19444.633,19174.515630391415,19714.74888473582
2026-01-28 20:00:00+00:00,19617.7845,18131.316,17861.200737854593,18401.433992199
2026-01-28 21:00:00+00:00,18655.80625,17207.121,16937.00422719975,17477.237481544158
2026-01-28 22:00:00+00:00,17511.53475,16012.143,15742.02598480202,16282.259239146426
2026-01-28 23:00:00+00:00,16348.53675,15287.828,15017.711652084268,15557.944906428675
2026-01-29 00:00:00+00:00,15812.23125,14702.471,14432.354234865734,14972.58748921014
2026-01-29 01:00:00+00:00,15447.58175,14291.581,14021.464168143993,14561.6974224884
2026-01-29 02:00:00+00:00,15257.6285,14459.833,14189.715988071392,14729.949242415798
2026-01-29 03:00:00+00:00,15587.09175,14849.146,14579.029377329605,15119.262631674012
2026-01-29 04:00:00+00:00,16925.50975,16212.501,15942.384115107661,16482.617369452066
2026-01-29 05:00:00+00:00,19390.540999999997,18522.096,18251.978851073054,18792.21210541746
2026-01-29 06:00:00+00:00,21269.55675,20449.406,20179.28990328044,20719.523157624848
2026-01-29 07:00:00+00:00,22125.70925,21461.309,21191.192958683765,21731.42621302817
2026-01-29 08:00:00+00:00,22284.74025,21663.604,21393.486279938454,21933.71953428286
2026-01-29 09:00:00+00:00,22840.65625,21897.531,21627.41552962723,22167.64878397164
2026-01-29 10:00:00+00:00,23044.858500000002,22094.105,21823.989088083894,22364.2223424283
2026-01-29 11:00:00+00:00,22865.6475,21970.791,21700.675029872957,22240.908284217363
2026-01-29 12:00:00+00:00,22557.949249999998,21611.035,21340.919162913753,21881.15241725816
2026-01-29 13:00:00+00:00,22364.36525,21151.896,20881.780801490557,21422.014055834963
2026-01-29 14:00:00+00:00,22127.1935,20779.441,20509.325727619667,21049.558981964074
2026-01-29 15:00:00+00:00,22209.874499999998,20923.445,20653.329107444326,21193.562361788732
2026-01-29 16:00:00+00:00,23011.7015,21517.799,21247.682334841404,21787.91558918581
2026-01-29 17:00:00+00:00,22999.77225,21272.896,21002.779264045126,21543.012518389532
2026-01-29 18:00:00+00:00,22330.46325,20415.586,20145.470368482576,20685.703622826983
2026-01-29 19:00:00+00:00,20700.9885,19151.191,18881.07451778037,19421.307772124776
2026-01-29 20:00:00+00:00,19397.535499999998,17884.738,17614.622627685323,18154.85588202973
2026-01-29 21:00:00+00:00,18357.08425,16931.053,16660.935865047475,17201.16911939188
2026-01-29 22:00:00+00:00,17237.396,15983.465,15713.347951722943,16253.581206067349
2026-01-29 23:00:00+00:00,16477.65825,15226.424,14956.30690792498,15496.540162269388
2026-01-30 00:00:00+00:00,15695.8195,14657.478,14387.360768905299,14927.594023249705
2026-01-30 01:00:00+00:00,15222.7735,14277.81,14007.69288840859,14547.926142752996
2026-01-30 02:00:00+00:00,15260.5185,14404.498,14134.381093000693,14674.6143473451
2026-01-30 03:00:00+00:00,15545.527750000001,14558.161,14288.044779355483,14828.278033699891
2026-01-30 04:00:00+00:00,16850.32175,15767.358,15497.241625702774,16037.47488004718
2026-01-30 05:00:00+00:00,19320.73975,18159.373,17889.25577636996,18429.489030714365
2026-01-30 06:00:00+00:00,21208.33075,19998.385,19728.268543173035,20268.50179751744
2026-01-30 07:00:00+00:00,21994.146,21007.072,20736.954869837322,21277.18812418173
2026-01-30 08:00:00+00:00,21873.79025,21144.176,20874.058747516774,21414.29200186118
2026-01-30 09:00:00+00:00,22241.116,21227.28,20957.16233577542,21497.395590119828
2026-01-30 10:00:00+00:00,22558.739,21160.512,20890.3948037251,21430.628058069506
2026-01-30 11:00:00+00:00,22166.799,20775.383,20505.26603633671,21045.499290681117
2026-01-30 12:00:00+00:00,21705.65125,20264.846,19994.728731163967,20534.961985508373
2026-01-30 13:00:00+00:00,21050.1135,19743.277,19473.16113523792,20013.394389582325
2026-01-30 14:00:00+00:00,20742.44225,19412.863,19142.747372486145,19682.98062683055
2026-01-30 15:00:00+00:00,21221.3465,19407.566,19137.450111495848,19677.683365840254
2026-01-30 16:00:00+00:00,21956.35525,19888.771,19618.65585799743,20158.889112341836
2026-01-30 17:00:00+00:00,21891.23625,19925.498,19655.381198303843,20195.61445264825
2026-01-30 18:00:00+00:00,21276.745000000003,19091.17,18821.05374768873,19361.287002033136
2026-01-30 19:00:00+00:00,19969.03225,17745.748,17475.632119550428,18015.865373894834
2026-01-30 20:00:00+00:00,18688.76275,16801.467,16531.349423920434,17071.58267826484
2026-01-30 21:00:00+00:00,17852.792,16114.248,15844.13177896148,16384.365033305887
2026-01-30 22:00:00+00:00,16635.68925,15258.2,14988.083797861951,15528.317052206357
2026-01-30 23:00:00+00:00,15854.94775,14405.041,14134.924103073628,14675.157357418035
2026-01-31 00:00:00+00:00,15372.467,15181.886,14915.75313641439,15448.017744986917
2026-01-31 01:00:00+00:00,14900.18425,14495.792,14229.659824214916,14761.92443278744
2026-01-31 02:00:00+00:00,14625.0665,14282.9375,14016.80531848137,14549.069927053895
2026-01-31 03:00:00+00:00,14563.90475,14270.174,14004.041902860981,14536.306511433508
2026-01-31 04:00:00+00:00,14988.35725,14475.776,14209.644311341659,14741.908919914185
2026-01-31 05:00:00+00:00,15499.66325,15077.462,14811.329237781467,15343.593846353993
2026-01-31 06:00:00+00:00,16347.6235,15919.634,15653.501504318723,16185.76611289125
2026-01-31 07:00:00+00:00,17471.58025,17109.682,16843.548985633646,17375.81359420617
