date,wind_onshore_tenn_actual,wind_onshore_tenn_fitted,wind_onshore_tenn_lower,wind_onshore_tenn_upper
2026-02-28 00:00:00+00:00,,5106.947,4008.7166158680325,6205.1769144066
2026-02-28 01:00:00+00:00,,5745.5083,4647.2780304657335,6843.738329004302
2026-02-28 02:00:00+00:00,,3083.2395,1985.0092234189892,4181.469521957557
2026-02-28 03:00:00+00:00,,1892.4995,794.2692937619313,2990.729592300499
2026-02-28 04:00:00+00:00,,3241.4788,2143.2485274270325,4339.7088259656
2026-02-28 05:00:00+00:00,,4459.5845,3361.354220014396,5557.814518552964
2026-02-28 06:00:00+00:00,,6030.9077,4932.677317383115,7129.137615921683
2026-02-28 07:00:00+00:00,,6399.0483,5300.818427360319,7497.278725898887
2026-02-28 08:00:00+00:00,,7495.4834,6397.253333067044,8593.713631605613
2026-02-28 09:00:00+00:00,,7026.938,5928.707747186212,8125.16804572478
2026-02-28 10:00:00+00:00,,8664.238,7566.008284016944,9762.468582555513
2026-02-28 11:00:00+00:00,,8970.798,7872.567628856477,10069.027927395044
2026-02-28 12:00:00+00:00,,10448.76,9350.530253827346,11546.990552365914
2026-02-28 13:00:00+00:00,,9609.897,8511.667733522521,10708.12803206109
2026-02-28 14:00:00+00:00,,9322.976,8224.745431638243,10421.20573017681
2026-02-28 15:00:00+00:00,,12978.182,11879.951783851782,14076.41208239035
2026-02-28 16:00:00+00:00,,15012.261,13914.030828580588,16110.491127119156
2026-02-28 17:00:00+00:00,,14882.606,13784.376000393131,15980.8362989317
2026-02-28 18:00:00+00:00,,16428.863,15330.632862234614,17527.093160773184
2026-02-28 19:00:00+00:00,,16456.373,15358.143457711301,17554.603756249868
2026-02-28 20:00:00+00:00,,17179.158,16080.928775843448,18277.389074382016
2026-02-28 21:00:00+00:00,,15156.674,14058.44366149416,16254.903960032729
2026-02-28 22:00:00+00:00,,16329.06,15230.828976939987,17427.289275478557
2026-02-28 23:00:00+00:00,,16286.521,15188.291383317706,17384.751681856273
2026-03-01 00:00:00+00:00,,15796.175,14697.944639621915,16894.404938160485
2026-03-01 01:00:00+00:00,,14224.475,13126.244872965905,15322.705171504473
2026-03-01 02:00:00+00:00,,11624.059,10525.828443539327,12722.288742077893
2026-03-01 03:00:00+00:00,,8002.327,6904.097118712529,9100.557417251097
2026-03-01 04:00:00+00:00,,7922.549,6824.318589830841,9020.778888369408
2026-03-01 05:00:00+00:00,,7540.1504,6441.920501537968,8638.380800076537
2026-03-01 06:00:00+00:00,,5355.1274,4256.897225553968,6453.357524092537
2026-03-01 07:00:00+00:00,,6517.2515,5419.021148547008,7615.481447085576
2026-03-01 08:00:00+00:00,,4695.4785,3597.248561807432,5793.708860346
2026-03-01 09:00:00+00:00,,5220.1245,4121.89412523711,6318.354423775677
2026-03-01 10:00:00+00:00,,7568.3135,6470.083563056935,8666.543861595503
2026-03-01 11:00:00+00:00,,7851.508,6753.277637080617,8949.737935619185
2026-03-01 12:00:00+00:00,,6621.1465,5522.916258901814,7719.376557440382
2026-03-01 13:00:00+00:00,,8236.015,7137.784366882097,9334.244665420665
2026-03-01 14:00:00+00:00,,7768.113,6669.882612040779,8866.342910579348
2026-03-01 15:00:00+00:00,,5112.1953,4013.9650621321334,6210.425360670702
2026-03-01 16:00:00+00:00,,7074.092,5975.861665620163,8172.32196415873
2026-03-01 17:00:00+00:00,,7457.275,6359.045015831175,8555.505314369742
2026-03-01 18:00:00+00:00,,8717.111,7618.881190949016,9815.341489487584
2026-03-01 19:00:00+00:00,,9285.853,8187.622769750045,10384.083068288612
2026-03-01 20:00:00+00:00,,8277.399,7179.169056801837,9375.629355340405
2026-03-01 21:00:00+00:00,,7939.3223,6841.092213535777,9037.552512074344
2026-03-01 22:00:00+00:00,,7728.143,6629.913015907543,8826.373314446111
2026-03-01 23:00:00+00:00,,7735.685,6637.455167489516,8833.915466028084
2026-03-02 00:00:00+00:00,,7398.93,6300.699872146669,8497.160170685236
2026-03-02 01:00:00+00:00,,7437.056,6338.826026022893,8535.28632456146
2026-03-02 02:00:00+00:00,,5529.5747,4431.344677109296,6627.804975647863
2026-03-02 03:00:00+00:00,,4483.928,3385.6979936436037,5582.158292182172
2026-03-02 04:00:00+00:00,,4495.6807,3397.450363240527,5593.910661779095
2026-03-02 05:00:00+00:00,,3725.6064,2627.376368297941,4823.836666836509
2026-03-02 06:00:00+00:00,,3504.0525,2405.8222148472214,4602.28251338579
2026-03-02 07:00:00+00:00,,3114.7974,2016.567280191839,4213.027578730407
2026-03-02 08:00:00+00:00,,3282.0986,2183.8683654351694,4380.328663973737
2026-03-02 09:00:00+00:00,,2972.4587,1874.2286796091857,4070.6889781477535
2026-03-02 10:00:00+00:00,,2539.1255,1440.8951958380449,3637.355494376613
2026-03-02 11:00:00+00:00,,3638.1753,2539.94513363221,4736.405432170778
2026-03-02 12:00:00+00:00,,3546.8958,2448.6655660674182,4645.125864605986
2026-03-02 13:00:00+00:00,,3024.1553,1925.9251328311752,4122.385431369743
2026-03-02 14:00:00+00:00,,2691.4912,1593.2611279651942,3789.721426503762
2026-03-02 15:00:00+00:00,,1966.1467,867.9164473467681,3064.376745885336
2026-03-02 16:00:00+00:00,,2645.2383,1547.008128153088,3743.468426691656
2026-03-02 17:00:00+00:00,,4577.8926,3479.6623274848343,5676.1226260234025
2026-03-02 18:00:00+00:00,,6500.9663,5402.736056665188,7599.196355203756
2026-03-02 19:00:00+00:00,,5780.7856,4682.555434783838,6879.015733322406
2026-03-02 20:00:00+00:00,,6222.265,5124.035127830395,7320.495426368963
