date,wind_onshore_tenn_actual,wind_onshore_tenn_fitted,wind_onshore_tenn_lower,wind_onshore_tenn_upper
2026-01-24 00:00:00+00:00,11227.58075,10824.655,9726.425007537586,11922.885306076154
2026-01-24 01:00:00+00:00,10589.34475,10121.558,9023.32749571028,11219.787794248849
2026-01-24 02:00:00+00:00,9855.24925,10293.944,9195.714074248861,11392.17437278743
2026-01-24 03:00:00+00:00,9349.25425,10335.737,9237.507487632825,11433.967786171394
2026-01-24 04:00:00+00:00,8979.3665,10589.344,9491.113332181143,11687.573630719711
2026-01-24 05:00:00+00:00,9183.65625,9902.5625,8804.332312245715,11000.792610784283
2026-01-24 06:00:00+00:00,8571.08225,9396.0,8297.769556690226,10494.229855228794
2026-01-24 07:00:00+00:00,8077.121,10680.969,9582.739084856797,11779.199383395366
2026-01-24 08:00:00+00:00,7718.3715,9501.35,8403.11999209442,10599.580290632988
2026-01-24 09:00:00+00:00,7178.78175,8822.632,7724.401971407761,9920.86226994633
2026-01-24 10:00:00+00:00,6698.17175,8889.835,7791.605319595694,9988.065618134262
2026-01-24 11:00:00+00:00,5602.26875,8590.407,7492.177178706532,9688.6374772451
2026-01-24 12:00:00+00:00,5037.46025,7767.649,6669.418676892208,8865.878975430776
2026-01-24 13:00:00+00:00,5043.33275,7659.955,6561.7250157376175,8758.185314276185
2026-01-24 14:00:00+00:00,4845.08375,5354.764,4256.533884916778,6452.9941834553465
2026-01-24 15:00:00+00:00,5064.4805,5995.4355,4897.205314773526,7093.665613312094
2026-01-24 16:00:00+00:00,5475.2294999999995,6665.881,5567.650675727607,7764.110974266176
2026-01-24 17:00:00+00:00,5530.74025,6548.9727,5450.742289122084,7647.202587660652
2026-01-24 18:00:00+00:00,5395.535,6067.3794,4969.149279479599,7165.609578018167
2026-01-24 19:00:00+00:00,5123.242,5157.145,4058.914797985214,6255.375096523782
2026-01-24 20:00:00+00:00,5178.651,4824.3755,3726.145472252172,5922.60577079074
2026-01-24 21:00:00+00:00,5137.999,5002.178,3903.947898358462,6100.40819689703
2026-01-24 22:00:00+00:00,5076.775,6012.7505,4914.520098026763,7110.980396565331
2026-01-24 23:00:00+00:00,5324.9425,5766.4146,4668.184484244171,6864.644782782739
2026-01-25 00:00:00+00:00,5673.937,6175.71,5077.479706671442,7273.940005210009
2026-01-25 01:00:00+00:00,5403.31525,5688.9272,4590.697215731655,6787.157514270223
2026-01-25 02:00:00+00:00,5100.572,4595.995,3497.765022032059,5694.2253205706265
2026-01-25 03:00:00+00:00,4539.90075,4934.571,3836.340732957877,6032.801031496445
2026-01-25 04:00:00+00:00,4242.052,4891.3755,3793.145178291557,5989.605476830125
2026-01-25 05:00:00+00:00,4345.53175,5846.8774,4748.647255324147,6945.107553862716
2026-01-25 06:00:00+00:00,4648.529,6066.4297,4968.199396467075,7164.659695005642
2026-01-25 07:00:00+00:00,4978.3324999999995,6299.6133,5201.3832305170945,7397.843529055663
2026-01-25 08:00:00+00:00,5560.2652499999995,7277.0093,6178.778997269274,8375.239295807842
2026-01-25 09:00:00+00:00,6113.04925,7539.9336,6441.703318135084,8638.163616673652
2026-01-25 10:00:00+00:00,6443.58275,7849.666,6751.4357648241075,8947.896063362676
2026-01-25 11:00:00+00:00,6487.99675,7712.232,6614.002107478885,8810.462406017452
2026-01-25 12:00:00+00:00,6684.3765,8838.83,7740.599666594927,9937.059965133496
2026-01-25 13:00:00+00:00,6742.1849999999995,9421.231,8323.00103477038,10519.461333308947
2026-01-25 14:00:00+00:00,6762.47025,9602.282,8504.052446083795,10700.512744622363
2026-01-25 15:00:00+00:00,6879.1205,9274.053,8175.822645971161,10372.28294450973
2026-01-25 16:00:00+00:00,7196.8057499999995,8264.304,7166.073682608161,9362.53398114673
2026-01-25 17:00:00+00:00,6911.47575,8157.5254,7059.295331746691,9255.755630285259
2026-01-25 18:00:00+00:00,6312.38275,7149.2217,6050.991684679873,8247.451983218441
2026-01-25 19:00:00+00:00,6185.5525,8016.165,6917.9348414772685,9114.395140015837
2026-01-25 20:00:00+00:00,5881.70375,8405.905,7307.67490628801,9504.135204826578
2026-01-25 21:00:00+00:00,5379.03825,6546.829,5448.598845935666,7645.059144474233
2026-01-25 22:00:00+00:00,5403.0485,7210.011,6111.78092664708,8308.241225185648
2026-01-25 23:00:00+00:00,5811.001,6723.001,5624.770695686446,7821.230994225013
2026-01-26 00:00:00+00:00,5930.989,6600.0557,5501.825460897676,7698.285759436244
2026-01-26 01:00:00+00:00,6343.5615,7854.3086,6756.078517977574,8952.538816516142
2026-01-26 02:00:00+00:00,6371.37475,8345.798,7247.567437039135,9444.027735577703
2026-01-26 03:00:00+00:00,6588.82725,6852.6055,5754.375414691188,7950.835713229756
2026-01-26 04:00:00+00:00,7127.63,8111.8657,7013.6357921246345,9210.096090663203
2026-01-26 05:00:00+00:00,8394.768,11175.945,10077.71523670178,12274.175535240349
2026-01-26 06:00:00+00:00,8621.521499999999,11464.72,10366.49013917934,12562.950437717907
2026-01-26 07:00:00+00:00,8416.90075,10854.784,9756.554363852905,11953.014662391473
2026-01-26 08:00:00+00:00,8400.06025,10355.511,9257.281120631818,11453.741419170387
2026-01-26 09:00:00+00:00,8686.1675,10873.667,9775.436759899823,11971.897058438391
2026-01-26 10:00:00+00:00,8413.374749999999,10646.673,9548.442947207102,11744.90324574567
2026-01-26 11:00:00+00:00,7940.969,10007.994,8909.764126009302,11106.224424547869
2026-01-26 12:00:00+00:00,7381.3535,9452.477,8354.246923109928,10550.707221648496
