date,hard_coal_tenn_actual,oil_tenn_actual,gas_tenn_actual,renewables_tenn_actual,biomass_tenn_actual,waste_tenn_actual,hard_coal_tenn_fitted,oil_tenn_fitted,gas_tenn_fitted,renewables_tenn_fitted,biomass_tenn_fitted,waste_tenn_fitted,hard_coal_tenn_lower,oil_tenn_lower,gas_tenn_lower,renewables_tenn_lower,biomass_tenn_lower,waste_tenn_lower,hard_coal_tenn_upper,oil_tenn_upper,gas_tenn_upper,renewables_tenn_upper,biomass_tenn_upper,waste_tenn_upper
2026-01-24 00:00:00+00:00,252.0,0.13099999999999978,3285.09725,573.316,1921.2649999999999,205.088,392.6245334442496,0.4388119723063262,2855.5834702229977,564.1963659487963,1980.891904174534,209.00337884040795,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 01:00:00+00:00,252.89999999999998,0.13099999999999978,3291.2307499999997,571.3365,1912.854,205.127,399.07158414065566,-0.5253311142593997,2835.0880073916865,539.893121439482,1975.4464987097385,201.6392787732552,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 02:00:00+00:00,254.0,0.13099999999999978,3479.2415,569.72425,1909.937,205.088,380.6697386851864,-2.235307189176226,2893.2124122457544,563.7185909270481,1969.2187358958024,193.1835391417816,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 03:00:00+00:00,264.35,0.13099999999999978,3498.21925,568.08075,1924.8555000000001,199.15325,387.3820328404329,-2.2003384042101826,2705.1651239531507,553.4776502980563,1932.9719920043863,189.68889520112936,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 04:00:00+00:00,292.20000000000005,0.13099999999999978,3500.1015,558.4375,1958.82075,197.215,385.13740213243864,-1.1783298094752488,2666.7148515717,561.1336630493228,1937.8641810634622,203.01035424888698,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 05:00:00+00:00,345.85,0.13099999999999978,3509.75475,556.68675,2052.0815000000002,197.215,433.23886527509006,-0.399859651866751,2531.8827516978226,594.0992753526472,1948.1335304077286,206.49990926108165,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 06:00:00+00:00,393.1,0.13099999999999978,3538.03425,546.2725,2196.0675,197.215,483.5886409905172,1.2201937285894422,2896.897112789624,680.3245574676873,2134.98931239769,186.76775895665713,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 07:00:00+00:00,355.1,0.13099999999999978,3605.0125,638.2294999999999,2282.867,197.254,495.41589053247304,-0.5005646218255642,3023.2030285552746,877.3704712022482,2110.0679561102584,180.4436154055906,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 08:00:00+00:00,328.3,0.13099999999999978,3610.7977499999997,728.32225,2264.47225,197.334,526.4050683685816,-1.257833002081611,2891.498589975653,1053.0640533286366,2100.956364215215,193.353154273735,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 09:00:00+00:00,323.8,0.13099999999999978,3355.696,695.8555000000001,2222.487,203.34699999999998,531.6885538829681,-1.8452262582963637,3187.81082278966,806.8394655530212,2054.561926998985,178.95219837566123,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 10:00:00+00:00,315.4,0.13099999999999978,3057.2782500000003,560.305,2180.912,205.444,546.9775620281309,1.0031758748106883,2949.178168158501,705.8409214015778,2028.3590588256616,177.56825257486344,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 11:00:00+00:00,311.0,0.13099999999999978,3083.1255,535.7132500000001,2102.65575,205.523,589.9443902167211,-1.0228644310107464,2705.339147798184,690.1985119165247,2033.3577239569902,187.43289519224328,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 12:00:00+00:00,313.5,0.13099999999999978,3260.935,523.79375,2078.479,205.641,668.603918590518,-1.4766804328977798,2740.0634162016,610.7273210485204,2025.3327742470076,185.64074715143917,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 13:00:00+00:00,315.8,0.13099999999999978,3253.26975,526.4982500000001,2084.2445,205.681,614.8953315844306,-0.9022998280415919,2788.140004781554,622.0922312942181,2040.5246283888755,194.15032839816166,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 14:00:00+00:00,328.6,0.13099999999999978,3849.1865,445.2974999999999,2118.074,205.641,698.0071917533411,-0.7791783410703208,2906.7169569015314,687.1266189913465,2082.796334839246,188.45811362394622,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 15:00:00+00:00,371.2,0.13099999999999978,4215.87675,579.36625,2216.36575,205.523,673.5362204397068,-1.0644882478256572,3299.981866132102,933.3962801382268,2157.4278289155095,186.8017881808726,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 16:00:00+00:00,469.9,0.13099999999999978,4274.9845000000005,1149.981,2303.018,205.444,542.2422245235621,-1.2697733695145303,3707.9837770655604,1240.1146782159956,2122.4569272348854,198.30460019745496,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
2026-01-24 17:00:00+00:00,468.6,0.13099999999999978,4277.59275,1100.69875,2319.06475,205.365,566.2275724703939,-1.4344369267822792,3705.912262995969,1102.6708485346223,2266.4860354618727,212.06014358800337,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045,517.1155107490081,2.167402700892857,1834.600113635913,1129.9374063640873,1906.9052626835316,249.32908860119045
