date,wind_offshore_50hz_actual,wind_offshore_50hz_fitted,wind_offshore_50hz_lower,wind_offshore_50hz_upper
2026-01-24 00:00:00+00:00,1428.0975,1096.9253,924.8507976085998,1268.999916858309
2026-01-24 01:00:00+00:00,1491.815,1013.6668,841.5922575852982,1185.7413768350075
2026-01-24 02:00:00+00:00,1537.0725000000002,988.9183,816.8436981505729,1160.992817400282
2026-01-24 03:00:00+00:00,1485.8200000000002,961.3826,789.3080736842301,1133.4571929339393
2026-01-24 04:00:00+00:00,1410.305,1034.4454,862.3708182364967,1206.519937486206
2026-01-24 05:00:00+00:00,1415.685,1039.2491,867.1745949078249,1211.3237141575341
2026-01-24 06:00:00+00:00,1411.44,1095.4977,923.4230774162065,1267.5721966659157
2026-01-24 07:00:00+00:00,1399.0349999999999,1237.6309,1065.5563557829544,1409.7054750326638
2026-01-24 08:00:00+00:00,1359.7675,1171.9067,999.8322000651519,1343.9813193148611
2026-01-24 09:00:00+00:00,1207.4,1275.6023,1103.5277183491044,1447.6768375988136
2026-01-24 10:00:00+00:00,1015.5575000000001,1171.2623,999.1877857777511,1343.3369050274605
2026-01-24 11:00:00+00:00,948.74,1147.7427,975.6681094027203,1319.8172286524295
2026-01-24 12:00:00+00:00,952.5325,1129.5017,957.427117337897,1301.5762365876062
2026-01-24 13:00:00+00:00,1050.3575,1173.3353,1001.260830144828,1345.4099493945373
2026-01-24 14:00:00+00:00,1308.38,1261.957,1089.8825134273004,1434.0316326770096
2026-01-24 15:00:00+00:00,1468.435,1222.1727,1050.098227211413,1394.247346461122
2026-01-24 16:00:00+00:00,1581.32,1236.8115,1064.7370290461163,1408.8861482958255
2026-01-24 17:00:00+00:00,1597.1325,1174.3287,1002.2541594438205,1346.40327869353
2026-01-24 18:00:00+00:00,1487.92,1475.9917,1303.9171187525067,1648.0662380022159
2026-01-24 19:00:00+00:00,1442.8474999999999,1225.463,1053.3884331490697,1397.5375523987789
2026-01-24 20:00:00+00:00,1245.575,1055.937,883.8625164263435,1228.0116356760527
2026-01-24 21:00:00+00:00,1011.315,1013.6476,841.5730429067951,1185.7221621565045
2026-01-24 22:00:00+00:00,920.1374999999999,905.19543,733.1209015218798,1077.270020771589
2026-01-24 23:00:00+00:00,989.295,889.5447,717.4701444602756,1061.6192637099848
2026-01-25 00:00:00+00:00,1050.0475000000001,805.97107,633.8964890618021,978.0456083115113
2026-01-25 01:00:00+00:00,914.1800000000001,810.56335,638.4888239854246,982.6379432351338
2026-01-25 02:00:00+00:00,954.595,683.208,511.13341302001106,855.2825322697204
2026-01-25 03:00:00+00:00,972.6424999999999,986.19446,814.1199238078965,1158.2690430576058
2026-01-25 04:00:00+00:00,1079.5,1023.0816,851.0070753923292,1195.1561946420384
2026-01-25 05:00:00+00:00,1022.055,980.899,808.8244333443465,1152.9735525940557
2026-01-25 06:00:00+00:00,900.2025,843.64386,671.5693283149972,1015.7184475647064
2026-01-25 07:00:00+00:00,874.2125,931.09174,759.0172034797797,1103.166322729489
2026-01-25 08:00:00+00:00,868.5074999999999,794.71423,622.6396579733723,966.7887772230815
2026-01-25 09:00:00+00:00,900.29,841.09204,669.0174959073934,1013.1666151571026
2026-01-25 10:00:00+00:00,983.5550000000001,944.2891,772.2145832900652,1116.3637025397745
2026-01-25 11:00:00+00:00,1010.005,1001.1473,829.0727438007543,1173.2218630504635
2026-01-25 12:00:00+00:00,1126.0974999999999,1071.2534,899.1789166728819,1243.328035922591
2026-01-25 13:00:00+00:00,1239.5025,1026.5288,854.4542636476724,1198.6033828973816
2026-01-25 14:00:00+00:00,1377.225,1173.1534,1001.078852688253,1345.2279719379621
2026-01-25 15:00:00+00:00,1462.105,1275.5863,1103.5117685602636,1447.6608878099728
2026-01-25 16:00:00+00:00,1676.2525,1341.0536,1168.9790149276073,1513.1281341773165
2026-01-25 17:00:00+00:00,1709.5425,1309.0994,1137.0247904858898,1481.173909735599
2026-01-25 18:00:00+00:00,1723.095,1323.5596,1151.4849867992427,1495.634106048952
2026-01-25 19:00:00+00:00,1730.43,1288.217,1116.1425562072247,1460.291675456934
2026-01-25 20:00:00+00:00,1727.6475,1292.8828,1120.8082976254627,1464.957416875172
2026-01-25 21:00:00+00:00,1727.9325,1336.3013,1164.226673649152,1508.3757928988612
2026-01-25 22:00:00+00:00,1728.8625,1297.4031,1125.3285641240034,1469.4776833737128
2026-01-25 23:00:00+00:00,1723.145,1321.3893,1149.314691538461,1493.4638107881701
2026-01-26 00:00:00+00:00,1730.4450000000002,1208.4274,1036.3527741201488,1380.501893369858
2026-01-26 01:00:00+00:00,1721.2675,1299.9525,1127.877961245056,1472.0270804947652
2026-01-26 02:00:00+00:00,1723.3925,1308.5505,1136.4760214087535,1480.6251406584627
2026-01-26 03:00:00+00:00,1725.6475,1286.785,1114.710447146761,1458.8595663964704
2026-01-26 04:00:00+00:00,1721.75,1261.2456,1089.171088617655,1433.3202078673644
2026-01-26 05:00:00+00:00,1716.485,1120.424,948.3494395305618,1292.498558780271
2026-01-26 06:00:00+00:00,1718.5225,1315.5133,1143.4387465112181,1487.5878657609273
2026-01-26 07:00:00+00:00,1716.3125,1338.5918,1166.517288122399,1510.666407372108
2026-01-26 08:00:00+00:00,1718.9,1119.1349,947.0602898190722,1291.2094090687815
2026-01-26 09:00:00+00:00,1720.6775,1187.2478,1015.1732207911091,1359.3223400408183
2026-01-26 10:00:00+00:00,1722.5425,1281.8219,1109.7473331553672,1453.8964524050764
2026-01-26 11:00:00+00:00,1724.365,1262.1749,1090.1004046701582,1434.2495239198674
