date,solar_50hz_actual,solar_50hz_fitted,solar_50hz_lower,solar_50hz_upper
2026-01-24 00:00:00+00:00,-2.2737367544323206e-13,1.7796875,-497.1680134579051,500.727393327508
2026-01-24 01:00:00+00:00,-2.2737367544323206e-13,1.7796875,-497.1680134579051,500.727393327508
2026-01-24 02:00:00+00:00,-2.2737367544323206e-13,1.7796875,-497.1680134579051,500.727393327508
2026-01-24 03:00:00+00:00,-2.2737367544323206e-13,5.6134276,-493.3343270566079,504.561079728805
2026-01-24 04:00:00+00:00,-2.2737367544323206e-13,9.271753,-489.67595952448346,508.21944726092966
2026-01-24 05:00:00+00:00,-2.2737367544323206e-13,14.861475,-484.08625670776655,513.8091500776466
2026-01-24 06:00:00+00:00,0.40750000000025466,11.006861,-487.94079757132386,509.95460921408903
2026-01-24 07:00:00+00:00,142.73249999999985,225.30948,-273.638222590469,724.2571841949441
2026-01-24 08:00:00+00:00,728.3824999999999,653.42017,154.47251755621164,1152.3679243416245
2026-01-24 09:00:00+00:00,1564.1775,1773.8873,1274.939674113837,2272.83508089925
2026-01-24 10:00:00+00:00,2238.985,2217.7795,1718.831807660177,2716.72721444559
2026-01-24 11:00:00+00:00,2414.8875,1675.1577,1176.209988447225,2174.105395232638
2026-01-24 12:00:00+00:00,1941.785,575.5973,76.64958494681082,1074.544991732224
2026-01-24 13:00:00+00:00,1196.8500000000001,420.87906,-78.06861016686412,919.8267966185489
2026-01-24 14:00:00+00:00,525.5225,46.61074,-452.33692851085516,545.5584782745577
2026-01-24 15:00:00+00:00,85.0174999999997,28.288233,-470.65951766667604,527.2358891187371
2026-01-24 16:00:00+00:00,0.047499999999899956,6.192407,-492.75535062978497,505.14005615562814
2026-01-24 17:00:00+00:00,-2.2737367544323206e-13,3.4571776,-495.4904663750581,502.4049404103548
2026-01-24 18:00:00+00:00,-2.2737367544323206e-13,6.4302,-492.517468373831,505.3779384115819
2026-01-24 19:00:00+00:00,-2.2737367544323206e-13,6.4302,-492.517468373831,505.3779384115819
2026-01-24 20:00:00+00:00,-2.2737367544323206e-13,6.4302,-492.517468373831,505.3779384115819
2026-01-24 21:00:00+00:00,-2.2737367544323206e-13,3.44375,-495.5038980626159,502.3915087227972
2026-01-24 22:00:00+00:00,-2.2737367544323206e-13,-2.0806642,-501.0283865015863,496.86702028382683
2026-01-24 23:00:00+00:00,-2.2737367544323206e-13,-0.39194337,-499.3397052566852,498.5557015287279
2026-01-25 00:00:00+00:00,-2.2737367544323206e-13,15.5029545,-483.44471689416196,514.4506898912509
2026-01-25 01:00:00+00:00,-2.2737367544323206e-13,2.495996,-496.4517156990787,501.4436910863342
2026-01-25 02:00:00+00:00,-2.2737367544323206e-13,-2.7066407,-501.65437383486096,496.24103295055215
2026-01-25 03:00:00+00:00,-2.2737367544323206e-13,-0.5219482,-499.46960381398503,498.42580297142786
2026-01-25 04:00:00+00:00,-2.2737367544323206e-13,4.9981933,-493.9495336932905,503.9458730921226
2026-01-25 05:00:00+00:00,-2.2737367544323206e-13,3.220117,-495.72764170008804,502.1677650853253
2026-01-25 06:00:00+00:00,0.43000000000006366,1.7600342,-497.1876307910484,500.70777599436474
2026-01-25 07:00:00+00:00,131.84500000000003,122.82571,-376.1219986546448,621.7734081307683
2026-01-25 08:00:00+00:00,577.1399999999999,261.06326,-237.88448417409472,760.0109226113184
2026-01-25 09:00:00+00:00,1017.8050000000001,849.9585,351.01080207853965,1348.9062088639528
2026-01-25 10:00:00+00:00,1333.91,1428.2463,929.2986781816884,1927.1940849671014
2026-01-25 11:00:00+00:00,1390.475,1126.2908,627.3431193593403,1625.2385261447535
2026-01-25 12:00:00+00:00,1136.1924999999999,730.9807,232.03300206004678,1229.92840884546
2026-01-25 13:00:00+00:00,686.6575,654.4049,155.4571839670923,1153.3525907525054
2026-01-25 14:00:00+00:00,261.6399999999999,293.5751,-205.37255424283012,792.5228525425832
2026-01-25 15:00:00+00:00,23.88249999999971,51.86965,-447.0780693666088,550.8173374188041
2026-01-25 16:00:00+00:00,0.06750000000010914,-7.332495,-506.2801763365919,491.6152304488214
2026-01-25 17:00:00+00:00,-2.2737367544323206e-13,-7.5556397,-506.5033897758708,491.3920170095423
2026-01-25 18:00:00+00:00,-2.2737367544323206e-13,-6.6451173,-505.59286274565284,492.30254403976005
2026-01-25 19:00:00+00:00,-2.2737367544323206e-13,-6.6451173,-505.59286274565284,492.30254403976005
2026-01-25 20:00:00+00:00,-2.2737367544323206e-13,1.4533936,-497.49426207936904,500.4011447060441
2026-01-25 21:00:00+00:00,-2.2737367544323206e-13,-15.385473,-514.3331799582725,483.56222682714065
2026-01-25 22:00:00+00:00,-2.2737367544323206e-13,-2.8035645,-501.7512233714601,496.144183413953
2026-01-25 23:00:00+00:00,-2.2737367544323206e-13,-11.92417,-510.8718694212357,487.0235373641774
2026-01-26 00:00:00+00:00,-2.2737367544323206e-13,-5.5135255,-504.4612430689285,493.43416371648436
2026-01-26 01:00:00+00:00,-2.2737367544323206e-13,-5.5135255,-504.4612430689285,493.43416371648436
2026-01-26 02:00:00+00:00,-2.2737367544323206e-13,-7.0938478,-506.0415871497139,491.853819635699
2026-01-26 03:00:00+00:00,-2.2737367544323206e-13,-11.332129,-510.27981477231697,487.61559201309615
2026-01-26 04:00:00+00:00,-2.2737367544323206e-13,6.624414,-492.32323910243986,505.57216768297326
2026-01-26 05:00:00+00:00,-2.2737367544323206e-13,1.622583,-497.32512885578217,500.5702779296307
2026-01-26 06:00:00+00:00,0.36750000000029104,18.0552,-480.89251952549466,517.0028872599182
