date,solar_50hz_actual,solar_50hz_fitted,solar_50hz_lower,solar_50hz_upper
2026-02-28 00:00:00+00:00,,-16.699152,-541.9885735886246,508.5902059525988
2026-02-28 01:00:00+00:00,,-13.573419,-538.8628360474936,511.71594349373004
2026-02-28 02:00:00+00:00,,-4.044366,-529.333830799269,521.2449487419547
2026-02-28 03:00:00+00:00,,-10.467217,-535.7565438360793,514.8222357051443
2026-02-28 04:00:00+00:00,,4.333808,-520.9556715955159,529.6231079457077
2026-02-28 05:00:00+00:00,,57.635323,-467.65403862408266,582.9247409171408
2026-02-28 06:00:00+00:00,,423.9981,-101.29132776621827,949.2874517750051
2026-02-28 07:00:00+00:00,,1363.3475,838.0580840934629,1888.6368636346865
2026-02-28 08:00:00+00:00,,4311.3516,3786.0622360750185,4836.641015616242
2026-02-28 09:00:00+00:00,,6762.2485,6236.959332044869,7287.538111586093
2026-02-28 10:00:00+00:00,,7992.293,7467.003823392738,8517.582602933962
2026-02-28 11:00:00+00:00,,8821.25,8295.960213442935,9346.538992984159
2026-02-28 12:00:00+00:00,,8056.649,7531.359531043052,8581.938310584275
2026-02-28 13:00:00+00:00,,6059.8574,5534.56783100063,6585.146610541853
2026-02-28 14:00:00+00:00,,4630.701,4105.411497064097,5155.99027660532
2026-02-28 15:00:00+00:00,,1099.3146,574.0251311297047,1624.6039106709281
2026-02-28 16:00:00+00:00,,206.75665,-318.532765568214,732.0460139730094
2026-02-28 17:00:00+00:00,,6.4983587,-518.7910889232503,531.7876906179733
2026-02-28 18:00:00+00:00,,-22.666193,-547.955511907478,502.6232676337456
2026-02-28 19:00:00+00:00,,-25.273859,-550.5633687285972,500.01541081262667
2026-02-28 20:00:00+00:00,,-17.945734,-543.2350589078264,507.34372063339697
2026-02-28 21:00:00+00:00,,-14.158135,-539.4475848911243,511.13119465009936
2026-02-28 22:00:00+00:00,,10.271552,-515.0179012712379,535.5608782699858
2026-02-28 23:00:00+00:00,,-3.4857724,-528.7752736242364,521.803505916987
2026-03-01 00:00:00+00:00,,6.743476,-518.5458396627387,532.032939878485
2026-03-01 01:00:00+00:00,,10.036445,-515.2530310234274,535.3257485177962
2026-03-01 02:00:00+00:00,,14.349921,-510.93954099570874,539.6392385455149
2026-03-01 03:00:00+00:00,,1.4788274,-523.8105634727326,526.768216068491
2026-03-01 04:00:00+00:00,,10.501777,-514.7875336406119,535.7912459006118
2026-03-01 05:00:00+00:00,,55.73298,-469.5565061886332,581.0222733525902
2026-03-01 06:00:00+00:00,,434.1745,-91.11487240711267,959.4639071341112
2026-03-01 07:00:00+00:00,,2187.6428,1662.3534453523444,2712.932224893568
2026-03-01 08:00:00+00:00,,3999.0063,3473.7168653752096,4524.295644916434
2026-03-01 09:00:00+00:00,,7051.6836,6526.394334325226,7576.97311386645
2026-03-01 10:00:00+00:00,,9338.459,8813.169474314716,9863.74825385594
2026-03-01 11:00:00+00:00,,9072.436,8547.146252170083,9597.725031711307
2026-03-01 12:00:00+00:00,,8513.759,7988.469627255209,9039.048406796433
2026-03-01 13:00:00+00:00,,7816.7393,7291.449799334407,8342.02857887563
2026-03-01 14:00:00+00:00,,4568.1177,4042.8280923222683,5093.406871863492
2026-03-01 15:00:00+00:00,,2110.758,1585.4685617651721,2636.0473413063955
2026-03-01 16:00:00+00:00,,124.38996,-400.89941223624055,649.6793673049831
2026-03-01 17:00:00+00:00,,156.17535,-369.11403659659436,681.464742944629
2026-03-01 18:00:00+00:00,,83.71833,-441.57110513479347,609.0076744064302
2026-03-01 19:00:00+00:00,,79.589424,-445.699864530201,604.8789150110224
2026-03-01 20:00:00+00:00,,52.330635,-472.95884362390143,577.6199359173222
2026-03-01 21:00:00+00:00,,85.30598,-439.98333443688625,610.5954451043374
2026-03-01 22:00:00+00:00,,84.5362,-440.75321075629154,609.8255687849323
2026-03-01 23:00:00+00:00,,78.00422,-447.28525416732646,603.293525373897
2026-03-02 00:00:00+00:00,,-1.6097957,-526.899196150016,523.6795833912074
2026-03-02 01:00:00+00:00,,-224.26874,-749.5581424954958,301.02063704572765
2026-03-02 02:00:00+00:00,,23.525946,-501.76352800836594,548.8152515328577
2026-03-02 03:00:00+00:00,,21.29865,-503.99081194788187,546.5879675933415
2026-03-02 04:00:00+00:00,,27.171942,-498.1173302647089,552.4614492765145
2026-03-02 05:00:00+00:00,,93.07331,-432.216115745362,618.3626637958614
2026-03-02 06:00:00+00:00,,507.16095,-18.128414688456814,1032.4503648527668
2026-03-02 07:00:00+00:00,,2091.075,1565.7856778305136,2616.364457371737
2026-03-02 08:00:00+00:00,,5407.1685,4881.878989556335,5932.457769097559
2026-03-02 09:00:00+00:00,,7627.3145,7102.025302535948,8152.604082077171
2026-03-02 10:00:00+00:00,,9522.852,8997.561995994589,10048.140775535812
2026-03-02 11:00:00+00:00,,10170.532,9645.243069771575,10695.8218493128
2026-03-02 12:00:00+00:00,,9591.328,9066.038923014501,10116.617702555726
2026-03-02 13:00:00+00:00,,8021.5596,7496.270235147113,8546.849014688338
2026-03-02 14:00:00+00:00,,5978.5786,5453.289130688092,6503.867910229316
2026-03-02 15:00:00+00:00,,2268.215,1742.9257549986355,2793.5045345398594
2026-03-02 16:00:00+00:00,,191.10052,-334.1888354728594,716.3899440683645
2026-03-02 17:00:00+00:00,,77.5716,-447.7178135426625,602.8609659985611
2026-03-02 18:00:00+00:00,,3.806464,-521.4828781369229,529.0959014043008
2026-03-02 19:00:00+00:00,,-3.924493,-529.2137856515265,521.364993889697
2026-03-02 20:00:00+00:00,,-12.777276,-538.0667680594902,512.5120114817335
2026-03-02 21:00:00+00:00,,-17.911554,-543.200930369956,507.3778491712676
2026-03-02 22:00:00+00:00,,8.965888,-516.3235162665178,534.2552632747058
2026-03-02 23:00:00+00:00,,12.520087,-512.7691877846869,537.809591756537
2026-03-03 00:00:00+00:00,,9.011298,-516.2780776899344,534.3007018512894
2026-03-03 01:00:00+00:00,,5.378974,-519.9103859123647,530.6683936288589
2026-03-03 02:00:00+00:00,,13.836982,-511.45246117242596,539.1263183687977
2026-03-03 03:00:00+00:00,,0.65192306,-524.6373868291657,525.9413927120579
2026-03-03 04:00:00+00:00,,-0.7223445,-526.0116557436504,524.5671237975732
2026-03-03 05:00:00+00:00,,78.50129,-446.78800930742227,603.7907702338014
2026-03-03 06:00:00+00:00,,686.45245,161.16308111016156,1211.7418606513852
2026-03-03 07:00:00+00:00,,2636.4988,2111.2094486488995,3161.7882281901234
2026-03-03 08:00:00+00:00,,4962.2163,4436.926788117093,5487.505567658317
2026-03-03 09:00:00+00:00,,6896.0625,6370.772963757143,7421.351743298366
2026-03-03 10:00:00+00:00,,7987.583,7462.2936883231405,8512.872467864363
2026-03-03 11:00:00+00:00,,9238.259,8712.969674500675,9763.548454041898
2026-03-03 12:00:00+00:00,,8789.542,8264.252023856961,9314.830803398185
2026-03-03 13:00:00+00:00,,6924.9106,6399.621499344336,7450.20027888556
2026-03-03 14:00:00+00:00,,5380.8604,4855.570847401447,5906.149626942671
2026-03-03 15:00:00+00:00,,2214.236,1688.9467846429682,2739.525564184192
2026-03-03 16:00:00+00:00,,631.4749,106.18557819189982,1156.7643577331232
2026-03-03 17:00:00+00:00,,10.389472,-514.8998403408136,535.67893920041
2026-03-03 18:00:00+00:00,,-2.33587,-527.6252212666923,522.9535582745314
2026-03-03 19:00:00+00:00,,4.011298,-521.2781069096995,529.3006726315239
2026-03-03 20:00:00+00:00,,-1.8649226,-527.1543664971177,523.4244130441057
2026-03-03 21:00:00+00:00,,-1.8649226,-527.1543664971177,523.4244130441057
2026-03-03 22:00:00+00:00,,-1.8649226,-527.1543664971177,523.4244130441057
2026-03-03 23:00:00+00:00,,-2.8309872,-528.1202834875467,522.4584960536768
2026-03-04 00:00:00+00:00,,3.1409366,-522.1483846253982,528.4303949158252
2026-03-04 01:00:00+00:00,,6.5777044,-518.711720230528,531.8670593106956
2026-03-04 02:00:00+00:00,,6.1370306,-519.1524148968679,531.4263646443558
2026-03-04 03:00:00+00:00,,6.1370306,-519.1524148968679,531.4263646443558
2026-03-04 04:00:00+00:00,,20.813787,-504.47555623868266,546.1032233025408
2026-03-04 05:00:00+00:00,,86.71516,-438.57434171933573,612.0044378218879
2026-03-04 06:00:00+00:00,,1333.782,808.4925515783902,1859.071331119614
2026-03-04 07:00:00+00:00,,3382.7507,2857.4614286381047,3908.040208179328
2026-03-04 08:00:00+00:00,,5276.572,4751.282567803555,5801.861347344779
2026-03-04 09:00:00+00:00,,7487.586,6962.296718998554,8012.875498539777
2026-03-04 10:00:00+00:00,,9469.694,8944.40481404391,9994.983593585133
2026-03-04 11:00:00+00:00,,9932.218,9406.928251943184,10457.507031484407
2026-03-04 12:00:00+00:00,,9774.806,9249.516323667289,10300.09510320851
2026-03-04 13:00:00+00:00,,7562.447,7037.157269974112,8087.736049515336
2026-03-04 14:00:00+00:00,,5865.7183,5340.428833854474,6391.007613395697
2026-03-04 15:00:00+00:00,,2093.2578,1567.9684904993887,2618.547270040612
2026-03-04 16:00:00+00:00,,459.25262,-66.0367465676859,984.5420329735377
2026-03-04 17:00:00+00:00,,-74.47869,-599.7681882034431,450.8105913377806
2026-03-04 18:00:00+00:00,,0.4473332,-524.842158056389,525.7366214848346
2026-03-04 19:00:00+00:00,,3.3130558,-521.9763529839229,528.6024265573005
2026-03-04 20:00:00+00:00,,-5.632989,-530.9223951841032,519.6563843571203
2026-03-04 21:00:00+00:00,,-5.632989,-530.9223951841032,519.6563843571203
2026-03-04 22:00:00+00:00,,-5.632989,-530.9223951841032,519.6563843571203
2026-03-04 23:00:00+00:00,,-13.029717,-538.3191605023467,512.259619038877
2026-03-05 00:00:00+00:00,,5.092353,-520.1971053148236,530.3816742264
2026-03-05 01:00:00+00:00,,3.0435245,-522.2458096957148,528.3329698455088
2026-03-05 02:00:00+00:00,,2.5154483,-522.7740083457807,527.8047711954428
2026-03-05 03:00:00+00:00,,2.5154483,-522.7740083457807,527.8047711954428
2026-03-05 04:00:00+00:00,,9.158759,-516.1306503432029,534.4481291980208
2026-03-05 05:00:00+00:00,,25.694403,-499.5949769014642,550.9838026397595
2026-03-05 06:00:00+00:00,,1203.528,678.23850652384,1728.8172860650636
2026-03-05 07:00:00+00:00,,2537.0347,2011.7453470109606,3062.324126552184
2026-03-05 08:00:00+00:00,,3800.6938,3275.4043647331237,4325.983144274347
2026-03-05 09:00:00+00:00,,6287.3384,5762.048822272445,6812.627601813669
2026-03-05 10:00:00+00:00,,7257.271,6731.981868553093,7782.560648094316
2026-03-05 11:00:00+00:00,,8934.037,8408.747094235787,9459.325873777008
2026-03-05 12:00:00+00:00,,9272.445,8747.156151516898,9797.734931058123
2026-03-05 13:00:00+00:00,,8228.354,7703.063776660893,8753.642556202118
2026-03-05 14:00:00+00:00,,5631.7695,5106.480087812727,6157.058867353951
2026-03-05 15:00:00+00:00,,2500.7417,1975.4524000871738,3026.0311796283972
2026-03-05 16:00:00+00:00,,563.5013,38.21194789471065,1088.7907274359343
2026-03-05 17:00:00+00:00,,21.023504,-504.2658244681643,546.3129550730591
2026-03-05 18:00:00+00:00,,-2.7052548,-527.9946825313141,522.5840970099096
2026-03-05 19:00:00+00:00,,1.3406438,-523.948664998069,526.6301145431546
2026-03-05 20:00:00+00:00,,1.6387395,-523.6506355568972,526.9281439843262
2026-03-05 21:00:00+00:00,,1.9497746,-523.3397087031581,527.2390708380653
2026-03-05 22:00:00+00:00,,1.6572942,-523.6321823358394,526.9465972053843
2026-03-05 23:00:00+00:00,,1.34455,-523.9448949851649,526.6338845560588
2026-03-06 00:00:00+00:00,,10.288642,-515.0008370023024,535.577942538921
2026-03-06 01:00:00+00:00,,13.414374,-511.87509946117143,538.7036800800522
2026-03-06 02:00:00+00:00,,13.414374,-511.87509946117143,538.7036800800522
2026-03-06 03:00:00+00:00,,3.1853702,-522.1041365792057,528.4746429620179
2026-03-06 04:00:00+00:00,,9.828681,-515.4607785766275,535.1180009645959
2026-03-06 05:00:00+00:00,,75.729805,-449.55956405728057,601.0192154839431
2026-03-06 06:00:00+00:00,,1008.5677,483.2783410406071,1533.8571205818307
2026-03-06 07:00:00+00:00,,2780.166,2254.876653957199,3305.4554334984227
2026-03-06 08:00:00+00:00,,5361.97,4836.680900111837,5887.259679653061
2026-03-06 09:00:00+00:00,,7345.462,6820.172788314804,7870.751567856028
2026-03-06 10:00:00+00:00,,9348.604,8823.313586931537,9873.89236647276
2026-03-06 11:00:00+00:00,,9820.578,9295.288248760167,10345.867028301393
2026-03-06 12:00:00+00:00,,9834.971,9309.680967498407,10360.259747039632
2026-03-06 13:00:00+00:00,,7636.4375,7111.148336920899,8161.7271164621225
2026-03-06 14:00:00+00:00,,5804.9375,5279.64828896783,6330.227068509053
2026-03-06 15:00:00+00:00,,2494.2976,1969.0082078978953,3019.586987439119
2026-03-06 16:00:00+00:00,,458.16425,-67.12508976663867,983.4536897745847
2026-03-06 17:00:00+00:00,,-149.30634,-674.5958011715215,375.9829783697021
2026-03-06 18:00:00+00:00,,-8.868096,-534.1574630994592,516.4213164417642
2026-03-06 19:00:00+00:00,,13.126044,-512.1634062374847,538.415373303739
2026-03-06 20:00:00+00:00,,-17.899347,-543.1886282225842,507.3901513186395
