date,hard_coal_ampr_actual,lignite_ampr_actual,coal_derived_gas_ampr_actual,oil_ampr_actual,other_fossil_ampr_actual,gas_ampr_actual,renewables_ampr_actual,biomass_ampr_actual,waste_ampr_actual,hard_coal_ampr_fitted,lignite_ampr_fitted,coal_derived_gas_ampr_fitted,oil_ampr_fitted,other_fossil_ampr_fitted,gas_ampr_fitted,renewables_ampr_fitted,biomass_ampr_fitted,waste_ampr_fitted,hard_coal_ampr_lower,lignite_ampr_lower,coal_derived_gas_ampr_lower,oil_ampr_lower,other_fossil_ampr_lower,gas_ampr_lower,renewables_ampr_lower,biomass_ampr_lower,waste_ampr_lower,hard_coal_ampr_upper,lignite_ampr_upper,coal_derived_gas_ampr_upper,oil_ampr_upper,other_fossil_ampr_upper,gas_ampr_upper,renewables_ampr_upper,biomass_ampr_upper,waste_ampr_upper
2026-01-24 00:00:00+00:00,1873.2933249999999,4063.9750775,442.149165,0.20166499999999998,43.44146,3562.992925,149.05129250000005,789.86459,45.24,1088.1104307863566,3361.0025879632653,474.90369658931183,0.02933298867115579,50.28184939661654,3194.225564736868,274.55372563025185,770.858883535266,67.15747728696742,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875
2026-01-24 01:00:00+00:00,2012.2399925,3778.3874875,424.483335,0.07,43.44146,4152.3274225000005,140.63965,789.57859,46.49,1077.1780507152,3352.937361433772,474.90369658931183,0.02983353360445836,50.28184939661654,3164.550575353673,281.0918554035112,771.520468836187,67.15747728696742,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875
2026-01-24 02:00:00+00:00,2091.45414,3764.358565,474.1791625,0.0,43.44146,4162.264675,140.38225,789.57859,44.49,1085.712815930449,3379.639602220786,474.90369658931183,0.030334078537760933,50.28184939661654,3194.897253910625,287.62998517677056,772.4060122567325,67.15747728696742,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875
2026-01-24 03:00:00+00:00,2177.855005,3856.8238874999997,468.828335,0.0316675,43.44146,4215.682000000001,140.44660000000002,789.57859,42.24,1089.493096385728,3396.908698526132,474.90369658931183,0.030834623471063503,50.28184939661654,3212.243441339517,294.1681149500299,773.2641339259409,67.15747728696742,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875
2026-01-24 04:00:00+00:00,2005.40251,3989.5531375,478.6,0.0,43.44146,4434.9506575000005,140.63965,789.57859,42.49,1103.4848277980664,3414.753752597433,474.90369658931183,0.03133516840436607,50.28184939661654,3261.7578355392047,300.70624472328933,773.9907324309488,67.15747728696742,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875
2026-01-24 05:00:00+00:00,1919.0066775,4086.2664975,481.5891625,0.035,43.44146,4538.1785,148.84265,790.98909,41.49,1120.6235034372269,3433.3810995659705,474.90369658931183,0.031835713337668645,50.28184939661654,3333.8654170669565,307.2443744965487,774.462870087547,67.15747728696742,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875
2026-01-24 06:00:00+00:00,1931.5899725,4539.8577399999995,486.9233325,0.135,43.44146,4881.8170150000005,148.86245,793.54359,41.49,1148.375774122123,3488.7281495155626,474.90369658931183,0.03233625827097121,50.28184939661654,3446.6738330640937,313.78250426980804,775.1704206782169,67.15747728696742,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875
2026-01-24 07:00:00+00:00,2079.936665,5046.644527500001,424.115,0.0316675,43.44146,5208.10475,210.44475,795.627465,46.49,1187.96649554085,3549.7168449960664,474.90369658931183,0.03283680320427378,50.28184939661654,3597.9326075097197,320.3206340430674,775.7484205207153,67.15747728696742,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875
2026-01-24 08:00:00+00:00,2287.1083200000003,5320.754035,438.5224975,0.065,43.44146,5279.9288325,290.69475,795.34959,46.49,1199.537635080702,3552.5503368559253,474.90369658931183,0.03333734813757635,50.28184939661654,3633.775016487665,326.85876381632676,776.1623348912285,67.15747728696742,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875
2026-01-24 09:00:00+00:00,2163.4333374999997,5427.87813,455.20917,0.0666675,43.44146,4888.7911525,184.43225,794.76559,46.49,1180.257642171425,3533.875955602812,474.90369658931183,0.03383789307087892,50.28184939661654,3541.058294195202,333.39689358958617,776.1251572112794,67.15747728696742,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875,1055.4804793568949,3443.1931532427084,474.4991970129713,0.03439596063988095,50.797045407738096,3052.257767874306,352.11690448037757,767.4428344592261,65.57871875
