date,solar_tenn_actual,solar_tenn_fitted,solar_tenn_lower,solar_tenn_upper
2026-01-27 20:00:00+00:00,0.0,14.143104,-211.328258529893,239.61443874689303
2026-01-27 21:00:00+00:00,0.0,14.205604,-211.2656643700202,239.67703290676582
2026-01-27 22:00:00+00:00,0.0,13.3391485,-212.13217307572177,238.8105242010638
2026-01-27 23:00:00+00:00,0.0,13.3391485,-212.13217307572177,238.8105242010638
2026-01-28 00:00:00+00:00,0.0,15.063025,-210.40826451594148,240.53443276084454
2026-01-28 01:00:00+00:00,0.0,12.590125,-212.88120095151316,238.0614963252724
2026-01-28 02:00:00+00:00,0.0,11.055701,-214.41569210958914,236.52700516719642
2026-01-28 03:00:00+00:00,0.0,15.803016,-209.66834549177338,241.27435178501264
2026-01-28 04:00:00+00:00,0.0,15.934363,-209.5370846042788,241.40561267250723
2026-01-28 05:00:00+00:00,0.0,14.345008,-211.1264624323926,239.81623484439342
2026-01-28 06:00:00+00:00,1.7852499999999054,11.525428,-213.94600235024518,236.99669492654084
2026-01-28 07:00:00+00:00,288.9827500000001,287.87283,62.40160804105744,513.3443053178435
2026-01-28 08:00:00+00:00,1194.9560000000001,1197.8983,972.4270349122012,1423.3697321889872
2026-01-28 09:00:00+00:00,2417.0335,2372.3513,2146.879884438981,2597.8225817157672
2026-01-28 10:00:00+00:00,3749.2335,3438.3296,3212.858339487821,3663.801036764607
2026-01-28 11:00:00+00:00,4159.40575,3766.9656,3541.4942032111585,3992.4369004879445
2026-01-28 12:00:00+00:00,3375.1025,3776.3801,3550.9086684844165,4001.8513657612025
2026-01-28 13:00:00+00:00,2077.2492500000003,3603.7002,3378.228781637538,3829.1714789143234
2026-01-28 14:00:00+00:00,881.73225,2081.7944,1856.3230202210666,2307.265717497852
2026-01-28 15:00:00+00:00,164.89874999999984,387.2388,161.76750123616284,612.7101985129486
2026-01-28 16:00:00+00:00,0.8369999999999891,22.69291,-202.77855026010138,248.16414701668418
2026-01-28 17:00:00+00:00,0.0,11.906775,-213.5645983835575,237.37809889322853
2026-01-28 18:00:00+00:00,0.0,14.760535,-210.7107251018938,240.23197217489178
2026-01-28 19:00:00+00:00,0.0,13.45243,-212.01889633117617,238.92380094560986
2026-01-28 20:00:00+00:00,0.0,2.006629,-223.46475229657517,227.47794498021085
2026-01-28 21:00:00+00:00,0.0,1.3479376,-224.12339233702778,226.81930493975824
2026-01-28 22:00:00+00:00,0.0,1.1728888,-224.29856256055245,226.64413471623357
2026-01-28 23:00:00+00:00,0.0,1.7539434,-223.71746453904643,227.22523273773913
2026-01-29 00:00:00+00:00,0.0,0.4465704,-225.02470152713659,225.91799574964944
2026-01-29 01:00:00+00:00,0.0,1.0276251,-224.44360350563056,226.499093771155
2026-01-29 02:00:00+00:00,0.0,-3.6181269,-229.0895849541007,221.85311232268532
2026-01-29 03:00:00+00:00,0.0,1.2859259,-224.18551937630446,226.75717790048157
2026-01-29 04:00:00+00:00,0.0,-2.5929804,-228.06425524573615,222.87844203104942
2026-01-29 05:00:00+00:00,0.0,-31.236778,-256.7080901964878,194.23460708029825
2026-01-29 06:00:00+00:00,0.3229999999998654,-23.11007,-248.58135962643382,202.36133765035174
