date,wind_onshore_tran_actual,wind_onshore_tran_fitted,wind_onshore_tran_lower,wind_onshore_tran_upper
2026-01-24 00:00:00+00:00,576.3847499999999,444.6166817121681,163.54292569158315,721.910695605579
2026-01-24 01:00:00+00:00,369.92325,429.1003706836856,148.7101936024915,706.9660255179134
2026-01-24 02:00:00+00:00,301.75275,381.1835424005671,99.43615241769109,660.165250793404
2026-01-24 03:00:00+00:00,231.29525,283.9563394671456,-2.11051128706481,563.2256884813976
2026-01-24 04:00:00+00:00,203.279,303.04146270758434,21.4773847188614,581.1091827679988
2026-01-24 05:00:00+00:00,206.83575,226.96649231731,-52.54438133601457,508.0353172373667
2026-01-24 06:00:00+00:00,199.9515,195.4051164754582,-88.00476551748716,473.09282954041464
2026-01-24 07:00:00+00:00,187.0145,227.58413317977391,-58.25486924883705,505.4424003804422
2026-01-24 08:00:00+00:00,174.12224999999998,266.97844637458456,-11.378906813135416,548.5418431791595
2026-01-24 09:00:00+00:00,145.111,245.73961169532035,-31.10961097798298,529.25408165967
2026-01-24 10:00:00+00:00,130.722,96.42320471960414,-182.52866060061365,377.46645629450876
2026-01-24 11:00:00+00:00,101.53824999999998,139.048271708805,-140.69866337381433,419.47504521036063
2026-01-24 12:00:00+00:00,124.209,163.32714736780704,-116.42278168164546,442.751935710479
2026-01-24 13:00:00+00:00,119.85699999999997,188.40216039656974,-91.04283696011652,468.4483123380595
2026-01-24 14:00:00+00:00,148.82875,157.2480037814826,-124.06465052980604,436.2593889868813
2026-01-24 15:00:00+00:00,257.42575,261.26872295902507,-19.59556107914233,541.210663686606
2026-01-24 16:00:00+00:00,242.86275,297.6999385983458,16.175313354221714,575.8900962131311
2026-01-24 17:00:00+00:00,255.12975,304.0152247853067,23.447902512918006,583.4305500839608
2026-01-24 18:00:00+00:00,230.31824999999998,366.50700054420207,85.77595738187904,646.2086215815403
2026-01-24 19:00:00+00:00,194.311,365.8988303867792,85.86549505661418,646.4852107938871
2026-01-24 20:00:00+00:00,195.93525,365.6437126889868,85.30107866372725,645.426462417707
2026-01-24 21:00:00+00:00,186.2525,448.2453640291586,168.2391380483848,727.8057527125005
2026-01-24 22:00:00+00:00,178.9535,414.0831253455031,132.32346785359917,692.9938149271951
2026-01-24 23:00:00+00:00,168.465,317.90176344245936,37.27820006474445,598.0151400681452
2026-01-25 00:00:00+00:00,147.68824999999998,351.0253780265034,70.21332858263787,631.0314495643375
2026-01-25 01:00:00+00:00,148.281,341.9667027051522,60.90592446171553,621.2209844496617
2026-01-25 02:00:00+00:00,148.33075,257.3870972953812,-22.641599398220023,537.6887774243445
2026-01-25 03:00:00+00:00,146.05025,180.87058967997856,-99.68913161202073,460.9657397811248
2026-01-25 04:00:00+00:00,106.75774999999999,214.6956620217938,-66.28006673638896,493.70588637666003
2026-01-25 05:00:00+00:00,85.94299999999998,152.2866582941394,-139.9662657427948,430.16941335660556
2026-01-25 06:00:00+00:00,87.67075,133.7438586025055,-145.87069431581125,413.93995254852075
2026-01-25 07:00:00+00:00,88.47375,177.93722271996754,-100.94772258271877,458.96151320849
