date,wind_offshore_tenn_actual,wind_offshore_tenn_fitted,wind_offshore_tenn_lower,wind_offshore_tenn_upper
2026-01-24 00:00:00+00:00,6406.235000000001,5525.543004062722,3820.7573984384726,7237.391827196732
2026-01-24 01:00:00+00:00,6554.026,5335.400772123095,3630.316597774628,7047.277516717735
2026-01-24 02:00:00+00:00,6177.0247500000005,5257.444479969377,3552.5866736180105,6972.777950486627
2026-01-24 03:00:00+00:00,6259.03425,5212.58388273724,3505.301130194756,6927.239969519436
2026-01-24 04:00:00+00:00,6489.4395,5109.266121260431,3402.645871437689,6820.572733222158
2026-01-24 05:00:00+00:00,6650.9995,5099.565108462059,3394.2457931498866,6811.590007763216
2026-01-24 06:00:00+00:00,6623.6155,4967.313279956111,3263.072907938685,6679.621625387701
2026-01-24 07:00:00+00:00,6482.41675,4943.0549035153335,3237.650042005396,6653.049289444847
2026-01-24 08:00:00+00:00,6696.901749999999,4903.791484183541,3199.7701928303027,6617.147505909037
2026-01-24 09:00:00+00:00,6664.8415,4719.099303352433,3011.5789213873786,6435.009823260779
2026-01-24 10:00:00+00:00,6493.5995,4710.167700123557,3005.0044062725724,6421.416397268608
2026-01-24 11:00:00+00:00,6121.80875,4641.893841415553,2936.006273845178,6352.718239721039
2026-01-24 12:00:00+00:00,6031.863,4593.6798517277075,2887.9062996937605,6306.799826196562
2026-01-24 13:00:00+00:00,6059.510250000001,4516.128998649618,2809.022347660562,6225.005386245362
2026-01-24 14:00:00+00:00,6242.56525,4421.469513450954,2714.451622126281,6128.526872846693
2026-01-24 15:00:00+00:00,6329.6942500000005,4481.945379102051,2776.7760510125813,6192.254069066894
2026-01-24 16:00:00+00:00,6322.7115,4487.451121423059,2778.285584407098,6201.077815856148
2026-01-24 17:00:00+00:00,6233.4545,4420.137189327684,2712.7083497585995,6130.645535907496
2026-01-24 18:00:00+00:00,6078.875,4493.2134259013155,2786.2784686209043,6201.372444580166
2026-01-24 19:00:00+00:00,6054.03725,4480.5664561785225,2774.1324210749763,6189.365335536575
2026-01-24 20:00:00+00:00,6078.2645,4511.815066248617,2801.962798698979,6222.8068278169285
2026-01-24 21:00:00+00:00,5682.94225,4461.144685903675,2752.8230143758433,6170.1212608669175
2026-01-24 22:00:00+00:00,5281.07475,4397.967517369466,2691.5287655884654,6109.900873491265
2026-01-24 23:00:00+00:00,5158.6955,4307.691418484321,2602.6169525317277,6018.2448872406185
2026-01-25 00:00:00+00:00,4709.07475,4126.592765479976,2418.8887671952943,5835.842247731683
2026-01-25 01:00:00+00:00,4368.09025,4126.49259765658,2420.676375525347,5837.34211225057
2026-01-25 02:00:00+00:00,4388.751749999999,4029.719180165209,2323.121973378659,5740.211880662209
2026-01-25 03:00:00+00:00,4382.3825,3954.7516088514517,2251.555695251425,5666.585611712217
2026-01-25 04:00:00+00:00,4263.030000000001,3934.6696803530867,2228.454069184292,5645.960246741766
2026-01-25 05:00:00+00:00,4351.798,3976.853266922048,2269.0172693843087,5686.743538512021
2026-01-25 06:00:00+00:00,4823.24575,3868.4711666067788,2162.0119983555,5578.2224297711855
2026-01-25 07:00:00+00:00,5071.261,3920.7805121534766,2212.3190955496393,5630.007600027825
2026-01-25 08:00:00+00:00,5404.88625,3918.954940630513,2210.385010095768,5629.866309097223
2026-01-25 09:00:00+00:00,5986.695,4140.864527097872,2434.233047433324,5850.38721658189
2026-01-25 10:00:00+00:00,5969.08825,4292.916915833391,2583.7575631161003,6001.576682325793
2026-01-25 11:00:00+00:00,5887.46775,4162.070293266608,2453.8665597798404,5871.206841998754
2026-01-25 12:00:00+00:00,5960.19875,4124.819876454316,2415.3860021281325,5832.865241336634
2026-01-25 13:00:00+00:00,6030.975,4179.475855803528,2472.066105259799,5890.3194629071395
2026-01-25 14:00:00+00:00,6210.42375,4201.514245965828,2490.247226329875,5913.091875076273
2026-01-25 15:00:00+00:00,6239.28275,4310.170174094118,2601.8362528836265,6023.026869754331
2026-01-25 16:00:00+00:00,6184.001249999999,4331.7053657062725,2622.101235860992,6041.625553839023
2026-01-25 17:00:00+00:00,6279.974,4322.608596645117,2616.0352197552993,6032.014935737704
2026-01-25 18:00:00+00:00,6291.257,4352.1687122110925,2644.818501307354,6061.823083697498
2026-01-25 19:00:00+00:00,6261.597,4310.620236312026,2600.827701535511,6021.112965481605
2026-01-25 20:00:00+00:00,5944.68425,4131.638703692538,2422.2486932797965,5839.865039407674
2026-01-25 21:00:00+00:00,5526.32725,4089.5476404952324,2384.750432283341,5800.170352550712
2026-01-25 22:00:00+00:00,5243.30925,3905.858556673633,2198.8219449462376,5618.251574761211
2026-01-25 23:00:00+00:00,5041.2585,4003.0866446809596,2293.712558555463,5712.806913436094
2026-01-26 00:00:00+00:00,5009.1715,3856.402630318912,2149.729577940615,5568.373609961897
2026-01-26 01:00:00+00:00,5476.25925,4037.2514978904005,2329.1496797451637,5752.3131076696
2026-01-26 02:00:00+00:00,6029.47025,4355.513371782382,2648.6799801255816,6067.5511398961335
2026-01-26 03:00:00+00:00,6152.702499999999,4402.442506994434,2692.8146433902134,6112.286974992623
2026-01-26 04:00:00+00:00,5783.81175,4408.459873578523,2700.3151700169774,6120.905290307084
2026-01-26 05:00:00+00:00,4838.746,4501.199088818232,2795.7258055462266,6209.290789705838
2026-01-26 06:00:00+00:00,4698.401,4291.2982288545345,2583.403041109511,6001.37806558933
2026-01-26 07:00:00+00:00,5310.66525,4325.503091186622,2620.053989720197,6037.873070951265
2026-01-26 08:00:00+00:00,4816.87375,4209.326379408855,2501.7263871365462,5921.429067703073
