date,solar_tran_actual,solar_tran_fitted,solar_tran_lower,solar_tran_upper
2026-02-06 12:00:00+00:00,1955.00525,1043.9224,693.6667705928868,1394.1780726606096
2026-02-06 13:00:00+00:00,1360.49125,477.78366,127.52803068994456,828.0393327576674
2026-02-06 14:00:00+00:00,773.48025,840.8146,490.5589552777771,1191.0702573454998
2026-02-06 15:00:00+00:00,318.7202500000001,282.22217,-68.03350567602729,632.4777963916954
2026-02-06 16:00:00+00:00,12.188499999999976,-51.796013,-402.05168080583053,298.45962126189215
2026-02-06 17:00:00+00:00,0.0,16.911385,-333.3442465697917,367.16705549793096
2026-02-06 18:00:00+00:00,0.0,0.39215773,-349.8635116484609,350.6477904192618
2026-02-06 19:00:00+00:00,0.0,-5.7867975,-356.0424327806304,344.4688692870924
2026-02-06 20:00:00+00:00,0.0,-2.3820732,-352.637709071656,347.8735929960669
2026-02-06 21:00:00+00:00,0.0,-9.290826,-359.5464732471828,340.9648288205399
2026-02-06 22:00:00+00:00,0.0,-9.232781,-359.4884540189039,341.0228480488188
2026-02-06 23:00:00+00:00,0.0,-5.6804743,-355.93610642196495,344.57519564575784
2026-02-07 00:00:00+00:00,0.0,4.844062,-345.4115704276103,355.0997316401124
2026-02-07 01:00:00+00:00,0.0,-22.788017,-373.0436712738381,327.4676307938847
2026-02-07 02:00:00+00:00,0.0,-1.7578666,-352.0135167627627,348.4977853049601
2026-02-07 03:00:00+00:00,0.0,5.1138372,-345.1418274652772,355.36947460244573
2026-02-07 04:00:00+00:00,0.0,7.585273,-342.67039413724956,357.84090793047324
2026-02-07 05:00:00+00:00,0.0,7.844428,-342.4112078030603,358.1000942646625
2026-02-07 06:00:00+00:00,1.16274999999996,6.9685736,-343.2870701269044,357.2242319408185
2026-02-07 07:00:00+00:00,382.90599999999995,256.1151,-94.14055379407296,606.37074827365
2026-02-07 08:00:00+00:00,1339.689,724.9002,374.644528543958,1075.1558306116808
2026-02-07 09:00:00+00:00,2416.9465,1399.7603,1049.5046198960206,1750.0159219637433
2026-02-07 10:00:00+00:00,3297.9775,2407.522,2057.2663540456174,2757.77765611334
2026-02-07 11:00:00+00:00,3700.9455,2039.8584,1689.6026426402009,2390.1139447079236
2026-02-07 12:00:00+00:00,3426.813,1949.0605,1598.8048306153373,2299.31613268306
2026-02-07 13:00:00+00:00,2845.3689999999997,1910.0178,1559.7621126348677,2260.2734147025903
2026-02-07 14:00:00+00:00,1997.26375,1216.3867,866.1310696475521,1566.6423717152747
2026-02-07 15:00:00+00:00,823.916,465.37323,115.11757419093635,815.6288762586591
2026-02-07 16:00:00+00:00,26.544500000000085,56.229195,-294.0264650864044,406.4848369813185
2026-02-07 17:00:00+00:00,0.0,30.587471,-319.66817703586617,380.8431250318565
2026-02-07 18:00:00+00:00,0.0,5.2204657,-345.035163294511,355.4761387732118
2026-02-07 19:00:00+00:00,0.0,5.2204657,-345.035163294511,355.4761387732118
2026-02-07 20:00:00+00:00,0.0,5.2204657,-345.035163294511,355.4761387732118
2026-02-07 21:00:00+00:00,0.0,-2.8101737,-353.0658014561477,347.44550061157497
2026-02-07 22:00:00+00:00,0.0,-3.400872,-353.6565503670811,346.8547517006416
2026-02-07 23:00:00+00:00,0.0,-3.400872,-353.6565503670811,346.8547517006416
2026-02-08 00:00:00+00:00,0.0,-5.0317926,-355.2874227357779,345.2238793319449
2026-02-08 01:00:00+00:00,0.0,-5.0317926,-355.2874227357779,345.2238793319449
2026-02-08 02:00:00+00:00,0.0,-5.0317926,-355.2874227357779,345.2238793319449
2026-02-08 03:00:00+00:00,0.0,-0.23577195,-350.49141989046075,350.01988217726193
2026-02-08 04:00:00+00:00,0.0,-1.9462821,-352.2019314618751,348.30937060584756
2026-02-08 05:00:00+00:00,0.0,1.3308175,-348.9248162739043,351.5864857938185
2026-02-08 06:00:00+00:00,1.6097499999999627,4.2009954,-346.05468021413753,354.4566218535854
2026-02-08 07:00:00+00:00,353.86850000000004,254.3609,-95.89476980600307,604.6165322617197
2026-02-08 08:00:00+00:00,1000.56975,590.3388,240.08315888569246,940.5944609534151
2026-02-08 09:00:00+00:00,1564.46225,1033.1592,682.9035703494546,1383.4148724171773
2026-02-08 10:00:00+00:00,1975.845,1711.4119,1361.1562136182417,2061.6675156859646
2026-02-08 11:00:00+00:00,2329.076,1139.8119,789.5562238342376,1490.0675259019604
2026-02-08 12:00:00+00:00,2370.5012500000003,1209.919,859.6633402826214,1560.1746423503441
2026-02-08 13:00:00+00:00,1996.588,1293.7961,943.5404380288991,1644.0517400966219
2026-02-08 14:00:00+00:00,1343.13625,801.5039,451.24826784850234,1151.759569916225
2026-02-08 15:00:00+00:00,488.47425000000004,257.16022,-93.09540538131296,607.4158966864097
2026-02-08 16:00:00+00:00,17.392999999999915,25.622505,-324.633170384511,375.8781316832118
2026-02-08 17:00:00+00:00,0.0,-17.014153,-367.26978685029417,333.2415152174286
2026-02-08 18:00:00+00:00,0.0,-5.4894342,-355.7450736790727,344.76622838865
2026-02-08 19:00:00+00:00,0.0,6.367133,-343.88854457203183,356.62275749569096
2026-02-08 20:00:00+00:00,0.0,3.356086,-346.8995482777509,353.6117537899718
2026-02-08 21:00:00+00:00,0.0,6.367133,-343.88854457203183,356.62275749569096
2026-02-08 22:00:00+00:00,0.0,6.9578314,-343.29779566109846,357.2135064066242
2026-02-08 23:00:00+00:00,0.0,3.6983712,-346.55726016681274,353.95404190090994
2026-02-09 00:00:00+00:00,0.0,0.19300002,-350.0626518817676,350.4486501859551
2026-02-09 01:00:00+00:00,0.0,-9.422967,-359.6786422315447,340.8326598361781
2026-02-09 02:00:00+00:00,0.0,-9.422967,-359.6786422315447,340.8326598361781
2026-02-09 03:00:00+00:00,0.0,-4.6270075,-354.88263938622777,345.62866268149514
2026-02-09 04:00:00+00:00,0.0,-7.860345,-358.1160079071701,342.39529416055257
2026-02-09 05:00:00+00:00,0.0,-9.126641,-359.3822965662887,341.129005501434
2026-02-09 06:00:00+00:00,0.6192499999999654,-6.256524,-356.5121605065219,343.9991415612009
2026-02-09 07:00:00+00:00,189.65700000000004,243.90326,-106.3523767779252,594.1589252897975
2026-02-09 08:00:00+00:00,619.78525,505.55786,155.30222375098936,855.813525818712
2026-02-09 09:00:00+00:00,1053.2785,742.3637,392.1080417835875,1092.6193438513103
2026-02-09 10:00:00+00:00,1368.3867500000001,1052.8185,702.5628305731334,1403.074132640856
2026-02-09 11:00:00+00:00,1640.213,1143.4408,793.1851703249888,1493.6964723927117
2026-02-09 12:00:00+00:00,1813.3235,689.7786,339.522964521263,1040.0342665889857
