date,wind_onshore_tran_actual,wind_onshore_tran_fitted,wind_onshore_tran_lower,wind_onshore_tran_upper
2026-01-24 00:00:00+00:00,576.3847499999999,544.94794,479.2693374062542,610.6265728437904
2026-01-24 01:00:00+00:00,369.92325,520.795,455.1163496496561,586.4735850871923
2026-01-24 02:00:00+00:00,301.75275,467.96872,402.2900977264604,533.6473331639966
2026-01-24 03:00:00+00:00,231.29525,486.5318,420.85317373432724,552.2104091718635
2026-01-24 04:00:00+00:00,203.279,458.63358,392.9549678681252,524.3122033056615
2026-01-24 05:00:00+00:00,206.83575,411.39313,345.71452201621713,477.0717574537533
2026-01-24 06:00:00+00:00,199.9515,386.5786,320.9000016633006,452.2572371008368
2026-01-24 07:00:00+00:00,187.0145,347.52673,281.8481157458767,413.205351183413
2026-01-24 08:00:00+00:00,174.12224999999998,287.74747,222.0688389095852,353.4260743471214
2026-01-24 09:00:00+00:00,145.111,237.4919,171.81327820775653,303.1705136452928
2026-01-24 10:00:00+00:00,130.722,177.81877,112.14016032285599,243.49739576039224
2026-01-24 11:00:00+00:00,101.53824999999998,212.01068,146.33207188877705,277.68930732631327
2026-01-24 12:00:00+00:00,124.209,198.84644,133.1678128085277,264.52504824606393
2026-01-24 13:00:00+00:00,119.85699999999997,221.24016,155.56154968999755,286.91878512753374
2026-01-24 14:00:00+00:00,148.82875,245.5287,179.85008862105138,311.2073240585876
2026-01-24 15:00:00+00:00,257.42575,344.24533,278.56670855823995,409.9239439957762
2026-01-24 16:00:00+00:00,242.86275,353.83157,288.1529420412392,419.51017747877546
2026-01-24 17:00:00+00:00,255.12975,368.1668,302.4881935439631,433.84542898149937
2026-01-24 18:00:00+00:00,230.31824999999998,417.20364,351.5250181993057,482.88225363684194
2026-01-24 19:00:00+00:00,194.311,436.22458,370.54595169741293,501.9031871349491
2026-01-24 20:00:00+00:00,195.93525,446.92227,381.24363996172104,512.6008753992572
2026-01-24 21:00:00+00:00,186.2525,473.64023,407.9616018370285,539.3188372745647
2026-01-24 22:00:00+00:00,178.9535,466.79324,401.11461887415305,532.4718543116893
2026-01-24 23:00:00+00:00,168.465,460.91656,395.2379372561107,526.5951726936469
2026-01-25 00:00:00+00:00,147.68824999999998,460.82224,395.1436024031408,526.500837840677
2026-01-25 01:00:00+00:00,148.281,465.2082,399.5295827421519,530.8868181796881
2026-01-25 02:00:00+00:00,148.33075,435.84012,370.16151244176774,501.518747879304
2026-01-25 03:00:00+00:00,146.05025,381.93542,316.25681818263,447.61405362016626
2026-01-25 04:00:00+00:00,106.75774999999999,350.2849,284.60629004199245,415.9635254795287
2026-01-25 05:00:00+00:00,85.94299999999998,287.56445,221.88584376042292,353.24307919795916
2026-01-25 06:00:00+00:00,87.67075,233.46753,167.78890594140498,299.1461413789412
2026-01-25 07:00:00+00:00,88.47375,185.39995,119.72132563168316,251.0785610692194
2026-01-25 08:00:00+00:00,80.18299999999999,167.53677,101.85815062676184,233.21538606429806
2026-01-25 09:00:00+00:00,77.45999999999998,136.74657,71.06795236982884,202.4251878073651
2026-01-25 10:00:00+00:00,81.72249999999997,105.14534,39.46672327075436,170.82395870829058
2026-01-25 11:00:00+00:00,91.58875,99.46565,33.78703971470941,165.14427515224563
2026-01-25 12:00:00+00:00,104.90725000000003,101.662994,35.98438551870487,167.34162095624106
2026-01-25 13:00:00+00:00,110.64474999999999,103.34897,37.67035111511365,169.0275865526499
2026-01-25 14:00:00+00:00,100.9555,106.09686,40.41824060945987,171.77547604699612
2026-01-25 15:00:00+00:00,86.64249999999998,111.58693,45.908318450199715,177.26555388773596
2026-01-25 16:00:00+00:00,97.11500000000001,136.21373,70.5351077656594,201.8923432031956
2026-01-25 17:00:00+00:00,104.84100000000001,136.07979,70.40117333465287,201.75840877218909
2026-01-25 18:00:00+00:00,111.17599999999999,136.88354,71.20492883127275,202.562164268809
2026-01-25 19:00:00+00:00,122.38049999999998,135.87321,70.19459181313061,201.55182725066683
2026-01-25 20:00:00+00:00,133.16125,125.29645,59.61783489517961,190.9750703327158
2026-01-25 21:00:00+00:00,151.666,124.79173,59.11311311785107,190.4703485553873
2026-01-25 22:00:00+00:00,190.2375,126.09927,60.42065438243412,191.77788981997037
2026-01-25 23:00:00+00:00,226.80875,166.29959,100.62098024810149,231.9782156856377
2026-01-26 00:00:00+00:00,280.265,199.51233,133.83370901668863,265.19094445422485
2026-01-26 01:00:00+00:00,325.94875,248.07245,182.3938323455193,313.7510677830555
2026-01-26 02:00:00+00:00,471.57025,267.7861,202.10748722928093,333.4647226668172
2026-01-26 03:00:00+00:00,473.48275,297.74307,232.06444037635023,363.42167581388645
2026-01-26 04:00:00+00:00,465.07275,378.3845,312.70588317604046,444.06311861357665
2026-01-26 05:00:00+00:00,469.592,411.61865,345.9400258179777,477.2972612555139
2026-01-26 06:00:00+00:00,517.10575,439.73306,374.0544392111071,505.41167464864327
2026-01-26 07:00:00+00:00,569.20775,488.06085,422.3822407608681,553.7394761984043
2026-01-26 08:00:00+00:00,670.8825,540.2186,474.53997990426797,605.8972153418042
2026-01-26 09:00:00+00:00,751.087,565.9469,500.26830333217174,631.625538769708
2026-01-26 10:00:00+00:00,799.6435,625.14417,559.4655561830189,690.8227916205551
2026-01-26 11:00:00+00:00,856.60925,706.6387,640.9600837683538,772.31731920589
2026-01-26 12:00:00+00:00,920.74575,703.34485,637.6662455387232,769.0234809762593
2026-01-26 13:00:00+00:00,1051.0775,719.4439,653.7653088016984,785.1225442392347
2026-01-26 14:00:00+00:00,1053.77975,712.4554,646.7767650587828,778.134000496319
2026-01-26 15:00:00+00:00,1077.72175,711.1948,645.5162157189286,776.8734511564649
2026-01-26 16:00:00+00:00,997.081,695.0507,629.3720963687756,760.7293318063117
2026-01-26 17:00:00+00:00,941.4939999999999,672.4445,606.7658747248996,738.1231101624358
2026-01-26 18:00:00+00:00,870.36125,749.9937,684.3151228352557,815.6723582727918
2026-01-26 19:00:00+00:00,856.589,748.82166,683.1430689263079,814.5003043638442
2026-01-26 20:00:00+00:00,812.088,676.6352,610.9566013830033,742.3138368205394
2026-01-26 21:00:00+00:00,744.68025,622.9311,557.2524684033333,688.6097038408695
2026-01-26 22:00:00+00:00,574.01775,545.0901,479.41144064626747,610.7686760838037
2026-01-26 23:00:00+00:00,366.17125,451.8232,386.14459563519927,517.5018310727355
2026-01-27 00:00:00+00:00,243.067,301.42142,235.74278699868148,367.1000224362177
2026-01-27 01:00:00+00:00,169.0775,242.5968,176.91817755818198,308.2754129957182
2026-01-27 02:00:00+00:00,165.01575,163.97417,98.29555007163299,229.65278550916923
2026-01-27 03:00:00+00:00,165.65075000000002,166.97023,101.29160968543951,232.64884512297573
2026-01-27 04:00:00+00:00,151.60250000000002,147.67403,81.99541497862697,213.3526504161632
2026-01-27 05:00:00+00:00,141.54600000000002,148.0713,82.39268713540054,213.74992257293678
2026-01-27 06:00:00+00:00,182.87975,204.06,138.38137433709502,269.73860977463124
2026-01-27 07:00:00+00:00,229.09075,254.336,188.65738365261572,320.01461909015194
2026-01-27 08:00:00+00:00,274.271,290.91562,225.2369912907416,356.5942267282778
2026-01-27 09:00:00+00:00,353.74325,264.54135,198.86273630898117,330.2199717465174
2026-01-27 10:00:00+00:00,333.457,259.6985,194.01985576203526,325.3770911995715
2026-01-27 11:00:00+00:00,303.40999999999997,240.04889,174.3702749739203,305.7275104114565
2026-01-27 12:00:00+00:00,279.22524999999996,213.5739,147.8952819842133,279.25251742174953
