date,wind_onshore_ampr_actual,wind_onshore_ampr_fitted,wind_onshore_ampr_lower,wind_onshore_ampr_upper
2026-01-24 00:00:00+00:00,2504.03436,3260.5696,2952.1803827099984,3568.9590368418017
2026-01-24 01:00:00+00:00,2314.745465,3134.2578,2825.8685036192387,3442.647157751042
2026-01-24 02:00:00+00:00,1991.66197,3191.977,2883.5877295856308,3500.366383717434
2026-01-24 03:00:00+00:00,1718.17148,3001.4102,2693.0208392873124,3309.7994934191156
2026-01-24 04:00:00+00:00,1507.97758,3276.4646,2968.0752400183496,3584.853894150153
2026-01-24 05:00:00+00:00,1429.8249225,3428.0903,3119.7010275676757,3736.479681699479
2026-01-24 06:00:00+00:00,1414.5739025,3125.8364,2817.447013369433,3434.2256675012363
2026-01-24 07:00:00+00:00,1227.3813175,2274.535,1966.1455072344816,2582.924161366285
2026-01-24 08:00:00+00:00,1120.6168775,2287.6172,1979.2279359990866,2596.00659013089
2026-01-24 09:00:00+00:00,875.3921399999997,1636.2855,1327.8962423434557,1944.6748964752592
2026-01-24 10:00:00+00:00,676.9177024999999,2461.2852,2152.8957822013435,2769.674436333147
2026-01-24 11:00:00+00:00,608.1751624999999,1124.3174,815.9281331085565,1432.7067872403597
2026-01-24 12:00:00+00:00,536.31329,755.1586,446.7693532404314,1063.5480073722347
2026-01-24 13:00:00+00:00,512.6451175,874.56366,566.1742973248445,1182.9529514566477
2026-01-24 14:00:00+00:00,694.2880725,797.78644,489.3970679927629,1106.1757221245662
2026-01-24 15:00:00+00:00,982.1262024999999,1406.166,1097.7767828935064,1714.5554370253099
2026-01-24 16:00:00+00:00,1497.258775,2066.0532,1757.663852254862,2374.442506386665
2026-01-24 17:00:00+00:00,1991.4685875,2666.726,2358.3367220091127,2975.115376140916
2026-01-24 18:00:00+00:00,2427.4120775,3820.4548,3512.065574553333,4128.844228685137
2026-01-24 19:00:00+00:00,2688.9220725,4005.581,3697.1917148605135,4313.970368992317
2026-01-24 20:00:00+00:00,2653.5444375,3178.2563,2869.8670639989587,3486.645718130762
2026-01-24 21:00:00+00:00,2673.67022,2862.7983,2554.4090783280903,3171.1877324598936
2026-01-24 22:00:00+00:00,2814.414215,3318.993,3010.603612329489,3627.3822664612917
2026-01-24 23:00:00+00:00,2751.6856625,2939.288,2630.898788351697,3247.6774424835003
2026-01-25 00:00:00+00:00,2699.2335325,2855.4753,2547.0860259236792,3163.8646800554825
2026-01-25 01:00:00+00:00,2638.1145625,2689.7334,2381.3439543587615,2998.1226084905647
2026-01-25 02:00:00+00:00,2411.1870425,2234.1636,1925.7742469506325,2542.5529010824357
2026-01-25 03:00:00+00:00,2168.4014625,2405.0667,2096.6772884347333,2713.4559425665366
2026-01-25 04:00:00+00:00,2076.6112,2151.085,1842.6956111523405,2459.4742652841437
2026-01-25 05:00:00+00:00,1999.6276225000001,2729.12,2420.7307137038288,3037.509367835632
2026-01-25 06:00:00+00:00,2125.2982425,2563.7349,2255.3454726485907,2872.124126780394
2026-01-25 07:00:00+00:00,2010.3170775,2789.8652,2481.475947790775,3098.2546019225783
2026-01-25 08:00:00+00:00,1783.13274,2829.9578,2521.5683286896783,3138.3469828214816
2026-01-25 09:00:00+00:00,1530.0733675000001,2840.981,2532.5915367613384,3149.3701908931416
2026-01-25 10:00:00+00:00,1245.9824549999998,1912.307,1603.9177140517158,2220.696368183519
2026-01-25 11:00:00+00:00,992.3769175,962.92645,654.5371637274125,1271.3158178592157
2026-01-25 12:00:00+00:00,843.047395,1007.0961,698.7068546388041,1315.4855087706073
2026-01-25 13:00:00+00:00,707.6522924999999,1269.3219,960.9326035096587,1577.711257641462
2026-01-25 14:00:00+00:00,726.6163374999999,1474.3531,1165.9639267112468,1782.74258084305
2026-01-25 15:00:00+00:00,925.355065,1898.692,1590.3026623565197,2207.081316488323
2026-01-25 16:00:00+00:00,1121.7731025,2372.826,2064.4364964205142,2681.2151505523175
2026-01-25 17:00:00+00:00,1116.5281075,2155.2244,1846.835101927214,2463.6137560590173
2026-01-25 18:00:00+00:00,956.2424274999998,1938.0216,1629.6322614353062,2246.4109155671094
2026-01-25 19:00:00+00:00,850.4640475000001,2325.0713,2016.6819711377775,2633.4606252695808
2026-01-25 20:00:00+00:00,812.0616500000001,2212.246,1903.8567291259042,2520.6353832577074
2026-01-25 21:00:00+00:00,750.0853099999999,2841.3564,2532.967189961563,3149.745844093366
2026-01-25 22:00:00+00:00,689.9680675,2936.835,2628.4455838099593,3245.2242379417626
2026-01-25 23:00:00+00:00,671.7679125,2279.4004,1971.0110017766124,2587.7896559084156
2026-01-26 00:00:00+00:00,705.2624900000001,2471.32,2162.930748981227,2779.7094031130305
2026-01-26 01:00:00+00:00,1037.2866625,1904.4432,1596.0539158542458,2212.832569986049
2026-01-26 02:00:00+00:00,1490.4940125,1593.025,1284.6357115704993,1901.4143657023026
2026-01-26 03:00:00+00:00,1705.13028,2157.6401,1849.2508779199193,2466.0295320517225
2026-01-26 04:00:00+00:00,1775.9459825,2123.5894,1815.2000386057998,2431.978692737603
2026-01-26 05:00:00+00:00,1822.883115,2169.5918,1861.2024941449804,2477.9811482767836
2026-01-26 06:00:00+00:00,1903.4533675,1826.5371,1518.1478254711392,2134.9264796029424
2026-01-26 07:00:00+00:00,2108.4182925,1641.3998,1333.010476614516,1949.7891307463192
2026-01-26 08:00:00+00:00,2375.7600575,1088.5938,780.2044845076548,1396.983138639458
2026-01-26 09:00:00+00:00,2602.7763075,1795.361,1486.9716455013179,2103.750299633121
2026-01-26 10:00:00+00:00,2678.6661925,2080.6785,1772.2891745449251,2389.0678286767284
2026-01-26 11:00:00+00:00,2893.7455025,2854.8323,2546.4429020406205,3163.221556172424
2026-01-26 12:00:00+00:00,3121.7720625,2691.9636,2383.574305583378,3000.3529597151814
2026-01-26 13:00:00+00:00,3212.6981,1951.4863,1643.0969984763676,2259.8756526081706
2026-01-26 14:00:00+00:00,2985.874455,2082.473,1774.0835765778947,2390.862230709698
2026-01-26 15:00:00+00:00,2597.4741825,1876.7056,1568.3162252962293,2185.0948794280325
2026-01-26 16:00:00+00:00,2405.099555,1419.4573,1111.0679875708731,1727.8466417026764
2026-01-26 17:00:00+00:00,2061.5676175,1239.8483,931.4590555742443,1548.2377097060476
2026-01-26 18:00:00+00:00,1857.6459475000001,1011.09,702.7007009884774,1319.4793551202806
2026-01-26 19:00:00+00:00,1653.2485125,1384.4581,1076.068824912825,1692.8474790446282
2026-01-26 20:00:00+00:00,1403.907725,1111.8937,803.5043900969954,1420.2830442287986
2026-01-26 21:00:00+00:00,1031.5240675,1163.5956,855.2063596690637,1471.985013800867
2026-01-26 22:00:00+00:00,782.015345,1405.0177,1096.6283735985126,1713.4070277303158
2026-01-26 23:00:00+00:00,518.8983324999999,1503.1323,1194.743011604101,1811.5216657359042
2026-01-27 00:00:00+00:00,335.600285,975.1777,666.7883751386219,1283.567029270425
2026-01-27 01:00:00+00:00,342.38582750000023,779.3233,470.93391835821694,1087.7125724900202
2026-01-27 02:00:00+00:00,493.09205250000014,1050.9653,742.5760496770386,1359.3547038088418
2026-01-27 03:00:00+00:00,552.75043,809.77423,501.38487849206626,1118.1635326238695
2026-01-27 04:00:00+00:00,674.7047375,1105.8146,797.4253532456235,1414.2040073774267
2026-01-27 05:00:00+00:00,952.9190775000002,1524.3925,1216.0031613475198,1832.781815479323
2026-01-27 06:00:00+00:00,1368.41949,1517.8113,1209.4220081681328,1826.200662299936
2026-01-27 07:00:00+00:00,2031.4984650000001,1297.5056,989.1163676484764,1605.8950217802796
2026-01-27 08:00:00+00:00,2434.763685,1414.7238,1106.3345103930872,1723.1131645248904
2026-01-27 09:00:00+00:00,2752.4665050000003,1653.4692,1345.0798826850607,1961.8585368168642
2026-01-27 10:00:00+00:00,3163.8394025,2086.83,1778.4408000974504,2395.2194542292536
2026-01-27 11:00:00+00:00,3478.1464325,2183.4421,1875.0528253021412,2491.8314794339444
2026-01-27 12:00:00+00:00,4176.8602375,2337.0293,2028.6399255306783,2645.4185796624815
2026-01-27 13:00:00+00:00,4774.628935,2805.671,2497.281537008921,3114.0601911407243
2026-01-27 14:00:00+00:00,5460.664644999999,3690.4583,3382.068951550808,3998.847605682611
2026-01-27 15:00:00+00:00,5946.815655,5411.975,5103.585790547437,5720.36444467924
2026-01-27 16:00:00+00:00,5632.541995,6096.886,5788.496747150526,6405.275401282329
2026-01-27 17:00:00+00:00,4963.11462,6407.761,6099.372003961858,6716.150658093661
2026-01-27 18:00:00+00:00,4447.95956,5219.134,4910.744298605347,5527.52295273715
2026-01-27 19:00:00+00:00,3658.047995,7746.3706,7437.981042542302,8054.759696674104
2026-01-27 20:00:00+00:00,2756.1232475,7417.0786,7108.689338385768,7725.467992517571
2026-01-27 21:00:00+00:00,2054.6709475,7161.3584,6852.968951550449,7469.747605682252
2026-01-27 22:00:00+00:00,1691.1967625,6968.2095,6659.820025109357,7276.5986792411595
2026-01-27 23:00:00+00:00,1347.241695,5977.3247,5668.935417114362,6285.714071246166
2026-01-28 00:00:00+00:00,1047.8993675,4307.9575,3999.567955621728,4616.346609753531
2026-01-28 01:00:00+00:00,992.63221,2882.521,2574.131588553603,3190.910242685406
2026-01-28 02:00:00+00:00,972.2781474999999,3003.1196,2694.730409947565,3311.5090640793683
2026-01-28 03:00:00+00:00,817.9204975,2877.0828,2568.693540623491,3185.4721947552944
2026-01-28 04:00:00+00:00,893.4248225000001,2185.7312,1877.3417712204964,2494.1204253522997
2026-01-28 05:00:00+00:00,1002.5053125,1834.6084,1526.2190485508572,2142.9977026826605
2026-01-28 06:00:00+00:00,1121.22613,2237.0044,1928.6151472114898,2545.393801343293
2026-01-28 07:00:00+00:00,1211.5260250000001,1815.103,1506.713703970799,2123.4923581026023
2026-01-28 08:00:00+00:00,1170.5473175,2918.269,2609.8796224212983,3226.6582765531016
2026-01-28 09:00:00+00:00,1169.0363075,2530.6934,2222.30406109896,2839.0827152307634
2026-01-28 10:00:00+00:00,1186.89065,3090.702,2782.3125475073966,3399.0912016392
2026-01-28 11:00:00+00:00,1059.072955,1971.2778,1662.8884946549983,2279.6671487868016
2026-01-28 12:00:00+00:00,1095.4662974999999,2513.2795,2204.8902092235076,2821.668863355311
2026-01-28 13:00:00+00:00,1330.205645,2582.2776,2273.888253856317,2890.6669079881203
2026-01-28 14:00:00+00:00,1577.33296,3184.8574,2876.468165727652,3493.246819859455
2026-01-28 15:00:00+00:00,1672.8152675000001,3314.39,3006.000634691644,3622.779288823447
2026-01-28 16:00:00+00:00,1876.5865475,2132.3506,1823.9612546518124,2440.7399087836156
2026-01-28 17:00:00+00:00,2105.8131825,3062.4617,2754.0723069572496,3370.8509610890533
2026-01-28 18:00:00+00:00,2105.457325,4788.067,4479.677364286807,5096.45601841861
2026-01-28 19:00:00+00:00,1993.1640575000001,4304.6772,3996.2881205585836,4613.066774690387
2026-01-28 20:00:00+00:00,1872.346265,4291.887,3983.4978312932203,4600.276485425024
2026-01-28 21:00:00+00:00,1738.4112325,4442.816,4134.426687250407,4751.20534138221
2026-01-28 22:00:00+00:00,1769.9502,4394.458,4086.068735030554,4702.847389162357
2026-01-28 23:00:00+00:00,1715.7276975,4526.5483,4218.15895494686,4834.937609078663
2026-01-29 00:00:00+00:00,1639.8529025,4639.906,4331.516219431318,4948.294873563122
2026-01-29 01:00:00+00:00,1455.853575,5690.915,5382.525755034423,5999.304409166226
2026-01-29 02:00:00+00:00,1429.0826425,5666.6357,5358.246435719961,5975.025089851764
2026-01-29 03:00:00+00:00,1426.93144,5845.364,5536.974495821986,6153.753149953789
2026-01-29 04:00:00+00:00,1305.1391550000003,5027.8774,4719.4882826689645,5336.266936800768
2026-01-29 05:00:00+00:00,1097.3031,4280.124,3971.734458652998,4588.513112784802
2026-01-29 06:00:00+00:00,970.0969375000002,3053.2163,2744.826921605842,3361.6055757376453
2026-01-29 07:00:00+00:00,945.5869374999997,2034.3303,1725.9410553470352,2342.7197094788385
2026-01-29 08:00:00+00:00,1033.6002425000001,2089.2812,1780.8918363186112,2397.6704904504145
2026-01-29 09:00:00+00:00,1151.8777025,2502.478,2194.088792200378,2810.8674463321813
2026-01-29 10:00:00+00:00,1152.0833874999998,2473.4905,2165.10126289762,2781.8799170294233
2026-01-29 11:00:00+00:00,1043.24883,2051.2595,1742.8702682880441,2359.6489224198476
2026-01-29 12:00:00+00:00,846.3723275,2062.6294,1754.2400073466445,2371.0186614784475
2026-01-29 13:00:00+00:00,785.7540450000001,2313.561,2005.1718249821392,2621.9504791139425
2026-01-29 14:00:00+00:00,807.565605,1665.593,1357.2036635639145,1973.9823176957177
2026-01-29 15:00:00+00:00,882.7723525000001,1495.1625,1186.773265927374,1803.5519200591773
2026-01-29 16:00:00+00:00,968.3994874999999,2206.0415,1897.6522966276407,2514.430950759444
2026-01-29 17:00:00+00:00,957.5666525000004,2068.9395,1760.55012045394,2377.3287745857433
2026-01-29 18:00:00+00:00,887.018155,2175.4297,1867.0403470306633,2483.8190011624665
2026-01-29 19:00:00+00:00,840.4324350000002,2258.0046,1949.6152986383695,2566.3939527701727
2026-01-29 20:00:00+00:00,893.062555,2305.3108,1996.921398546449,2613.700052678252
2026-01-29 21:00:00+00:00,993.144765,2264.0256,1955.6362578570631,2572.4149119888666
2026-01-29 22:00:00+00:00,1032.66542,2151.1987,1842.8092978681175,2459.5879519999207
2026-01-29 23:00:00+00:00,1019.0525425000001,2398.7576,2090.3681510716974,2707.1468052035007
2026-01-30 00:00:00+00:00,1068.9555375,2532.9788,2224.589367783117,2841.36802191492
2026-01-30 01:00:00+00:00,1154.913995,1676.7761,1368.3867936178033,1985.1654477496065
2026-01-30 02:00:00+00:00,1168.408115,1302.5481,994.158880546614,1610.9375346784173
2026-01-30 03:00:00+00:00,1173.5505825000002,1479.0234,1170.6342223633046,1787.4128764951079
2026-01-30 04:00:00+00:00,1272.7849725,1228.8136,920.4243720829165,1537.2030262147196
2026-01-30 05:00:00+00:00,1445.0247125,1179.5585,871.16920216719,1487.9478562989932
2026-01-30 06:00:00+00:00,1683.9025075,1510.7922,1202.402987667358,1819.1816417991613
2026-01-30 07:00:00+00:00,1936.41645,1277.5491,969.1598122357891,1585.9384663675924
2026-01-30 08:00:00+00:00,2154.1905325,1715.2346,1406.845328282749,2023.6239824145523
2026-01-30 09:00:00+00:00,2229.6747425,1422.7903,1114.4010632438706,1731.179717375674
2026-01-30 10:00:00+00:00,2035.0135249999998,754.53314,446.14380943343303,1062.9224635652363
2026-01-30 11:00:00+00:00,1775.56829,1271.3802,962.9909735537622,1579.7696276855654
2026-01-30 12:00:00+00:00,1683.3439775,1027.7333,719.3440625599167,1336.12271669172
2026-01-30 13:00:00+00:00,1997.5365125,1766.0887,1457.6993844329804,2074.4780385647837
2026-01-30 14:00:00+00:00,2577.801755,1814.7742,1506.384853136254,2123.163507268057
2026-01-30 15:00:00+00:00,3089.491335,2638.8123,2330.4229971790437,2947.201651310847
2026-01-30 16:00:00+00:00,3704.329255,3644.7227,3336.3333995952344,3953.112053727037
2026-01-30 17:00:00+00:00,3768.0274375,4111.293,3802.903814579193,4419.682468710997
2026-01-30 18:00:00+00:00,3807.0788225,4032.628,3724.238478406449,4341.017132538252
2026-01-30 19:00:00+00:00,3825.11857,4180.5713,3872.1821240287013,4488.960778160505
2026-01-30 20:00:00+00:00,3905.1764325000004,3881.0828,3572.693419100133,4189.4720732319365
2026-01-30 21:00:00+00:00,3909.412645,3883.8071,3575.417897225409,4192.196551357212
2026-01-30 22:00:00+00:00,3767.9335949999995,5001.612,4693.222648271103,5310.001302402907
2026-01-30 23:00:00+00:00,3501.06836,3572.9985,3264.609091100059,3881.387745231862
2026-01-31 00:00:00+00:00,3466.3859625,3070.6975,2705.073808794243,3436.3213567040466
2026-01-31 01:00:00+00:00,3543.43415,3466.891,3101.267309689408,3832.514857599211
2026-01-31 02:00:00+00:00,3651.209345,3444.66,3079.03615263295,3810.283700542753
2026-01-31 03:00:00+00:00,3640.6189999999997,3535.119,3169.4950844988784,3900.742632408682
2026-01-31 04:00:00+00:00,3568.552875,3701.8008,3336.177022957476,4067.424570867279
2026-01-31 05:00:00+00:00,3557.9632575,3074.4753,2708.8515569793617,3440.0991048891647
2026-01-31 06:00:00+00:00,3206.939945,3572.8394,3207.215656274617,3938.46320418442
2026-01-31 07:00:00+00:00,3069.3813675,3377.565,3011.941175210321,3743.1887231201245
2026-01-31 08:00:00+00:00,2772.80162,3930.033,3564.4091094598807,4295.656657369684
2026-01-31 09:00:00+00:00,2262.3051275,3095.8137,2730.1899330574333,3461.4374809672368
2026-01-31 10:00:00+00:00,1834.8643124999999,2561.9172,2196.2935019235474,2927.541049833351
2026-01-31 11:00:00+00:00,1504.423115,2085.5178,1719.8939855190774,2451.141533428881
2026-01-31 12:00:00+00:00,1226.08044,2408.9854,2043.361555587423,2774.6091034972264
2026-01-31 13:00:00+00:00,1076.789515,2225.5256,1859.9018113419345,2591.1493592517377
2026-01-31 14:00:00+00:00,1113.0298125000002,1260.1313,894.5076798180094,1625.7552277278128
2026-01-31 15:00:00+00:00,1244.200955,1454.4386,1088.814889752414,1820.0624376622172
2026-01-31 16:00:00+00:00,1445.1007425,2043.9961,1678.3723477723263,2409.6198956821295
2026-01-31 17:00:00+00:00,1579.9442425,2223.6343,1858.0104353410175,2589.257983250821
2026-01-31 18:00:00+00:00,1569.3140175,2559.3074,2193.6835903518213,2924.9311382616247
2026-01-31 19:00:00+00:00,1540.331105,2309.509,1943.8853540344535,2675.1329019442564
2026-01-31 20:00:00+00:00,1538.7210025,2130.877,1765.2531837400866,2496.50073164989
2026-01-31 21:00:00+00:00,1545.5597275,1933.8975,1568.2737355269164,2299.52128343672
2026-01-31 22:00:00+00:00,1498.456525,2154.4036,1788.779728867863,2520.0272767776664
2026-01-31 23:00:00+00:00,1567.49227,2273.3335,1907.7098107459715,2638.957358655775
2026-02-01 00:00:00+00:00,1530.3105225,1924.2625,1558.6386529297024,2289.886200839506
2026-02-01 01:00:00+00:00,1538.43689,1893.139,1527.5153132643973,2258.7628611742007
2026-02-01 02:00:00+00:00,1453.3859400000001,2011.8208,1646.1970390395245,2377.444586949328
2026-02-01 03:00:00+00:00,1386.0986925,2028.3969,1662.773082596751,2394.0206305065544
2026-02-01 04:00:00+00:00,1423.8372574999999,2034.98,1669.3562706616024,2400.6038185714056
2026-02-01 05:00:00+00:00,1523.246505,1878.6765,1513.0527484527015,2244.300296362505
2026-02-01 06:00:00+00:00,1553.580865,1445.6075,1079.9838871426089,1811.231435052412
2026-02-01 07:00:00+00:00,1754.440485,1530.1493,1164.5255055134114,1895.7730534232146
2026-02-01 08:00:00+00:00,1754.1933725,1411.4073,1045.7836005025852,1777.0311484123886
2026-02-01 09:00:00+00:00,1578.42975,1909.1182,1543.4944348462382,2274.7419827560416
2026-02-01 10:00:00+00:00,1341.12286,1317.3687,951.7449381583613,1682.9924860681645
2026-02-01 11:00:00+00:00,1187.0977275,763.1628,397.539011569605,1128.7865594794082
2026-02-01 12:00:00+00:00,1262.7540475,1169.2039,803.580190554838,1534.8277384646412
2026-02-01 13:00:00+00:00,1331.8939875,1116.8916,751.2678887785867,1482.5154366883899
2026-02-01 14:00:00+00:00,1606.85943,2089.1846,1723.5608491257794,2454.808397035583
2026-02-01 15:00:00+00:00,2009.5728775,2109.2883,1743.6645834674596,2474.912131377263
2026-02-01 16:00:00+00:00,2471.3395375,2624.5928,2258.9689708180545,2990.216518727858
2026-02-01 17:00:00+00:00,2698.04969,2799.5723,2433.9485550627473,3165.1961029725508
2026-02-01 18:00:00+00:00,2559.6649225,2770.0498,2404.4261198380223,3135.6736677478257
2026-02-01 19:00:00+00:00,2606.0589099999997,2522.6838,2157.060143440821,2888.3076913506243
2026-02-01 20:00:00+00:00,2892.2140074999998,3081.9683,2716.344605716988,3447.5921536267915
2026-02-01 21:00:00+00:00,3297.070125,2985.2014,2619.577762423119,3350.8253103329225
2026-02-01 22:00:00+00:00,3862.11269,3199.3708,2833.7471891457335,3564.994737055537
2026-02-01 23:00:00+00:00,4102.01198,4004.3684,3638.7446096698923,4369.992157579695
2026-02-02 00:00:00+00:00,4145.016805,3731.445,3365.821234401668,4097.068782311471
2026-02-02 01:00:00+00:00,4251.3278075,3812.9736,3447.3498212165987,4178.597369126403
2026-02-02 02:00:00+00:00,4444.5595175,3779.036,3413.412201595363,4144.6597495051665
2026-02-02 03:00:00+00:00,4483.165075,4141.935,3776.31140690502,4507.558954814823
