date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2026-01-24 00:00:00+00:00,12252.975,11945.385688675298,11433.602049292696,12459.244887980623
2026-01-24 01:00:00+00:00,12021.475,11571.331349941258,11058.998684767417,12084.093960274633
2026-01-24 02:00:00+00:00,11920.65,11521.04719270748,11008.656850878167,12034.294816249523
2026-01-24 03:00:00+00:00,11859.349999999999,11800.13772198606,11286.514461792634,12313.49344521523
2026-01-24 04:00:00+00:00,11882.75,12246.275960356546,11734.315855268467,12759.82819310004
2026-01-24 05:00:00+00:00,11954.9,12765.352776285501,12252.920523734354,13278.785934847701
2026-01-24 06:00:00+00:00,12541.625,13253.79939025996,12740.066485818981,13766.98049917698
2026-01-24 07:00:00+00:00,13344.775,13696.646209398812,13183.417718618257,14210.542250338285
2026-01-24 08:00:00+00:00,14077.6,14077.574340782341,13563.197064712147,14591.142013929228
2026-01-24 09:00:00+00:00,14448.325,14318.913564398646,13805.48208605711,14830.643287370935
2026-01-24 10:00:00+00:00,14896.8,14309.890347698445,13796.708634208064,14821.949954282882
2026-01-24 11:00:00+00:00,14721.7,14074.650251210813,13561.879850475749,14588.129816908695
2026-01-24 12:00:00+00:00,14210.175,13752.722173402068,13239.874402435551,14265.117894492054
2026-01-24 13:00:00+00:00,13837.575,13475.29917530327,12961.792296784331,13987.543141751696
2026-01-24 14:00:00+00:00,13693.45,13343.013217610212,12828.396100959822,13855.206262699874
2026-01-24 15:00:00+00:00,13948.625,13328.6328069562,12814.65575134004,13842.416849205994
2026-01-24 16:00:00+00:00,14412.175,13330.880428044764,12816.999838590775,13844.02055951125
2026-01-24 17:00:00+00:00,14546.475,13231.835986127544,12717.054451907003,13745.198216184786
2026-01-24 18:00:00+00:00,14105.55,12956.844273947361,12443.12911527426,13470.387286317577
2026-01-24 19:00:00+00:00,13500.6,12516.059592603358,12003.34194938288,13028.894941483288
2026-01-24 20:00:00+00:00,12862.05,11943.323550880452,11432.531298644419,12456.884789885788
2026-01-24 21:00:00+00:00,12508.5,11292.539048703555,10780.586082140302,11806.746540874163
2026-01-24 22:00:00+00:00,11919.975,10648.988394981596,10137.527320894116,11163.016615598708
2026-01-24 23:00:00+00:00,11425.2,10146.845112690748,9635.559441540889,10660.248478108899
2026-01-25 00:00:00+00:00,11103.725,9802.388088550117,9290.252154973743,10315.654458730121
2026-01-25 01:00:00+00:00,11018.55,9674.055470862348,9161.916262524366,10187.703709300466
2026-01-25 02:00:00+00:00,11073.35,9798.442022399484,9285.576392898352,10313.576390031503
2026-01-25 03:00:00+00:00,11099.125,10151.744053801256,9639.181681355496,10667.108754942188
2026-01-25 04:00:00+00:00,10929.0,10679.854997212398,10167.596150273663,11194.750609032428
2026-01-25 05:00:00+00:00,10864.8,11291.04427157184,10779.334979139549,11806.703703463956
2026-01-25 06:00:00+00:00,11336.025,11916.93036926281,11404.577576338548,12432.15929700535
2026-01-25 07:00:00+00:00,12146.275,12507.080019031087,11993.143892941696,13021.312777859432
2026-01-25 08:00:00+00:00,12946.225,12989.587530679295,12476.725989875633,13504.368837775275
2026-01-25 09:00:00+00:00,13558.575,13327.119845187848,12812.658366409589,13840.667798704859
2026-01-25 10:00:00+00:00,14224.95,13524.77957159761,13010.508960408173,14038.363352675882
2026-01-25 11:00:00+00:00,13988.65,13598.852870482346,13084.101273759996,14111.524490516775
2026-01-25 12:00:00+00:00,13649.0,13628.842973227154,13113.97623964021,14141.853427250551
2026-01-25 13:00:00+00:00,13439.875,13632.618103793382,13118.436235287865,14145.530628120088
2026-01-25 14:00:00+00:00,13465.8,13647.653161366392,13132.695805029225,14160.715496536654
2026-01-25 15:00:00+00:00,13705.375,13660.789742874305,13147.467755626722,14173.992163313294
2026-01-25 16:00:00+00:00,14347.275,13622.198306999315,13109.221597970389,14134.765003937926
2026-01-25 17:00:00+00:00,14398.725,13454.25227685745,12941.078454654167,13967.1607588545
2026-01-25 18:00:00+00:00,14089.2,13141.971148785622,12629.02620834841,13656.48347019837
2026-01-25 19:00:00+00:00,13561.7,12701.899305197861,12187.952808966891,13215.74130641531
2026-01-25 20:00:00+00:00,13086.25,12179.592897801844,11665.891010279198,12693.152541834233
2026-01-25 21:00:00+00:00,12874.45,11633.471890263574,11120.237604634212,12147.650884915298
2026-01-25 22:00:00+00:00,12455.975,11139.348032730462,10626.468753656816,11654.29791913238
2026-01-25 23:00:00+00:00,12062.75,10779.594092249223,10266.50652510579,11295.441441843552
2026-01-26 00:00:00+00:00,11661.075,10736.980214749716,10225.868926656845,11250.995898872987
2026-01-26 01:00:00+00:00,11579.8,10963.262559229044,10451.51529476901,11477.416617388808
2026-01-26 02:00:00+00:00,11854.075,11381.378272539045,10867.872338006833,11894.6904378092
2026-01-26 03:00:00+00:00,12094.475,11932.40549504248,11419.429975109222,12446.247982232228
2026-01-26 04:00:00+00:00,12640.575,12562.36858826788,12049.093249493506,13076.382743762468
2026-01-26 05:00:00+00:00,14042.75,13221.70350659237,12708.936530987781,13736.109938687174
2026-01-26 06:00:00+00:00,15003.975,13882.191330879765,13369.157718396502,14395.797182529333
2026-01-26 07:00:00+00:00,15617.7,14503.39670309989,13989.857971976573,15017.414727103776
2026-01-26 08:00:00+00:00,16108.525,15043.614977585186,14530.03438522321,15557.429961790362
2026-01-26 09:00:00+00:00,16444.5,15475.460091557527,14960.678557336983,15988.490497834084
2026-01-26 10:00:00+00:00,16599.9,15788.479515876894,15273.76633433163,16300.773143162947
2026-01-26 11:00:00+00:00,16619.175,15977.621558485014,15462.74194934147,16489.8096053906
2026-01-26 12:00:00+00:00,16417.55,16039.503876967057,15525.325969485682,16551.961913734813
2026-01-26 13:00:00+00:00,16020.55,16009.535595786214,15494.074711995781,16521.17801049057
2026-01-26 14:00:00+00:00,15620.725,15918.576043318633,15403.735032435425,16430.982048782862
2026-01-26 15:00:00+00:00,15648.0,15780.212780060869,15265.423267850589,16292.376545016445
2026-01-26 16:00:00+00:00,15980.275000000001,15568.965493154548,15056.98944432551,16081.758234814695
2026-01-26 17:00:00+00:00,15996.25,15256.429780169776,14744.663961404469,15770.031994892015
2026-01-26 18:00:00+00:00,15738.325,14833.94611713912,14321.919392776785,15346.556875039896
2026-01-26 19:00:00+00:00,14957.475,14340.560555853546,13829.012656838913,14853.656711529044
2026-01-26 20:00:00+00:00,14091.125,13799.563978920109,13287.409500939382,14312.830599425422
2026-01-26 21:00:00+00:00,13528.2,13251.133522528704,12738.755007467493,13764.231600520556
2026-01-26 22:00:00+00:00,12807.625,12753.009044935043,12240.49231673118,13265.934972440344
2026-01-26 23:00:00+00:00,12276.625,12371.109853954998,11858.809363361388,12884.281518264328
2026-01-27 00:00:00+00:00,11888.05,12086.407545809665,11574.12633386852,12600.666335663946
2026-01-27 01:00:00+00:00,11607.95,11964.23951994247,11452.013938374923,12477.440824395344
2026-01-27 02:00:00+00:00,12044.2,12061.952846457725,11549.975890739363,12575.880492215823
2026-01-27 03:00:00+00:00,12291.25,12379.7402825038,11867.671729335596,12892.687734337807
2026-01-27 04:00:00+00:00,12791.65,12808.930439526868,12297.785448371971,13323.095912312723
2026-01-27 05:00:00+00:00,14236.15,13300.770306698138,12790.406050757976,13816.292871588077
2026-01-27 06:00:00+00:00,15165.1,13835.733221194803,13323.814354242051,14348.62014293241
2026-01-27 07:00:00+00:00,15522.375,14364.313328231226,13852.23084288574,14878.211315765955
2026-01-27 08:00:00+00:00,15945.275,14792.110542087757,14279.945311795842,15305.387967505005
2026-01-27 09:00:00+00:00,16221.2,15084.350382119897,14571.600005078559,15597.175347961344
2026-01-27 10:00:00+00:00,16187.825,15209.884384228946,14696.127913590688,15722.255242319072
2026-01-27 11:00:00+00:00,16057.1,15206.253821523998,14693.307424863595,15718.934219504165
2026-01-27 12:00:00+00:00,15730.7,15156.297896981552,14642.899035437411,15667.787876491573
2026-01-27 13:00:00+00:00,15527.8,15124.698453894203,14611.02732252331,15635.852279560622
2026-01-27 14:00:00+00:00,15369.525000000001,15153.428361319939,14639.480969335724,15664.803102618009
2026-01-27 15:00:00+00:00,15430.575,15200.9339060753,14688.781792027372,15714.885072335877
2026-01-27 16:00:00+00:00,15985.1,15211.3973459973,14700.634316828775,15725.557366279088
2026-01-27 17:00:00+00:00,15993.9,15087.810918472274,14576.386607972689,15601.64224077733
2026-01-27 18:00:00+00:00,15634.825,14791.055833162703,14277.842730953056,15304.105706917688
2026-01-27 19:00:00+00:00,14853.275,14339.924093571186,13828.029104535839,14853.997583479744
2026-01-27 20:00:00+00:00,13863.375,13803.684617582474,13291.630804923494,14317.56408625804
2026-01-27 21:00:00+00:00,13222.825,13231.897813892116,12720.143984836368,13746.09306454175
2026-01-27 22:00:00+00:00,12590.375,12708.98767655969,12197.713759201119,13223.146240683789
2026-01-27 23:00:00+00:00,11992.3,12328.157742214009,11817.282708360211,12842.443909674035
2026-01-28 00:00:00+00:00,11613.825,12089.477112474304,11578.29117649134,12604.259655435244
2026-01-28 01:00:00+00:00,11440.725,12069.263070386547,11558.043304975003,12584.009309001849
2026-01-28 02:00:00+00:00,11599.05,12280.663108240631,11768.719291037685,12794.592691997414
2026-01-28 03:00:00+00:00,11988.8,12677.404599645315,12165.439928761856,13191.198188790564
2026-01-28 04:00:00+00:00,12734.75,13199.572803802877,12687.233897757482,13713.558266929367
2026-01-28 05:00:00+00:00,14067.775,13782.859571703651,13271.288102160612,14297.032810529523
2026-01-28 06:00:00+00:00,15111.95,14345.914112880027,13834.56904496899,14859.884974814993
2026-01-28 07:00:00+00:00,15553.375,14879.473173428172,14367.252111517411,15392.670242825108
2026-01-28 08:00:00+00:00,15812.75,15346.967449067335,14834.4798541869,15860.332690360683
2026-01-28 09:00:00+00:00,15996.275,15697.305384696974,15183.619632321948,16211.219182972818
2026-01-28 10:00:00+00:00,16059.65,15896.154386342918,15381.323183463179,16409.826161392484
2026-01-28 11:00:00+00:00,15822.7,15965.939747908209,15451.242183856684,16478.835932527603
2026-01-28 12:00:00+00:00,15637.525,15958.240372755316,15444.032121290613,16471.711564669364
2026-01-28 13:00:00+00:00,15605.275,15909.663752901926,15395.230289879371,16423.003019279342
2026-01-28 14:00:00+00:00,15608.725,15846.317571170453,15332.485595822938,16358.802084459556
2026-01-28 15:00:00+00:00,15585.575,15760.296966013986,15247.16355525519,16272.801988175328
2026-01-28 16:00:00+00:00,15991.475,15639.18001214452,15127.842795068951,16152.480277332063
2026-01-28 17:00:00+00:00,15956.65,15419.720543332089,14907.596052950285,15933.795465182546
2026-01-28 18:00:00+00:00,15649.625,15071.757521247488,14560.413223149113,15584.982021351489
