date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2026-02-28 00:00:00+00:00,,16386.41003166796,15819.447534044093,16953.372529291828
2026-02-28 01:00:00+00:00,,16095.989141512448,15529.02664388858,16662.951639136314
2026-02-28 02:00:00+00:00,,16131.737602214473,15564.775104590606,16698.70009983834
2026-02-28 03:00:00+00:00,,16382.951954080563,15815.989456456697,16949.91445170443
2026-02-28 04:00:00+00:00,,16873.391649558074,16306.429151934206,17440.35414718194
2026-02-28 05:00:00+00:00,,17494.724625912553,16927.762128288683,18061.68712353642
2026-02-28 06:00:00+00:00,,18314.214232238945,17747.251734615078,18881.17672986281
2026-02-28 07:00:00+00:00,,19584.644259785764,19017.681762161894,20151.60675740963
2026-02-28 08:00:00+00:00,,20332.523801125495,19765.56130350163,20899.48629874936
2026-02-28 09:00:00+00:00,,20680.585737621786,20113.62323999792,21247.548235245653
2026-02-28 10:00:00+00:00,,21017.970253780124,20451.007756156258,21584.93275140399
2026-02-28 11:00:00+00:00,,20681.774706986056,20114.812209362186,21248.737204609923
2026-02-28 12:00:00+00:00,,20295.4754592826,19728.51296165873,20862.437956906466
2026-02-28 13:00:00+00:00,,19998.084065783725,19431.12156815986,20565.046563407595
2026-02-28 14:00:00+00:00,,19718.035793478386,19151.073295854516,20284.998291102253
2026-02-28 15:00:00+00:00,,19762.27862236711,19195.316124743244,20329.241119990977
2026-02-28 16:00:00+00:00,,20051.313430264476,19484.35093264061,20618.275927888342
2026-02-28 17:00:00+00:00,,20216.91722520632,19649.954727582455,20783.87972283019
2026-02-28 18:00:00+00:00,,19622.761504332335,19055.79900670847,20189.7240019562
2026-02-28 19:00:00+00:00,,18717.24422720942,18150.28172958555,19284.206724833286
2026-02-28 20:00:00+00:00,,17778.5033086926,17211.540811068735,18345.46580631647
2026-02-28 21:00:00+00:00,,16813.433304625967,16246.470807002099,17380.395802249834
2026-02-28 22:00:00+00:00,,15737.509930887747,15170.547433263879,16304.472428511614
2026-02-28 23:00:00+00:00,,15049.703104533186,14482.74060690932,15616.665602157054
2026-03-01 00:00:00+00:00,,14800.101721334064,14233.139223710195,15367.06421895793
2026-03-01 01:00:00+00:00,,14647.766064863486,14080.803567239618,15214.728562487353
2026-03-01 02:00:00+00:00,,14500.917672617272,13933.955174993403,15067.88017024114
2026-03-01 03:00:00+00:00,,14727.822289946682,14160.859792322815,15294.784787570548
2026-03-01 04:00:00+00:00,,15036.257800939396,14469.29530331553,15603.220298563265
2026-03-01 05:00:00+00:00,,15803.224758463357,15236.26226083949,16370.187256087225
2026-03-01 06:00:00+00:00,,16879.699924808578,16312.73742718471,17446.662422432444
2026-03-01 07:00:00+00:00,,17844.798816114573,17277.836318490703,18411.76131373844
2026-03-01 08:00:00+00:00,,19102.245891007187,18535.28339338332,19669.208388631054
2026-03-01 09:00:00+00:00,,19544.200653549437,18977.23815592557,20111.163151173303
2026-03-01 10:00:00+00:00,,19651.375342226827,19084.41284460296,20218.337839850694
2026-03-01 11:00:00+00:00,,19407.208770656634,18840.246273032768,19974.1712682805
2026-03-01 12:00:00+00:00,,18950.65311213551,18383.69061451164,19517.615609759378
2026-03-01 13:00:00+00:00,,18675.367216470117,18108.40471884625,19242.329714093987
2026-03-01 14:00:00+00:00,,18402.118215896266,17835.1557182724,18969.080713520136
2026-03-01 15:00:00+00:00,,18465.88189396095,17898.91939633708,19032.844391584815
2026-03-01 16:00:00+00:00,,18984.24023327343,18417.277735649564,19551.202730897297
2026-03-01 17:00:00+00:00,,19440.809478079715,18873.846980455848,20007.77197570358
2026-03-01 18:00:00+00:00,,19175.595143185263,18608.632645561396,19742.55764080913
2026-03-01 19:00:00+00:00,,18471.388659809007,17904.42616218514,19038.351157432873
2026-03-01 20:00:00+00:00,,17774.340815280666,17207.3783176568,18341.303312904533
2026-03-01 21:00:00+00:00,,16896.20913650915,16329.246638885284,17463.171634133018
2026-03-01 22:00:00+00:00,,15938.493999722292,15371.531502098425,16505.45649734616
2026-03-01 23:00:00+00:00,,15220.304921319224,14653.342423695358,15787.26741894309
2026-03-02 00:00:00+00:00,,15283.461743750067,14716.499246126199,15850.424241373934
2026-03-02 01:00:00+00:00,,15458.182255429927,14891.21975780606,16025.144753053795
2026-03-02 02:00:00+00:00,,15817.865446860584,15250.902949236715,16384.827944484452
2026-03-02 03:00:00+00:00,,16701.838588263934,16134.876090640068,17268.801085887804
2026-03-02 04:00:00+00:00,,19113.17624109292,18546.213743469052,19680.138738716785
2026-03-02 05:00:00+00:00,,21067.883561397717,20500.92106377385,21634.846059021584
2026-03-02 06:00:00+00:00,,22610.16548834693,22043.20299072306,23177.127985970797
2026-03-02 07:00:00+00:00,,23374.99628562017,22808.033787996304,23941.958783244037
2026-03-02 08:00:00+00:00,,23466.866672462333,22899.904174838462,24033.8291700862
2026-03-02 09:00:00+00:00,,23495.595670613206,22928.63317298934,24062.558168237072
2026-03-02 10:00:00+00:00,,23210.64364361767,22643.681145993804,23777.606141241537
2026-03-02 11:00:00+00:00,,22781.464502446666,22214.5020048228,23348.427000070536
2026-03-02 12:00:00+00:00,,22250.01095364786,21683.048456023993,22816.973451271726
2026-03-02 13:00:00+00:00,,21759.434831926123,21192.472334302256,22326.39732954999
2026-03-02 14:00:00+00:00,,21559.71666757075,20992.754169946882,22126.679165194615
2026-03-02 15:00:00+00:00,,21705.48807009893,21138.525572475064,22272.4505677228
2026-03-02 16:00:00+00:00,,21998.167150900983,21431.204653277116,22565.12964852485
