date,wind_onshore_50hz_actual,wind_onshore_50hz_fitted,wind_onshore_50hz_lower,wind_onshore_50hz_upper
2026-01-24 00:00:00+00:00,3710.34,3725.576921054406,2626.519294337296,4824.634547771516
2026-01-24 01:00:00+00:00,3372.12,3112.1164379768265,2013.0588112597168,4211.174064693936
2026-01-24 02:00:00+00:00,2900.105,2620.4869808501016,1521.4293541329916,3719.544607567211
2026-01-24 03:00:00+00:00,2614.755,2575.6138661306204,1476.5562394135109,3674.6714928477304
2026-01-24 04:00:00+00:00,2550.9825,2294.167753154512,1195.110126437402,3393.2253798716215
2026-01-24 05:00:00+00:00,2382.815,2095.9330835243236,996.8754568072136,3194.990710241433
2026-01-24 06:00:00+00:00,2343.13,2018.7344243757036,919.6767976585938,3117.7920510928134
2026-01-24 07:00:00+00:00,2235.34,2205.4163721021787,1106.3587453850691,3304.4739988192887
2026-01-24 08:00:00+00:00,2198.13,2329.625871068598,1230.5682443514875,3428.6834977857075
2026-01-24 09:00:00+00:00,2126.3625,2605.5375697217087,1506.4799430045991,3704.5951964388187
2026-01-24 10:00:00+00:00,2109.0725,2458.8329182744083,1359.7752915572978,3557.890544991518
2026-01-24 11:00:00+00:00,2054.9849999999997,2246.2912415438705,1147.233614826761,3345.3488682609805
2026-01-24 12:00:00+00:00,2182.89,2423.189917798034,1324.1322910809245,3522.247544515144
2026-01-24 13:00:00+00:00,2224.1425,2220.7185200461345,1121.660893329025,3319.7761467632445
2026-01-24 14:00:00+00:00,2228.9700000000003,2180.438302595133,1081.3806758780229,3279.4959293122424
2026-01-24 15:00:00+00:00,2413.7575,2402.671602516889,1303.6139757997794,3501.729229233999
2026-01-24 16:00:00+00:00,2660.6475,2171.0668731494998,1072.0092464323898,3270.1244998666093
2026-01-24 17:00:00+00:00,2861.4849999999997,2328.4026820837853,1229.3450553666753,3427.460308800895
2026-01-24 18:00:00+00:00,2919.705,2584.573009453169,1485.5153827360596,3683.630636170279
2026-01-24 19:00:00+00:00,2648.0425,2270.7320444989705,1171.6744177818605,3369.78967121608
2026-01-24 20:00:00+00:00,2411.0475,2063.82280472363,964.7651780065203,3162.88043144074
2026-01-24 21:00:00+00:00,2398.6949999999997,1895.421863939761,796.3642372226509,2994.4794906568704
2026-01-24 22:00:00+00:00,2566.3075,1828.0576802107655,729.0000534936557,2927.1153069278753
2026-01-24 23:00:00+00:00,2517.3075,1708.0746717149646,609.0170449978546,2807.132298432074
2026-01-25 00:00:00+00:00,2539.15,1988.7338463140911,889.6762195969814,3087.791473031201
2026-01-25 01:00:00+00:00,2739.6499999999996,2239.089826330606,1140.0321996134958,3338.1474530477158
2026-01-25 02:00:00+00:00,2867.205,2714.4185083175034,1615.360881600394,3813.4761350346134
2026-01-25 03:00:00+00:00,2812.695,2645.330146509705,1546.2725197925952,3744.3877732268147
2026-01-25 04:00:00+00:00,2809.3125,2483.7543116143415,1384.6966848972315,3582.811938331451
2026-01-25 05:00:00+00:00,2759.835,2353.7269089137944,1254.669282196685,3452.7845356309044
2026-01-25 06:00:00+00:00,2853.6949999999997,2145.263166423833,1046.205539706723,3244.3207931409424
2026-01-25 07:00:00+00:00,2807.735,2010.0362482320907,910.9786215149807,3109.0938749492007
2026-01-25 08:00:00+00:00,2597.28,2432.85607386883,1333.7984471517207,3531.91370058594
2026-01-25 09:00:00+00:00,2477.35,2416.7637650515244,1317.7061383344144,3515.821391768634
2026-01-25 10:00:00+00:00,2654.65,2262.8855009215167,1163.8278742044067,3361.9431276386267
2026-01-25 11:00:00+00:00,2944.22,2370.4683467524837,1271.4107200353737,3469.5259734695937
2026-01-25 12:00:00+00:00,3160.5,3400.847462662531,2301.789835945421,4499.905089379641
2026-01-25 13:00:00+00:00,3567.4775,3772.5802642361914,2673.5226375190814,4871.637890953301
2026-01-25 14:00:00+00:00,3829.0675,4145.267625745436,3046.209999028326,5244.325252462546
2026-01-25 15:00:00+00:00,4124.705,3791.806426848165,2692.748800131055,4890.864053565275
2026-01-25 16:00:00+00:00,4136.3225,4268.2183514488215,3169.1607247317115,5367.275978165931
2026-01-25 17:00:00+00:00,4068.52,4307.300027404365,3208.242400687255,5406.357654121475
2026-01-25 18:00:00+00:00,3964.585,3294.5388674432193,2195.4812407261097,4393.596494160329
2026-01-25 19:00:00+00:00,3627.425,3654.4762401056055,2555.418613388496,4753.533866822716
2026-01-25 20:00:00+00:00,3234.27,3312.222215523915,2213.164588806805,4411.279842241025
2026-01-25 21:00:00+00:00,2872.0,2632.715499466607,1533.6578727494975,3731.773126183717
2026-01-25 22:00:00+00:00,2803.8125,2807.4582805777454,1708.4006538606354,3906.515907294855
2026-01-25 23:00:00+00:00,2758.7525,3248.4502463883314,2149.3926196712214,4347.507873105441
2026-01-26 00:00:00+00:00,2485.41,2770.904059259935,1671.8464325428254,3869.9616859770445
2026-01-26 01:00:00+00:00,2291.805,2605.4551454487164,1506.3975187316064,3704.512772165826
2026-01-26 02:00:00+00:00,2064.0074999999997,2937.9558793626943,1838.8982526455843,4037.0135060798043
2026-01-26 03:00:00+00:00,1916.6550000000002,3324.697986002747,2225.6403592856373,4423.755612719857
2026-01-26 04:00:00+00:00,1750.685,2654.4122445733183,1555.3546178562087,3753.4698712904283
2026-01-26 05:00:00+00:00,1592.7925,2077.1413536287814,978.0837269116714,3176.198980345891
2026-01-26 06:00:00+00:00,1548.2425000000003,2083.8604341674627,984.8028074503532,3182.9180608845727
2026-01-26 07:00:00+00:00,1446.935,1433.6847233907706,334.6270966736615,2532.7423501078806
