date,solar_rte_actual,solar_rte_fitted,solar_rte_lower,solar_rte_upper
2026-02-28 00:00:00+00:00,,1.9860664615052883,-707.6842477340601,711.6563806570707
2026-02-28 01:00:00+00:00,,8.193564584754313,-701.4767496108111,717.8638787803193
2026-02-28 02:00:00+00:00,,8.669423407621707,-701.0008907879437,718.3397376031871
2026-02-28 03:00:00+00:00,,7.605799200897309,-702.0645149946677,717.2761133964627
2026-02-28 04:00:00+00:00,,7.605799200897309,-702.0645149946677,717.2761133964627
2026-02-28 05:00:00+00:00,,7.777812054849164,-701.8925021407158,717.4481262504146
2026-02-28 06:00:00+00:00,,379.829448701415,-329.8408654941504,1089.4997628969802
2026-02-28 07:00:00+00:00,,1396.812097650527,687.1417834549616,2106.4824118460924
2026-02-28 08:00:00+00:00,,4311.477888646052,3601.8075744504863,5021.148202841617
2026-02-28 09:00:00+00:00,,6735.445734309301,6025.775420113736,7445.116048504867
2026-02-28 10:00:00+00:00,,8287.326379559378,7577.6560653638135,8996.996693754943
2026-02-28 11:00:00+00:00,,9299.64252544436,8589.972211248796,10009.312839639926
2026-02-28 12:00:00+00:00,,10985.262994938701,10275.592680743135,11694.933309134263
2026-02-28 13:00:00+00:00,,10927.80152864963,10218.131214454064,11637.471842845196
2026-02-28 14:00:00+00:00,,7910.49648777255,7200.826173576984,8620.166801968115
2026-02-28 15:00:00+00:00,,5659.580501239049,4949.910187043484,6369.250815434614
2026-02-28 16:00:00+00:00,,2489.302017864593,1779.6317036690277,3198.9723320601584
2026-02-28 17:00:00+00:00,,512.8463326808037,-196.82398151476173,1222.5166468763691
2026-02-28 18:00:00+00:00,,311.9762642344458,-397.6940499611196,1021.6465784300112
2026-02-28 19:00:00+00:00,,223.99520466001468,-485.67510953555075,933.6655188555796
2026-02-28 20:00:00+00:00,,4.457656236266303,-705.2126579592991,714.1279704318317
2026-02-28 21:00:00+00:00,,4.457656236266303,-705.2126579592991,714.1279704318317
2026-02-28 22:00:00+00:00,,4.833405952960675,-704.8369082426047,714.5037201485261
2026-02-28 23:00:00+00:00,,4.833405952960675,-704.8369082426047,714.5037201485261
2026-03-01 00:00:00+00:00,,4.833405952960675,-704.8369082426047,714.5037201485261
2026-03-01 01:00:00+00:00,,9.37012670848162,-700.3001874870838,719.0404409040466
2026-03-01 02:00:00+00:00,,9.37012670848162,-700.3001874870838,719.0404409040466
2026-03-01 03:00:00+00:00,,9.37012670848162,-700.3001874870838,719.0404409040466
2026-03-01 04:00:00+00:00,,9.37012670848162,-700.3001874870838,719.0404409040466
2026-03-01 05:00:00+00:00,,9.37012670848162,-700.3001874870838,719.0404409040466
2026-03-01 06:00:00+00:00,,410.0753577662108,-299.5949564293546,1119.745671961776
2026-03-01 07:00:00+00:00,,2086.1155987307206,1376.4452845351555,2795.785912926286
2026-03-01 08:00:00+00:00,,6214.25584999845,5504.585535802884,6923.926164194015
2026-03-01 09:00:00+00:00,,9130.01719183945,8420.346877643886,9839.687506035016
2026-03-01 10:00:00+00:00,,11908.355467155896,11198.685152960332,12618.025781351462
2026-03-01 11:00:00+00:00,,13498.501600636602,12788.831286441036,14208.171914832168
2026-03-01 12:00:00+00:00,,13452.428455474168,12742.758141278602,14162.098769669734
2026-03-01 13:00:00+00:00,,11822.452400486232,11112.782086290668,12532.122714681798
2026-03-01 14:00:00+00:00,,9088.44134078416,8378.771026588594,9798.111654979726
2026-03-01 15:00:00+00:00,,6584.20880814293,5874.538493947364,7293.879122338495
2026-03-01 16:00:00+00:00,,2532.364092956598,1822.6937787610332,3242.0344071521636
2026-03-01 17:00:00+00:00,,467.3754857404888,-242.29482845507664,1177.045799936054
2026-03-01 18:00:00+00:00,,241.1396542165494,-468.5306599790156,950.8099684121148
2026-03-01 19:00:00+00:00,,184.09351223848944,-525.576801957076,893.7638264340544
2026-03-01 20:00:00+00:00,,4.457656236266303,-705.2126579592991,714.1279704318317
2026-03-01 21:00:00+00:00,,4.457656236266303,-705.2126579592991,714.1279704318317
2026-03-01 22:00:00+00:00,,4.457656236266303,-705.2126579592991,714.1279704318317
2026-03-01 23:00:00+00:00,,4.14904608384677,-705.5212681117187,713.8193602794122
2026-03-02 00:00:00+00:00,,4.457656236266303,-705.2126579592991,714.1279704318317
2026-03-02 01:00:00+00:00,,9.37012670848162,-700.3001874870838,719.0404409040466
2026-03-02 02:00:00+00:00,,9.37012670848162,-700.3001874870838,719.0404409040466
2026-03-02 03:00:00+00:00,,9.37012670848162,-700.3001874870838,719.0404409040466
2026-03-02 04:00:00+00:00,,7.700332454454383,-701.969981741111,717.3706466500194
2026-03-02 05:00:00+00:00,,63.15290737532723,-646.5174068202377,772.8232215708927
2026-03-02 06:00:00+00:00,,445.79514578128783,-263.8751684142776,1155.4654599768533
2026-03-02 07:00:00+00:00,,2013.0545420731416,1303.3842278775764,2722.724856268707
2026-03-02 08:00:00+00:00,,5725.570860411357,5015.900546215791,6435.241174606922
2026-03-02 09:00:00+00:00,,8976.835512766706,8267.16519857114,9686.505826962271
2026-03-02 10:00:00+00:00,,14631.323573318983,13921.653259123417,15340.993887514549
2026-03-02 11:00:00+00:00,,14744.63904522949,14034.968731033925,15454.309359425053
2026-03-02 12:00:00+00:00,,14776.355487808778,14066.685173613216,15486.025802004344
2026-03-02 13:00:00+00:00,,13440.995218912627,12731.324904717061,14150.665533108193
2026-03-02 14:00:00+00:00,,10508.794484795037,9799.12417059947,11218.4647989906
2026-03-02 15:00:00+00:00,,7338.003307755952,6628.332993560387,8047.673621951517
