date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2026-01-24 00:00:00+00:00,12252.975,12333.012,12110.593483548195,12555.429362648367
2026-01-24 01:00:00+00:00,12021.475,12162.203,11939.785499393094,12384.621378493264
2026-01-24 02:00:00+00:00,11920.65,12154.532,11932.114655625697,12376.950534725867
2026-01-24 03:00:00+00:00,11859.349999999999,12532.325,12309.906966611525,12754.742845711697
2026-01-24 04:00:00+00:00,11882.75,13398.17,13175.751601681286,13620.587480781458
2026-01-24 05:00:00+00:00,11954.9,14562.184,14339.765793322804,14784.601672422976
2026-01-24 06:00:00+00:00,12541.625,15547.434,15325.015133096871,15769.851012197043
2026-01-24 07:00:00+00:00,13344.775,16038.218,15815.799469195752,16260.635348295924
2026-01-24 08:00:00+00:00,14077.6,16353.988,16131.56990442217,16576.40578352234
2026-01-24 09:00:00+00:00,14448.325,16408.434,16186.015216275164,16630.851095375336
2026-01-24 10:00:00+00:00,14896.8,16321.488,16099.069850825083,16543.905729925256
2026-01-24 11:00:00+00:00,14721.7,16126.945,15904.527167554494,16349.363046654664
2026-01-24 12:00:00+00:00,14210.175,15767.421,15545.002688473887,15989.83856757406
2026-01-24 13:00:00+00:00,13837.575,15286.965,15064.546375650085,15509.382254750257
2026-01-24 14:00:00+00:00,13693.45,15022.3125,14799.89473124691,15244.730610347082
2026-01-24 15:00:00+00:00,13948.625,15163.268,14940.849605863286,15385.685484963458
2026-01-24 16:00:00+00:00,14412.175,15396.079,15173.66104196902,15618.496921069192
2026-01-24 17:00:00+00:00,14546.475,15556.665,15334.247053476745,15779.082932576915
2026-01-24 18:00:00+00:00,14105.55,15289.333,15066.915086077699,15511.750965177871
2026-01-24 19:00:00+00:00,13500.6,14586.554,14364.135260887098,14808.971139987269
2026-01-24 20:00:00+00:00,12862.05,13951.696,13729.278332308264,14174.114211408436
2026-01-24 21:00:00+00:00,12508.5,13199.908,12977.490265944683,13422.326145044855
2026-01-24 22:00:00+00:00,11919.975,12611.029,12388.611658084992,12833.447537185164
2026-01-24 23:00:00+00:00,11425.2,11961.494,11739.07638438286,12183.912263483033
2026-01-25 00:00:00+00:00,11103.725,11651.244,11428.82622550991,11873.66210461008
2026-01-25 01:00:00+00:00,11018.55,11491.993,11269.575428366283,11714.411307466455
2026-01-25 02:00:00+00:00,11073.35,11416.901,11194.483807855888,11639.31968695606
2026-01-25 03:00:00+00:00,11099.125,11511.969,11289.551030775034,11734.386909875204
2026-01-25 04:00:00+00:00,10929.0,12283.112,12060.694872011389,12505.530751111559
2026-01-25 05:00:00+00:00,10864.8,13325.092,13102.6741327908,13547.510011890972
2026-01-25 06:00:00+00:00,11336.025,14658.67,14436.251507359004,14881.087386459176
2026-01-25 07:00:00+00:00,12146.275,15296.124,15073.705738066983,15518.541617167157
2026-01-25 08:00:00+00:00,12946.225,15639.916,15417.497649175897,15862.33352827607
2026-01-25 09:00:00+00:00,13558.575,15960.444,15738.026431065045,16182.862310165217
2026-01-25 10:00:00+00:00,14224.95,16253.3,16030.881742348654,16475.717621448828
2026-01-25 11:00:00+00:00,13988.65,16163.712,15941.29335642912,16386.129235529294
2026-01-25 12:00:00+00:00,13649.0,15870.332,15647.913990140209,16092.749869240382
2026-01-25 13:00:00+00:00,13439.875,15607.314,15384.896605812166,15829.732484912336
2026-01-25 14:00:00+00:00,13465.8,15451.386,15228.967723746096,15673.803602846268
2026-01-25 15:00:00+00:00,13705.375,15606.784,15384.3666369917,15829.202516091871
2026-01-25 16:00:00+00:00,14347.275,15842.217,15619.798803032805,16064.634682132977
2026-01-25 17:00:00+00:00,14398.725,15912.898,15690.48072187301,16135.316600973183
2026-01-25 18:00:00+00:00,14089.2,15718.499,15496.081334892933,15940.917213993103
2026-01-25 19:00:00+00:00,13561.7,14873.297,14650.878416744277,15095.71429584445
2026-01-25 20:00:00+00:00,13086.25,14089.405,13866.986977308457,14311.82285640863
2026-01-25 21:00:00+00:00,12874.45,13452.822,13230.404238246667,13675.240117346837
2026-01-25 22:00:00+00:00,12455.975,12832.286,12609.868409177976,13054.704288278148
2026-01-25 23:00:00+00:00,12062.75,12150.848,11928.430064460485,12373.265943560655
2026-01-26 00:00:00+00:00,11661.075,11984.868,11762.449772137272,12207.285651237444
2026-01-26 01:00:00+00:00,11579.8,11822.9375,11600.51924906565,12045.355128165822
2026-01-26 02:00:00+00:00,11854.075,11721.856,11499.438333610171,11944.274212710343
2026-01-26 03:00:00+00:00,12094.475,12096.452,11874.03399649145,12318.869875591621
2026-01-26 04:00:00+00:00,12640.575,12775.433,12553.015037281082,12997.850916381254
2026-01-26 05:00:00+00:00,14042.75,13921.286,13698.868584917225,14143.704464017397
2026-01-26 06:00:00+00:00,15003.975,15037.905,14815.487642198961,15260.323521299131
2026-01-26 07:00:00+00:00,15617.7,15560.972,15338.553675642717,15783.38955474289
2026-01-26 08:00:00+00:00,16108.525,15934.769,15712.350465258365,16157.186344358535
2026-01-26 09:00:00+00:00,16444.5,16105.526,15883.10778393932,16327.943663039492
2026-01-26 10:00:00+00:00,16599.9,16219.881,15997.462772856854,16442.298651957026
2026-01-26 11:00:00+00:00,16619.175,16121.615,15899.197455365147,16344.033334465319
2026-01-26 12:00:00+00:00,16417.55,15928.254,15705.835715491923,16150.671594592095
2026-01-26 13:00:00+00:00,16020.55,15798.048,15575.629882299418,16020.46576139959
2026-01-26 14:00:00+00:00,15620.725,15487.226,15264.80749072984,15709.643369830012
2026-01-26 15:00:00+00:00,15648.0,15510.617,15288.19890424778,15733.03478334795
2026-01-26 16:00:00+00:00,15980.275000000001,15859.19,15636.77236237122,16081.608241471393
2026-01-26 17:00:00+00:00,15996.25,15978.474,15756.055378955807,16200.891258055979
2026-01-26 18:00:00+00:00,15738.325,15731.641,15509.222287096214,15954.058166196384
