date,load_rte_actual,load_rte_fitted,load_rte_lower,load_rte_upper
2026-02-28 00:00:00+00:00,,46675.164,46117.16298084752,47233.16287984447
2026-02-28 01:00:00+00:00,,46521.496,45963.49477184572,47079.49467084267
2026-02-28 02:00:00+00:00,,41803.105,41245.10750247426,42361.107401471214
2026-02-28 03:00:00+00:00,,41626.746,41068.74789502211,42184.747794019066
2026-02-28 04:00:00+00:00,,43024.746,42466.74487853545,43582.744777532396
2026-02-28 05:00:00+00:00,,45915.4,45357.400088422626,46473.39998741958
2026-02-28 06:00:00+00:00,,47007.63,46449.629061630934,47565.62896062789
2026-02-28 07:00:00+00:00,,48791.26,48233.26050318798,49349.26040218493
2026-02-28 08:00:00+00:00,,53097.62,52539.62165531443,53655.62155431138
2026-02-28 09:00:00+00:00,,52918.05,52360.051318128404,53476.05121712536
2026-02-28 10:00:00+00:00,,53279.54,52721.537560981385,53837.53745997834
2026-02-28 11:00:00+00:00,,54131.9,53573.89951656462,54689.89941556157
2026-02-28 12:00:00+00:00,,53978.07,53420.071664712574,54536.07156370953
2026-02-28 13:00:00+00:00,,49534.91,48976.90859343232,50092.90849242928
2026-02-28 14:00:00+00:00,,47685.254,47127.25426869841,48243.25416769536
2026-02-28 15:00:00+00:00,,47033.098,46475.097094550634,47591.09699354759
2026-02-28 16:00:00+00:00,,47439.05,46881.051292923396,47997.05119192035
2026-02-28 17:00:00+00:00,,49935.156,49377.15449966218,50493.15439865913
2026-02-28 18:00:00+00:00,,51921.266,51363.2643836943,52479.26428269125
2026-02-28 19:00:00+00:00,,48407.26,47849.26166490621,48965.26156390316
2026-02-28 20:00:00+00:00,,47402.2,46844.198180189276,47960.19807918623
2026-02-28 21:00:00+00:00,,46928.344,46370.34306105814,47486.342960055095
2026-02-28 22:00:00+00:00,,46778.312,46220.3124067921,47336.312305789055
2026-02-28 23:00:00+00:00,,45836.855,45278.853685608614,46394.85358460557
2026-03-01 00:00:00+00:00,,41863.273,41305.273772577384,42421.27367157434
2026-03-01 01:00:00+00:00,,40423.504,39865.50307170382,40981.50297070077
2026-03-01 02:00:00+00:00,,39071.99,38513.9873006035,39629.98719960045
2026-03-01 03:00:00+00:00,,37445.938,36887.93732477467,38003.93722377162
2026-03-01 04:00:00+00:00,,39363.66,38805.658726060814,39921.65862505777
2026-03-01 05:00:00+00:00,,41026.438,40468.43867455047,41584.43857354742
2026-03-01 06:00:00+00:00,,42546.754,41988.75237411275,43104.752273109705
2026-03-01 07:00:00+00:00,,43090.004,42532.005785176385,43648.00568417333
2026-03-01 08:00:00+00:00,,50617.06,50059.057271772544,51175.0571707695
2026-03-01 09:00:00+00:00,,51944.25,51386.249621925934,52502.24952092289
2026-03-01 10:00:00+00:00,,52356.14,51798.14180730157,52914.14170629851
2026-03-01 11:00:00+00:00,,50612.04,50054.03791274571,51170.03781174266
2026-03-01 12:00:00+00:00,,46200.66,45642.66095980615,46758.660858803094
2026-03-01 13:00:00+00:00,,46068.59,45510.59148936696,46626.591388363915
2026-03-01 14:00:00+00:00,,43318.938,42760.93847927007,43876.93837826703
2026-03-01 15:00:00+00:00,,41788.164,41230.16590105964,42346.165800056595
2026-03-01 16:00:00+00:00,,43042.64,42484.63941828819,43600.639317285146
2026-03-01 17:00:00+00:00,,46820.195,46262.195783947005,47378.19568294396
2026-03-01 18:00:00+00:00,,48659.332,48101.3317047575,49217.33160375444
2026-03-01 19:00:00+00:00,,47667.62,47109.62244291506,48225.622341912014
2026-03-01 20:00:00+00:00,,46292.996,45734.99450691469,46850.994405911646
2026-03-01 21:00:00+00:00,,45698.9,45140.89833171541,46256.898230712366
2026-03-01 22:00:00+00:00,,47545.79,46987.7896537224,48103.789552719354
2026-03-01 23:00:00+00:00,,46171.3,45613.301821741465,46729.30172073842
2026-03-02 00:00:00+00:00,,43460.57,42902.56985970546,44018.56975870241
2026-03-02 01:00:00+00:00,,43103.46,42545.46061788322,43661.460516880165
2026-03-02 02:00:00+00:00,,42591.953,42033.955232013366,43149.95513101032
2026-03-02 03:00:00+00:00,,42522.492,41964.49271942764,43080.49261842459
2026-03-02 04:00:00+00:00,,44705.33,44147.32879142259,45263.32869041954
2026-03-02 05:00:00+00:00,,50945.527,50387.527131530456,51503.52703052741
2026-03-02 06:00:00+00:00,,56325.55,55767.5516188594,56883.55151785635
2026-03-02 07:00:00+00:00,,60225.113,59667.11329098452,60783.11318998147
2026-03-02 08:00:00+00:00,,59808.57,59250.56844045345,60366.5683394504
2026-03-02 09:00:00+00:00,,58849.25,58291.24941033709,59407.249309334045
2026-03-02 10:00:00+00:00,,57918.902,57360.90358851082,58476.90348750777
2026-03-02 11:00:00+00:00,,54778.695,54220.69419043581,55336.69408943276
2026-03-02 12:00:00+00:00,,53261.88,52703.87960769171,53819.87950668867
2026-03-02 13:00:00+00:00,,50948.37,50390.372984958594,51506.37288395555
2026-03-02 14:00:00+00:00,,49424.223,48866.2208896554,49982.220788652354
2026-03-02 15:00:00+00:00,,49368.094,48810.09241739219,49926.09231638914
2026-03-02 16:00:00+00:00,,50059.44,49501.44266859424,50617.44256759119
2026-03-02 17:00:00+00:00,,52276.344,51718.344616387614,52834.34451538457
2026-03-02 18:00:00+00:00,,55864.066,55306.06806330326,56422.067962300214
2026-03-02 19:00:00+00:00,,54097.184,53539.18219494179,54655.18209393875
2026-03-02 20:00:00+00:00,,51132.02,50574.01891020383,51690.01880920078
2026-03-02 21:00:00+00:00,,51375.6,50817.60209227934,51933.60199127629
