date,biomass_rte_actual,gas_rte_actual,hard_coal_rte_actual,nuclear_rte_actual,oil_rte_actual,renewables_rte_actual,waste_rte_actual,biomass_rte_fitted,gas_rte_fitted,hard_coal_rte_fitted,nuclear_rte_fitted,oil_rte_fitted,renewables_rte_fitted,waste_rte_fitted,biomass_rte_lower,gas_rte_lower,hard_coal_rte_lower,nuclear_rte_lower,oil_rte_lower,renewables_rte_lower,waste_rte_lower,biomass_rte_upper,gas_rte_upper,hard_coal_rte_upper,nuclear_rte_upper,oil_rte_upper,renewables_rte_upper,waste_rte_upper
2026-01-24 12:00:00+00:00,418.67,2599.2925,286.355,51049.9525,70.4975,5956.577499999999,358.06500000000005,339.5393603961869,1958.969025201938,-9.18853038008369,50632.925408005,133.79976261841242,11706.36836327513,130.46149714718922,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2026-01-24 13:00:00+00:00,415.02750000000003,2731.0025,286.47,51041.770000000004,70.4575,5623.5225,355.795,334.4413008398257,1527.9654751817231,12.756740375658282,51111.43511560031,126.18400298435576,11807.698497786147,126.51084014252444,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2026-01-24 14:00:00+00:00,413.1325,2852.4825,283.1075,51018.92,70.6375,6771.3325,354.0075,337.19924617294646,2211.245680417614,-39.188169038217836,51574.51784502909,146.77644639433765,11279.49441227967,148.66562349360117,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2026-01-24 15:00:00+00:00,411.6775,3099.5375,286.96500000000003,51123.895,68.0725,7444.9525,355.395,330.5111810815816,2095.838541020014,-20.948602661413304,50216.040190730695,158.8094658896579,11312.473598740908,176.97589910249948,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2026-01-24 16:00:00+00:00,414.55,3742.91,286.3775,51029.25,67.0175,9399.0025,355.2925,324.60303720008505,2016.8666400554077,14.89240761216913,50571.66783431756,167.41405144693644,11630.001140144086,221.00396487153523,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2026-01-24 17:00:00+00:00,411.2925,3831.9300000000003,284.06,50833.1825,67.0,11835.855,353.8625,326.68168380504306,1748.6472741728453,3.787034490481034,50785.339140056385,199.3073410587125,11695.604022142594,284.74459121716586,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2026-01-24 18:00:00+00:00,411.165,3820.9125,289.2275,50849.255000000005,66.9925,11527.925,355.69999999999993,323.51267450325304,1912.028221902126,41.30679953486435,51336.60475554006,193.79078175698342,11783.93714740339,291.22624800270967,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2026-01-24 19:00:00+00:00,410.1975,3540.02,272.8325,50977.8,66.99,9484.3275,356.7925,328.55667584834316,1673.4281579418093,107.63399670798361,51375.522823635525,201.64417045818087,11812.811540116432,259.6815761109987,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2026-01-24 20:00:00+00:00,410.275,3031.5275,207.2725,51022.54,66.9975,7949.0825,358.1225,330.0935899396922,1730.7658271928294,60.70355567974371,51881.57468172504,190.4552762898888,11792.72926850089,198.06712279757605,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2026-01-24 21:00:00+00:00,399.8275,2760.45,190.43,51142.55,66.9975,7423.34,358.2175,338.84578349340387,1641.8279300743332,13.792876381327737,50844.545284886044,201.7282854557312,11846.210030640908,193.89648547221742,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
