date,solar_50hz_actual,solar_50hz_fitted,solar_50hz_lower,solar_50hz_upper
2026-02-28 00:00:00+00:00,,7.028761325348796,-448.2874736254971,462.34499627619493
2026-02-28 01:00:00+00:00,,7.028761325348796,-448.2874736254971,462.34499627619493
2026-02-28 02:00:00+00:00,,14.579545693755563,-440.73668925709035,469.8957806446017
2026-02-28 03:00:00+00:00,,17.12999851682821,-438.1862364340177,472.44623346767435
2026-02-28 04:00:00+00:00,,17.960315610062707,-437.3559193407832,473.27655056090885
2026-02-28 05:00:00+00:00,,13.330788667723255,-441.98544628312266,468.6470236185694
2026-02-28 06:00:00+00:00,,339.17989067514895,-116.13634427569696,794.4961256259951
2026-02-28 07:00:00+00:00,,1867.9160551074276,1412.5998201565817,2323.2322900582735
2026-02-28 08:00:00+00:00,,4075.1854511976603,3619.869216246814,4530.501686148506
2026-02-28 09:00:00+00:00,,6278.791818159198,5823.475583208352,6734.108053110043
2026-02-28 10:00:00+00:00,,8046.164420624964,7590.848185674118,8501.48065557581
2026-02-28 11:00:00+00:00,,8099.095755602864,7643.779520652019,8554.41199055371
2026-02-28 12:00:00+00:00,,7329.505079398661,6874.188844447815,7784.821314349507
2026-02-28 13:00:00+00:00,,6312.69278070291,5857.376545752064,6768.009015653755
2026-02-28 14:00:00+00:00,,4122.190995967072,3666.8747610162263,4577.507230917919
2026-02-28 15:00:00+00:00,,1998.262585286076,1542.9463503352301,2453.578820236922
2026-02-28 16:00:00+00:00,,297.535891378501,-157.78034357234492,752.8521263293469
2026-02-28 17:00:00+00:00,,40.97637642233258,-414.33985852851356,496.2926113731785
2026-02-28 18:00:00+00:00,,0.6553123716482787,-454.66092257919763,455.9715473224942
2026-02-28 19:00:00+00:00,,-12.111312250844549,-467.4275472016907,443.20492270000136
2026-02-28 20:00:00+00:00,,2.6983176877477035,-452.6179172630982,458.01455263859384
2026-02-28 21:00:00+00:00,,6.796968236365046,-448.51926671448064,462.1132031872112
2026-02-28 22:00:00+00:00,,5.273179291079487,-450.04305565976665,460.5894142419254
2026-02-28 23:00:00+00:00,,2.0658803786627686,-453.25035457218337,457.3821153295087
2026-03-01 00:00:00+00:00,,31.851523743950338,-423.4647112068956,487.1677586947965
2026-03-01 01:00:00+00:00,,31.851523743950338,-423.4647112068956,487.1677586947965
2026-03-01 02:00:00+00:00,,29.31001019584164,-426.0062247550045,484.62624514668755
2026-03-01 03:00:00+00:00,,5.988130640204872,-449.3281043106408,461.304365591051
2026-03-01 04:00:00+00:00,,9.770806324078421,-445.5454286267677,465.08704127492433
2026-03-01 05:00:00+00:00,,6.509545655629381,-448.80668929521653,461.8257806064755
2026-03-01 06:00:00+00:00,,365.2210317685865,-90.09520318225964,820.5372667194324
2026-03-01 07:00:00+00:00,,1657.3167863120802,1202.000551361234,2112.6330212629264
2026-03-01 08:00:00+00:00,,3438.943856493598,2983.627621542752,3894.260091444444
2026-03-01 09:00:00+00:00,,6132.702596326724,5677.386361375879,6588.018831277572
2026-03-01 10:00:00+00:00,,8382.47460081034,7927.158365859494,8837.790835761187
2026-03-01 11:00:00+00:00,,8642.415321963415,8187.09908701257,9097.73155691426
2026-03-01 12:00:00+00:00,,8145.4116927041705,7690.095457753323,8600.727927655014
2026-03-01 13:00:00+00:00,,6511.989248710013,6056.673013759168,6967.305483660859
2026-03-01 14:00:00+00:00,,4906.472831648867,4451.156596698021,5361.789066599713
2026-03-01 15:00:00+00:00,,1879.3894620722428,1424.073227121397,2334.7056970230888
2026-03-01 16:00:00+00:00,,251.45412026539225,-203.86211468545343,706.7703552162384
2026-03-01 17:00:00+00:00,,49.77360111035932,-405.5426338404868,505.08983606120523
2026-03-01 18:00:00+00:00,,-2.6746353754012944,-457.9908703262472,452.64159957544484
2026-03-01 19:00:00+00:00,,-3.532680159326219,-458.84891511017213,451.7835547915197
2026-03-01 20:00:00+00:00,,2708.3293542873025,2253.0131193364564,3163.645589238148
2026-03-01 21:00:00+00:00,,-2.0778083334494113,-457.39404328429555,453.2384266173965
2026-03-01 22:00:00+00:00,,6.92539721372259,-448.39083773712355,462.2416321645687
2026-03-01 23:00:00+00:00,,3.9390084957690306,-451.3772264550771,459.25524344661494
2026-03-02 00:00:00+00:00,,3.5529658611658306,-451.7632690896803,458.86920081201174
2026-03-02 01:00:00+00:00,,2911.7835288003066,2456.4672938494605,3367.0997637511528
2026-03-02 02:00:00+00:00,,15.735960958264286,-439.5802739925816,471.0521959091102
2026-03-02 03:00:00+00:00,,13.348704866240269,-441.96753008460564,468.6649398170864
2026-03-02 04:00:00+00:00,,14.179021959474767,-441.13721299137114,469.4952569103209
2026-03-02 05:00:00+00:00,,11.845005244251297,-443.47122970659484,467.16124019509743
2026-03-02 06:00:00+00:00,,540.015063191033,84.69882824018714,995.3312981418791
2026-03-02 07:00:00+00:00,,2305.4924210886115,1850.1761861377656,2760.8086560394577
2026-03-02 08:00:00+00:00,,4900.735439449903,4445.419204499058,5356.051674400749
2026-03-02 09:00:00+00:00,,6610.411669278688,6155.095434327843,7065.727904229534
2026-03-02 10:00:00+00:00,,9000.071113545282,8544.754878594436,9455.387348496128
2026-03-02 11:00:00+00:00,,8993.235566110703,8537.91933115986,9448.551801061549
2026-03-02 12:00:00+00:00,,8494.29612930885,8038.979894358003,8949.612364259696
2026-03-02 13:00:00+00:00,,6964.475841517615,6509.159606566769,7419.79207646846
2026-03-02 14:00:00+00:00,,5164.958802309995,4709.642567359149,5620.275037260841
2026-03-02 15:00:00+00:00,,2536.975319771318,2081.659084820472,2992.2915547221637
