date,wind_offshore_rte_actual,wind_offshore_rte_fitted,wind_offshore_rte_lower,wind_offshore_rte_upper
2026-01-24 00:00:00+00:00,1739.5699999999997,1725.2679254211525,1576.9047616227313,1873.6310892195738
2026-01-24 01:00:00+00:00,1741.8525,1686.7926919885153,1538.4295281900943,1835.1558557869366
2026-01-24 02:00:00+00:00,1751.145,1667.5724049849255,1519.2092411865042,1815.9355687833463
2026-01-24 03:00:00+00:00,1757.3325,1654.5861187033047,1506.2229549048836,1802.949282501726
2026-01-24 04:00:00+00:00,1758.0575,1658.091937012041,1509.7287732136197,1806.4551008104618
2026-01-24 05:00:00+00:00,1761.3399999999997,1662.0130180287715,1513.6498542303505,1810.3761818271928
2026-01-24 06:00:00+00:00,1776.0175,1686.6032445941746,1538.2400807957533,1834.9664083925954
2026-01-24 07:00:00+00:00,1763.9225000000001,1668.2754089947498,1519.9122451963287,1816.638572793171
2026-01-24 08:00:00+00:00,1757.6475,1658.452548240352,1510.0893844419306,1806.8157120387727
2026-01-24 09:00:00+00:00,1704.5749999999998,1644.1164197864,1495.7532559879792,1792.4795835848213
2026-01-24 10:00:00+00:00,1700.0675,1580.7855238305729,1432.4223600321518,1729.1486876289941
2026-01-24 11:00:00+00:00,1631.2325,1529.9443752322677,1381.5812114338466,1678.307539030689
2026-01-24 12:00:00+00:00,1438.6325,1384.9628818760275,1236.5997180776067,1533.3260456744488
2026-01-24 13:00:00+00:00,1349.665,1312.1012907618078,1163.7381269633865,1460.4644545602287
2026-01-24 14:00:00+00:00,1055.1725000000001,1145.337450641059,996.9742868426379,1293.70061443948
2026-01-24 15:00:00+00:00,1058.0925,1116.5831406457391,968.2199768473179,1264.94630444416
2026-01-24 16:00:00+00:00,1225.885,1120.2089507758328,971.8457869774118,1268.572114574254
2026-01-24 17:00:00+00:00,1229.25,1109.6847121560602,961.321548357639,1258.0478759544812
2026-01-24 18:00:00+00:00,1332.4075,1179.9432710534143,1031.580107254993,1328.306434851835
2026-01-24 19:00:00+00:00,1587.025,1298.7269606033894,1150.3637968049684,1447.0901244018105
2026-01-24 20:00:00+00:00,1405.4625,1254.8869207741468,1106.5237569757255,1403.2500845725679
2026-01-24 21:00:00+00:00,1191.5500000000002,1297.0139828431802,1148.6508190447591,1445.3771466416015
2026-01-24 22:00:00+00:00,1091.385,1337.2698834158762,1188.906719617455,1485.6330472142972
2026-01-24 23:00:00+00:00,1070.515,1316.3942549253316,1168.0310911269107,1464.7574187237528
2026-01-25 00:00:00+00:00,990.8125,1210.2173637527426,1061.8541999543213,1358.5805275511634
2026-01-25 01:00:00+00:00,1225.54,1213.5720858614704,1065.2089220630494,1361.9352496598915
2026-01-25 02:00:00+00:00,1359.37,1239.2937883833329,1090.9306245849118,1387.6569521817541
2026-01-25 03:00:00+00:00,1436.8525,1261.7535000159573,1113.3903362175363,1410.1166638143784
2026-01-25 04:00:00+00:00,1277.995,1258.8828840916597,1110.5197202932386,1407.2460478900807
2026-01-25 05:00:00+00:00,1222.645,1281.5841267402911,1133.2209629418703,1429.9472905387124
2026-01-25 06:00:00+00:00,1162.9575,1223.3683331346815,1075.0051693362607,1371.7314969331028
2026-01-25 07:00:00+00:00,1171.1399999999999,1297.5251881923018,1149.1620243938808,1445.888351990723
2026-01-25 08:00:00+00:00,847.725,1205.7019088260176,1057.3387450275968,1354.065072624439
2026-01-25 09:00:00+00:00,841.1175000000001,1178.4846524751267,1030.1214886767057,1326.8478162735478
2026-01-25 10:00:00+00:00,561.86,1064.0865043629178,915.7233405644965,1212.4496681613389
2026-01-25 11:00:00+00:00,467.80499999999995,880.5281955865082,732.165031788087,1028.8913593849293
2026-01-25 12:00:00+00:00,263.8675,764.4977708553939,616.1346070569729,912.8609346538151
2026-01-25 13:00:00+00:00,451.695,702.4131041693757,554.0499403709546,850.7762679677969
2026-01-25 14:00:00+00:00,216.125,606.2536658835633,457.89050208514215,754.6168296819844
2026-01-25 15:00:00+00:00,160.29250000000002,493.35576709960566,344.9926033011845,641.7189308980268
2026-01-25 16:00:00+00:00,138.3775,417.5663773957077,269.2032135972866,565.9295411941289
2026-01-25 17:00:00+00:00,219.01,381.9709892188855,233.6078254204644,530.3341530173066
2026-01-25 18:00:00+00:00,157.77250000000004,378.6581809552015,230.29501715678032,527.0213447536225
2026-01-25 19:00:00+00:00,213.495,443.1476324198625,294.7844686214413,591.5107962182836
2026-01-25 20:00:00+00:00,374.5725,507.43389851711214,359.07073471869097,655.7970623155333
2026-01-25 21:00:00+00:00,276.6425,478.7897682820964,330.42660448367525,627.1529320805175
2026-01-25 22:00:00+00:00,298.235,477.8796140246611,329.51645022624,626.2427778230823
2026-01-25 23:00:00+00:00,222.265,442.6041364720357,294.2409726736146,590.9673002704568
2026-01-26 00:00:00+00:00,161.35249999999996,412.3792631054123,264.0160993069912,560.7424269038335
2026-01-26 01:00:00+00:00,108.07499999999999,373.7755249663354,225.4123611679143,522.1386887647566
2026-01-26 02:00:00+00:00,158.375,353.1646010624064,204.8014372639853,501.5277648608275
2026-01-26 03:00:00+00:00,203.10249999999996,311.6880617510227,163.32489795260165,460.05122554944387
2026-01-26 04:00:00+00:00,128.4925,282.32118979206086,133.9580259936397,430.68435359048203
2026-01-26 05:00:00+00:00,90.18,258.0343674806111,109.67120368218991,406.3975312790322
2026-01-26 06:00:00+00:00,54.27999999999997,216.04360687439538,67.68044307597427,364.4067706728165
2026-01-26 07:00:00+00:00,47.315000000000055,195.76049931977087,47.39733552134976,344.123663118192
