date,hard_coal_tran_actual,oil_tran_actual,gas_tran_actual,renewables_tran_actual,biomass_tran_actual,waste_tran_actual,hard_coal_tran_fitted,oil_tran_fitted,gas_tran_fitted,renewables_tran_fitted,biomass_tran_fitted,waste_tran_fitted,hard_coal_tran_lower,oil_tran_lower,gas_tran_lower,renewables_tran_lower,biomass_tran_lower,waste_tran_lower,hard_coal_tran_upper,oil_tran_upper,gas_tran_upper,renewables_tran_upper,biomass_tran_upper,waste_tran_upper
2026-01-24 00:00:00+00:00,1754.1666,0.0,415.55442500000004,339.8633500000001,421.47114999999997,63.204585,1316.048289646145,5.810678688126567,339.8117636277949,811.1430386726045,411.5815450745686,42.245563652882204,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869
2026-01-24 01:00:00+00:00,1643.116525,0.0,416.28677500000003,337.60525000000007,417.48095,63.271555000000006,1314.1441114692188,5.810678688126567,339.80919738497863,819.5170868950277,412.7301036515534,42.245563652882204,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869
2026-01-24 02:00:00+00:00,1567.2285,0.0,416.306625,347.05665,417.432275,63.338525000000004,1318.788176217267,5.810678688126567,339.90471731965897,827.891135117451,413.91766127984073,42.245563652882204,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869
2026-01-24 03:00:00+00:00,1567.34005,0.0,416.189825,331.36957499999994,420.48650000000004,61.726275,1321.0495134296393,5.810678688126567,339.93408607965284,836.2651833398742,414.8841328846726,42.245563652882204,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869
2026-01-24 04:00:00+00:00,1569.6422,0.0,416.05809999999997,329.3012,432.498975,59.854150000000004,1321.9695423402513,5.810678688126567,339.81718114366896,844.6392315622975,415.4086365051371,42.245563652882204,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869
2026-01-24 05:00:00+00:00,1611.4128,0.0,416.01675,342.87559999999996,457.71865,58.298125,1333.2760149691671,5.810678688126567,339.76100988553225,853.0132797847208,416.5817710233941,42.245563652882204,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869
2026-01-24 06:00:00+00:00,1611.14005,0.0,415.27305,335.47872500000005,487.2389,57.049275,1355.0037915263206,5.810678688126567,339.8650836325881,861.387328007144,418.3397123663056,42.245563652882204,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869
2026-01-24 07:00:00+00:00,1717.45245,0.0,415.88374999999996,491.28937499999995,511.7744,56.859925000000004,1377.7040858763723,5.810678688126567,339.8953074629128,869.7613762295673,419.776048307007,42.245563652882204,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869
2026-01-24 08:00:00+00:00,1788.5552,0.0,415.29425000000003,694.3797500000001,506.462425,59.142925,1376.1837207328679,5.810678688126567,339.84198748395227,878.1354244519905,420.3008049943614,42.245563652882204,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869
2026-01-24 09:00:00+00:00,1649.809275,0.0,414.949975,563.4586999999999,487.04645,61.52185,1344.3814725428908,5.810678688126567,339.658076253155,886.5094726744138,419.4770219883454,42.245563652882204,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869
2026-01-24 10:00:00+00:00,1636.36515,0.0,415.099875,462.43635,463.485225,61.386425,1306.0507314529764,5.810678688126567,339.444796290916,894.8835208968371,418.26055072717554,42.245563652882204,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869
2026-01-24 11:00:00+00:00,1500.422275,0.0,415.180525,405.05049999999994,450.278825,63.30375,1270.3938778258703,5.810678688126567,339.29795253479483,903.2575691192603,417.55430991101105,42.245563652882204,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869,1168.4076301812997,5.705311073660715,337.68605856473215,911.0176164469246,412.57619673859125,42.5052443578869
