date,wind_offshore_50hz_actual,wind_offshore_50hz_fitted,wind_offshore_50hz_lower,wind_offshore_50hz_upper
2026-01-24 00:00:00+00:00,1428.0975,1242.8322,1119.6251026791315,1366.0391321283842
2026-01-24 01:00:00+00:00,1491.815,1383.9834,1260.7764078467426,1507.1904372959953
2026-01-24 02:00:00+00:00,1537.0725,1423.8342,1300.6272527642254,1547.041282213478
2026-01-24 03:00:00+00:00,1485.8200000000002,1389.1675,1265.960491810725,1512.3745212599777
2026-01-24 04:00:00+00:00,1410.305,1307.8723,1184.6653418297662,1431.079371279019
2026-01-24 05:00:00+00:00,1415.685,1298.2883,1175.0812684966754,1421.495297945928
2026-01-24 06:00:00+00:00,1411.44,1358.776,1235.5690080572667,1481.9830375065192
2026-01-24 07:00:00+00:00,1399.0349999999999,1451.612,1328.4050878681037,1574.8191173173564
2026-01-24 08:00:00+00:00,1359.7675,1453.4417,1330.23464192281,1576.6486713720624
2026-01-24 09:00:00+00:00,1207.4,1330.746,1207.538968810069,1453.9529982593217
2026-01-24 10:00:00+00:00,1015.5575,1347.3468,1224.1397758539886,1470.553805303241
2026-01-24 11:00:00+00:00,948.74,1106.7263,983.5193018691975,1229.9333313184502
2026-01-24 12:00:00+00:00,952.5325,1061.1489,937.9419003232499,1184.3559297725026
2026-01-24 13:00:00+00:00,1050.3575,1134.785,1011.5780868291231,1257.9921162783758
2026-01-24 14:00:00+00:00,1308.38,1405.8091,1282.6021114489793,1529.016140898232
2026-01-24 15:00:00+00:00,1468.435,1429.5135,1306.3065211158178,1552.7205505650704
2026-01-24 16:00:00+00:00,1581.3199999999997,1537.7311,1414.5240843317806,1660.9381137810333
2026-01-24 17:00:00+00:00,1597.1325,1489.3474,1366.1403746835845,1612.554404132837
2026-01-24 18:00:00+00:00,1487.92,1571.0181,1447.8110510743354,1694.2250805235878
2026-01-24 19:00:00+00:00,1442.8474999999999,1482.6809,1359.473959603694,1605.8879890529468
2026-01-24 20:00:00+00:00,1245.575,1227.4059,1104.1988265040625,1350.612855953315
2026-01-24 21:00:00+00:00,1011.315,1079.9401,956.7330990883509,1203.1471285376033
2026-01-24 22:00:00+00:00,920.1374999999999,940.2567,817.0496890028928,1063.4637184521455
2026-01-24 23:00:00+00:00,989.295,869.82715,746.6201183405278,993.0341477897804
2026-01-25 00:00:00+00:00,1050.0475000000001,988.81604,865.6090317969879,1112.0230612462406
2026-01-25 01:00:00+00:00,914.1800000000001,921.7396,798.5325853469581,1044.9466147962107
2026-01-25 02:00:00+00:00,954.595,911.8353,788.628297409555,1035.0423268588074
2026-01-25 03:00:00+00:00,972.6424999999999,983.1896,859.9825797439466,1106.3966091931993
2026-01-25 04:00:00+00:00,1079.5,1101.5814,978.3744194760892,1224.7884489253418
2026-01-25 05:00:00+00:00,1022.055,1135.7018,1012.4948223555853,1258.908851804838
2026-01-25 06:00:00+00:00,900.2025,1020.8044,897.5973556868366,1144.0113851360893
2026-01-25 07:00:00+00:00,874.2125,947.15906,823.9520400480201,1070.3660694972727
2026-01-25 08:00:00+00:00,868.5074999999999,672.5927,549.3856867767092,795.7997162259619
2026-01-25 09:00:00+00:00,900.29,794.09564,670.8886220863429,917.3026515355955
2026-01-25 10:00:00+00:00,983.5550000000001,1015.87244,892.6654126887829,1139.0794421380356
2026-01-25 11:00:00+00:00,1010.005,1098.4207,975.2136546238171,1221.6276840730698
2026-01-25 12:00:00+00:00,1126.0974999999999,1177.9769,1054.7699101055964,1301.183939554849
2026-01-25 13:00:00+00:00,1239.5025,1371.2872,1248.08021625215,1494.4942457014026
2026-01-25 14:00:00+00:00,1377.225,1350.7462,1227.5391617105988,1473.9531911598515
2026-01-25 15:00:00+00:00,1462.105,1468.8783,1345.671279189939,1592.0853086391917
2026-01-25 16:00:00+00:00,1676.2525,1670.392,1547.1849167977784,1793.598946247031
2026-01-25 17:00:00+00:00,1709.5425,1669.0128,1545.8057543607388,1792.2197838099912
2026-01-25 18:00:00+00:00,1723.095,1726.0198,1602.8127355856127,1849.2267650348651
2026-01-25 19:00:00+00:00,1730.43,1725.9836,1602.776598118183,1849.1906275674357
2026-01-25 20:00:00+00:00,1727.6475,1714.6718,1591.4646863292699,1837.8787157785225
2026-01-25 21:00:00+00:00,1727.9325,1706.3611,1583.1540796587265,1829.568109107979
2026-01-25 22:00:00+00:00,1728.8625,1700.9668,1577.7597413387903,1824.1737707880427
2026-01-25 23:00:00+00:00,1723.145,1742.6558,1619.4487324361025,1865.8627618853552
2026-01-26 00:00:00+00:00,1730.445,1747.6656,1624.4585731567797,1870.8726026060324
2026-01-26 01:00:00+00:00,1721.2675,1721.4642,1598.257140303429,1844.6711697526816
2026-01-26 02:00:00+00:00,1723.3925,1712.968,1589.7610448140515,1836.1750742633042
2026-01-26 03:00:00+00:00,1725.6475,1719.515,1596.3079914482962,1842.7220208975489
2026-01-26 04:00:00+00:00,1721.75,1707.3142,1584.107173773485,1830.5212032227378
2026-01-26 05:00:00+00:00,1716.485,1666.997,1543.789953358511,1790.2039828077636
2026-01-26 06:00:00+00:00,1718.5225,1720.184,1596.9769136600862,1843.3909431093389
2026-01-26 07:00:00+00:00,1716.3125,1703.8406,1580.633554482907,1827.0475839321593
2026-01-26 08:00:00+00:00,1718.9,1730.7972,1607.5902098636222,1854.004239312875
2026-01-26 09:00:00+00:00,1720.6775,1710.339,1587.1319808811622,1833.546010330415
2026-01-26 10:00:00+00:00,1722.5425,1671.0553,1547.8482793991948,1794.2623088484474
