date,solar_rte_actual,solar_rte_fitted,solar_rte_lower,solar_rte_upper
2026-01-24 00:00:00+00:00,0.0,-64.76501222358092,-2833.530390401813,2720.9529535769866
2026-01-24 01:00:00+00:00,0.0,-328.9061286743481,-3107.9827130454105,2439.828729697528
2026-01-24 02:00:00+00:00,0.0,-886.8666466916484,-3667.209633780958,1875.9414082952194
2026-01-24 03:00:00+00:00,0.0,-855.8169261918392,-3633.9110434662734,1914.3263715597127
2026-01-24 04:00:00+00:00,0.0,-645.1817827633699,-3427.066239386706,2123.2978338859575
2026-01-24 05:00:00+00:00,0.0,63.91450825853417,-2713.3430309057503,2830.008099043812
2026-01-24 06:00:00+00:00,0.0,769.7351525913368,-2008.3565125009072,3540.106433339705
2026-01-24 07:00:00+00:00,441.8249999999998,1358.7941774643355,-1423.375390451387,4125.713477746034
2026-01-24 08:00:00+00:00,1380.9825,2020.8633615713668,-756.2581400679546,4790.955881764157
2026-01-24 09:00:00+00:00,3368.1625,3569.7077898607813,796.0446129273714,6339.516437003242
2026-01-24 10:00:00+00:00,5425.915,5396.019807942475,2618.0611652004154,8181.2941558632365
2026-01-24 11:00:00+00:00,6617.76,7045.966863936745,4269.720663517159,9827.454426370241
2026-01-24 12:00:00+00:00,6890.985,7795.271954396091,5023.47210614268,10583.195960311068
2026-01-24 13:00:00+00:00,5751.5725,7079.686117104704,4307.072822164095,9862.36574700979
2026-01-24 14:00:00+00:00,3751.0499999999997,5752.011325421121,2985.7171655609595,8537.812444079296
2026-01-24 15:00:00+00:00,1862.1174999999998,3862.349716272832,1091.7486688991892,6643.0317184106825
2026-01-24 16:00:00+00:00,520.0749999999998,1416.0954518370193,-1357.4429855456965,4197.377949078391
2026-01-24 17:00:00+00:00,252.9324999999999,293.98078728502423,-2482.9082274080884,3073.975480119383
2026-01-24 18:00:00+00:00,251.0050000000001,-346.3493132242552,-3127.357013228413,2433.6411545086344
2026-01-24 19:00:00+00:00,0.0,-166.41871004892073,-2946.4076932725093,2612.0120937219963
2026-01-24 20:00:00+00:00,0.0,-191.30036953128956,-2960.7850952286863,2582.8638863148108
2026-01-24 21:00:00+00:00,0.0,-338.468192662825,-3104.5708162704086,2438.114682475387
2026-01-24 22:00:00+00:00,0.0,-292.50782973540026,-3063.382917872452,2487.2989971827774
2026-01-24 23:00:00+00:00,0.0,232.11043942230162,-2537.8186501237788,3004.4308405706847
2026-01-25 00:00:00+00:00,0.0,-1.1398037134135848,-2770.5078654160134,2777.602115732032
2026-01-25 01:00:00+00:00,0.0,29.877116166660926,-2749.9877853778507,2805.8553092915163
2026-01-25 02:00:00+00:00,0.0,-434.099441462065,-3213.2487390652723,2340.2904790896996
2026-01-25 03:00:00+00:00,0.0,-532.0641515650395,-3308.37762284406,2235.2675300377023
2026-01-25 04:00:00+00:00,0.0,-152.0842392421032,-2931.532746968216,2612.105805319615
2026-01-25 05:00:00+00:00,0.0,430.1946461385937,-2351.98782340273,3196.2777574679963
2026-01-25 06:00:00+00:00,0.0,869.1741935303953,-1911.149236389917,3631.311734818739
2026-01-25 07:00:00+00:00,487.74749999999995,1627.3366998669212,-1156.9840674466377,4389.503906355718
2026-01-25 08:00:00+00:00,1692.3075,2193.7847798325956,-586.4170784594867,4957.046795975516
2026-01-25 09:00:00+00:00,3481.595,3336.421550179133,561.8911625855653,6103.594969971255
2026-01-25 10:00:00+00:00,4943.6849999999995,4093.6929100986963,1318.4184427347163,6865.293823695662
2026-01-25 11:00:00+00:00,5845.505,4013.7334331537177,1232.3884582094308,6780.983129640942
2026-01-25 12:00:00+00:00,5951.545,4182.115686077302,1406.192860586982,6953.308461828138
2026-01-25 13:00:00+00:00,4932.91,5064.022685378634,2283.225913145061,7835.352070230203
2026-01-25 14:00:00+00:00,3297.225,4101.22290691102,1316.8032717996211,6871.281956921024
2026-01-25 15:00:00+00:00,1675.4775000000002,2563.6089450611316,-215.05144011392986,5333.945780564576
2026-01-25 16:00:00+00:00,528.4324999999999,529.0419119625903,-2242.5721212743038,3296.537272741544
2026-01-25 17:00:00+00:00,276.1350000000002,-87.8481846249665,-2859.9823335239353,2686.051350826074
2026-01-25 18:00:00+00:00,276.2449999999999,-625.8335673243246,-3395.5047180209986,2155.998648051079
2026-01-25 19:00:00+00:00,0.0,-414.3797628318198,-3188.6705100490835,2361.3100976257433
2026-01-25 20:00:00+00:00,0.0,-576.890430899914,-3350.566569532255,2194.095889225796
2026-01-25 21:00:00+00:00,0.0,-726.5560473472824,-3500.3026548950293,2046.1019020526403
2026-01-25 22:00:00+00:00,0.0,-605.7867822259909,-3377.8676593843556,2176.214954859818
2026-01-25 23:00:00+00:00,0.0,182.9186784469066,-2583.376835522554,2966.5064366953584
2026-01-26 00:00:00+00:00,0.0,292.56366753126395,-2474.037524643002,3078.6779260008175
2026-01-26 01:00:00+00:00,0.0,-202.04883283891377,-2981.066753069571,2564.958919146374
2026-01-26 02:00:00+00:00,0.0,-420.3225533890186,-3201.124654588555,2349.845649773126
2026-01-26 03:00:00+00:00,0.0,-525.9141504164327,-3306.755634090541,2246.233010030457
2026-01-26 04:00:00+00:00,0.0,-415.2635110837359,-3195.0194456122144,2355.490475710521
2026-01-26 05:00:00+00:00,0.0,358.5304247648028,-2423.566655510336,3135.0852629641536
2026-01-26 06:00:00+00:00,0.0,1063.8348746337153,-1715.813153810821,3836.930905741849
2026-01-26 07:00:00+00:00,515.415,1519.0507960866594,-1258.9274894220944,4289.141151490021
2026-01-26 08:00:00+00:00,1956.145,2118.918110681112,-659.5465423111377,4889.992625104336
