date,wind_onshore_rte_actual,wind_onshore_rte_fitted,wind_onshore_rte_lower,wind_onshore_rte_upper
2026-01-24 00:00:00+00:00,9248.9925,4936.570399089488,1554.8512422390695,8323.616560804603
2026-01-24 01:00:00+00:00,9054.4575,5679.47511862231,2292.4732093770467,9061.399292116988
2026-01-24 02:00:00+00:00,8453.6725,5689.913778115539,2301.742133923137,9074.836205678992
2026-01-24 03:00:00+00:00,7822.18,5112.52259300734,1723.9351063076665,8500.10601866839
2026-01-24 04:00:00+00:00,7401.5425,4613.990590138035,1231.7645430895568,7995.147172266285
2026-01-24 05:00:00+00:00,7361.8025,4546.478983044299,1168.057824237474,7929.531619273885
2026-01-24 06:00:00+00:00,7242.1475,4571.522443274801,1191.4947329604593,7956.338727919543
2026-01-24 07:00:00+00:00,7080.15,4435.651297669307,1053.6601917405692,7825.712295648138
2026-01-24 08:00:00+00:00,6642.0225,4469.024295846525,1080.069948960751,7855.670397083233
2026-01-24 09:00:00+00:00,6179.6,4519.164676631173,1132.2205329056023,7905.447036573842
2026-01-24 10:00:00+00:00,5755.7675,4331.137188460728,953.448516611912,7727.462403294963
2026-01-24 11:00:00+00:00,5502.2225,3727.9169866506445,341.6545146753415,7114.274012849642
2026-01-24 12:00:00+00:00,5653.665,3530.87233770305,146.11189475003266,6915.846900729841
2026-01-24 13:00:00+00:00,5814.6625,3523.5445601396386,143.83472837643876,6914.22028923031
2026-01-24 14:00:00+00:00,5457.4575,4073.637851401847,689.4448186487953,7454.7630938916955
2026-01-24 15:00:00+00:00,5534.4775,5147.846908989065,1762.7381653368975,8530.367790119039
2026-01-24 16:00:00+00:00,6290.9025,5335.9437431354,1941.7268783855889,8715.366185229417
2026-01-24 17:00:00+00:00,7474.08,6481.902628005173,3091.387053331605,9867.08613048504
2026-01-24 18:00:00+00:00,7984.18,6346.7550054783715,2968.079869993615,9737.077190796372
2026-01-24 19:00:00+00:00,8008.5225,6734.20598378781,3343.2125369225973,10117.639069235209
2026-01-24 20:00:00+00:00,7399.6975,6469.264640749433,3078.6391880918536,9853.20675175454
2026-01-24 21:00:00+00:00,6893.0675,6219.382184478065,2825.7697803201054,9609.966939866254
2026-01-24 22:00:00+00:00,6574.422500000001,6719.6492997166915,3326.0438845122585,10101.724367118171
2026-01-24 23:00:00+00:00,6230.6075,5974.977449473115,2592.6674533392634,9359.225794629085
2026-01-25 00:00:00+00:00,5839.16,5286.62385263173,1895.0496371361069,8667.51110787353
2026-01-25 01:00:00+00:00,5578.1224999999995,5057.741384056267,1668.0376021819984,8441.867888370887
2026-01-25 02:00:00+00:00,5523.1925,5212.680563675124,1826.5850420577126,8590.694498397528
2026-01-25 03:00:00+00:00,5647.59,5000.841484526742,1615.0221235671738,8380.002955760807
2026-01-25 04:00:00+00:00,5954.0575,4670.53228946724,1280.9346421503492,8049.5459280112345
2026-01-25 05:00:00+00:00,6186.555,4353.618258992828,964.1390673763212,7732.109074043859
2026-01-25 06:00:00+00:00,6184.5725,4128.980165128576,747.1809798907188,7511.290436230534
2026-01-25 07:00:00+00:00,6431.6125,3935.3279565977828,549.0233910708221,7315.730470905013
2026-01-25 08:00:00+00:00,6351.76,4810.618857217073,1425.2375301574752,8192.01345492106
2026-01-25 09:00:00+00:00,6310.9875,4694.716647531056,1300.73672432912,8080.559755303653
2026-01-25 10:00:00+00:00,5732.5475,5983.392256837946,2599.982064997114,9366.472367331367
2026-01-25 11:00:00+00:00,5466.9275,4641.451187520965,1254.5403079507687,8036.648150521122
2026-01-25 12:00:00+00:00,5077.8,3932.0801251186126,541.4186822578586,7322.691069959674
2026-01-25 13:00:00+00:00,4737.275,4804.726759633328,1416.2347635549904,8181.832025404011
2026-01-25 14:00:00+00:00,4511.5975,4541.503565496602,1148.8256545770364,7919.9752797402
2026-01-25 15:00:00+00:00,4290.5675,5400.477250789601,2013.6252585936072,8774.879588594029
2026-01-25 16:00:00+00:00,3858.2799999999997,5718.943224670411,2327.7092034879165,9091.706926695862
2026-01-25 17:00:00+00:00,3856.2875,5634.041054586745,2246.6342784791595,9015.469819001639
2026-01-25 18:00:00+00:00,3566.79,5329.814777160644,1944.764378989386,8713.096801400752
2026-01-25 19:00:00+00:00,3072.2325,5971.173650254976,2582.841713351795,9345.806752245113
2026-01-25 20:00:00+00:00,2928.2375,5341.403573809874,1947.693603709382,8731.555911385003
2026-01-25 21:00:00+00:00,2736.5225,4629.813439356056,1242.302745571651,8019.192286012107
2026-01-25 22:00:00+00:00,2737.6825,4690.104507716238,1298.3048560556254,8074.422757974824
2026-01-25 23:00:00+00:00,2699.7799999999997,4989.795611126688,1595.1338722204596,8373.422571432866
2026-01-26 00:00:00+00:00,2578.675,4978.471744024188,1603.637139444958,8365.435505945548
2026-01-26 01:00:00+00:00,2535.6150000000002,3099.301655231625,-281.49740388714145,6484.543774157013
2026-01-26 02:00:00+00:00,2545.1075,1836.6141931059674,-1550.7766797830627,5228.323301987691
2026-01-26 03:00:00+00:00,2569.285,2255.044079957736,-1133.1378765680047,5640.4965040541165
2026-01-26 04:00:00+00:00,2477.1225,4864.287857188176,1476.848934346946,8246.0059093657
2026-01-26 05:00:00+00:00,2416.2025,4975.74173965431,1587.734542131146,8358.884167294309
2026-01-26 06:00:00+00:00,2366.055,4108.889269091501,717.3235301063282,7498.148151442079
2026-01-26 07:00:00+00:00,2254.91,3312.383510768177,-73.06688013320945,6701.232603558478
2026-01-26 08:00:00+00:00,2185.65,3241.889884356694,-143.6902637463727,6633.2501174694125
