date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2026-02-28 00:00:00+00:00,,16071.490672245936,15253.452276565069,16889.529067926804
2026-02-28 01:00:00+00:00,,15577.896629902885,14759.858234222018,16395.935025583753
2026-02-28 02:00:00+00:00,,15642.113124604664,14824.074728923797,16460.15152028553
2026-02-28 03:00:00+00:00,,16017.292375015459,15199.253979334591,16835.330770696324
2026-02-28 04:00:00+00:00,,16250.719431632813,15432.681035951944,17068.75782731368
2026-02-28 05:00:00+00:00,,16782.39737990481,15964.358984223943,17600.435775585676
2026-02-28 06:00:00+00:00,,18289.19227550767,17471.1538798268,19107.230671188536
2026-02-28 07:00:00+00:00,,19446.798600191258,18628.76020451039,20264.836995872123
2026-02-28 08:00:00+00:00,,20170.318813866106,19352.280418185237,20988.35720954697
2026-02-28 09:00:00+00:00,,20616.986539280035,19798.948143599166,21435.0249349609
2026-02-28 10:00:00+00:00,,21297.615483303493,20479.577087622627,22115.65387898436
2026-02-28 11:00:00+00:00,,20783.06838474579,19965.029989064922,21601.106780426657
2026-02-28 12:00:00+00:00,,20575.43503048967,19757.396634808803,21393.473426170538
2026-02-28 13:00:00+00:00,,20237.907615543176,19419.869219862307,21055.94601122404
2026-02-28 14:00:00+00:00,,20319.553439312538,19501.515043631673,21137.591834993407
2026-02-28 15:00:00+00:00,,20226.46187076887,19408.423475088006,21044.500266449737
2026-02-28 16:00:00+00:00,,20055.685636051687,19237.64724037082,20873.724031732552
2026-02-28 17:00:00+00:00,,20569.409206025794,19751.370810344928,21387.447601706663
2026-02-28 18:00:00+00:00,,19343.33733881202,18525.29894313115,20161.375734492885
2026-02-28 19:00:00+00:00,,18941.809600896817,18123.771205215948,19759.847996577682
2026-02-28 20:00:00+00:00,,18050.75466425137,17232.716268570504,18868.79305993224
2026-02-28 21:00:00+00:00,,16878.217848444212,16060.179452763343,17696.256244125078
2026-02-28 22:00:00+00:00,,15906.085292568283,15088.046896887416,16724.12368824915
2026-02-28 23:00:00+00:00,,15252.156192559336,14434.117796878469,16070.194588240203
2026-03-01 00:00:00+00:00,,14745.225152506126,13927.186756825256,15563.263548186991
2026-03-01 01:00:00+00:00,,15155.217624980016,14337.179229299149,15973.256020660883
2026-03-01 02:00:00+00:00,,15135.509730810172,14317.471335129303,15953.548126491038
2026-03-01 03:00:00+00:00,,14954.779192480613,14136.740796799746,15772.81758816148
2026-03-01 04:00:00+00:00,,15248.269207177,14430.23081149613,16066.307602857865
2026-03-01 05:00:00+00:00,,15659.552618976628,14841.51422329576,16477.591014657493
2026-03-01 06:00:00+00:00,,16239.709749858888,15421.671354178021,17057.748145539754
2026-03-01 07:00:00+00:00,,17575.111064984645,16757.072669303776,18393.14946066551
2026-03-01 08:00:00+00:00,,19042.57962669281,18224.541231011943,19860.618022373674
2026-03-01 09:00:00+00:00,,19491.611124678642,18673.572728997777,20309.64952035951
2026-03-01 10:00:00+00:00,,19751.188651343735,18933.15025566287,20569.227047024604
2026-03-01 11:00:00+00:00,,19918.781517729883,19100.743122049014,20736.81991341075
2026-03-01 12:00:00+00:00,,19311.22819115822,18493.189795477352,20129.266586839087
2026-03-01 13:00:00+00:00,,19193.101398627863,18375.063002946998,20011.139794308732
2026-03-01 14:00:00+00:00,,18281.808455670325,17463.77005998946,19099.846851351194
2026-03-01 15:00:00+00:00,,18248.042918924984,17430.004523244115,19066.08131460585
2026-03-01 16:00:00+00:00,,19282.20496611586,18464.166570434994,20100.243361796725
2026-03-01 17:00:00+00:00,,19108.85342746233,18290.815031781465,19926.8918231432
2026-03-01 18:00:00+00:00,,18567.78545464969,17749.747058968824,19385.82385033056
2026-03-01 19:00:00+00:00,,18018.733399640958,17200.695003960092,18836.771795321827
2026-03-01 20:00:00+00:00,,17294.287371413713,16476.248975732844,18112.32576709458
2026-03-01 21:00:00+00:00,,16602.58323796461,15784.544842283742,17420.621633645475
2026-03-01 22:00:00+00:00,,15617.435069320261,14799.396673639394,16435.473465001127
2026-03-01 23:00:00+00:00,,15011.460632171938,14193.422236491071,15829.499027852806
2026-03-02 00:00:00+00:00,,15139.005956677283,14320.967560996416,15957.04435235815
