date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2026-01-24 00:00:00+00:00,18500.8838175,18343.057199577164,17641.02891853164,19045.085480622693
2026-01-24 01:00:00+00:00,17915.7650025,18013.901679498245,17311.873398452717,18715.92996054377
2026-01-24 02:00:00+00:00,17901.790395,18070.817786313903,17368.789505268374,18772.846067359427
2026-01-24 03:00:00+00:00,17764.24184,18147.32901992803,17445.300738882506,18849.357300973556
2026-01-24 04:00:00+00:00,18058.4610625,18689.635844728335,17987.607563682806,19391.66412577386
2026-01-24 05:00:00+00:00,18590.5267375,19252.5104016212,18550.48212057567,19954.538682666724
2026-01-24 06:00:00+00:00,19565.5508375,20068.582006407352,19366.553725361828,20770.610287452877
2026-01-24 07:00:00+00:00,20887.838765,21827.544409277947,21125.516128232422,22529.572690323475
2026-01-24 08:00:00+00:00,21854.965185,22624.84058327636,21922.812302230835,23326.868864321885
2026-01-24 09:00:00+00:00,22204.0791025,22874.822138412885,22172.793857367356,23576.85041945841
2026-01-24 10:00:00+00:00,22438.44491,22919.31696365899,22217.288682613464,23621.345244704513
2026-01-24 11:00:00+00:00,21955.8453025,22261.682233205243,21559.653952159715,22963.710514250768
2026-01-24 12:00:00+00:00,21431.0044075,22107.175377472322,21405.147096426797,22809.20365851785
2026-01-24 13:00:00+00:00,21272.99729,21473.789805016797,20771.761523971272,22175.818086062325
2026-01-24 14:00:00+00:00,21140.576,21327.704315563788,20625.676034518263,22029.732596609312
2026-01-24 15:00:00+00:00,21841.78159,21693.621411653217,20991.59313060769,22395.649692698742
2026-01-24 16:00:00+00:00,22502.5476125,22454.17139376391,21752.143112718386,23156.19967480944
2026-01-24 17:00:00+00:00,22863.9140025,22957.63151855772,22255.60323751219,23659.659799603243
2026-01-24 18:00:00+00:00,22331.2521075,22493.104281980784,21791.07600093526,23195.132563026313
2026-01-24 19:00:00+00:00,21169.69799,21050.262088340005,20348.233807294477,21752.29036938553
2026-01-24 20:00:00+00:00,20394.303755,20865.334303827876,20163.30602278235,21567.3625848734
2026-01-24 21:00:00+00:00,19743.3544675,20145.696453489618,19443.668172444093,20847.724734535142
2026-01-24 22:00:00+00:00,18661.0785125,19177.33800044074,18475.309719395216,19879.366281486266
2026-01-24 23:00:00+00:00,17920.4003025,18032.849526619684,17330.82124557416,18734.877807665212
2026-01-25 00:00:00+00:00,17537.8685375,17422.454162823797,16720.425881778272,18124.48244386932
2026-01-25 01:00:00+00:00,16909.713037499998,17475.42593278752,16773.397651741994,18177.454213833043
2026-01-25 02:00:00+00:00,16874.186357500002,17592.45085565784,16890.422574612312,18294.479136703365
2026-01-25 03:00:00+00:00,17006.9828925,17446.413806001354,16744.38552495583,18148.44208704688
2026-01-25 04:00:00+00:00,16834.0791225,17736.66047349134,17034.632192445817,18438.688754536866
2026-01-25 05:00:00+00:00,17078.194885,18164.681755818514,17462.65347477299,18866.71003686404
2026-01-25 06:00:00+00:00,17605.3803675,18597.037206857152,17895.008925811628,19299.065487902677
2026-01-25 07:00:00+00:00,18869.5880525,19773.741771930767,19071.713490885242,20475.77005297629
2026-01-25 08:00:00+00:00,20588.00814,21532.76900536578,20830.740724320254,22234.797286411304
2026-01-25 09:00:00+00:00,21857.89563,21930.834792708927,21228.806511663402,22632.86307375445
2026-01-25 10:00:00+00:00,22259.15544,22150.068081970498,21448.039800924973,22852.096363016022
2026-01-25 11:00:00+00:00,21869.26725,22231.7928024468,21529.764521401274,22933.821083492327
2026-01-25 12:00:00+00:00,21454.132515,21960.69707107914,21258.66879003361,22662.725352124664
2026-01-25 13:00:00+00:00,21154.1455475,22142.152390888372,21440.124109842847,22844.180671933897
2026-01-25 14:00:00+00:00,21111.8219325,21769.317472687253,21067.28919164173,22471.34575373278
2026-01-25 15:00:00+00:00,21287.84699,21610.710883090913,20908.68260204539,22312.739164136437
2026-01-25 16:00:00+00:00,22570.23718,22618.608732241897,21916.58045119637,23320.63701328742
2026-01-25 17:00:00+00:00,23083.591582499997,22694.10244466618,21992.074163620655,23396.130725711708
2026-01-25 18:00:00+00:00,22618.993674999998,22837.487714816303,22135.459433770775,23539.515995861828
2026-01-25 19:00:00+00:00,21790.411215,22044.458602720533,21342.43032167501,22746.486883766058
2026-01-25 20:00:00+00:00,21100.480190000002,21326.333936507523,20624.305655461998,22028.36221755305
2026-01-25 21:00:00+00:00,20256.308505,20571.501864207177,19869.473583161653,21273.530145252702
2026-01-25 22:00:00+00:00,19211.893955,19918.430781298302,19216.402500252774,20620.459062343827
2026-01-25 23:00:00+00:00,18547.6395125,19200.544998477304,18498.51671743178,19902.573279522832
2026-01-26 00:00:00+00:00,17919.8177975,18020.88171353226,17318.853432486732,18722.909994577785
2026-01-26 01:00:00+00:00,17619.9870375,18271.785432843775,17569.757151798247,18973.8137138893
2026-01-26 02:00:00+00:00,17413.5875925,18302.688384154022,17600.660103108494,19004.716665199547
2026-01-26 03:00:00+00:00,17963.0514425,18599.60532709023,17897.577046044706,19301.63360813576
2026-01-26 04:00:00+00:00,19886.8182575,20209.211871084655,19507.18359003913,20911.24015213018
2026-01-26 05:00:00+00:00,23502.4683825,22180.87799315684,21478.84971211131,22882.906274202363
2026-01-26 06:00:00+00:00,25343.629585,25377.20081994446,24675.172538898936,26079.229100989985
2026-01-26 07:00:00+00:00,26586.81534,27025.376287821073,26323.348006775544,27727.404568866597
2026-01-26 08:00:00+00:00,27295.0131325,27349.34623988068,26647.317958835152,28051.374520926205
