date,solar_tenn_actual,solar_tenn_fitted,solar_tenn_lower,solar_tenn_upper
2026-01-24 00:00:00+00:00,0.0,11.715272660618666,-674.2543242774482,697.6848695986857
2026-01-24 01:00:00+00:00,0.0,11.910404596661465,-674.0591923414054,697.8800015347283
2026-01-24 02:00:00+00:00,0.0,11.715272660618666,-674.2543242774482,697.6848695986857
2026-01-24 03:00:00+00:00,0.0,15.534583076576382,-670.4350138614905,701.5041800146432
2026-01-24 04:00:00+00:00,0.0,16.598952413228744,-669.3706445248381,702.5685493512956
2026-01-24 05:00:00+00:00,0.0,12.95125505653823,-673.0183418815286,698.9208519946051
2026-01-24 06:00:00+00:00,1.3417500000000473,12.69325519384347,-673.2763417442234,698.6628521319105
2026-01-24 07:00:00+00:00,285.9817499999999,250.54858857077397,-435.42100836729287,936.518185508841
2026-01-24 08:00:00+00:00,1388.9524999999999,1280.9445344531664,594.9749375150993,1966.9141313912332
2026-01-24 09:00:00+00:00,2585.33375,2410.267548692885,1724.2979517548183,3096.237145630952
2026-01-24 10:00:00+00:00,3311.24075,2907.283652400435,2221.3140554623683,3593.2532493385024
2026-01-24 11:00:00+00:00,3628.5105,3504.793088788324,2818.8234918502567,4190.76268572639
2026-01-24 12:00:00+00:00,3631.46875,3431.2459856810638,2745.276388742997,4117.21558261913
2026-01-24 13:00:00+00:00,3056.15025,2216.1058521566692,1530.1362552186024,2902.075449094736
2026-01-24 14:00:00+00:00,1795.299,770.6041731898713,84.63457625180445,1456.5737701279381
2026-01-24 15:00:00+00:00,413.24625000000015,293.6546155900878,-392.314981347979,979.6242125281547
2026-01-24 16:00:00+00:00,1.1804999999999382,-24.186732554072933,-710.1563294921402,661.7828643839939
2026-01-24 17:00:00+00:00,0.0,5.992286532019989,-679.9773104060469,691.9618834700871
2026-01-24 18:00:00+00:00,0.0,5.992286532019989,-679.9773104060469,691.9618834700871
2026-01-24 19:00:00+00:00,0.0,5.7232254217433365,-680.2463715163235,691.6928223598102
2026-01-24 20:00:00+00:00,0.0,6.187418468062788,-679.782178470004,692.1570154061296
2026-01-24 21:00:00+00:00,0.0,3.4089585119818366,-682.560638426085,689.3785554500489
2026-01-24 22:00:00+00:00,0.0,3.4089585119818366,-682.560638426085,689.3785554500489
2026-01-24 23:00:00+00:00,0.0,3.4089585119818366,-682.560638426085,689.3785554500489
2026-01-25 00:00:00+00:00,0.0,9.131944640580514,-676.8376522974863,695.1015415786476
2026-01-25 01:00:00+00:00,0.0,9.650094436637119,-676.3195025014302,695.6196913747037
2026-01-25 02:00:00+00:00,0.0,9.131944640580514,-676.8376522974863,695.1015415786476
2026-01-25 03:00:00+00:00,0.0,12.95125505653823,-673.0183418815286,698.9208519946051
2026-01-25 04:00:00+00:00,0.0,12.95125505653823,-673.0183418815286,698.9208519946051
2026-01-25 05:00:00+00:00,0.0,11.166433024179241,-674.8031639138876,697.1360299622463
2026-01-25 06:00:00+00:00,1.300499999999829,11.166433024179241,-674.8031639138876,697.1360299622463
2026-01-25 07:00:00+00:00,212.78875000000016,157.41084188284458,-528.5587550552223,843.3804388209114
2026-01-25 08:00:00+00:00,1010.3900000000001,1147.996584994614,462.026988056547,1833.966181932681
2026-01-25 09:00:00+00:00,1927.1682500000002,2421.6767148109084,1735.7071178728413,3107.646311748975
2026-01-25 10:00:00+00:00,2442.05075,2788.9422838775745,2102.9726869395076,3474.9118808156413
2026-01-25 11:00:00+00:00,2479.40275,3371.288240062514,2685.3186431244467,4057.257837000581
2026-01-25 12:00:00+00:00,1903.50225,2745.5661549957263,2059.5965580576594,3431.535751933793
2026-01-25 13:00:00+00:00,1224.16775,2022.076760517487,1336.10716357942,2708.046357455554
2026-01-25 14:00:00+00:00,619.7697499999999,693.592503455385,7.622906517317915,1379.5621003934518
2026-01-25 15:00:00+00:00,89.02300000000014,220.78071248062724,-465.1888844574396,906.7503094186941
2026-01-25 16:00:00+00:00,0.9962500000001455,3.1096677385771727,-682.8599291994897,689.0792646766442
2026-01-25 17:00:00+00:00,0.0,0.10020236463060428,-685.8693945734362,686.0697993026977
2026-01-25 18:00:00+00:00,0.0,0.10020236463060428,-685.8693945734362,686.0697993026977
2026-01-25 19:00:00+00:00,0.0,0.10020236463060428,-685.8693945734362,686.0697993026977
2026-01-25 20:00:00+00:00,0.0,0.10020236463060428,-685.8693945734362,686.0697993026977
2026-01-25 21:00:00+00:00,0.0,0.10020236463060428,-685.8693945734362,686.0697993026977
2026-01-25 22:00:00+00:00,0.0,2.8786623207115554,-683.0909346173553,688.8482592587784
2026-01-25 23:00:00+00:00,0.0,2.8786623207115554,-683.0909346173553,688.8482592587784
2026-01-26 00:00:00+00:00,0.0,5.906782372012003,-680.0628145660548,691.8763793100788
2026-01-26 01:00:00+00:00,0.0,19.310386436418867,-666.659210501648,705.2799833744859
2026-01-26 02:00:00+00:00,0.0,18.792236640362717,-667.1773602977041,704.7618335784296
2026-01-26 03:00:00+00:00,0.0,22.611547056319978,-663.3580498817469,708.581143994387
2026-01-26 04:00:00+00:00,0.0,22.611547056319978,-663.3580498817469,708.581143994387
2026-01-26 05:00:00+00:00,0.0,22.611547056319978,-663.3580498817469,708.581143994387
2026-01-26 06:00:00+00:00,0.8085000000000946,22.611547056319978,-663.3580498817469,708.581143994387
2026-01-26 07:00:00+00:00,69.07349999999997,92.38944294988778,-593.5801539881791,778.3590398879549
2026-01-26 08:00:00+00:00,304.2647499999998,1080.5862950874205,394.6166981493534,1766.5558920254875
