date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2026-02-28 00:00:00+00:00,,9514.735843908407,9106.605626195513,9922.866061621302
2026-02-28 01:00:00+00:00,,9200.07704628412,8791.946828571225,9608.207263997014
2026-02-28 02:00:00+00:00,,9456.834628529989,9048.704410817094,9864.964846242883
2026-02-28 03:00:00+00:00,,9531.753290488392,9123.623072775497,9939.883508201287
2026-02-28 04:00:00+00:00,,10098.540577101514,9690.41035938862,10506.670794814409
2026-02-28 05:00:00+00:00,,10479.973267777072,10071.843050064177,10888.103485489966
2026-02-28 06:00:00+00:00,,11188.294965968593,10780.164748255698,11596.425183681487
2026-02-28 07:00:00+00:00,,12028.762152151263,11620.631934438368,12436.892369864157
2026-02-28 08:00:00+00:00,,12446.26430533329,12038.134087620396,12854.394523046185
2026-02-28 09:00:00+00:00,,12593.180095782742,12185.049878069847,13001.310313495636
2026-02-28 10:00:00+00:00,,12587.50857651362,12179.378358800725,12995.638794226514
2026-02-28 11:00:00+00:00,,12279.705656354716,11871.575438641821,12687.83587406761
2026-02-28 12:00:00+00:00,,11964.604196524948,11556.473978812053,12372.734414237842
2026-02-28 13:00:00+00:00,,11794.120797131623,11385.990579418729,12202.25101484452
2026-02-28 14:00:00+00:00,,11761.648745664565,11353.51852795167,12169.77896337746
2026-02-28 15:00:00+00:00,,12071.4214136701,11663.291195957205,12479.551631382994
2026-02-28 16:00:00+00:00,,12323.705553415704,11915.575335702808,12731.835771128599
2026-02-28 17:00:00+00:00,,12295.025851488972,11886.895633776077,12703.156069201867
2026-02-28 18:00:00+00:00,,12131.409731800803,11723.279514087908,12539.539949513699
2026-02-28 19:00:00+00:00,,11271.031494249883,10862.901276536988,11679.161711962777
2026-02-28 20:00:00+00:00,,10854.300611724453,10446.170394011559,11262.430829437348
2026-02-28 21:00:00+00:00,,10472.16839751335,10064.038179800455,10880.298615226244
2026-02-28 22:00:00+00:00,,10023.998950335623,9615.868732622726,10432.129168048517
2026-02-28 23:00:00+00:00,,9778.258306457894,9370.128088745,10186.388524170789
2026-03-01 00:00:00+00:00,,9748.833500652469,9340.703282939574,10156.963718365363
2026-03-01 01:00:00+00:00,,9690.289512556576,9282.159294843681,10098.41973026947
2026-03-01 02:00:00+00:00,,9896.044062943249,9487.913845230354,10304.174280656143
2026-03-01 03:00:00+00:00,,10357.674774072357,9949.544556359462,10765.804991785251
2026-03-01 04:00:00+00:00,,10473.55796165898,10065.427743946086,10881.688179371875
2026-03-01 05:00:00+00:00,,10818.727416174857,10410.597198461961,11226.857633887752
2026-03-01 06:00:00+00:00,,11381.704266457196,10973.574048744302,11789.834484170093
2026-03-01 07:00:00+00:00,,12276.021592616578,11867.891374903684,12684.151810329473
2026-03-01 08:00:00+00:00,,12702.5091853472,12294.378967634306,13110.639403060095
2026-03-01 09:00:00+00:00,,12892.832424193015,12484.70220648012,13300.96264190591
2026-03-01 10:00:00+00:00,,12659.924393334104,12251.79417562121,13068.054611046999
2026-03-01 11:00:00+00:00,,12441.952484171725,12033.822266458828,12850.08270188462
2026-03-01 12:00:00+00:00,,12380.635713086313,11972.505495373418,12788.765930799207
2026-03-01 13:00:00+00:00,,12057.385709714228,11649.255492001334,12465.515927427123
2026-03-01 14:00:00+00:00,,12028.236092030495,11620.1058743176,12436.36630974339
2026-03-01 15:00:00+00:00,,12051.286965329402,11643.156747616507,12459.417183042297
2026-03-01 16:00:00+00:00,,12158.99093498178,11750.860717268886,12567.121152694675
2026-03-01 17:00:00+00:00,,12251.573244133371,11843.443026420477,12659.703461846266
2026-03-01 18:00:00+00:00,,12258.990025786621,11850.859808073727,12667.120243499516
