date,wind_onshore_50hz_actual,wind_onshore_50hz_fitted,wind_onshore_50hz_lower,wind_onshore_50hz_upper
2026-02-28 00:00:00+00:00,,6971.773,6142.95274994911,7800.593322703372
2026-02-28 01:00:00+00:00,,6035.853,5207.032710806123,6864.673283560385
2026-02-28 02:00:00+00:00,,5860.5757,5031.755256889257,6689.395829643519
2026-02-28 03:00:00+00:00,,5512.235,4683.414501943402,6341.055074697664
2026-02-28 04:00:00+00:00,,3698.9333,2870.113130714316,4527.753703468578
2026-02-28 05:00:00+00:00,,4640.531,3811.7103010982178,5469.35087385248
2026-02-28 06:00:00+00:00,,5169.392,4340.571832475913,5998.212405230175
2026-02-28 07:00:00+00:00,,4628.237,3799.41661022208,5457.057182976343
2026-02-28 08:00:00+00:00,,4632.588,3803.7675934853196,5461.408166239582
2026-02-28 09:00:00+00:00,,3680.4243,2851.603913815461,4509.244486569723
2026-02-28 10:00:00+00:00,,5085.2427,4256.422357471655,5914.062930225918
2026-02-28 11:00:00+00:00,,5669.2427,4840.422545770999,6498.063118525262
2026-02-28 12:00:00+00:00,,5621.107,4792.286418922492,6449.926991676754
2026-02-28 13:00:00+00:00,,5664.1294,4835.309092970823,6492.949665725086
2026-02-28 14:00:00+00:00,,3114.033,2285.2127371360125,3942.853309890275
2026-02-28 15:00:00+00:00,,3353.7231,2524.902787052086,4182.543359806348
2026-02-28 16:00:00+00:00,,4300.483,3471.6628270806696,5129.303399834932
2026-02-28 17:00:00+00:00,,5102.664,4273.843734911519,5931.484307665782
2026-02-28 18:00:00+00:00,,5940.9536,5112.133533698189,6769.774106452451
2026-02-28 19:00:00+00:00,,7170.1387,6341.318545572791,7998.959118327054
2026-02-28 20:00:00+00:00,,7620.3994,6791.579361763247,8449.21993451751
2026-02-28 21:00:00+00:00,,7435.0845,6606.264107961764,8263.904680716027
2026-02-28 22:00:00+00:00,,8344.12,7515.300313485875,9172.940886240138
2026-02-28 23:00:00+00:00,,10508.908,9680.088368957333,11337.728941711597
2026-03-01 00:00:00+00:00,,11206.398,10377.578313810376,12035.218886564639
2026-03-01 01:00:00+00:00,,11344.923,10516.102584929224,12173.743157683486
2026-03-01 02:00:00+00:00,,10256.594,9427.774040980112,11085.414613734376
2026-03-01 03:00:00+00:00,,10230.854,9402.033831401059,11059.674404155321
2026-03-01 04:00:00+00:00,,9918.933,9090.112354424078,10747.752927178342
2026-03-01 05:00:00+00:00,,7843.09,7014.2696961070305,8671.910268861293
2026-03-01 06:00:00+00:00,,6556.182,5727.361743060208,7385.00231581447
2026-03-01 07:00:00+00:00,,5634.065,4805.244601812784,6462.885174567046
2026-03-01 08:00:00+00:00,,4699.5117,3870.6913250329426,5528.331897787205
2026-03-01 09:00:00+00:00,,4072.6567,3243.8364150752395,4901.476987829502
2026-03-01 10:00:00+00:00,,3399.6252,2570.8049086582887,4228.445481412551
2026-03-01 11:00:00+00:00,,3319.9888,2491.1686069071975,4148.80917966146
2026-03-01 12:00:00+00:00,,3222.6636,2393.843322259422,4051.4838950136846
2026-03-01 13:00:00+00:00,,2976.9534,2148.133032486331,3805.7736052405935
2026-03-01 14:00:00+00:00,,2489.4973,1660.6769306615752,3318.3175034158376
2026-03-01 15:00:00+00:00,,1556.9025,728.0821341296032,2385.7227068838656
2026-03-01 16:00:00+00:00,,1288.881,460.06079456446605,2117.7013673187294
2026-03-01 17:00:00+00:00,,1177.9454,349.12519591217006,2006.765768666433
2026-03-01 18:00:00+00:00,,1711.8912,883.0709099071018,2540.7114826613642
2026-03-01 19:00:00+00:00,,1841.181,1012.3607861260748,2670.0013588803376
2026-03-01 20:00:00+00:00,,3363.0396,2534.2191598683467,4191.859732622609
2026-03-01 21:00:00+00:00,,3305.5872,2476.766981265914,4134.407554020177
2026-03-01 22:00:00+00:00,,3497.1123,2668.2921157440437,4325.932688498307
2026-03-01 23:00:00+00:00,,3725.901,2897.080574316451,4554.721147070713
2026-03-02 00:00:00+00:00,,4163.635,3334.8142438355126,4992.454816589775
2026-03-02 01:00:00+00:00,,3691.5044,2862.684015817785,4520.324588572048
2026-03-02 02:00:00+00:00,,4224.107,3395.286846460791,5052.927419215053
2026-03-02 03:00:00+00:00,,4576.626,3747.805572203725,5405.446144957988
2026-03-02 04:00:00+00:00,,3934.9482,3106.1280068286383,4763.7685795829
2026-03-02 05:00:00+00:00,,3573.4524,2744.632231025503,4402.272803779766
2026-03-02 06:00:00+00:00,,3462.377,2633.556702705224,4291.197275459486
2026-03-02 07:00:00+00:00,,3170.312,2341.491753963737,3999.1323267179996
2026-03-02 08:00:00+00:00,,1787.5797,958.7594291782248,2616.400001932487
2026-03-02 09:00:00+00:00,,1590.6515,761.8313506938812,2419.4719234481436
2026-03-02 10:00:00+00:00,,1786.5394,957.7191872105036,2615.3597599647665
2026-03-02 11:00:00+00:00,,1572.5961,743.7758751409774,2401.41644789524
2026-03-02 12:00:00+00:00,,1252.264,423.44384921757,2081.084421971833
2026-03-02 13:00:00+00:00,,1070.4862,241.66606023101076,1899.3066329852736
2026-03-02 14:00:00+00:00,,789.7778,-39.04259263385211,1618.5979801204112
2026-03-02 15:00:00+00:00,,536.7714,-292.0489169653192,1365.5916557889436
2026-03-02 16:00:00+00:00,,221.34245,-607.4778929392223,1050.16267981504
2026-03-02 17:00:00+00:00,,489.29385,-339.5265449632725,1318.1140277909908
2026-03-02 18:00:00+00:00,,916.4157,87.59530869210403,1745.2358814463669
2026-03-02 19:00:00+00:00,,1404.3107,575.4904097505637,2233.130982504826
