date,wind_onshore_50hz_actual,wind_onshore_50hz_fitted,wind_onshore_50hz_lower,wind_onshore_50hz_upper
2026-01-24 00:00:00+00:00,3710.34,3171.2063,2342.386019589486,4000.0265923437482
2026-01-24 01:00:00+00:00,3372.12,3515.3115,2686.4912666921805,4344.131839446443
2026-01-24 02:00:00+00:00,2900.105,3041.2876,2212.467289275623,3870.1078620298854
2026-01-24 03:00:00+00:00,2614.755,2994.1619,2165.341545597615,3822.9821183518775
2026-01-24 04:00:00+00:00,2550.9825,2380.9324,1552.1120562962087,3209.752629050471
2026-01-24 05:00:00+00:00,2382.815,2764.7144,1935.8941333363446,3593.534706090607
2026-01-24 06:00:00+00:00,2343.13,2700.7148,1871.8946375424262,3529.535210296689
2026-01-24 07:00:00+00:00,2235.34,2859.2158,2030.3956212311045,3688.0361939853674
2026-01-24 08:00:00+00:00,2198.13,2566.7993,1737.9791092320088,3395.6196819862707
2026-01-24 09:00:00+00:00,2126.3625,2181.7856,1352.965330051286,3010.6059028055483
2026-01-24 10:00:00+00:00,2109.0725,2540.7578,1711.9375291404954,3369.578101894758
2026-01-24 11:00:00+00:00,2054.985,2473.3833,1644.563026073527,3302.2035988277894
2026-01-24 12:00:00+00:00,2182.89,2039.5057,1210.685485770785,2868.3260585250473
2026-01-24 13:00:00+00:00,2224.1425,2182.2166,1353.3961957058173,3011.0367684600797
2026-01-24 14:00:00+00:00,2228.9700000000003,2217.872,1389.0516663780218,3046.692239132284
2026-01-24 15:00:00+00:00,2413.7575,2175.3503,1346.5299565941868,3004.1705293484492
2026-01-24 16:00:00+00:00,2660.6475,2403.3828,1574.5625541627337,3232.203126916996
2026-01-24 17:00:00+00:00,2861.4849999999997,2934.3389,2105.5186427082526,3763.159215462515
2026-01-24 18:00:00+00:00,2919.705,2718.431,1889.6106431856992,3547.2512159399616
2026-01-24 19:00:00+00:00,2648.0425,2167.12,1338.2998446804331,2995.9404174346955
2026-01-24 20:00:00+00:00,2411.0475,2287.1604,1458.3401290489746,3115.980701803237
2026-01-24 21:00:00+00:00,2398.6949999999997,2023.6207,1194.800391607324,2852.4409643615863
2026-01-24 22:00:00+00:00,2566.3075,2057.656,1228.8355676919464,2886.476140446209
2026-01-24 23:00:00+00:00,2517.3075,2071.7373,1242.9169336533528,2900.557506407615
2026-01-25 00:00:00+00:00,2539.15,2121.5671,1292.7468783643212,2950.3874511185836
2026-01-25 01:00:00+00:00,2739.6499999999996,2402.2068,1573.3865028270047,3231.027075581267
2026-01-25 02:00:00+00:00,2867.205,3056.1943,2227.3739994813777,3885.0145722356397
2026-01-25 03:00:00+00:00,2812.695,3042.035,2213.2145083516134,3870.855081105876
2026-01-25 04:00:00+00:00,2809.3125,2730.6072,1901.786932267743,3559.4275050220053
2026-01-25 05:00:00+00:00,2759.835,2602.574,1773.7536940307637,3431.394266785026
2026-01-25 06:00:00+00:00,2853.6949999999997,2518.4092,1689.5889150551711,3347.2294878094335
2026-01-25 07:00:00+00:00,2807.735,2785.0408,1956.2204827897704,3613.8610555440328
2026-01-25 08:00:00+00:00,2597.28,2939.7578,2110.937425789695,3768.5779985439576
2026-01-25 09:00:00+00:00,2477.35,2735.882,1907.0618794227848,3564.7024521770472
2026-01-25 10:00:00+00:00,2654.65,2731.9521,1903.1318623920588,3560.772435146321
2026-01-25 11:00:00+00:00,2944.22,2857.2595,2028.439281398806,3686.0798541530685
2026-01-25 12:00:00+00:00,3160.5,4128.9478,3300.1275988277284,4957.768171581991
2026-01-25 13:00:00+00:00,3567.4775,4208.159,3379.338890967516,5036.979463721778
2026-01-25 14:00:00+00:00,3829.0675,4558.32,3729.499721539352,5387.140294293615
2026-01-25 15:00:00+00:00,4124.705,4455.229,3626.408665690809,5284.049238445072
2026-01-25 16:00:00+00:00,4136.3225,4366.4185,3537.5983020037625,5195.238874758025
2026-01-25 17:00:00+00:00,4068.52,4300.1025,3471.2821140384963,5128.922686792759
2026-01-25 18:00:00+00:00,3964.585,3995.9612,3167.1409005101386,4824.781473264401
2026-01-25 19:00:00+00:00,3627.425,3876.1824,3047.3621481692326,4705.002720923495
2026-01-25 20:00:00+00:00,3234.27,3825.8635,2997.0432255209685,4654.683798275231
2026-01-25 21:00:00+00:00,2872.0,3691.4612,2862.640886444021,4520.281459198283
2026-01-25 22:00:00+00:00,2803.8125,3264.1814,2435.36117714025,4093.001749894513
2026-01-25 23:00:00+00:00,2758.7525,4017.3357,3188.515404780101,4846.155977534363
2026-01-26 00:00:00+00:00,2485.41,5009.5723,4180.752138753668,5838.3927115079305
2026-01-26 01:00:00+00:00,2291.8049999999994,4491.875,3663.054881220645,5320.695453974908
2026-01-26 02:00:00+00:00,2064.0074999999997,4839.206,4010.385814855087,5668.0263876093495
2026-01-26 03:00:00+00:00,1916.6550000000002,5325.272,4496.451770276581,6154.092343030843
2026-01-26 04:00:00+00:00,1750.685,5505.3555,4676.535099276007,6334.175672030269
2026-01-26 05:00:00+00:00,1592.7925,5073.338,4244.517473084071,5902.158045838332
2026-01-26 06:00:00+00:00,1548.2425000000003,5961.867,5133.04710616364,6790.687678917902
2026-01-26 07:00:00+00:00,1446.935,6506.5728,5677.752689236213,7335.393261990475
2026-01-26 08:00:00+00:00,1188.6025,4715.0513,3886.231009633562,5543.871582387825
2026-01-26 09:00:00+00:00,967.1725000000001,4255.738,3426.917399426871,5084.557972181133
2026-01-26 10:00:00+00:00,750.065,3947.2263,3118.4061395590907,4776.046712313353
2026-01-26 11:00:00+00:00,626.8725,4183.737,3354.9165352557993,5012.557108010062
