date,load_rte_actual,load_rte_fitted,load_rte_lower,load_rte_upper
2026-01-24 00:00:00+00:00,60026.61,60204.67623620066,58919.478329087644,61489.874143313675
2026-01-24 01:00:00+00:00,58218.8275,58350.02669870021,57064.82879158719,59635.22460581323
2026-01-24 02:00:00+00:00,55893.369999999995,56757.53228951656,55472.33438240355,58042.73019662958
2026-01-24 03:00:00+00:00,55145.755,55075.98979230197,53790.79188518895,56361.187699414986
2026-01-24 04:00:00+00:00,55930.8825,55621.49767076494,54336.29976365193,56906.69557787796
2026-01-24 05:00:00+00:00,57784.604999999996,57407.801195042644,56122.603287929625,58692.99910215566
2026-01-24 06:00:00+00:00,59733.542499999996,59649.67794105368,58364.48003394066,60934.875848166696
2026-01-24 07:00:00+00:00,62322.35,61777.43312303007,60492.23521591705,63062.631030143086
2026-01-24 08:00:00+00:00,64403.207500000004,63144.15022280838,61858.95231569536,64429.348129921396
2026-01-24 09:00:00+00:00,65015.9325,63712.50995770968,62427.31205059666,64997.70786482269
2026-01-24 10:00:00+00:00,65011.494999999995,64442.780014860335,63157.582107747316,65727.97792197336
2026-01-24 11:00:00+00:00,65806.395,64430.620277516355,63145.422370403336,65715.81818462937
2026-01-24 12:00:00+00:00,63448.2425,63134.75345448102,61849.555547368,64419.95136159404
2026-01-24 13:00:00+00:00,61798.185,61042.11283346558,59756.91492635256,62327.3107405786
2026-01-24 14:00:00+00:00,60294.182499999995,59752.05156144979,58466.85365433677,61037.24946856281
2026-01-24 15:00:00+00:00,59455.485,58485.69901862764,57200.50111151462,59770.89692574066
2026-01-24 16:00:00+00:00,61172.9475,58457.29727620017,57172.09936908715,59742.495183313185
2026-01-24 17:00:00+00:00,65259.432499999995,61940.98658929657,60655.78868218355,63226.18449640959
2026-01-24 18:00:00+00:00,66116.1975,63601.000277856394,62315.802370743375,64886.198184969406
2026-01-24 19:00:00+00:00,63727.369999999995,63445.534423591045,62160.336516478026,64730.732330704064
2026-01-24 20:00:00+00:00,61095.665,61486.644416856,60201.44650974298,62771.84232396902
2026-01-24 21:00:00+00:00,62060.0925,60596.90365606454,59311.70574895153,61882.10156317756
2026-01-24 22:00:00+00:00,62355.957500000004,61188.5870987837,59903.38919167068,62473.785005896716
2026-01-24 23:00:00+00:00,60841.24,60227.919608484706,58942.72170137169,61513.117515597725
2026-01-25 00:00:00+00:00,58980.2,57883.588481450715,56598.3905743377,59168.786388563734
2026-01-25 01:00:00+00:00,56943.4425,56379.34294940558,55094.14504229256,57664.54085651859
2026-01-25 02:00:00+00:00,54571.1975,55072.799617326426,53787.60171021341,56357.99752443944
2026-01-25 03:00:00+00:00,53452.08,53690.1502152745,52404.95230816149,54975.34812238752
2026-01-25 04:00:00+00:00,53733.0025,54507.61044814889,53222.41254103587,55792.8083552619
2026-01-25 05:00:00+00:00,54698.83,56507.188412111616,55221.9905049986,57792.386319224635
2026-01-25 06:00:00+00:00,56120.92,59001.854938162076,57716.65703104906,60287.05284527509
2026-01-25 07:00:00+00:00,57950.6925,60952.85001506769,59667.65210795467,62238.04792218071
2026-01-25 08:00:00+00:00,60387.0375,62962.77337700663,61677.57546989362,64247.97128411965
2026-01-25 09:00:00+00:00,62466.4225,63974.45700830536,62689.25910119234,65259.65491541838
2026-01-25 10:00:00+00:00,63605.8875,64765.25544193218,63480.05753481916,66050.4533490452
2026-01-25 11:00:00+00:00,64660.1475,64666.88772146512,63381.6898143521,65952.08562857815
2026-01-25 12:00:00+00:00,62213.7625,63089.36336153971,61804.16545442669,64374.56126865273
2026-01-25 13:00:00+00:00,60649.0275,60779.11413024986,59493.91622313684,62064.31203736288
2026-01-25 14:00:00+00:00,59558.8025,60155.83184010508,58870.63393299207,61441.0297472181
2026-01-25 15:00:00+00:00,58754.542499999996,59250.24126241777,57965.04335530475,60535.439169530786
2026-01-25 16:00:00+00:00,60425.4325,58761.175836621296,57475.97792950828,60046.37374373431
2026-01-25 17:00:00+00:00,65303.59,62366.045944829144,61080.84803771613,63651.24385194216
2026-01-25 18:00:00+00:00,66935.7175,65384.48171378751,64099.28380667449,66669.67962090051
2026-01-25 19:00:00+00:00,64519.155,64302.15153981398,63016.95363270096,65587.349446927
2026-01-25 20:00:00+00:00,62271.8225,61760.893298063434,60475.695390950415,63046.09120517645
2026-01-25 21:00:00+00:00,62524.027500000004,60535.79697791153,59250.59907079851,61820.99488502455
2026-01-25 22:00:00+00:00,62315.5125,61232.57934553866,59947.38143842564,62517.77725265168
2026-01-25 23:00:00+00:00,60757.3525,60149.52070049616,58864.322793383144,61434.71860760918
2026-01-26 00:00:00+00:00,59374.675,57985.212760521994,56700.014853408975,59270.41066763501
2026-01-26 01:00:00+00:00,57885.9875,56633.664616600996,55348.46670948798,57918.862523714015
2026-01-26 02:00:00+00:00,55875.744999999995,55716.1614672149,54430.96356010188,57001.35937432792
2026-01-26 03:00:00+00:00,55722.0075,54912.42335123787,53627.22544412485,56197.62125835089
2026-01-26 04:00:00+00:00,58635.7375,56337.386195914834,55052.188288801815,57622.58410302785
2026-01-26 05:00:00+00:00,63748.600000000006,60473.39758443012,59188.1996773171,61758.595491543136
2026-01-26 06:00:00+00:00,69510.8725,65359.83489756097,64074.63699044795,66645.03280467399
2026-01-26 07:00:00+00:00,72619.03,68234.7737520746,66949.57584496158,69519.9716591876
2026-01-26 08:00:00+00:00,73111.3125,69678.52305526876,68393.32514815574,70963.72096238178
2026-01-26 09:00:00+00:00,72376.2425,69631.6963372677,68346.4984301547,70916.89424438073
2026-01-26 10:00:00+00:00,71485.14749999999,69204.98205077187,67919.78414365885,70490.17995788489
2026-01-26 11:00:00+00:00,70988.2025,68818.21954805584,67533.02164094282,70103.41745516885
2026-01-26 12:00:00+00:00,69000.0575,66980.83941077517,65695.64150366215,68266.03731788819
2026-01-26 13:00:00+00:00,68129.785,64324.59210387144,63039.39419675842,65609.79001098446
2026-01-26 14:00:00+00:00,66830.48000000001,63179.941955918046,61894.74404880503,64465.139863031065
2026-01-26 15:00:00+00:00,65797.7475,62215.97392083211,60930.77601371909,63501.17182794512
2026-01-26 16:00:00+00:00,67114.175,62648.101766947824,61362.90385983481,63933.29967406084
2026-01-26 17:00:00+00:00,71745.775,65658.32545575195,64373.127548638935,66943.52336286497
2026-01-26 18:00:00+00:00,72538.75,67756.02755350871,66470.8296463957,69041.22546062173
2026-01-26 19:00:00+00:00,68643.655,65320.655739130554,64035.457832017535,66605.85364624357
2026-01-26 20:00:00+00:00,64784.6125,62748.04481799144,61462.84691087842,64033.24272510446
2026-01-26 21:00:00+00:00,64992.104999999996,62238.99786390522,60953.7999567922,63524.19577101824
2026-01-26 22:00:00+00:00,64187.22,62179.807322150795,60894.609415037776,63465.00522926381
2026-01-26 23:00:00+00:00,62188.2975,60960.00454967345,59674.806642560434,62245.202456786465
2026-01-27 00:00:00+00:00,60613.8625,59410.04941045213,58124.851503339116,60695.24731756515
2026-01-27 01:00:00+00:00,59363.26,57911.58874028408,56626.39083317107,59196.7866473971
2026-01-27 02:00:00+00:00,57195.705,56552.19487943195,55266.996972318935,57837.392786544966
2026-01-27 03:00:00+00:00,56718.6425,55539.563949731826,54254.36604261881,56824.76185684484
2026-01-27 04:00:00+00:00,59030.1475,56819.066504244634,55533.86859713162,58104.26441135765
2026-01-27 05:00:00+00:00,64094.2325,60571.61525519316,59286.41734808014,61856.81316230618
2026-01-27 06:00:00+00:00,69190.45749999999,66056.4259669061,64771.22805979307,67341.6238740191
2026-01-27 07:00:00+00:00,71429.8325,68978.97604003416,67693.77813292114,70264.17394714718
2026-01-27 08:00:00+00:00,72445.66,69606.29753018887,68321.09962307585,70891.49543730187
2026-01-27 09:00:00+00:00,72425.5475,69407.88549815722,68122.6875910442,70693.08340527024
2026-01-27 10:00:00+00:00,72781.3525,69378.87893685327,68093.68102974026,70664.0768439663
2026-01-27 11:00:00+00:00,73096.6775,69427.20857766173,68142.01067054871,70712.40648477475
2026-01-27 12:00:00+00:00,71553.47,68330.72281818434,67045.52491107132,69615.92072529736
2026-01-27 13:00:00+00:00,70389.95,66632.8892611421,65347.691354029084,67918.08716825512
2026-01-27 14:00:00+00:00,68675.68000000001,64674.93696155214,63389.73905443913,65960.13486866516
2026-01-27 15:00:00+00:00,67020.4625,63412.48947265626,62127.291565543244,64697.68737976928
2026-01-27 16:00:00+00:00,67331.025,63511.141120338645,62225.94321322563,64796.339027451664
2026-01-27 17:00:00+00:00,70990.8025,66288.5741481419,65003.376241028884,67573.77205525491
2026-01-27 18:00:00+00:00,71547.92749999999,68108.23554270438,66823.03763559138,69393.4334498174
