date,wind_onshore_ampr_actual,wind_onshore_ampr_fitted,wind_onshore_ampr_lower,wind_onshore_ampr_upper
2026-01-24 00:00:00+00:00,2504.03436,4110.13610874595,2120.162408910409,6100.57507323412
2026-01-24 01:00:00+00:00,2314.745465,3925.4342465642358,1933.8976761586132,5914.482751871772
2026-01-24 02:00:00+00:00,1991.66197,3790.2650454027416,1799.6938391589306,5780.957837406271
2026-01-24 03:00:00+00:00,1718.17148,3603.9026750426624,1616.712210976445,5593.961185610191
2026-01-24 04:00:00+00:00,1507.97758,3484.319246165311,1498.1886978905845,5473.992028256622
2026-01-24 05:00:00+00:00,1429.8249225,3364.6307248843177,1379.6149567365978,5356.202310675397
2026-01-24 06:00:00+00:00,1414.5739025,3334.7996649849943,1350.135732791149,5324.920999297068
2026-01-24 07:00:00+00:00,1227.3813175,3526.5378426398497,1540.2507571072824,5517.513186767217
2026-01-24 08:00:00+00:00,1120.6168775,3238.529389324931,1251.4283967375197,5231.499853622088
2026-01-24 09:00:00+00:00,875.3921399999997,2868.24182816705,879.4835131522159,4858.055713347518
2026-01-24 10:00:00+00:00,676.9177024999999,2809.203220467847,820.1132714888654,4801.901909393885
2026-01-24 11:00:00+00:00,608.1751624999999,2394.2126791180112,406.89369211142775,4382.080266484677
2026-01-24 12:00:00+00:00,536.31329,2155.3836237886917,168.44497594444738,4144.183758632183
2026-01-24 13:00:00+00:00,512.6451175,2146.9327433241992,159.49920933900376,4134.50647917441
2026-01-24 14:00:00+00:00,694.2880725,1874.5886132888877,-114.58495496126352,3861.5804791525206
2026-01-24 15:00:00+00:00,982.1262024999999,2255.5413448424997,267.75324282182964,4244.440855593669
2026-01-24 16:00:00+00:00,1497.258775,3003.504334047744,1014.7057569107953,4991.639200118576
2026-01-24 17:00:00+00:00,1991.4685875,3332.01679756625,1343.1921230386697,5322.064079361455
2026-01-24 18:00:00+00:00,2427.4120775,3910.773091241309,1926.432748988013,5903.1172828149465
2026-01-24 19:00:00+00:00,2688.9220725,4297.527349258737,2314.7056477893766,6287.07094878741
2026-01-24 20:00:00+00:00,2653.5444375,3967.9334366645153,1981.6124102210617,5955.91816730181
2026-01-24 21:00:00+00:00,2673.67022,3881.3948220250813,1895.879559812203,5869.105647914798
2026-01-24 22:00:00+00:00,2814.414215,3795.6766208422296,1806.156613126113,5781.853270259669
2026-01-24 23:00:00+00:00,2751.6856625,3680.6586393594416,1689.1057773701,5669.4241579561685
2026-01-25 00:00:00+00:00,2699.2335325,3441.85041236029,1451.409752204573,5430.417716049646
2026-01-25 01:00:00+00:00,2638.1145625,2987.8356653363444,995.4098674348879,4977.819647370452
2026-01-25 02:00:00+00:00,2411.1870425,2660.4447736264233,669.4046579900985,4650.081664083164
2026-01-25 03:00:00+00:00,2168.4014625,2677.4069742630563,687.7909279064095,4665.327454700127
2026-01-25 04:00:00+00:00,2076.6112,2677.0401643457785,689.726927892031,4664.707288082528
2026-01-25 05:00:00+00:00,1999.6276225000001,2947.3919220305615,960.3826862499923,4936.547042520292
2026-01-25 06:00:00+00:00,2125.2982425,2954.08069486035,967.4567300972858,4944.186179651287
2026-01-25 07:00:00+00:00,2010.3170775,2968.5058015716613,980.9535391238803,4957.95538908485
2026-01-25 08:00:00+00:00,1783.13274,3410.5068833875557,1425.068211442521,5398.119982832633
2026-01-25 09:00:00+00:00,1530.0733675000001,3962.2244425746067,1970.6305546371314,5952.54683539289
2026-01-25 10:00:00+00:00,1245.9824549999998,2886.1533650224524,897.706254132725,4873.944014254153
2026-01-25 11:00:00+00:00,992.3769175,2041.9081170185455,53.28974420106124,4028.9824470435033
2026-01-25 12:00:00+00:00,843.047395,2007.3976155339349,17.0484113148691,3996.3650687909235
2026-01-25 13:00:00+00:00,707.6522924999999,1896.8129908030623,-92.68045015457574,3888.029256096612
2026-01-25 14:00:00+00:00,726.6163374999999,2100.38208965847,111.66003441727526,4092.2078138509205
2026-01-25 15:00:00+00:00,925.355065,2564.015698354912,574.8874387911865,4554.455523031249
2026-01-25 16:00:00+00:00,1121.7731025,2768.566897352467,781.0561770980016,4756.020286937955
2026-01-25 17:00:00+00:00,1116.5281075,3147.732228515204,1162.363828077295,5136.151121742103
2026-01-25 18:00:00+00:00,956.2424274999998,2896.525171694753,910.0066129432851,4886.947333297241
2026-01-25 19:00:00+00:00,850.4640475000001,2811.9832697956267,825.158228699381,4803.659300533192
2026-01-25 20:00:00+00:00,812.0616500000001,2840.8315774103116,856.5511818137315,4831.167787544173
2026-01-25 21:00:00+00:00,750.0853099999999,3453.163812497867,1467.0936091076305,5444.709986848658
2026-01-25 22:00:00+00:00,689.9680675,3077.977038343149,1089.2092566514887,5063.919669456094
2026-01-25 23:00:00+00:00,671.7679125,2861.385215168592,871.3020197866156,4846.772002412654
2026-01-26 00:00:00+00:00,705.2624900000001,2759.1310241061897,769.0341363737596,4748.742659579348
2026-01-26 01:00:00+00:00,1037.2866625,2365.714602530372,372.4870201104209,4354.536101069769
2026-01-26 02:00:00+00:00,1490.4940125,2295.9092939776624,306.22458719557335,4286.266307029391
2026-01-26 03:00:00+00:00,1705.13028,2320.2578093628686,329.674521103429,4309.8853802920485
2026-01-26 04:00:00+00:00,1775.9459825,2130.9270161976933,140.09606636533408,4119.4280954989335
2026-01-26 05:00:00+00:00,1822.883115,2185.413894547545,195.05523304079998,4175.084933398716
2026-01-26 06:00:00+00:00,1903.4533675,2031.898865323959,41.55182229483262,4021.7834404311957
2026-01-26 07:00:00+00:00,2108.4182925,1900.2206538351347,-88.2673110124615,3888.5829554229576
