date,wind_offshore_rte_actual,wind_offshore_rte_fitted,wind_offshore_rte_lower,wind_offshore_rte_upper
2026-01-24 00:00:00+00:00,1739.5699999999997,1753.382330978368,1577.3038835245363,1929.4607784321997
2026-01-24 01:00:00+00:00,1741.8525,1743.4149540789335,1567.3365066251017,1919.493401532765
2026-01-24 02:00:00+00:00,1751.145,1773.2690032509781,1597.1905557971463,1949.34745070481
2026-01-24 03:00:00+00:00,1757.3325,1706.646122960989,1530.5676755071574,1882.7245704148208
2026-01-24 04:00:00+00:00,1758.0575,1753.0365633926021,1576.9581159387703,1929.115010846434
2026-01-24 05:00:00+00:00,1761.3399999999997,1748.7392211519941,1572.6607736981625,1924.817668605826
2026-01-24 06:00:00+00:00,1776.0175,1771.780148513678,1595.701701059846,1947.8585959675092
2026-01-24 07:00:00+00:00,1763.9225000000001,1747.172060521781,1571.0936130679493,1923.250507975613
2026-01-24 08:00:00+00:00,1757.6475,1759.190270960678,1583.1118235068461,1935.2687184145097
2026-01-24 09:00:00+00:00,1704.5749999999998,1715.9284738051697,1539.8500263513379,1892.0069212590015
2026-01-24 10:00:00+00:00,1700.0675,1628.1724718941555,1452.0940244403237,1804.2509193479873
2026-01-24 11:00:00+00:00,1631.2325,1675.76070915021,1499.6822616963782,1851.8391566040414
2026-01-24 12:00:00+00:00,1438.6325,1343.0298675751594,1166.9514201213278,1519.108315028991
2026-01-24 13:00:00+00:00,1349.665,1252.426344727426,1076.3478972735943,1428.504792181258
2026-01-24 14:00:00+00:00,1055.1725000000001,1055.0576829540596,878.9792355002278,1231.1361304078912
2026-01-24 15:00:00+00:00,1058.0925,993.0777558301143,816.9993083762824,1169.156203283946
2026-01-24 16:00:00+00:00,1225.885,1185.6400313186507,1009.5615838648191,1361.7184787724823
2026-01-24 17:00:00+00:00,1229.25,1178.4000906931024,1002.3216432392708,1354.4785381469342
2026-01-24 18:00:00+00:00,1332.4075,1315.8181681816714,1139.7397207278395,1491.8966156355032
2026-01-24 19:00:00+00:00,1587.025,1498.5692251054538,1322.490777651622,1674.6476725592856
2026-01-24 20:00:00+00:00,1405.4625,1353.6671963700294,1177.5887489161978,1529.745643823861
2026-01-24 21:00:00+00:00,1191.5500000000002,1301.8816055413251,1125.8031580874936,1477.9600529951567
2026-01-24 22:00:00+00:00,1091.385,1269.6179662401992,1093.5395187863674,1445.6964136940308
2026-01-24 23:00:00+00:00,1070.515,1155.6818296629242,979.6033822090926,1331.7602771167558
2026-01-25 00:00:00+00:00,990.8125,1044.8256791514261,868.7472316975944,1220.9041266052577
2026-01-25 01:00:00+00:00,1225.54,1216.6967126988552,1040.6182652450234,1392.7751601526868
2026-01-25 02:00:00+00:00,1359.37,1281.2476922207934,1105.1692447669616,1457.326139674625
2026-01-25 03:00:00+00:00,1436.8525,1461.0208089907953,1284.9423615369637,1637.099256444627
2026-01-25 04:00:00+00:00,1277.995,1342.5468009671495,1166.4683535133177,1518.6252484209813
2026-01-25 05:00:00+00:00,1222.645,1371.8614296473643,1195.7829821935325,1547.939877101196
2026-01-25 06:00:00+00:00,1162.9575,1255.3190265467172,1079.2405790928856,1431.3974740005488
2026-01-25 07:00:00+00:00,1171.1399999999999,1383.2623899203763,1207.1839424665445,1559.3408373742081
2026-01-25 08:00:00+00:00,847.725,1165.2066593956438,989.1282119418121,1341.2851068494756
2026-01-25 09:00:00+00:00,841.1175000000001,1214.2252634852234,1038.1468160313918,1390.3037109390552
2026-01-25 10:00:00+00:00,561.86,950.626803846849,774.5483563930173,1126.7052513006806
2026-01-25 11:00:00+00:00,467.80499999999995,633.0707171867923,456.9922697329606,809.149164640624
2026-01-25 12:00:00+00:00,263.8675,422.2425950607732,246.16414760694153,598.3210425146049
2026-01-25 13:00:00+00:00,451.695,443.5323223333626,267.4538748795309,619.6107697871943
2026-01-25 14:00:00+00:00,216.125,305.6741354541979,129.59568800036618,481.7525829080295
2026-01-25 15:00:00+00:00,160.29250000000002,200.71477092509792,24.636323471266223,376.7932183789296
2026-01-25 16:00:00+00:00,138.3775,207.9729419811249,31.89449452729309,384.05138943495655
2026-01-25 17:00:00+00:00,219.01,297.02048534812457,120.94203789429292,473.09893280195627
2026-01-25 18:00:00+00:00,157.77250000000004,359.9843369519209,183.9058894980892,536.0627844057526
2026-01-25 19:00:00+00:00,213.495,430.93752949032177,254.85908203649012,607.0159769441534
2026-01-25 20:00:00+00:00,374.5725,469.6923341615068,293.61388670767514,645.7707816153385
2026-01-25 21:00:00+00:00,276.6425,282.9280380417078,106.8495905878761,459.0064854955395
2026-01-25 22:00:00+00:00,298.235,318.073814883037,141.99536742920532,494.1522623368687
2026-01-25 23:00:00+00:00,222.265,335.57999608863327,159.50154863480162,511.65844354246497
2026-01-26 00:00:00+00:00,161.35249999999996,217.03258477744328,40.954137323611576,393.111032231275
2026-01-26 01:00:00+00:00,108.07499999999999,236.2076313173876,60.12918386355591,412.2860787712193
2026-01-26 02:00:00+00:00,158.375,272.57842830737064,96.499980853539,448.65687576120234
2026-01-26 03:00:00+00:00,203.10249999999996,203.8329087632548,27.754461309423164,379.9113562170865
2026-01-26 04:00:00+00:00,128.4925,214.02394321154532,37.94549575771373,390.102390665377
2026-01-26 05:00:00+00:00,90.18,178.33669951326738,2.2582520594356765,354.4151469670991
2026-01-26 06:00:00+00:00,54.27999999999997,77.50694058932356,-98.57150686450814,253.5853880431552
2026-01-26 07:00:00+00:00,47.315000000000055,87.30180137844854,-88.77664607538304,263.3802488322803
