date,wind_offshore_50hz_actual,wind_offshore_50hz_fitted,wind_offshore_50hz_lower,wind_offshore_50hz_upper
2026-01-24 00:00:00+00:00,1428.0975,1270.8599,1149.2140014311663,1392.5056367438392
2026-01-24 01:00:00+00:00,1491.815,1343.7745,1222.1286705475657,1465.4203058602386
2026-01-24 02:00:00+00:00,1537.0725,1159.0007,1037.3549565977714,1280.6465919104444
2026-01-24 03:00:00+00:00,1485.8200000000002,1317.724,1196.0782316577756,1439.3698669704486
2026-01-24 04:00:00+00:00,1410.305,1211.2145,1089.5686691969831,1332.860304509656
2026-01-24 05:00:00+00:00,1415.685,1238.4863,1116.840516579457,1360.13215189213
2026-01-24 06:00:00+00:00,1411.44,1399.5872,1277.941346380328,1521.232981693001
2026-01-24 07:00:00+00:00,1399.0349999999999,1420.7622,1299.1163860366612,1542.4080213493341
2026-01-24 08:00:00+00:00,1359.7675,1507.1473,1385.5015488469826,1628.7931841596555
2026-01-24 09:00:00+00:00,1207.4,1419.2202,1297.574352286626,1540.865987599299
2026-01-24 10:00:00+00:00,1015.5575,1381.6874,1260.0416121854446,1503.3332474981175
2026-01-24 11:00:00+00:00,948.74,1477.9513,1356.3054445012763,1599.5970798139492
2026-01-24 12:00:00+00:00,952.5325,1337.195,1215.5491875571563,1458.8408228698293
2026-01-24 13:00:00+00:00,1050.3575,1392.3644,1270.718528021326,1514.010163333999
2026-01-24 14:00:00+00:00,1308.38,1301.5023,1179.8564889575225,1423.1481242701955
2026-01-24 15:00:00+00:00,1468.435,1322.7932,1201.1474591256272,1444.4390944383001
2026-01-24 16:00:00+00:00,1581.3199999999997,1409.1299,1287.4840385225684,1530.7756738352414
2026-01-24 17:00:00+00:00,1597.1325,1380.8053,1259.1594662803423,1502.4511015930152
2026-01-24 18:00:00+00:00,1487.92,1567.3634,1445.7176256279463,1689.009260940619
2026-01-24 19:00:00+00:00,1442.8474999999999,1453.6692,1332.02334077469,1575.3149760873632
2026-01-24 20:00:00+00:00,1245.575,1325.428,1203.7821458462809,1447.0737811589538
2026-01-24 21:00:00+00:00,1011.315,1246.8624,1125.216638204064,1368.5082735167373
2026-01-24 22:00:00+00:00,920.1374999999999,1202.7832,1081.1373937103724,1324.4290290230456
2026-01-24 23:00:00+00:00,989.295,1044.8907,923.244901336904,1166.536536649577
2026-01-25 00:00:00+00:00,1050.0475000000001,1133.1863,1011.5404852619138,1254.8321205745867
2026-01-25 01:00:00+00:00,914.1800000000001,1069.6385,947.9926856096843,1191.2843209223574
2026-01-25 02:00:00+00:00,954.595,1047.2085,925.5626902662525,1168.8543255789255
2026-01-25 03:00:00+00:00,972.6424999999999,1045.4463,923.8004833099378,1167.092118622611
2026-01-25 04:00:00+00:00,1079.5,1202.2953,1080.6495379000737,1323.941173212747
2026-01-25 05:00:00+00:00,1022.055,1461.1124,1339.466648226925,1582.7582835395979
2026-01-25 06:00:00+00:00,900.2025,1249.529,1127.8832295069765,1371.1748648196494
2026-01-25 07:00:00+00:00,874.2125,1173.9376,1052.2917975277765,1295.5834328404494
2026-01-25 08:00:00+00:00,868.5074999999999,1017.9137,896.2678712477166,1139.5595065603898
2026-01-25 09:00:00+00:00,900.29,969.097,847.4511753529672,1090.7428106656403
2026-01-25 10:00:00+00:00,983.5550000000001,1423.8865,1302.2406975345507,1545.5323328472236
2026-01-25 11:00:00+00:00,1010.005,1496.156,1374.5101991380297,1617.8018344507027
2026-01-25 12:00:00+00:00,1126.0974999999999,1349.2831,1227.6372967671173,1470.9289320797902
2026-01-25 13:00:00+00:00,1239.5025,1462.435,1340.7892037219772,1584.0808390346501
2026-01-25 14:00:00+00:00,1377.225,1557.7223,1436.0765031111334,1679.3681384238064
2026-01-25 15:00:00+00:00,1462.105,1541.526,1419.8802208992965,1663.1718562119695
2026-01-25 16:00:00+00:00,1676.2525,1763.085,1641.4390968871712,1884.7307321998444
2026-01-25 17:00:00+00:00,1709.5425,1722.3091,1600.6632717937514,1843.9549071064243
2026-01-25 18:00:00+00:00,1723.095,1703.6194,1581.9735043292767,1825.2651396419496
2026-01-25 19:00:00+00:00,1730.43,1518.3843,1396.7385322506311,1640.030167563304
2026-01-25 20:00:00+00:00,1727.6475,1606.1754,1484.5295815342206,1727.8212168468935
2026-01-25 21:00:00+00:00,1727.9325,1653.9274,1532.2815172763062,1775.5731525889792
2026-01-25 22:00:00+00:00,1728.8625,1654.7013,1533.055440311292,1776.3470756239649
2026-01-25 23:00:00+00:00,1723.145,1647.3037,1525.6579364672502,1768.9495717799232
2026-01-26 00:00:00+00:00,1730.445,1661.0518,1539.405905260736,1782.697540573409
2026-01-26 01:00:00+00:00,1721.2675,1615.0107,1493.3649396111796,1736.6565749238528
2026-01-26 02:00:00+00:00,1723.3925,1516.6542,1395.0083562313562,1638.2999915440291
2026-01-26 03:00:00+00:00,1725.6475,1529.2526,1407.6068124026733,1650.8984477153463
2026-01-26 04:00:00+00:00,1721.75,1642.2659,1520.6199818077512,1763.9116171204241
2026-01-26 05:00:00+00:00,1716.485,1625.0251,1503.3793141517226,1746.6709494643956
2026-01-26 06:00:00+00:00,1718.5225,1629.8372,1508.1914096397873,1751.4830449524602
