date,solar_tenn_actual,solar_tenn_fitted,solar_tenn_lower,solar_tenn_upper
2026-01-24 00:00:00+00:00,0.0,-3.2906067,-243.5613377796467,236.97988472812767
2026-01-24 01:00:00+00:00,0.0,-5.62923,-245.89991253512017,234.64130997265374
2026-01-24 02:00:00+00:00,0.0,-4.436603,-244.70715266365596,235.83406984411795
2026-01-24 03:00:00+00:00,0.0,-0.7278626,-240.99849865475744,239.54272385301647
2026-01-24 04:00:00+00:00,0.0,-6.773029,-247.0436863327186,233.4975361750553
2026-01-24 05:00:00+00:00,0.0,2.427655,-237.84297906325673,242.69824344451717
2026-01-24 06:00:00+00:00,1.3417500000000473,18.973309,-221.29742234359037,259.24380016418354
2026-01-24 07:00:00+00:00,285.98174999999947,309.91788,69.64719903474042,550.1884215425143
2026-01-24 08:00:00+00:00,1388.9524999999996,1451.4359,1211.165341013228,1691.7065635210022
2026-01-24 09:00:00+00:00,2585.33375,2995.3333,2755.062524552924,3235.603747060698
2026-01-24 10:00:00+00:00,3311.24075,4790.3354,4550.064682733196,5030.60590524097
2026-01-24 11:00:00+00:00,3628.5105,4977.796,4737.525330095411,5218.066552603184
2026-01-24 12:00:00+00:00,3631.46875,5003.237,4762.966451666085,5243.507674173859
2026-01-24 13:00:00+00:00,3056.15025,4174.7383,3934.4674081694584,4415.008630677232
2026-01-24 14:00:00+00:00,1795.299,2331.1394,2090.8687047084745,2571.4099272162484
2026-01-24 15:00:00+00:00,413.2462500000006,514.9306,274.660041420977,755.2012639287509
2026-01-24 16:00:00+00:00,1.1804999999999382,45.275555,-194.99496230744808,285.54626020032583
2026-01-24 17:00:00+00:00,0.0,3.368817,-236.90178309195608,243.63943941581783
2026-01-24 18:00:00+00:00,0.0,-3.1353333,-243.40596007660452,237.1352624311694
2026-01-24 19:00:00+00:00,0.0,-9.426593,-249.69709866709854,230.84412384067582
2026-01-24 20:00:00+00:00,0.0,-6.0393863,-246.30991576794213,234.23130673983178
2026-01-24 21:00:00+00:00,0.0,-4.953693,-245.22431293305863,235.31690957471528
2026-01-24 22:00:00+00:00,0.0,-4.7146792,-244.985250687163,235.55597182061092
2026-01-24 23:00:00+00:00,0.0,-4.7146792,-244.985250687163,235.55597182061092
2026-01-25 00:00:00+00:00,0.0,-4.339191,-244.60969078752805,235.93153172024586
2026-01-25 01:00:00+00:00,0.0,-6.5916324,-246.86228477793566,233.67893772983825
2026-01-25 02:00:00+00:00,0.0,-8.042071,-248.3127318087959,232.22849069897802
2026-01-25 03:00:00+00:00,0.0,-6.5916324,-246.86228477793566,233.67893772983825
2026-01-25 04:00:00+00:00,0.0,-2.881183,-243.15184481842743,237.38937768934647
2026-01-25 05:00:00+00:00,0.0,7.8195004,-232.45119417263686,248.09002833513705
2026-01-25 06:00:00+00:00,1.300499999999829,28.510174,-211.76044608790608,268.78077641986783
2026-01-25 07:00:00+00:00,212.78875000000016,428.92496,188.65427304648165,669.1954955542556
2026-01-25 08:00:00+00:00,1010.3900000000001,1602.6987,1362.4282138505748,1842.9694363583487
2026-01-25 09:00:00+00:00,1927.1682500000002,3634.985,3394.714544634598,3875.255767142372
2026-01-25 10:00:00+00:00,2442.05075,5177.4897,4937.219101294422,5417.760323802196
2026-01-25 11:00:00+00:00,2479.40275,5333.744,5093.473706085821,5574.014928593594
2026-01-25 12:00:00+00:00,1903.50225,5000.7354,4760.464589997727,5241.0058125055
2026-01-25 13:00:00+00:00,1224.16775,4181.222,3940.9514294257974,4421.492651933571
2026-01-25 14:00:00+00:00,619.7697499999995,2321.837,2081.5663577141368,2562.1075802219107
2026-01-25 15:00:00+00:00,89.02300000000014,519.9274,279.6568760910568,760.1980985988307
2026-01-25 16:00:00+00:00,0.9962500000001455,16.031658,-224.23888299773125,256.30233951004266
2026-01-25 17:00:00+00:00,0.0,-3.2273743,-243.49806410090378,237.0431584068706
2026-01-25 18:00:00+00:00,0.0,-0.08504033,-240.35555643527323,240.18566607250068
2026-01-25 19:00:00+00:00,0.0,-2.733722,-243.0043763252279,237.53684618254601
2026-01-25 20:00:00+00:00,0.0,-8.328937,-248.5995044495503,231.94171805822407
2026-01-25 21:00:00+00:00,0.0,-7.490558,-247.76112820620665,232.78009430156726
2026-01-25 22:00:00+00:00,0.0,-1.5684388,-241.8391711203135,238.70205138746041
2026-01-25 23:00:00+00:00,0.0,-5.4532046,-245.72386883216586,234.81735367560805
2026-01-26 00:00:00+00:00,0.0,-5.0801578,-245.35086029054446,235.19036221722945
2026-01-26 01:00:00+00:00,0.0,-8.358478,-248.62910020251047,231.91212230526344
2026-01-26 02:00:00+00:00,0.0,-10.826495,-251.0970288092849,229.44419369848902
2026-01-26 03:00:00+00:00,0.0,-5.231281,-245.50190068496295,235.03932182281096
2026-01-26 04:00:00+00:00,0.0,18.155682,-222.11487745122076,258.42634505655315
2026-01-26 05:00:00+00:00,0.0,-25.005695,-265.27620097112685,215.26502153664705
2026-01-26 06:00:00+00:00,0.8085000000000946,4.947186,-235.32351302460302,245.21770948317135
