date,hard_coal_50hz_actual,lignite_50hz_actual,oil_50hz_actual,other_fossil_50hz_actual,gas_50hz_actual,renewables_50hz_actual,biomass_50hz_actual,waste_50hz_actual,hard_coal_50hz_fitted,lignite_50hz_fitted,oil_50hz_fitted,other_fossil_50hz_fitted,gas_50hz_fitted,renewables_50hz_fitted,biomass_50hz_fitted,waste_50hz_fitted,hard_coal_50hz_lower,lignite_50hz_lower,oil_50hz_lower,other_fossil_50hz_lower,gas_50hz_lower,renewables_50hz_lower,biomass_50hz_lower,waste_50hz_lower,hard_coal_50hz_upper,lignite_50hz_upper,oil_50hz_upper,other_fossil_50hz_upper,gas_50hz_upper,renewables_50hz_upper,biomass_50hz_upper,waste_50hz_upper
2026-01-24 00:00:00+00:00,1133.5425,4713.77,424.462,177.49475,3863.3525,141.29925000000003,1029.7625,425.92625,907.9239681664202,5785.287698639782,190.38959170776656,173.66578659142698,3593.8828430261474,124.64282708870678,974.8652088967505,389.3269976738209,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 01:00:00+00:00,1132.5475000000001,4451.55,424.462,177.46875,3808.4775,142.51600000000002,1040.1075,419.8615,923.4217326840912,5765.789074676575,184.6723025419774,175.4933218776853,3558.7055016978243,198.23481932818686,1004.6884395518352,404.78764546107897,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 02:00:00+00:00,1132.955,4431.275,424.462,177.5,3802.4525000000003,142.32150000000001,1038.5774999999999,427.44075,926.9235759834473,5737.69488687657,207.5128980498969,178.36920133474445,3497.238945416515,198.20337232601855,999.507889732361,398.72296072907227,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 03:00:00+00:00,1129.0675,4477.245,424.462,177.65800000000002,3836.8075,142.36325,1038.9,419.9915,914.5072022802685,5893.054057932755,193.7295353895798,175.72256113222966,3468.5074604762654,174.47769052118855,1007.4106549266188,401.11392464912274,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 04:00:00+00:00,1126.545,4630.1175,424.462,177.918,3823.5825,143.4405,1048.0525,427.1485,928.4134103844634,5875.691117028361,248.04949692889232,171.67545654236983,3514.81448125054,222.94462552847256,995.0712420553949,397.9517179961441,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 05:00:00+00:00,1127.6875,4618.094999999999,424.462,178.23975,3786.0775,143.69999999999993,1050.325,428.41325,883.1419246728365,5575.434929506423,289.83418576121596,169.60345024577504,3449.338618918191,327.23510732139033,972.6102807571699,378.6542977011337,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 06:00:00+00:00,1131.9425,4830.18,424.462,178.50825,3877.435,220.9375,1056.8975,427.64300000000003,909.1196813421313,6111.709572679527,298.62934765624146,169.40791479915714,3807.5782691903214,468.93049377831716,956.2784504288059,393.22684660238497,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 07:00:00+00:00,1131.4175,5176.02,424.462,179.198,3998.75,327.5274999999999,1061.2350000000001,431.241,907.8900133576071,5761.366672672555,301.5090581015764,159.26419876880192,3855.1521756297375,713.0177652392591,947.7086782481912,375.7137568689429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 08:00:00+00:00,1130.495,5241.7075,424.462,179.4685,4005.07,428.353,1051.1325000000002,427.06,913.5337698105186,5869.503380624177,308.5959025266849,157.66386435968928,3876.538532136314,654.101701665012,924.6490750481605,376.3840898671582,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 09:00:00+00:00,1133.0125,5164.3575,424.462,179.392,3986.7475,371.3495,1052.305,413.696,923.7728881460864,5891.526932573515,297.92500702170344,167.72035051663363,3717.4426685475664,376.85038491200146,939.4850925880068,398.10008340881444,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 10:00:00+00:00,1136.08,4892.6025,424.462,179.1355,3882.7599999999998,301.07025,1047.1025,413.613,923.9040037528214,6143.275394800066,320.7545297929603,167.99114355272187,3732.2634548234128,260.5007911173825,1009.5774907903555,393.8620527119018,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 11:00:00+00:00,1053.075,4898.4974999999995,424.462,178.83350000000002,3772.2799999999997,237.038,1045.5075,426.536,955.4187587731255,6419.963299583385,311.99955427643187,171.50471078132375,3549.705155105263,202.08950247843256,980.9420479996285,401.7661200052647,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 12:00:00+00:00,1117.58,4903.1325,424.462,178.502,3822.02,218.77274999999997,1038.7775000000001,421.959,982.030976150356,6409.793001329112,311.4443014028241,173.0259561986535,3511.112879209095,195.87212229211843,991.2733017856029,402.80286293354186,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 13:00:00+00:00,1132.605,4955.26,424.462,178.1875,3773.3125,271.017,1040.76,423.8085,920.3448907991828,6488.507837391429,328.8783740876838,178.73611674971397,3598.7786963060526,233.18016714237484,972.058386909121,390.1216446593319,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 14:00:00+00:00,1132.7175,5233.0925,424.462,177.82325,3978.4725,585.43575,1037.7549999999999,424.8465,1037.0915411661194,6539.308541976719,347.4952917584891,177.0264102411016,3707.297232271365,438.15713300782556,962.6177021893768,378.90915571744654,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 15:00:00+00:00,1128.8925,5330.2475,424.462,177.78025,4104.2875,1149.2377500000002,1072.1175,430.67925,1116.1167940894527,6564.079163566887,320.0588052058775,177.94790028263918,3904.1651862032795,1069.7606292283426,1012.9731790111316,388.72278513861164,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
