date,wind_onshore_50hz_actual,wind_onshore_50hz_fitted,wind_onshore_50hz_lower,wind_onshore_50hz_upper
2026-01-24 00:00:00+00:00,3710.34,4087.811,3766.9069361470915,4408.7150204312675
2026-01-24 01:00:00+00:00,3372.12,3790.8633,3469.9591728003356,4111.767257084512
2026-01-24 02:00:00+00:00,2900.105,3148.8062,2827.9020047539507,3469.7100890381266
2026-01-24 03:00:00+00:00,2614.755,2928.593,2607.689020595807,3249.497104879983
2026-01-24 04:00:00+00:00,2550.9825,2811.5955,2490.6913786730343,3132.49946295721
2026-01-24 05:00:00+00:00,2382.815,2469.2925,2148.388355048559,2790.196439332735
2026-01-24 06:00:00+00:00,2343.13,2773.1084,2452.2044351223262,3094.012519406502
2026-01-24 07:00:00+00:00,2235.34,2966.7234,2645.8193672643565,3287.6274515485325
2026-01-24 08:00:00+00:00,2198.13,2563.22,2242.3158767760433,2884.123961060219
2026-01-24 09:00:00+00:00,2126.3625,2668.8252,2347.9212429037825,2989.729327187959
2026-01-24 10:00:00+00:00,2109.0725,2297.3118,1976.4077433561558,2618.215827640332
2026-01-24 11:00:00+00:00,2054.9849999999997,2268.798,1947.8940625924013,2589.702146876577
2026-01-24 12:00:00+00:00,2182.89,2346.4514,2025.5473759166412,2667.355460200817
2026-01-24 13:00:00+00:00,2224.1425,2031.2545,1710.3504699613359,2352.158554245512
2026-01-24 14:00:00+00:00,2228.9700000000003,2149.0605,1828.1564951835005,2469.9645794676767
2026-01-24 15:00:00+00:00,2413.7575,2458.5884,2137.6842384612187,2779.4923227453946
2026-01-24 16:00:00+00:00,2660.6475,2462.4358,2141.531700495091,2783.3397847792676
2026-01-24 17:00:00+00:00,2861.4849999999997,2471.7017,2150.7974944744747,2792.6055787586506
2026-01-24 18:00:00+00:00,2919.705,2827.1719,2506.26782158523,3148.075905869406
2026-01-24 19:00:00+00:00,2648.0425,2424.3945,2103.490527305373,2745.298611589549
2026-01-24 20:00:00+00:00,2411.0475,2304.4656,1983.5614164283413,2625.369500712517
2026-01-24 21:00:00+00:00,2398.6949999999997,1995.1392,1674.2351140016062,2316.043198285782
2026-01-24 22:00:00+00:00,2566.3075,2073.2273,1752.323329972332,2394.131414256508
2026-01-24 23:00:00+00:00,2517.3075,2029.485,1708.5809731605063,2350.3890574446823
2026-01-25 00:00:00+00:00,2539.15,2322.545,2001.640829837214,2643.44891412139
2026-01-25 01:00:00+00:00,2739.6499999999996,2439.562,2118.657878393029,2760.4659626772054
2026-01-25 02:00:00+00:00,2867.205,2910.493,2589.588939122744,3231.39702340692
2026-01-25 03:00:00+00:00,2812.695,2336.3176,2015.4135232412596,2657.2216075254355
2026-01-25 04:00:00+00:00,2809.3125,2262.8381,1941.9341885518352,2583.742272836011
2026-01-25 05:00:00+00:00,2759.835,2345.8516,2024.9475168892925,2666.7556011734687
2026-01-25 06:00:00+00:00,2853.6949999999997,2403.6323,2082.7283409446827,2724.536425228859
2026-01-25 07:00:00+00:00,2807.735,2139.252,1818.3478006447488,2460.155884928925
2026-01-25 08:00:00+00:00,2597.28,2794.3027,2473.398613134546,3115.206697418722
2026-01-25 09:00:00+00:00,2477.35,2375.886,2054.98190141827,2696.789985702446
2026-01-25 10:00:00+00:00,2654.65,2178.4707,1857.5666653606609,2499.374749644837
2026-01-25 11:00:00+00:00,2944.22,2459.742,2138.83786576244,2780.6459500466153
2026-01-25 12:00:00+00:00,3160.5,4332.1807,4011.2763753016693,4653.084459585845
2026-01-25 13:00:00+00:00,3567.4775,4353.0083,4032.1043986649565,4673.912482949133
2026-01-25 14:00:00+00:00,3829.0675,5235.266,4914.361909212228,5556.1699934964045
2026-01-25 15:00:00+00:00,4124.705,4301.1587,3980.2546783166463,4622.062762600823
2026-01-25 16:00:00+00:00,4136.3225,5302.08,4981.176229849481,5622.984314133658
2026-01-25 17:00:00+00:00,4068.52,4777.7686,4456.864702073634,5098.672786357811
2026-01-25 18:00:00+00:00,3964.585,4091.553,3770.6488260972123,4412.456910381388
2026-01-25 19:00:00+00:00,3627.425,4480.892,4159.988045843262,4801.796130127437
2026-01-25 20:00:00+00:00,3234.27,5390.7646,5069.8604674615,5711.668551745676
2026-01-25 21:00:00+00:00,2872.0,3792.197,3471.2930755933776,4113.101159877553
2026-01-25 22:00:00+00:00,2803.8125,4268.6675,3947.763219978138,4589.571304262314
2026-01-25 23:00:00+00:00,2758.7525,4819.347,4498.443025234874,5140.251109519049
2026-01-26 00:00:00+00:00,2485.41,5854.258,5533.353547944955,6175.16163222913
2026-01-26 01:00:00+00:00,2291.805,6107.842,5786.93769311743,6428.745777401607
2026-01-26 02:00:00+00:00,2064.0074999999997,7323.797,7002.892889548819,7644.700973832995
2026-01-26 03:00:00+00:00,1916.6550000000002,7201.419,6880.515049714464,7522.3231339986405
2026-01-26 04:00:00+00:00,1750.685,6930.3945,6609.4907456255405,7251.298829909717
2026-01-26 05:00:00+00:00,1592.7925,6308.3564,5987.452459571448,6629.260543855624
