date,hard_coal_50hz_actual,lignite_50hz_actual,oil_50hz_actual,other_fossil_50hz_actual,gas_50hz_actual,renewables_50hz_actual,biomass_50hz_actual,waste_50hz_actual,hard_coal_50hz_fitted,lignite_50hz_fitted,oil_50hz_fitted,other_fossil_50hz_fitted,gas_50hz_fitted,renewables_50hz_fitted,biomass_50hz_fitted,waste_50hz_fitted,hard_coal_50hz_lower,lignite_50hz_lower,oil_50hz_lower,other_fossil_50hz_lower,gas_50hz_lower,renewables_50hz_lower,biomass_50hz_lower,waste_50hz_lower,hard_coal_50hz_upper,lignite_50hz_upper,oil_50hz_upper,other_fossil_50hz_upper,gas_50hz_upper,renewables_50hz_upper,biomass_50hz_upper,waste_50hz_upper
2026-01-24 00:00:00+00:00,1133.5425,4713.77,424.462,177.49475,3863.3525,141.29925000000003,1029.7625,425.92625,1092.3722345053754,5038.006588984196,385.94713001561536,177.55773804865848,3783.9758512905064,129.56471758695943,1029.8918979045125,412.7604769035722,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 01:00:00+00:00,1132.5475000000001,4451.55,424.462,177.46875,3808.4775,142.51600000000002,1040.1075,419.8615,1037.7987498945631,5052.224444289602,378.7167163654159,177.4185017449082,3786.666680064825,161.19254383718453,1026.2376978461893,412.70185325471243,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 02:00:00+00:00,1132.955,4431.275,424.462,177.5,3802.4525000000003,142.32150000000001,1038.5774999999999,427.44075,1056.3784755091772,4900.38315219295,375.44721192590623,174.3662645537733,3725.408336103568,163.94019073563356,1035.5742370616574,422.0318120555126,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 03:00:00+00:00,1129.0675,4477.245,424.462,177.65800000000002,3836.8075,142.36325,1038.9,419.9915,1041.0143643407357,4959.787773820636,372.9630133231667,173.65153214185943,3703.9554493108208,172.79010431068343,1036.9148470866344,412.5814895678555,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 04:00:00+00:00,1126.545,4630.1175,424.462,177.918,3823.5825,143.4405,1048.0525,427.1485,1040.5756255863414,5005.0818552366245,377.7600721142703,174.43074373189464,3745.7787777010462,198.9241088811661,1033.5460740599215,416.22052633587657,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 05:00:00+00:00,1127.6875,4618.094999999999,424.462,178.23975,3786.0775,143.69999999999993,1050.325,428.41325,1036.9654970219808,5100.3293025388,397.5171113957423,174.41943871846735,3827.9673662837636,278.22779730381546,1022.5206874600316,413.4637417557476,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 06:00:00+00:00,1131.9425,4830.18,424.462,178.50825,3877.435,220.9375,1056.8975,427.64300000000003,1038.928954996196,5537.809405089766,368.81081985645744,170.500056071136,3882.198729567398,259.10768897136353,1025.0203331913538,397.8121417523413,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 07:00:00+00:00,1131.4175,5176.02,424.462,179.198,3998.75,327.5274999999999,1061.2350000000001,431.241,1072.0825115123994,5334.500777704088,402.8685389975068,171.29109645193864,3946.445197542311,561.9087139984542,1024.3837590824937,412.7347003583109,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 08:00:00+00:00,1130.495,5241.7075,424.462,179.4685,4005.07,428.353,1051.1325000000002,427.06,1082.5358054024553,5469.804303144114,410.9321224781004,171.35622922523538,3909.0958631614803,418.2107618808415,1028.118492747737,412.35878262821086,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
2026-01-24 09:00:00+00:00,1133.0125,5164.3575,424.462,179.392,3986.7475,371.3495,1052.305,413.696,1084.9497562317492,5713.615243539923,407.1867859189816,175.98083126129364,3911.148230120951,273.553119176826,1024.112422303436,411.6984253791135,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429,485.4113284821428,4427.6351160466265,321.30533287202377,59.96197808035714,1769.5455587698416,543.2219096676587,988.6460096775795,331.8802791071429
