date,wind_offshore_rte_actual,wind_offshore_rte_fitted,wind_offshore_rte_lower,wind_offshore_rte_upper
2026-02-28 00:00:00+00:00,,1338.3956,1195.8152374002352,1480.976162802338
2026-02-28 01:00:00+00:00,,1360.4053,1217.8248578345597,1502.9857832366624
2026-02-28 02:00:00+00:00,,1250.4296,1107.849093966423,1393.0100193685257
2026-02-28 03:00:00+00:00,,1472.1445,1329.5640517860325,1614.7249771881354
2026-02-28 04:00:00+00:00,,1360.9215,1218.3410554924653,1503.5019808945683
2026-02-28 05:00:00+00:00,,1257.0626,1114.482204440772,1399.643129842875
2026-02-28 06:00:00+00:00,,1027.8633,885.2827925979021,1170.443718000005
2026-02-28 07:00:00+00:00,,1052.8993,910.3188498821927,1195.4797752842956
2026-02-28 08:00:00+00:00,,874.2785,731.6980678810063,1016.8589932831092
2026-02-28 09:00:00+00:00,,686.5728,543.9923468919469,829.1532722940498
2026-02-28 10:00:00+00:00,,942.79285,800.2123885340811,1085.3733139361839
2026-02-28 11:00:00+00:00,,629.5192,486.938760164924,772.0996855670269
2026-02-28 12:00:00+00:00,,651.46533,508.884873057435,794.0457984595379
2026-02-28 13:00:00+00:00,,475.9909,333.4104467435325,618.5713721456353
2026-02-28 14:00:00+00:00,,429.3796,286.799152002722,571.9600774048248
2026-02-28 15:00:00+00:00,,343.60025,201.01977076228854,486.1806961643914
2026-02-28 16:00:00+00:00,,262.61023,120.0297414346893,405.19066683679216
2026-02-28 17:00:00+00:00,,187.8509,45.270459161890244,330.4313845639931
2026-02-28 18:00:00+00:00,,207.07881,64.49835104302656,349.6592764451294
2026-02-28 19:00:00+00:00,,185.86339,43.282921600506484,328.44384700260935
2026-02-28 20:00:00+00:00,,222.01396,79.43350317657007,364.5944285786729
2026-02-28 21:00:00+00:00,,331.47388,188.89339311395236,474.0543185160552
2026-02-28 22:00:00+00:00,,477.8729,335.29243453866314,620.453359940766
2026-02-28 23:00:00+00:00,,564.976,422.3955361014995,707.5564615036023
2026-03-01 00:00:00+00:00,,744.2645,601.684034782355,886.8449601844579
2026-03-01 01:00:00+00:00,,787.2208,644.6403764086003,929.8013018107032
2026-03-01 02:00:00+00:00,,980.8041,838.2236360578892,1123.384561459992
2026-03-01 03:00:00+00:00,,1169.8827,1027.3022471092002,1312.4631725113031
2026-03-01 04:00:00+00:00,,1299.691,1157.1105368882154,1442.2714622903181
2026-03-01 05:00:00+00:00,,1350.267,1207.686547482946,1492.8474728850488
2026-03-01 06:00:00+00:00,,1443.0603,1300.479815902222,1585.6407413043248
2026-03-01 07:00:00+00:00,,1513.3134,1370.7329633751206,1655.8938887772233
2026-03-01 08:00:00+00:00,,1461.7146,1319.1341515601584,1604.2950769622612
2026-03-01 09:00:00+00:00,,1455.5243,1312.9438409695522,1598.104766371655
2026-03-01 10:00:00+00:00,,1399.9042,1257.323749338384,1542.4846747404868
2026-03-01 11:00:00+00:00,,1311.2102,1168.6298084085618,1453.7907338106647
2026-03-01 12:00:00+00:00,,1285.8657,1143.2852685786515,1428.4461939807543
2026-03-01 13:00:00+00:00,,1315.851,1173.2704665547728,1458.4313919568758
2026-03-01 14:00:00+00:00,,1441.0231,1298.4426303676976,1583.6035557698006
2026-03-01 15:00:00+00:00,,1226.5275,1083.9469646045447,1369.1078900066475
2026-03-01 16:00:00+00:00,,1294.3158,1151.7353712650365,1436.8962966671393
2026-03-01 17:00:00+00:00,,1242.4594,1099.878872637496,1385.0397980395987
2026-03-01 18:00:00+00:00,,1310.6809,1168.1004850861505,1453.2614104882532
2026-03-01 19:00:00+00:00,,1337.9006,1195.320229155881,1480.4811545579837
2026-03-01 20:00:00+00:00,,1295.2827,1152.702255977285,1437.8631813793877
2026-03-01 21:00:00+00:00,,1341.7618,1199.1813523213273,1484.34227772343
2026-03-01 22:00:00+00:00,,1428.0718,1285.4913076481664,1570.6522330502694
2026-03-01 23:00:00+00:00,,1338.1652,1195.5847436683812,1480.745669070484
2026-03-02 00:00:00+00:00,,1508.1494,1365.568985573671,1650.7299109757737
2026-03-02 01:00:00+00:00,,1326.6116,1184.0311570699778,1469.1920824720805
2026-03-02 02:00:00+00:00,,1230.5975,1088.0170977908833,1373.178023192986
2026-03-02 03:00:00+00:00,,1267.5771,1124.9966857424058,1410.1576111445088
2026-03-02 04:00:00+00:00,,1274.3214,1131.740922918936,1416.9018483210386
2026-03-02 05:00:00+00:00,,1277.0038,1134.4233260961016,1419.5842514982044
2026-03-02 06:00:00+00:00,,1239.6039,1097.0234814424757,1382.1844068445785
2026-03-02 07:00:00+00:00,,1168.6678,1026.0874462584,1311.2483716605027
2026-03-02 08:00:00+00:00,,1152.0641,1009.4836572374218,1294.6445826395247
2026-03-02 09:00:00+00:00,,1306.4447,1163.8642504413615,1449.0251758434642
2026-03-02 10:00:00+00:00,,1310.9536,1168.3731222071788,1453.5340476092817
2026-03-02 11:00:00+00:00,,1176.67,1034.0895694266183,1319.250494828721
2026-03-02 12:00:00+00:00,,1100.1675,957.5870164430978,1242.7479418452006
2026-03-02 13:00:00+00:00,,936.0192,793.4387804759895,1078.5997058780922
2026-03-02 14:00:00+00:00,,785.2134,642.6329296274005,927.7938550295034
2026-03-02 15:00:00+00:00,,564.14496,421.56448435903803,706.7254097611409
2026-03-02 16:00:00+00:00,,565.7601,423.17957751136134,708.3405029134642
2026-03-02 17:00:00+00:00,,443.25168,300.6712136005452,585.832139002648
2026-03-02 18:00:00+00:00,,404.81577,262.23528019860646,547.3962056007093
