date,solar_rte_actual,solar_rte_fitted,solar_rte_lower,solar_rte_upper
2026-01-31 10:00:00+00:00,5476.8925,5456.612,5142.714828175193,5770.50856341717
2026-01-31 11:00:00+00:00,6949.95,6355.3813,6041.484682404615,6669.278417646592
2026-01-31 12:00:00+00:00,7289.8150000000005,6631.576,6317.679467734793,6945.473202976769
2026-01-31 13:00:00+00:00,6264.112499999999,5971.1826,5657.285775926486,6285.079511168462
2026-01-31 14:00:00+00:00,4779.35,4351.112,4037.2149558213014,4665.008691063278
2026-01-31 15:00:00+00:00,2824.335,2657.071,2343.174299392696,2970.968034634672
2026-01-31 16:00:00+00:00,838.4624999999996,661.0238,347.12683348754354,974.9205687295193
2026-01-31 17:00:00+00:00,275.9875000000002,270.1864,-43.71045094888041,584.0832842930959
2026-01-31 18:00:00+00:00,244.0675000000001,202.43567,-111.46116870926289,516.3325665327134
2026-01-31 19:00:00+00:00,0.0,-5.3580394,-319.2550278521767,308.5387073897996
2026-01-31 20:00:00+00:00,0.0,-2.7186348,-316.61543171920266,311.1783035227736
2026-01-31 21:00:00+00:00,0.0,-5.0074534,-318.9044154619892,308.8893197799871
2026-01-31 22:00:00+00:00,0.0,-1.3792795,-315.2762524399909,312.5174828019849
2026-01-31 23:00:00+00:00,0.0,-7.9935374,-321.8903726223598,305.9033626196165
2026-02-01 00:00:00+00:00,0.0,-2.7157052,-316.6126808373965,311.18105440457975
2026-02-01 01:00:00+00:00,0.0,-8.316779,-322.213726274651,305.58000896732483
2026-02-01 02:00:00+00:00,0.0,-0.05335173,-313.95032740948136,313.8434078324949
2026-02-01 03:00:00+00:00,0.0,-2.493293,-316.3901094912717,311.4036257507046
2026-02-01 04:00:00+00:00,0.0,0.9590995,-312.93775282469596,314.8559824172803
2026-02-01 05:00:00+00:00,0.0,16.765495,-297.1314360473739,330.6622991946024
2026-02-01 06:00:00+00:00,0.0,64.9464,-248.95049145513576,378.8432437868405
2026-02-01 07:00:00+00:00,599.3975,471.64417,157.74737715423862,785.5411123962144
