date,solar_rte_actual,solar_rte_fitted,solar_rte_lower,solar_rte_upper
2026-02-28 00:00:00+00:00,,-48.301888,-362.1987936460496,265.5949415959267
2026-02-28 01:00:00+00:00,,-7.7137523,-321.61053291863664,306.18320232333963
2026-02-28 02:00:00+00:00,,-10.053107,-323.9500328545887,303.84370238738757
2026-02-28 03:00:00+00:00,,-8.915168,-322.81191802738203,304.98181721459423
2026-02-28 04:00:00+00:00,,-1.3057932,-315.2027288717204,312.5910063702554
2026-02-28 05:00:00+00:00,,-2.2533028,-316.15028261381804,311.6434526281578
2026-02-28 06:00:00+00:00,,392.12708,78.23013758878096,706.0238728307568
2026-02-28 07:00:00+00:00,,1336.5651,1022.6681309207088,1650.4618661626846
2026-02-28 08:00:00+00:00,,3533.8318,3219.9349422324094,3847.728677474385
2026-02-28 09:00:00+00:00,,5479.0522,5165.155271548019,5792.949006789995
2026-02-28 10:00:00+00:00,,6589.4785,6275.581723136358,6903.375458378335
2026-02-28 11:00:00+00:00,,6943.1665,6629.2698492632435,7257.063584505219
2026-02-28 12:00:00+00:00,,6903.5225,6589.62564115563,7217.419376397605
2026-02-28 13:00:00+00:00,,6052.9536,5739.05673793158,6366.850473173557
2026-02-28 14:00:00+00:00,,4794.5234,4480.626843254532,5108.420578496509
2026-02-28 15:00:00+00:00,,3107.3704,2793.473535217678,3421.2672704596544
2026-02-28 16:00:00+00:00,,1337.146,1023.2490671421106,1651.0428023840868
2026-02-28 17:00:00+00:00,,388.9469,75.05011822100278,702.8438534629786
2026-02-28 18:00:00+00:00,,208.21692,-105.68006555379498,522.1136696881813
2026-02-28 19:00:00+00:00,,78.0592,-235.83778812625178,391.9559471157245
2026-02-28 20:00:00+00:00,,-0.65467006,-314.5515201241824,313.2422151177934
2026-02-28 21:00:00+00:00,,0.75573033,-313.1410679981782,314.6526672437976
2026-02-28 22:00:00+00:00,,1.267449,-312.62940398225555,315.1643312597207
2026-02-28 23:00:00+00:00,,4.6121755,-309.284581786279,318.50915345569683
2026-03-01 00:00:00+00:00,,4.202019,-309.69496333570714,318.0987719062691
2026-03-01 01:00:00+00:00,,-2.125129,-316.0219914895911,311.77174375238474
2026-03-01 02:00:00+00:00,,-2.125129,-316.0219914895911,311.77174375238474
2026-03-01 03:00:00+00:00,,-0.3050607,-314.20190805465154,313.59182718732427
2026-03-01 04:00:00+00:00,,8.904412,-304.9924559283695,322.80127931360676
2026-03-01 05:00:00+00:00,,10.259149,-303.6377716789784,324.1559635629974
2026-03-01 06:00:00+00:00,,453.7528,139.8558919679408,767.6496272099171
2026-03-01 07:00:00+00:00,,1915.8923,1601.9954615865129,2229.789196828489
2026-03-01 08:00:00+00:00,,5535.7456,5221.848694848955,5849.642430090931
2026-03-01 09:00:00+00:00,,8776.374,8462.47699105883,9090.270726300805
2026-03-01 10:00:00+00:00,,11148.158,10834.260775726169,11462.054510968144
2026-03-01 11:00:00+00:00,,11762.018,11448.12055090356,12075.914286145537
2026-03-01 12:00:00+00:00,,11881.673,11567.775906900897,12195.569642142873
2026-03-01 13:00:00+00:00,,10202.102,9888.205013812127,10515.998749054103
2026-03-01 14:00:00+00:00,,8241.828,7927.930640113084,8555.724375355061
2026-03-01 15:00:00+00:00,,5209.705,4895.808431353724,5523.6021665957
2026-03-01 16:00:00+00:00,,2015.596,1701.6990469649134,2329.4927822068894
2026-03-01 17:00:00+00:00,,417.78235,103.88536147220657,731.6790967141824
2026-03-01 18:00:00+00:00,,209.10901,-104.78777952798237,523.0059557139939
2026-03-01 19:00:00+00:00,,66.99401,-246.90283507078766,380.8909001711886
2026-03-01 20:00:00+00:00,,-5.2091136,-319.10598007432236,308.6877551676539
2026-03-01 21:00:00+00:00,,-1.52259,-315.4195483740691,312.37418686790716
2026-03-01 22:00:00+00:00,,1.8568045,-312.03996503527105,315.7537702067052
2026-03-01 23:00:00+00:00,,6.948113,-306.9488330527897,320.8449021891861
2026-03-02 00:00:00+00:00,,8.66076,-305.23603400828597,322.5577012336903
2026-03-02 01:00:00+00:00,,7.778435,-306.1183168275311,321.6754184144452
2026-03-02 02:00:00+00:00,,8.66076,-305.23603400828597,322.5577012336903
2026-03-02 03:00:00+00:00,,4.804314,-309.0925202201852,318.7012150217911
2026-03-02 04:00:00+00:00,,13.808953,-300.0878837483706,327.7058514936057
2026-03-02 05:00:00+00:00,,12.0054865,-301.89146189247367,325.90227334950214
2026-03-02 06:00:00+00:00,,399.28357,85.38668164726732,713.1804168892431
2026-03-02 07:00:00+00:00,,1793.0665,1479.1697143077183,2106.9634495496944
2026-03-02 08:00:00+00:00,,4965.9673,4652.070550212478,5279.864285454455
2026-03-02 09:00:00+00:00,,7768.4375,7454.540893158487,8082.334628400464
2026-03-02 10:00:00+00:00,,9966.196,9652.299393332996,10280.093128574972
2026-03-02 11:00:00+00:00,,11087.436,10773.538310900045,11401.332046142023
2026-03-02 12:00:00+00:00,,11612.773,11298.875709879838,11926.669445121814
2026-03-02 13:00:00+00:00,,10578.988,10265.091326209318,10892.885061451294
2026-03-02 14:00:00+00:00,,8976.267,8662.37006757464,9290.163802816618
2026-03-02 15:00:00+00:00,,6317.2856,6003.388970673635,6631.182705915611
2026-03-02 16:00:00+00:00,,2458.7244,2144.8274685320403,2772.6212037740165
2026-03-02 17:00:00+00:00,,435.03552,121.13864207950382,748.9323773214796
2026-03-02 18:00:00+00:00,,244.6576,-69.23938434939237,558.5543508925834
2026-03-02 19:00:00+00:00,,70.59557,-243.30118054619334,384.4925546957829
