date,solar_tenn_actual,solar_tenn_fitted,solar_tenn_lower,solar_tenn_upper
2026-01-24 00:00:00+00:00,0.0,-927.138207962073,-3228.5396345018735,1368.5808445531766
2026-01-24 01:00:00+00:00,0.0,-900.96251969284,-3197.8038638706266,1394.4172991890011
2026-01-24 02:00:00+00:00,0.0,-443.9833959235134,-2743.133646257472,1851.5279935743579
2026-01-24 03:00:00+00:00,0.0,-130.74786941525235,-2423.949293476373,2164.6663703559634
2026-01-24 04:00:00+00:00,0.0,-243.71902717966032,-2541.3637158511583,2051.443207144785
2026-01-24 05:00:00+00:00,0.0,13.810081567247835,-2283.3596104468315,2310.443785715788
2026-01-24 06:00:00+00:00,1.3417500000000473,23.44400832815154,-2276.0573139036005,2321.5758666957263
2026-01-24 07:00:00+00:00,285.98174999999947,-119.23883919697846,-2414.542993066975,2177.832023333076
2026-01-24 08:00:00+00:00,1388.9524999999996,964.3202392802921,-1331.9606487246974,3260.5807158434336
2026-01-24 09:00:00+00:00,2585.33375,1415.4415668469305,-877.3677852242063,3714.604175936548
2026-01-24 10:00:00+00:00,3311.24075,2312.126562392139,21.75213612505695,4611.098799091387
2026-01-24 11:00:00+00:00,3628.5105,2560.1801916797517,260.5198905420798,4857.004863159447
2026-01-24 12:00:00+00:00,3631.46875,3413.6264623549296,1118.4104281279613,5710.938202434752
2026-01-24 13:00:00+00:00,3056.15025,2436.6536906368306,143.50374744543888,4732.5979961259545
2026-01-24 14:00:00+00:00,1795.299,1395.3700636903159,-897.9379885260719,3690.3255587590675
2026-01-24 15:00:00+00:00,413.2462500000006,431.02051494370653,-1863.2558658643911,2726.762740627758
2026-01-24 16:00:00+00:00,1.1804999999999382,-387.8888869859579,-2682.9027480135956,1907.77770505837
2026-01-24 17:00:00+00:00,0.0,-1323.9457205082736,-3627.58649489464,973.2162123688531
2026-01-24 18:00:00+00:00,0.0,-936.2056975338173,-3232.774714436129,1356.9009587331811
2026-01-24 19:00:00+00:00,0.0,-360.7784057404956,-2655.0241084512554,1933.9215725120002
2026-01-24 20:00:00+00:00,0.0,95.18391962229589,-2202.2791996631668,2389.994153074318
2026-01-24 21:00:00+00:00,0.0,-47.73585569734678,-2342.6505763460573,2248.6975951732675
2026-01-24 22:00:00+00:00,0.0,-394.8392771186209,-2692.590987125028,1899.6279262895523
2026-01-24 23:00:00+00:00,0.0,-430.83193344029087,-2726.1588120847136,1862.2846659641007
2026-01-25 00:00:00+00:00,0.0,-935.3125622306543,-3230.5709698528653,1361.669355082337
2026-01-25 01:00:00+00:00,0.0,-666.063603871467,-2962.0795932924675,1627.8215554715996
2026-01-25 02:00:00+00:00,0.0,-534.0162385701633,-2830.2533733900573,1757.9667493633892
2026-01-25 03:00:00+00:00,0.0,-363.33616763150303,-2658.364236740219,1928.734653026063
2026-01-25 04:00:00+00:00,0.0,-191.74983589590738,-2485.443457422207,2101.6554323440755
2026-01-25 05:00:00+00:00,0.0,-84.11153302040566,-2379.4728247632274,2210.778012447241
2026-01-25 06:00:00+00:00,1.300499999999829,-37.00604801843747,-2334.2901314029496,2257.344304458516
2026-01-25 07:00:00+00:00,212.78875000000016,-66.60813734760313,-2363.5601141541083,2226.3174343560054
2026-01-25 08:00:00+00:00,1010.3900000000001,930.570877416521,-1369.2655378042955,3227.5822104418066
2026-01-25 09:00:00+00:00,1927.1682500000002,1337.048057530799,-955.0340907654563,3634.3803155318483
2026-01-25 10:00:00+00:00,2442.05075,2309.5580621850822,17.942191400913543,4605.259499793636
2026-01-25 11:00:00+00:00,2479.40275,2884.932571494807,587.6125410130553,5180.682322119403
2026-01-25 12:00:00+00:00,1903.50225,2880.305825099234,585.3347756957851,5176.969867160684
2026-01-25 13:00:00+00:00,1224.16775,2524.0814488149617,229.48671534062714,4821.335279325421
2026-01-25 14:00:00+00:00,619.7697499999995,757.3889297056135,-1535.4759520946836,3054.5019838728545
2026-01-25 15:00:00+00:00,89.02300000000014,-440.91407640330453,-2740.3405472226077,1855.1588765086663
2026-01-25 16:00:00+00:00,0.9962500000001455,-562.4890943878358,-2858.458321908761,1735.420748458481
2026-01-25 17:00:00+00:00,0.0,-1078.1088129496966,-3377.4360897540364,1214.623127347386
2026-01-25 18:00:00+00:00,0.0,-660.5212324134463,-2957.649777782138,1632.6878883394136
2026-01-25 19:00:00+00:00,0.0,-383.31351071449853,-2682.0334255748294,1908.1020430483736
2026-01-25 20:00:00+00:00,0.0,-185.81851359031862,-2487.1069206742095,2104.310080570301
2026-01-25 21:00:00+00:00,0.0,-210.8861506724238,-2512.027733840122,2084.2056261871617
2026-01-25 22:00:00+00:00,0.0,-406.2694462578261,-2706.160180545564,1884.960467647401
2026-01-25 23:00:00+00:00,0.0,-479.34659442133034,-2777.5045529222307,1812.2362772943911
2026-01-26 00:00:00+00:00,0.0,-991.4095524077647,-3290.3690829691504,1303.9003060008636
2026-01-26 01:00:00+00:00,0.0,-659.5179087298366,-2959.62760541471,1631.323347202308
2026-01-26 02:00:00+00:00,0.0,-499.59205540854737,-2794.9792205960084,1796.1256923694696
2026-01-26 03:00:00+00:00,0.0,-387.4260141789491,-2681.3912598966563,1908.8720786351455
2026-01-26 04:00:00+00:00,0.0,-206.99364591082576,-2503.7035820333695,2086.813441282196
2026-01-26 05:00:00+00:00,0.0,-122.59565009842754,-2419.589637033396,2173.8147081076995
2026-01-26 06:00:00+00:00,0.8085000000000946,-59.294485299686585,-2358.291116536535,2236.107273638847
2026-01-26 07:00:00+00:00,69.07349999999997,-50.96874987505953,-2350.1455862446783,2242.222122908146
2026-01-26 08:00:00+00:00,304.2647499999998,973.8284374315633,-1323.066419337245,3270.057889495556
2026-01-26 09:00:00+00:00,772.6010000000001,1655.1380418803,-638.5406327225428,3952.0066660214434
2026-01-26 10:00:00+00:00,973.2382499999999,2426.904388851777,132.16358511892258,4720.874582937505
2026-01-26 11:00:00+00:00,989.9590000000001,2815.9518820741896,521.5436844942624,5112.396436258921
2026-01-26 12:00:00+00:00,750.7512500000003,2428.497602429473,133.32394086583372,4724.237173263957
2026-01-26 13:00:00+00:00,564.9755,2249.666528121118,-46.5876269708433,4548.517937054898
2026-01-26 14:00:00+00:00,335.49549999999954,975.5302664408489,-1319.5317943130303,3271.324520571873
2026-01-26 15:00:00+00:00,71.58150000000023,-168.79044724327014,-2462.3554526422504,2126.3096911111143
2026-01-26 16:00:00+00:00,0.9767499999998108,-583.9899366741638,-2880.1448907060985,1710.1865186630248
2026-01-26 17:00:00+00:00,0.0,-1046.1419410930116,-3342.801892263028,1248.492046833472
2026-01-26 18:00:00+00:00,0.0,-572.6697183822389,-2874.2388324464264,1718.9813842526082
2026-01-26 19:00:00+00:00,0.0,-275.1595917868731,-2573.0503529195657,2019.3852290243765
2026-01-26 20:00:00+00:00,0.0,-135.8798095087518,-2432.5040660379454,2160.895865086481
2026-01-26 21:00:00+00:00,0.0,44.40204339632692,-2251.2012322535666,2337.8911661801044
2026-01-26 22:00:00+00:00,0.0,-218.92358305997595,-2513.755227034755,2075.5994265835325
2026-01-26 23:00:00+00:00,0.0,-328.4300452773223,-2625.778677197265,1964.7487596878905
2026-01-27 00:00:00+00:00,0.0,-737.9912290081684,-3035.8467635374154,1555.6313793929428
2026-01-27 01:00:00+00:00,0.0,-465.66658405099633,-2761.8617171239084,1828.1162188436301
2026-01-27 02:00:00+00:00,0.0,-219.63948140361708,-2514.4347938163137,2075.7098762368773
2026-01-27 03:00:00+00:00,0.0,-257.43060576074504,-2554.4950691205313,2037.7469201339554
