date,wind_onshore_tenn_actual,wind_onshore_tenn_fitted,wind_onshore_tenn_lower,wind_onshore_tenn_upper
2026-02-28 00:00:00+00:00,,6031.451,5507.398294511472,6555.5038641415
2026-02-28 01:00:00+00:00,,4948.5396,4424.486784385494,5472.592354015521
2026-02-28 02:00:00+00:00,,4188.1357,3664.0828150396455,4712.188384669674
2026-02-28 03:00:00+00:00,,3351.5295,2827.4766471240646,3875.5822167540923
2026-02-28 04:00:00+00:00,,4935.876,4411.823029496707,5459.928599126734
2026-02-28 05:00:00+00:00,,3815.8357,3291.7829699806443,4339.888539610672
2026-02-28 06:00:00+00:00,,4984.231,4460.177998315283,5508.28356794531
2026-02-28 07:00:00+00:00,,5181.1396,4657.086643665168,5705.192213295195
2026-02-28 08:00:00+00:00,,6477.8315,5953.778874960828,7001.884444590856
2026-02-28 09:00:00+00:00,,5501.738,4977.68506383392,6025.790633463948
2026-02-28 10:00:00+00:00,,8369.701,7845.648844148459,8893.754413778486
2026-02-28 11:00:00+00:00,,9976.329,9452.276673656534,10500.38224328656
2026-02-28 12:00:00+00:00,,10533.999,10009.946608911969,11058.052178541995
2026-02-28 13:00:00+00:00,,10565.6045,10041.552289033403,11089.65785866343
2026-02-28 14:00:00+00:00,,11995.063,11471.011056804684,12519.116626434708
2026-02-28 15:00:00+00:00,,12894.577,12370.525051532595,13418.630621162622
2026-02-28 16:00:00+00:00,,14128.797,13604.74431344685,14652.849883076877
2026-02-28 17:00:00+00:00,,14449.05,13924.996679338115,14973.102248968142
2026-02-28 18:00:00+00:00,,16148.79,15624.736790331226,16672.84235996125
2026-02-28 19:00:00+00:00,,18608.924,18084.872104834045,19132.97767446407
2026-02-28 20:00:00+00:00,,16992.03,16467.977780371548,17516.083350001576
2026-02-28 21:00:00+00:00,,16024.794,15500.741290622786,16548.846860252812
2026-02-28 22:00:00+00:00,,13354.829,12830.776455590623,13878.88202522065
2026-02-28 23:00:00+00:00,,14752.356,14228.304029802894,15276.40959943292
2026-03-01 00:00:00+00:00,,13564.099,13040.046532607477,14088.152102237505
2026-03-01 01:00:00+00:00,,10904.316,10380.264197502838,11428.369767132863
2026-03-01 02:00:00+00:00,,10934.428,10410.375237145625,11458.480806775653
2026-03-01 03:00:00+00:00,,8343.299,7819.246145693232,8867.35171532326
2026-03-01 04:00:00+00:00,,7864.9478,7340.894990838922,8389.00056046895
2026-03-01 05:00:00+00:00,,7225.024,6700.971159242419,7749.076728872447
2026-03-01 06:00:00+00:00,,5842.562,5318.509015479718,6366.614585109745
2026-03-01 07:00:00+00:00,,6208.763,5684.7105533774575,6732.816123007486
2026-03-01 08:00:00+00:00,,4445.4004,3921.3476765930645,4969.453246223092
2026-03-01 09:00:00+00:00,,6239.866,5715.813440837877,6763.919010467905
2026-03-01 10:00:00+00:00,,8568.176,8044.122812707958,9092.228382337986
2026-03-01 11:00:00+00:00,,9097.276,8573.223448814331,9621.32901844436
2026-03-01 12:00:00+00:00,,7671.898,7147.845243183148,8195.950812813177
2026-03-01 13:00:00+00:00,,9044.841,8520.787787022284,9568.893356652312
2026-03-01 14:00:00+00:00,,6779.676,6255.623246623766,7303.728816253793
2026-03-01 15:00:00+00:00,,6361.695,5837.642078185733,6885.7476478157605
2026-03-01 16:00:00+00:00,,6455.8677,5931.81476417702,6979.920333807047
2026-03-01 17:00:00+00:00,,7447.344,6923.29134210512,7971.396911735147
2026-03-01 18:00:00+00:00,,9490.742,8966.689124818167,10014.794694448194
2026-03-01 19:00:00+00:00,,9820.256,9296.202923675322,10344.30849330535
2026-03-01 20:00:00+00:00,,9508.939,8984.886738979121,10032.992308609148
2026-03-01 21:00:00+00:00,,7862.269,7338.216569981182,8386.32213961121
2026-03-01 22:00:00+00:00,,9198.055,8674.002304421185,9722.107874051213
2026-03-01 23:00:00+00:00,,7444.6304,6920.577857902817,7968.683427532846
2026-03-02 00:00:00+00:00,,6278.6025,5754.549997826243,6802.6555674562715
2026-03-02 01:00:00+00:00,,6437.233,5913.17990487604,6961.285474506069
2026-03-02 02:00:00+00:00,,4853.2485,4329.195669286039,5377.301238916068
2026-03-02 03:00:00+00:00,,3851.7004,3327.647799799366,4375.753369429393
2026-03-02 04:00:00+00:00,,3076.7358,2552.6831224572497,3600.788692087277
2026-03-02 05:00:00+00:00,,2998.6646,2474.611707455583,3522.7172770856105
