date,wind_onshore_tenn_actual,wind_onshore_tenn_fitted,wind_onshore_tenn_lower,wind_onshore_tenn_upper
2026-01-24 00:00:00+00:00,11227.58075,10542.498,10018.44554496701,11066.551114597036
2026-01-24 01:00:00+00:00,10589.34475,10350.604,9826.551186847904,10874.656756477933
2026-01-24 02:00:00+00:00,9855.24925,10677.138,10153.085124750787,11201.190694380814
2026-01-24 03:00:00+00:00,9349.25425,10470.25,9946.19778516365,10994.303354793676
2026-01-24 04:00:00+00:00,8979.3665,10508.002,9983.949493919961,11032.055063549986
2026-01-24 05:00:00+00:00,9183.65625,10322.111,9798.058294389979,10846.163864020007
2026-01-24 06:00:00+00:00,8571.08225,10515.103,9991.050082860525,11039.155652490554
2026-01-24 07:00:00+00:00,8077.121,9803.945,9279.892450118707,10327.998019748735
2026-01-24 08:00:00+00:00,7718.3715,9796.745,9272.692166146215,10320.797735776241
2026-01-24 09:00:00+00:00,7178.78175,10264.833,9740.77996604711,10788.885535677138
2026-01-24 10:00:00+00:00,6698.17175,8948.444,8424.391849485688,9472.497419115716
2026-01-24 11:00:00+00:00,5602.26875,8586.491,8062.438176906621,9110.543746536649
2026-01-24 12:00:00+00:00,5037.46025,7910.728,7386.675420499692,8434.78099012972
2026-01-24 13:00:00+00:00,5043.33275,7272.2817,6748.229221043054,7796.334790673081
2026-01-24 14:00:00+00:00,4845.08375,6413.071,5889.018185888468,6937.123755518496
2026-01-24 15:00:00+00:00,5064.4805,6412.2354,5888.182618537552,6936.288188167579
2026-01-24 16:00:00+00:00,5475.2294999999995,6873.442,6349.389040818083,7397.4946104481105
2026-01-24 17:00:00+00:00,5530.74025,6948.4395,6424.386918168811,7472.492487798838
2026-01-24 18:00:00+00:00,5395.535,6833.799,6309.746004789425,7357.851574419452
2026-01-24 19:00:00+00:00,5123.242,6781.604,6257.551468907929,7305.657038537956
2026-01-24 20:00:00+00:00,5178.651,5539.153,5015.100215998077,6063.205785628104
2026-01-24 21:00:00+00:00,5137.999,5969.1143,5445.0616535070585,6493.167223137087
2026-01-24 22:00:00+00:00,5076.775,6764.8804,6240.827692718957,7288.9332623489845
2026-01-24 23:00:00+00:00,5324.9425,6841.5747,6317.521824779561,7365.627394409588
2026-01-25 00:00:00+00:00,5673.937,6144.943,5620.890229189575,6668.995798819602
2026-01-25 01:00:00+00:00,5403.31525,5514.058,4990.005556920072,6038.1111265500995
2026-01-25 02:00:00+00:00,5100.572,3914.1738,3390.120998139178,4438.226567769205
2026-01-25 03:00:00+00:00,4539.90075,4085.102,3561.049177044052,4609.15474667408
2026-01-25 04:00:00+00:00,4242.052,4033.4639,3509.411206340791,4557.516775970818
2026-01-25 05:00:00+00:00,4345.53175,4860.7627,4336.710018775776,5384.815588405803
2026-01-25 06:00:00+00:00,4648.529,4239.49,3715.437662318906,4763.543231948934
2026-01-25 07:00:00+00:00,4978.3324999999995,5623.6187,5099.565662474458,6147.671232104486
2026-01-25 08:00:00+00:00,5560.2652499999995,5751.7017,5227.648981486778,6275.7545511168055
2026-01-25 09:00:00+00:00,6113.04925,7959.6255,7435.572562825228,8483.678132455256
2026-01-25 10:00:00+00:00,6443.58275,8381.297,7857.243821194979,8905.349390825006
2026-01-25 11:00:00+00:00,6487.99675,8487.815,7963.762860306741,9011.868429936769
2026-01-25 12:00:00+00:00,6684.3765,9996.722,9472.668886853622,10520.77445648365
2026-01-25 13:00:00+00:00,6742.1849999999995,9727.124,9203.071017184004,10251.17658681403
2026-01-25 14:00:00+00:00,6762.47025,9829.239,9305.186204885471,10353.291774515497
2026-01-25 15:00:00+00:00,6879.1205,9443.441,8919.388673003956,9967.494242633984
2026-01-25 16:00:00+00:00,7196.8057499999995,9521.593,8997.540158031265,10045.645727661293
2026-01-25 17:00:00+00:00,6911.47575,9390.109,8866.056540924823,9914.162110554851
2026-01-25 18:00:00+00:00,6312.38275,7582.8105,7058.757657986986,8106.863227617014
2026-01-25 19:00:00+00:00,6185.5525,8764.858,8240.805672360537,9288.911241990565
2026-01-25 20:00:00+00:00,5881.70375,8858.043,8333.989912201949,9382.095481831977
2026-01-25 21:00:00+00:00,5379.03825,6785.065,6261.012142516178,7309.117712146206
2026-01-25 22:00:00+00:00,5403.0485,6532.672,6008.618861689506,7056.724431319533
2026-01-25 23:00:00+00:00,5811.001,6363.443,5839.390077495514,6887.495647125542
2026-01-26 00:00:00+00:00,5930.989,8604.639,8080.585812718238,9128.691382348265
2026-01-26 01:00:00+00:00,6343.5615,9361.735,8837.682183504858,9885.787753134884
2026-01-26 02:00:00+00:00,6371.37475,9850.501,9326.447936694349,10374.553506324377
2026-01-26 03:00:00+00:00,6588.82725,9740.524,9216.47227980897,10264.577849438996
2026-01-26 04:00:00+00:00,7127.63,11192.35,10668.297013076082,11716.402582706109
2026-01-26 05:00:00+00:00,8394.768,12250.748,11726.695058685178,12774.800628315206
2026-01-26 06:00:00+00:00,8621.521499999999,12646.246,12122.193885340112,13170.299454970138
2026-01-26 07:00:00+00:00,8416.90075,12174.741,11650.688717678167,12698.794287308192
2026-01-26 08:00:00+00:00,8400.06025,12081.848,11557.794927929768,12605.900497559795
2026-01-26 09:00:00+00:00,8686.1675,12796.379,12272.326230085308,13320.431799715334
2026-01-26 10:00:00+00:00,8413.374749999999,12338.957,11814.904490266788,12863.010059896813
2026-01-26 11:00:00+00:00,7940.969,12244.842,11720.789240127226,12768.894809757254
2026-01-26 12:00:00+00:00,7381.3535,11500.763,10976.710528509397,12024.816098139421
