date,solar_tran_actual,solar_tran_fitted,solar_tran_lower,solar_tran_upper
2026-02-28 00:00:00+00:00,,7.579055,-84.88933256400469,100.04755818052399
2026-02-28 01:00:00+00:00,,27.95918,-64.5092354458393,120.42765529868939
2026-02-28 02:00:00+00:00,,8.679397,-83.78909586516625,101.14779487936244
2026-02-28 03:00:00+00:00,,4.4481955,-88.02019645492805,96.91669428960063
2026-02-28 04:00:00+00:00,,4.168044,-88.30044269415498,96.63644805037359
2026-02-28 05:00:00+00:00,,24.25862,-68.20985615370341,116.72703459082527
2026-02-28 06:00:00+00:00,,246.95149,154.48303127314193,339.41992201767073
2026-02-28 07:00:00+00:00,,858.4132,765.9447395912639,950.8816303357928
2026-02-28 08:00:00+00:00,,2610.7002,2518.2317094633772,2703.168600207906
2026-02-28 09:00:00+00:00,,3083.5645,2991.095994786673,3176.032885531202
2026-02-28 10:00:00+00:00,,3452.3132,3359.844652585527,3544.7815433300557
2026-02-28 11:00:00+00:00,,4080.3958,3987.927235547845,4172.864126292374
2026-02-28 12:00:00+00:00,,4132.0396,4039.571097435698,4224.507988180227
2026-02-28 13:00:00+00:00,,3215.0603,3122.5918921913494,3307.528782935878
2026-02-28 14:00:00+00:00,,1903.5092,1811.0406506513314,1995.9775413958603
2026-02-28 15:00:00+00:00,,822.8306,730.3621766526487,915.2990673971775
2026-02-28 16:00:00+00:00,,342.91547,250.44700596442135,435.38389670895003
2026-02-28 17:00:00+00:00,,93.06471,0.5962892845518581,185.53318002908054
2026-02-28 18:00:00+00:00,,54.630875,-37.83759095632263,147.09929978820605
2026-02-28 19:00:00+00:00,,58.94667,-33.52176027081646,151.4151304737121
2026-02-28 20:00:00+00:00,,-0.7744609,-93.24296727688557,91.693923467643
2026-02-28 21:00:00+00:00,,-2.3676007,-94.836047482519,90.10084326200968
2026-02-28 22:00:00+00:00,,-8.108445,-100.5768492315326,84.36004151299608
2026-02-28 23:00:00+00:00,,-5.8170633,-98.28556601597938,86.6513247285493
2026-03-01 00:00:00+00:00,,-11.574876,-104.043352385552,80.89353835897657
2026-03-01 01:00:00+00:00,,-10.528123,-102.99657864006485,81.94031210446383
2026-03-01 02:00:00+00:00,,-11.28679,-103.75519285720088,81.18169788732769
2026-03-01 03:00:00+00:00,,-9.767503,-102.23593784888453,82.70095289564404
2026-03-01 04:00:00+00:00,,-7.3276834,-99.79613570696415,85.14075503756442
2026-03-01 05:00:00+00:00,,-27.730883,-120.19929716782099,64.7375935767077
2026-03-01 06:00:00+00:00,,252.50233,160.03391408317532,344.970804827704
2026-03-01 07:00:00+00:00,,520.2172,427.748784457351,612.6856752018798
2026-03-01 08:00:00+00:00,,1565.4329,1472.9643840154217,1657.9012747599504
2026-03-01 09:00:00+00:00,,2826.9548,2734.4863641594966,2919.4232549040253
2026-03-01 10:00:00+00:00,,3299.5889,3207.120295566458,3392.0571863109867
2026-03-01 11:00:00+00:00,,3037.8516,2945.3832396009175,3130.320130345446
2026-03-01 12:00:00+00:00,,2396.897,2304.428630339339,2489.365521083868
2026-03-01 13:00:00+00:00,,2008.0148,1915.54634542748,2100.4832361720087
2026-03-01 14:00:00+00:00,,2016.6482,1924.1797438619583,2109.116634606487
2026-03-01 15:00:00+00:00,,1518.9606,1426.4920978290338,1611.4289885735625
2026-03-01 16:00:00+00:00,,260.64996,168.18156202001285,353.11845276454153
2026-03-01 17:00:00+00:00,,-33.560226,-126.028689153615,58.90820159091379
2026-03-01 18:00:00+00:00,,-8.842942,-101.3114340707184,83.62545667381016
2026-03-01 19:00:00+00:00,,-7.69011,-100.15850644673606,84.77838429779263
2026-03-01 20:00:00+00:00,,-8.874925,-101.34337673779282,83.59351400673575
2026-03-01 21:00:00+00:00,,-1.8315898,-94.30006689964466,90.6368238448839
2026-03-01 22:00:00+00:00,,6.5299826,-85.93842239411379,98.9984683504149
2026-03-01 23:00:00+00:00,,-53.514694,-145.9831092190152,38.95378152551348
2026-03-02 00:00:00+00:00,,-9.124436,-101.59293485578223,83.34395588874645
2026-03-02 01:00:00+00:00,,-5.4719706,-97.94037290381857,86.99651784071011
2026-03-02 02:00:00+00:00,,-5.6787577,-98.1471799598321,86.78971078469658
2026-03-02 03:00:00+00:00,,-3.9830792,-96.45151650616208,88.48537423836649
2026-03-02 04:00:00+00:00,,-5.113084,-97.58157279450529,87.3553179500235
2026-03-02 05:00:00+00:00,,17.95088,-74.51761611740653,110.41927462712215
2026-03-02 06:00:00+00:00,,406.6126,314.1442064895233,499.0810972340522
2026-03-02 07:00:00+00:00,,1656.7562,1564.287745404763,1749.2246361492919
2026-03-02 08:00:00+00:00,,3085.7747,2993.3063115439927,3178.2432022885214
2026-03-02 09:00:00+00:00,,3755.2666,3662.798171457876,3847.7350622024046
2026-03-02 10:00:00+00:00,,4592.864,4500.395506363609,4685.332397108137
2026-03-02 11:00:00+00:00,,4831.5405,4739.072272786035,4924.0091635305635
2026-03-02 12:00:00+00:00,,4828.953,4736.48482024948,4921.421710994009
2026-03-02 13:00:00+00:00,,4721.437,4628.968697982738,4813.905588727266
2026-03-02 14:00:00+00:00,,3265.595,3173.126542552455,3358.0634332969835
2026-03-02 15:00:00+00:00,,1526.215,1433.7464608783353,1618.6833516228642
2026-03-02 16:00:00+00:00,,271.0835,178.61508897495287,363.55197971948166
2026-03-02 17:00:00+00:00,,26.84883,-65.61960501489762,119.31728572963095
2026-03-02 18:00:00+00:00,,3.6778095,-88.79068060575037,96.1462101387782
2026-03-02 19:00:00+00:00,,-6.5115213,-98.98000538838892,85.95688535613976
