date,solar_tran_actual,solar_tran_fitted,solar_tran_lower,solar_tran_upper
2026-01-24 00:00:00+00:00,0.0,-26.715014,-136.16727202375114,82.73735366703363
2026-01-24 01:00:00+00:00,0.0,-4.1329813,-113.58535045854592,105.31927523223874
2026-01-24 02:00:00+00:00,0.0,-2.7234356,-112.17572345565736,106.7289022351274
2026-01-24 03:00:00+00:00,0.0,-33.505783,-142.95812863813285,75.94649705265203
2026-01-24 04:00:00+00:00,0.0,-35.11479,-144.56713192554048,74.3374937652444
2026-01-24 05:00:00+00:00,0.0,-33.567184,-143.0195048806081,75.88512081017666
2026-01-24 06:00:00+00:00,0.0,9.366286,-100.08605124090536,118.81857444987952
2026-01-24 07:00:00+00:00,130.0067499999999,205.0862,95.63390768854924,314.538533379334
2026-01-24 08:00:00+00:00,782.4245,891.85156,782.3992714664396,1001.3038971572244
2026-01-24 09:00:00+00:00,1648.03275,1647.8799,1538.4275801224549,1757.3322058132394
2026-01-24 10:00:00+00:00,2442.44225,2163.5437,2054.0915169467867,2272.996142637571
2026-01-24 11:00:00+00:00,2872.9667500000005,2016.9686,1907.5162680948335,2126.4208937856183
2026-01-24 12:00:00+00:00,2764.85225,1958.8453,1849.393062974219,2068.2976886650035
2026-01-24 13:00:00+00:00,2002.5149999999999,1953.9283,1844.4760153223272,2063.380641013112
2026-01-24 14:00:00+00:00,942.85475,1158.974,1049.5217127265573,1268.426338417342
2026-01-24 15:00:00+00:00,223.12099999999998,151.735,42.28270542039172,261.1873311111765
2026-01-24 16:00:00+00:00,0.21925000000010186,-10.132127,-119.58439564288028,99.32023004790449
2026-01-24 17:00:00+00:00,0.0,-21.02788,-130.4802227386665,88.42440295211838
2026-01-24 18:00:00+00:00,0.0,-7.0273905,-116.47968420747725,102.42494148330763
2026-01-24 19:00:00+00:00,0.0,-0.16899218,-109.62127512496227,109.2833505658225
2026-01-24 20:00:00+00:00,0.0,1.2400655,-108.21222714322903,110.69239854755574
2026-01-24 21:00:00+00:00,0.0,-2.3435528,-111.79588557769671,107.10874011308795
2026-01-24 22:00:00+00:00,0.0,-3.399583,-112.85192366167098,106.05270202911379
2026-01-24 23:00:00+00:00,0.0,-2.8962872,-112.34865777407845,106.55596791670632
2026-01-25 00:00:00+00:00,0.0,-5.090989,-114.54334096020102,104.36128473058363
2026-01-25 01:00:00+00:00,0.0,-6.2324686,-115.68478466460078,103.21984102618399
2026-01-25 02:00:00+00:00,0.0,-3.8932354,-113.34553919667314,105.55908649411174
2026-01-25 03:00:00+00:00,0.0,-3.8932354,-113.34553919667314,105.55908649411174
2026-01-25 04:00:00+00:00,0.0,0.73274124,-108.71954617890947,110.18507951187519
2026-01-25 05:00:00+00:00,0.0,3.158034,-106.29421956587498,112.6104061249099
2026-01-25 06:00:00+00:00,0.0,4.126418,-105.32590318694793,113.57872250383684
2026-01-25 07:00:00+00:00,76.65625,161.62404,52.171711230414985,271.07633692119975
2026-01-25 08:00:00+00:00,408.6890000000001,393.32574,283.8734440592707,502.77806975005547
2026-01-25 09:00:00+00:00,723.184,706.8799,597.4275616157817,816.3321873065664
2026-01-25 10:00:00+00:00,952.256,1078.271,968.8186405103321,1187.7232662011168
2026-01-25 11:00:00+00:00,1090.20325,1219.6116,1110.1593111831464,1329.0639368739312
2026-01-25 12:00:00+00:00,1037.53925,1121.5994,1012.1469948713084,1231.0516205620931
2026-01-25 13:00:00+00:00,745.98775,766.9587,657.5063865629718,876.4110122537566
2026-01-25 14:00:00+00:00,328.1600000000001,714.078,604.6257113612437,823.5303370520285
2026-01-25 15:00:00+00:00,64.48775000000012,298.27472,188.822392723049,407.7270184138338
2026-01-25 16:00:00+00:00,0.18875000000002728,-75.08562,-184.5379273199717,34.36669837081308
2026-01-25 17:00:00+00:00,0.0,-15.563401,-125.01571058431773,93.88891510646704
2026-01-25 18:00:00+00:00,0.0,-7.916917,-117.36925370926588,101.53537198151889
2026-01-25 19:00:00+00:00,0.0,-4.4861307,-113.93845685983092,104.96616883095385
2026-01-25 20:00:00+00:00,0.0,-4.4861307,-113.93845685983092,104.96616883095385
2026-01-25 21:00:00+00:00,0.0,-4.4861307,-113.93845685983092,104.96616883095385
2026-01-25 22:00:00+00:00,0.0,-4.4861307,-113.93845685983092,104.96616883095385
2026-01-25 23:00:00+00:00,0.0,-4.4861307,-113.93845685983092,104.96616883095385
2026-01-26 00:00:00+00:00,0.0,-10.573533,-120.02580277036805,98.87882292041672
2026-01-26 01:00:00+00:00,0.0,-4.313035,-113.76532953435822,105.13929615642667
2026-01-26 02:00:00+00:00,0.0,-10.573533,-120.02580277036805,98.87882292041672
2026-01-26 03:00:00+00:00,0.0,-10.573533,-120.02580277036805,98.87882292041672
2026-01-26 04:00:00+00:00,0.0,-6.0571756,-115.50953426155797,103.39509142922668
2026-01-26 05:00:00+00:00,0.0,-3.506883,-112.95923558247682,105.94539010830783
2026-01-26 06:00:00+00:00,0.0,3.8428485,-105.60943054605582,113.29519514472906
2026-01-26 07:00:00+00:00,33.362750000000005,42.82515,-66.62712076746539,152.27750492331938
2026-01-26 08:00:00+00:00,191.53199999999993,294.01953,184.56726275533686,403.47188844612174
2026-01-26 09:00:00+00:00,385.50775,417.81354,308.3612620093289,527.2658877001137
2026-01-26 10:00:00+00:00,551.39375,945.17883,835.7265408601728,1054.6311665509577
2026-01-26 11:00:00+00:00,753.38575,1118.0208,1008.568393824745,1227.4730195155298
2026-01-26 12:00:00+00:00,854.5885000000001,765.1585,655.7061856648656,874.6108113556504
2026-01-26 13:00:00+00:00,718.54025,688.1917,578.7394125655387,797.6440382563235
2026-01-26 14:00:00+00:00,456.7545,608.3193,498.8669906788683,717.7716163696532
2026-01-26 15:00:00+00:00,138.79925000000014,237.15877,127.70646850884339,346.61109419962816
2026-01-26 16:00:00+00:00,0.0,17.802443,-91.64990601337581,127.25471967740884
2026-01-26 17:00:00+00:00,0.0,-15.894334,-125.34662117464472,93.55800451614004
2026-01-26 18:00:00+00:00,0.0,1.7904805,-107.66186753499505,111.24275815578972
2026-01-26 19:00:00+00:00,0.0,3.312331,-106.14000693147932,112.76461875930545
2026-01-26 20:00:00+00:00,0.0,0.67793167,-108.77436018162348,110.1302655091614
2026-01-26 21:00:00+00:00,0.0,-13.266282,-122.71854065368439,96.18608503710038
2026-01-26 22:00:00+00:00,0.0,-5.2440653,-114.69639555228582,104.20823013849895
2026-01-26 23:00:00+00:00,0.0,-5.9926004,-115.44487689920197,103.4597487915828
2026-01-27 00:00:00+00:00,0.0,-18.901293,-128.35357453830648,90.5510511524783
2026-01-27 01:00:00+00:00,0.0,-5.0624247,-114.51467941300734,104.38994627777731
2026-01-27 02:00:00+00:00,0.0,-21.53557,-130.98792778845063,87.91669790233414
2026-01-27 03:00:00+00:00,0.0,-12.3364725,-121.78872918159345,97.11589650919132
2026-01-27 04:00:00+00:00,0.0,-5.318528,-114.77079977075823,104.13382592002654
2026-01-27 05:00:00+00:00,0.0,3.5630634,-105.88919426765324,113.01543142313153
2026-01-27 06:00:00+00:00,0.0,1.0667256,-108.38564397927962,110.51898171150515
2026-01-27 07:00:00+00:00,379.9625,172.65016,63.19781808617233,282.1024437769571
2026-01-27 08:00:00+00:00,1463.48175,535.04254,425.59027115131903,644.4948968421038
2026-01-27 09:00:00+00:00,2399.1745,1514.5239,1405.0715772559672,1623.976202946752
2026-01-27 10:00:00+00:00,2895.79275,2031.9225,1922.4701649584345,2141.3747906492194
2026-01-27 11:00:00+00:00,2611.48,2296.8293,2187.3769757358377,2406.2816014266227
2026-01-27 12:00:00+00:00,1922.4515000000001,2326.0566,2216.6042265983606,2435.5088522891456
2026-01-27 13:00:00+00:00,1003.6035,1597.0795,1487.627110799245,1706.5317364900297
2026-01-27 14:00:00+00:00,404.02475000000004,999.5037,890.0513913270635,1108.9560170178481
2026-01-27 15:00:00+00:00,72.84725000000003,216.39809,106.94576148451017,325.85038717529494
2026-01-27 16:00:00+00:00,0.0,-18.559008,-128.01127653192293,90.89334915886195
2026-01-27 17:00:00+00:00,0.0,-6.841111,-116.29343240248113,102.61119328830353
2026-01-27 18:00:00+00:00,0.0,5.9219503,-103.53035858396674,115.37426710681802
2026-01-27 19:00:00+00:00,0.0,-10.48552,-119.93779155474294,98.96683413604183
2026-01-27 20:00:00+00:00,0.0,-10.48552,-119.93779155474294,98.96683413604183
2026-01-27 21:00:00+00:00,0.0,-10.48552,-119.93779155474294,98.96683413604183
2026-01-27 22:00:00+00:00,0.0,-10.48552,-119.93779155474294,98.96683413604183
2026-01-27 23:00:00+00:00,0.0,-10.48552,-119.93779155474294,98.96683413604183
2026-01-28 00:00:00+00:00,0.0,1.307082,-108.1452536962513,110.75937199453358
2026-01-28 01:00:00+00:00,0.0,1.307082,-108.1452536962513,110.75937199453358
2026-01-28 02:00:00+00:00,0.0,-1.3273174,-110.77960694639523,108.12501874438942
2026-01-28 03:00:00+00:00,0.0,-1.3273174,-110.77960694639523,108.12501874438942
2026-01-28 04:00:00+00:00,0.0,2.1360614,-107.31628840873054,111.58833728205423
2026-01-28 05:00:00+00:00,0.0,4.6863546,-104.76598972964939,114.13863596113538
2026-01-28 06:00:00+00:00,0.0,9.150222,-100.3021226354058,118.60250305537909
2026-01-28 07:00:00+00:00,125.13124999999991,114.160416,4.708092574172042,223.6127182649567
2026-01-28 08:00:00+00:00,629.015,392.1753,282.7229772751988,501.62760296598367
2026-01-28 09:00:00+00:00,1192.06125,982.6031,873.1507589927405,1092.0553846835253
2026-01-28 10:00:00+00:00,1380.012,1421.3063,1311.8539722825258,1530.7585979733105
2026-01-28 11:00:00+00:00,1164.5629999999999,1593.2928,1483.8405537015628,1702.7451793923474
2026-01-28 12:00:00+00:00,909.03825,1927.689,1818.2366101253372,2037.141235816122
2026-01-28 13:00:00+00:00,542.05,1301.2784,1191.8261437563685,1410.7307694471533
2026-01-28 14:00:00+00:00,269.29025,562.4064,452.9540871803865,671.8587128711713
2026-01-28 15:00:00+00:00,54.487499999999955,141.73805,32.28571216488103,251.19033785566592
2026-01-28 16:00:00+00:00,0.0,8.00508,-101.44723347378977,117.457392216995
2026-01-28 17:00:00+00:00,0.0,3.8562763,-105.59601655595498,113.3086091348298
2026-01-28 18:00:00+00:00,0.0,6.648879,-102.80339752332725,116.1012281674574
2026-01-28 19:00:00+00:00,0.0,-3.7400372,-113.1922915975365,105.71233409324827
2026-01-28 20:00:00+00:00,0.0,-3.7400372,-113.1922915975365,105.71233409324827
2026-01-28 21:00:00+00:00,0.0,2.5204608,-106.93181836152667,111.9728073292581
2026-01-28 22:00:00+00:00,0.0,2.5204608,-106.93181836152667,111.9728073292581
2026-01-28 23:00:00+00:00,0.0,2.5204608,-106.93181836152667,111.9728073292581
2026-01-29 00:00:00+00:00,0.0,-0.6224834,-110.07484169671397,108.8297839940708
2026-01-29 01:00:00+00:00,0.0,-1.0029765,-110.45525859582995,108.44936709495482
2026-01-29 02:00:00+00:00,0.0,0.16084181,-109.29152257694614,109.61310311383852
2026-01-29 03:00:00+00:00,0.0,0.050001964,-109.40230862468479,109.50231706610009
2026-01-29 04:00:00+00:00,0.0,-0.6450664,-110.09742352177568,108.8072021690092
2026-01-29 05:00:00+00:00,0.0,1.9052266,-107.54712484269453,111.35750084809035
2026-01-29 06:00:00+00:00,0.0,-8.796067,-118.24840083025697,100.65622486052791
2026-01-29 07:00:00+00:00,19.16574999999989,57.767532,-51.68480432697311,167.21982136381177
2026-01-29 08:00:00+00:00,162.18650000000002,317.15863,207.70634742735228,426.61097311813705
2026-01-29 09:00:00+00:00,344.43575,469.25916,359.806857403211,578.7114830939959
2026-01-29 10:00:00+00:00,523.86725,811.8567,702.4043624795148,921.3089881702996
2026-01-29 11:00:00+00:00,645.0632500000002,944.937,835.4846909613151,1054.3893166521
2026-01-29 12:00:00+00:00,632.1405,877.9534,768.5011352391759,987.4057609299607
2026-01-29 13:00:00+00:00,543.07925,929.8886,820.436293019972,1039.3409187107568
