date,wind_offshore_tenn_actual,wind_offshore_tenn_fitted,wind_offshore_tenn_lower,wind_offshore_tenn_upper
2026-01-24 00:00:00+00:00,6406.235000000001,5349.29915702049,4417.987847573923,6280.610466467058
2026-01-24 01:00:00+00:00,6554.026,5349.29915702049,4417.987847573923,6280.610466467058
2026-01-24 02:00:00+00:00,6177.0247500000005,5343.038617808219,4411.727308361652,6274.349927254787
2026-01-24 03:00:00+00:00,6259.03425,5338.9109628568185,4407.5996534102505,6270.222272303386
2026-01-24 04:00:00+00:00,6489.4395,5220.657880401687,4289.34657095512,6151.969189848254
2026-01-24 05:00:00+00:00,6650.9995,5086.765695359867,4155.4543859133,6018.077004806434
2026-01-24 06:00:00+00:00,6623.6155,5172.873800385751,4241.5624909391845,6104.185109832319
2026-01-24 07:00:00+00:00,6482.41675,5320.930223593225,4389.6189141466575,6252.241533039792
2026-01-24 08:00:00+00:00,6696.901749999999,5351.309728740439,4419.998419293872,6282.621038187006
2026-01-24 09:00:00+00:00,6664.8415,5358.090734302117,4426.779424855551,6289.402043748685
2026-01-24 10:00:00+00:00,6493.5995,5366.227161109418,4434.915851662852,6297.538470555986
2026-01-24 11:00:00+00:00,6121.80875,5572.586645293852,4641.2753358472855,6503.89795474042
2026-01-24 12:00:00+00:00,6031.863,5547.584034239067,4616.2727247924995,6478.895343685634
2026-01-24 13:00:00+00:00,6059.510250000001,5422.772651056594,4491.461341610027,6354.0839605031615
2026-01-24 14:00:00+00:00,6242.56525,5267.296951447537,4335.98564200097,6198.608260894105
2026-01-24 15:00:00+00:00,6329.6942500000005,5470.783066089176,4539.47175664261,6402.094375535743
2026-01-24 16:00:00+00:00,6322.7115,5461.326520773283,4530.015211326716,6392.63783021985
2026-01-24 17:00:00+00:00,6233.4545,5147.727230729262,4216.415921282696,6079.03854017583
2026-01-24 18:00:00+00:00,6078.875,5130.25317238358,4198.941862937013,6061.564481830148
2026-01-24 19:00:00+00:00,6054.03725,5193.49451833094,4262.183208884373,6124.805827777507
2026-01-24 20:00:00+00:00,6078.2645,5237.393502033723,4306.082192587155,6168.704811480289
2026-01-24 21:00:00+00:00,5682.94225,5122.140417385463,4190.829107938895,6053.45172683203
2026-01-24 22:00:00+00:00,5281.07475,4757.796774438598,3826.4854649920308,5689.108083885165
2026-01-24 23:00:00+00:00,5158.6955,4546.073223431131,3614.7619139845638,5477.384532877698
2026-01-25 00:00:00+00:00,4709.07475,3913.369697824619,2982.058388378052,4844.681007271186
2026-01-25 01:00:00+00:00,4368.09025,4189.567885289045,3258.2565758424776,5120.879194735611
2026-01-25 02:00:00+00:00,4388.751749999999,3844.6381167298805,2913.326807283313,4775.949426176448
2026-01-25 03:00:00+00:00,4382.3825,4133.228581325578,3201.9172718790105,5064.539890772145
2026-01-25 04:00:00+00:00,4263.030000000001,4195.62620834614,3264.3148988995727,5126.937517792707
2026-01-25 05:00:00+00:00,4351.798,4208.390340974133,3277.0790315275663,5139.7016504207
2026-01-25 06:00:00+00:00,4823.24575,3893.170560085305,2961.8592506387376,4824.481869531872
