date,wind_offshore_50hz_actual,wind_offshore_50hz_fitted,wind_offshore_50hz_lower,wind_offshore_50hz_upper
2026-01-24 00:00:00+00:00,1428.0975,1056.9347,843.827235063383,1270.0420993509458
2026-01-24 01:00:00+00:00,1491.815,959.2485,746.1410269753335,1172.3558912628964
2026-01-24 02:00:00+00:00,1537.0725,891.4406,678.3331758741992,1104.548040161762
2026-01-24 03:00:00+00:00,1485.8200000000002,1098.696,885.588659039031,1311.8035233265937
2026-01-24 04:00:00+00:00,1410.305,972.9413,759.8338734955112,1186.0487377830739
2026-01-24 05:00:00+00:00,1415.685,1080.6674,867.5599166125198,1293.7747809000825
2026-01-24 06:00:00+00:00,1411.44,1461.7571,1248.6496958332752,1674.8645601208382
2026-01-24 07:00:00+00:00,1399.0349999999999,1504.5181,1291.4106808944764,1717.6255451820393
2026-01-24 08:00:00+00:00,1359.7675,1471.6813,1258.5738530600256,1684.7887173475885
2026-01-24 09:00:00+00:00,1207.4,1545.8419,1332.7345066740568,1758.9493709616195
2026-01-24 10:00:00+00:00,1015.5575,1375.4688,1162.3613839627608,1588.5762482503237
2026-01-24 11:00:00+00:00,948.74,1063.6277,850.5202794134158,1276.7351437009786
2026-01-24 12:00:00+00:00,952.5325,1173.4213,960.3138974042579,1386.5287616918208
2026-01-24 13:00:00+00:00,1050.3575,1103.8242,890.7167362462367,1316.9316005337996
2026-01-24 14:00:00+00:00,1308.38,1487.1825,1274.0750576203595,1700.2899219079222
2026-01-24 15:00:00+00:00,1468.435,1411.1293,1198.0217989157923,1624.2366632033552
2026-01-24 16:00:00+00:00,1581.3199999999997,1500.9949,1287.8874673522685,1714.1023316398314
2026-01-24 17:00:00+00:00,1597.1325,1550.6644,1337.5569632541815,1763.7718275417442
2026-01-24 18:00:00+00:00,1487.92,1534.0284,1320.9210295810822,1747.1358938686449
2026-01-24 19:00:00+00:00,1442.8474999999999,1360.5695,1147.4620704027789,1573.6769346903416
2026-01-24 20:00:00+00:00,1245.575,1264.5103,1051.4028064777458,1477.6176707653085
2026-01-24 21:00:00+00:00,1011.315,989.1127,776.0052322267519,1202.2200965143147
