date,wind_onshore_50hz_actual,wind_onshore_50hz_fitted,wind_onshore_50hz_lower,wind_onshore_50hz_upper
2026-02-28 00:00:00+00:00,,6006.78505461055,3761.198216338787,8260.708427412044
2026-02-28 01:00:00+00:00,,5569.067386373904,3326.4881684100737,7822.058556094368
2026-02-28 02:00:00+00:00,,5293.93002627159,3051.96186748781,7549.419933996258
2026-02-28 03:00:00+00:00,,4956.165339751826,2712.782981941139,7209.665972836482
2026-02-28 04:00:00+00:00,,4082.300779828178,1839.26671770809,6333.650369994009
2026-02-28 05:00:00+00:00,,4345.285734682488,2102.246183825773,6594.763897174613
2026-02-28 06:00:00+00:00,,5365.809552561472,3120.4691286241623,7609.155505655288
2026-02-28 07:00:00+00:00,,5884.882595449753,3638.648780596898,8132.009732277054
2026-02-28 08:00:00+00:00,,5227.232970059327,2981.3743049673762,7472.414621157877
2026-02-28 09:00:00+00:00,,4851.300959464457,2606.783628416809,7093.570406780889
2026-02-28 10:00:00+00:00,,5153.987293036862,2910.1472455155654,7400.254325566728
2026-02-28 11:00:00+00:00,,5489.268591732383,3241.91127507536,7736.510040117386
2026-02-28 12:00:00+00:00,,5497.095863990167,3250.4676755043956,7743.735313330335
2026-02-28 13:00:00+00:00,,5601.207535615398,3354.4827631396756,7845.6514291884505
2026-02-28 14:00:00+00:00,,4682.353196173251,2439.4291053251136,6929.725684081757
2026-02-28 15:00:00+00:00,,4714.120354017734,2476.412277072436,6963.474772540389
2026-02-28 16:00:00+00:00,,5517.5781941769155,3275.7032552396718,7764.884752809954
2026-02-28 17:00:00+00:00,,5550.615057844501,3305.1007111366443,7800.765630211645
2026-02-28 18:00:00+00:00,,6134.513757734703,3891.430450877579,8382.839914569564
2026-02-28 19:00:00+00:00,,7154.932183712566,4914.6887230260845,9402.358930242604
2026-02-28 20:00:00+00:00,,8142.981375163868,5898.856968954744,10394.316026607332
2026-02-28 21:00:00+00:00,,8456.91159520542,6214.889805392637,10707.444714263245
2026-02-28 22:00:00+00:00,,8846.014151616662,6601.024886754508,11095.927142815035
2026-02-28 23:00:00+00:00,,9284.978323444926,7041.115630854031,11536.82933944431
2026-03-01 00:00:00+00:00,,9625.130054274236,7383.865532443681,11867.152976507012
2026-03-01 01:00:00+00:00,,9603.87834159976,7357.279714739221,11853.04477410008
2026-03-01 02:00:00+00:00,,9601.234742461582,7354.299114592294,11847.82191601818
2026-03-01 03:00:00+00:00,,9383.896195269175,7140.039022306793,11633.293993618976
2026-03-01 04:00:00+00:00,,8679.4252858736,6432.316797016954,10928.650356841843
2026-03-01 05:00:00+00:00,,7371.380464999018,5126.426935675579,9621.466457111334
2026-03-01 06:00:00+00:00,,6328.104110831162,4081.025555106989,8578.577394445147
2026-03-01 07:00:00+00:00,,5790.777369518378,3545.9649077516306,8043.671512645684
2026-03-01 08:00:00+00:00,,5147.53887729289,2902.1901836733764,7391.598203395408
2026-03-01 09:00:00+00:00,,5111.830319775113,2862.1694667004303,7356.412112589221
2026-03-01 10:00:00+00:00,,4896.24818193866,2648.300836539248,7145.719414843135
2026-03-01 11:00:00+00:00,,4571.495669311582,2322.326398920072,6814.707106343586
2026-03-01 12:00:00+00:00,,4554.052940129756,2305.8867215572204,6804.713983617259
2026-03-01 13:00:00+00:00,,4444.525466696804,2190.9196839993174,6694.793567201186
2026-03-01 14:00:00+00:00,,4039.6284865783737,1789.3116960113161,6283.926673120566
2026-03-01 15:00:00+00:00,,2996.637951661299,753.0840210510714,5242.780444489394
2026-03-01 16:00:00+00:00,,2144.700237704,-94.34000731961305,4395.414351215154
2026-03-01 17:00:00+00:00,,1689.650007955801,-552.5034143965995,3941.9580480560867
2026-03-01 18:00:00+00:00,,1690.1362613982578,-552.4412709518929,3939.513953999875
2026-03-01 19:00:00+00:00,,2180.1816610272244,-61.38505771874861,4427.658980662365
2026-03-01 20:00:00+00:00,,2911.434241908122,669.8729949503495,5157.97864411582
2026-03-01 21:00:00+00:00,,2990.9026121939223,748.3911329570219,5240.561524382958
2026-03-01 22:00:00+00:00,,3275.734144594984,1034.2620749820921,5523.547113303966
2026-03-01 23:00:00+00:00,,3448.4089244021807,1206.1377419416995,5699.384957523867
2026-03-02 00:00:00+00:00,,3813.050314252952,1570.7980657870462,6061.798227946988
2026-03-02 01:00:00+00:00,,3522.338602723199,1279.5471105793,5775.542636976476
2026-03-02 02:00:00+00:00,,3685.889997686047,1443.0103596948488,5934.800569491248
2026-03-02 03:00:00+00:00,,3907.398943578983,1663.5313270166598,6160.609753201621
2026-03-02 04:00:00+00:00,,3715.295132727967,1470.0136472751287,5967.166501701036
2026-03-02 05:00:00+00:00,,3397.8067048813377,1151.1597910170876,5649.253922180829
2026-03-02 06:00:00+00:00,,3327.5779675296403,1081.2021422232451,5577.838193427861
2026-03-02 07:00:00+00:00,,2905.4439377113854,657.9034883903678,5155.943731557929
2026-03-02 08:00:00+00:00,,2476.7177560819714,228.89969706971215,4726.236021681971
2026-03-02 09:00:00+00:00,,2148.643643750121,-98.12171941628276,4392.25664905761
2026-03-02 10:00:00+00:00,,1886.0963810910746,-363.1635616840531,4130.6877243075705
2026-03-02 11:00:00+00:00,,1877.980618376285,-365.7712016303185,4126.935387164824
2026-03-02 12:00:00+00:00,,1670.2097427975887,-577.496134284399,3915.7317886961882
2026-03-02 13:00:00+00:00,,1314.897323246129,-933.074332863237,3564.972476718365
2026-03-02 14:00:00+00:00,,830.5618212994173,-1417.641022913278,3078.409300212611
2026-03-02 15:00:00+00:00,,495.7963910019257,-1745.0614675241177,2743.9555490745433
