date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2026-01-24 00:00:00+00:00,18500.8838175,18531.47,18122.078113407923,18940.864970172333
2026-01-24 01:00:00+00:00,17915.7650025,18109.344,17699.951200865926,18518.738057630333
2026-01-24 02:00:00+00:00,17901.790395,17993.799,17584.40451860777,18403.19137537218
2026-01-24 03:00:00+00:00,17764.24184,17900.182,17490.787686776403,18309.574543540813
2026-01-24 04:00:00+00:00,18058.4610625,18200.951,17791.557722296417,18610.344579060824
2026-01-24 05:00:00+00:00,18590.5267375,19285.047,18875.652992247084,19694.43984901149
2026-01-24 06:00:00+00:00,19565.5508375,21483.834,21074.44017315963,21893.22702992404
2026-01-24 07:00:00+00:00,20887.838765,22910.352,22500.958751901857,23319.745608666268
2026-01-24 08:00:00+00:00,21854.965185,23713.404,23304.01010717811,24122.79696394252
2026-01-24 09:00:00+00:00,22204.0791025,23995.7,23586.305332157037,24405.092188921444
2026-01-24 10:00:00+00:00,22438.44491,24177.63,23768.23692454676,24587.023781311167
2026-01-24 11:00:00+00:00,21955.8453025,24247.662,23838.269431882974,24657.056288647385
2026-01-24 12:00:00+00:00,21431.0044075,24420.238,24010.844757076426,24829.631613840833
2026-01-24 13:00:00+00:00,21272.99729,24254.506,23845.111562003694,24663.8984187681
2026-01-24 14:00:00+00:00,21140.576,24195.91,23786.51657969402,24605.30343645843
2026-01-24 15:00:00+00:00,21841.78159,24138.744,23729.350538567993,24548.1373953324
2026-01-24 16:00:00+00:00,22502.5476125,24539.719,24130.325824035524,24949.11268079993
2026-01-24 17:00:00+00:00,22863.9140025,24398.477,23989.082082775523,24807.868939539934
2026-01-24 18:00:00+00:00,22331.2521075,23869.244,23459.849833110286,24278.636689874693
2026-01-24 19:00:00+00:00,21169.69799,22792.234,22382.841074698674,23201.627931463085
2026-01-24 20:00:00+00:00,20394.303755,21750.97,21341.577030180957,22160.363886945368
2026-01-24 21:00:00+00:00,19743.3544675,20739.701,20330.30815984914,21149.095016613548
2026-01-24 22:00:00+00:00,18661.0785125,19824.93,19415.5361872784,20234.32304404281
