date,wind_offshore_tenn_actual,wind_offshore_tenn_fitted,wind_offshore_tenn_lower,wind_offshore_tenn_upper
2026-01-24 00:00:00+00:00,6406.235000000001,5671.923,5090.656888304418,6253.188348909589
2026-01-24 01:00:00+00:00,6554.026,5480.128,4898.862137028009,6061.3935976331795
2026-01-24 02:00:00+00:00,6177.0247500000005,5973.4844,5392.218563362257,6554.750023967428
2026-01-24 03:00:00+00:00,6259.03425,5727.368,5146.102076003421,6308.633536608592
2026-01-24 04:00:00+00:00,6489.4395,5759.011,5177.745606008069,6340.27706661324
2026-01-24 05:00:00+00:00,6650.9995,5846.288,5265.022280039026,6427.553740644196
2026-01-24 06:00:00+00:00,6623.6155,5848.461,5267.195029464599,6429.72649006977
2026-01-24 07:00:00+00:00,6482.41675,5431.055,4849.789461798922,6012.320922404093
2026-01-24 08:00:00+00:00,6696.901749999999,5225.7603,4644.494216878285,5807.025677483458
2026-01-24 09:00:00+00:00,6664.8415,5179.9575,4598.691810290433,5761.223270895605
2026-01-24 10:00:00+00:00,6493.5995,5421.1646,4839.898929816203,6002.430390421374
2026-01-24 11:00:00+00:00,6121.80875,5367.136,4785.870379886291,5948.401840491462
2026-01-24 12:00:00+00:00,6031.863,5675.7554,5094.489525706029,6257.020986311201
2026-01-24 13:00:00+00:00,6059.510250000001,5229.9517,4648.685621545474,5811.217082150644
2026-01-24 14:00:00+00:00,6242.56525,5369.8774,4788.611713275767,5951.143173880939
2026-01-24 15:00:00+00:00,6329.6942500000005,5799.17,5217.90417916003,6380.435639765203
2026-01-24 16:00:00+00:00,6322.7115,5949.8022,5368.536280439064,6531.067741044235
2026-01-24 17:00:00+00:00,6233.4545,5661.3813,5080.115688807788,6242.647149412958
2026-01-24 18:00:00+00:00,6078.875,5444.023,4862.7569481614955,6025.288408766666
2026-01-24 19:00:00+00:00,6054.03725,5445.067,4863.800888036418,6026.332348641589
2026-01-24 20:00:00+00:00,6078.2645,5301.328,4720.062519053992,5882.593979659165
2026-01-24 21:00:00+00:00,5682.94225,5518.3594,4937.093568452336,6099.625029057507
2026-01-24 22:00:00+00:00,5281.07475,4800.256,4218.990024701503,5381.5214853066755
2026-01-24 23:00:00+00:00,5158.6955,4887.4717,4306.20561828402,5468.737078889191
2026-01-25 00:00:00+00:00,4709.07475,4034.681,3453.4150778988546,4615.946538504026
2026-01-25 01:00:00+00:00,4368.09025,4706.1704,4124.90470236703,5287.436162972201
2026-01-25 02:00:00+00:00,4388.751749999999,3837.9307,3256.6647733976642,4419.196234002836
2026-01-25 03:00:00+00:00,4382.3825,4228.6606,3647.3946875318443,4809.926148137016
2026-01-25 04:00:00+00:00,4263.030000000001,4196.203,3614.9371801827174,4777.468640787889
2026-01-25 05:00:00+00:00,4351.798,4334.753,3753.4869258081553,4916.018386413327
2026-01-25 06:00:00+00:00,4823.24575,4459.4697,3878.2037715594333,5040.735232164605
2026-01-25 07:00:00+00:00,5071.261,4817.124,4235.858087069742,5398.389547674915
2026-01-25 08:00:00+00:00,5404.88625,5158.072,4576.805935503477,5739.337396108647
2026-01-25 09:00:00+00:00,5986.695,5299.523,4718.257323905877,5880.788784511047
2026-01-25 10:00:00+00:00,5969.08825,5818.212,5236.945848223296,6399.477308828467
2026-01-25 11:00:00+00:00,5887.46775,5541.2803,4960.014596102335,6122.546056707506
2026-01-25 12:00:00+00:00,5960.19875,5277.397,4696.1311993550535,5858.662659960225
2026-01-25 13:00:00+00:00,6030.975,5255.49,4674.224535783891,5836.755996389062
2026-01-25 14:00:00+00:00,6210.42375,5187.4746,4606.208991795858,5768.74045240103
2026-01-25 15:00:00+00:00,6239.28275,5830.787,5249.521348129036,6412.052808734207
2026-01-25 16:00:00+00:00,6184.001249999999,5706.9536,5125.6877042304695,6288.219164835641
2026-01-25 17:00:00+00:00,6279.974,5858.087,5276.820879504077,6439.352340109248
2026-01-25 18:00:00+00:00,6291.257,6054.3687,5473.103007725906,6635.634468331076
2026-01-25 19:00:00+00:00,6261.597,5690.7964,5109.530746872494,6272.062207477666
