date,wind_onshore_rte_actual,wind_onshore_rte_fitted,wind_onshore_rte_lower,wind_onshore_rte_upper
2026-01-24 00:00:00+00:00,9248.9925,9079.823,8241.736260968686,9917.910119977543
2026-01-24 01:00:00+00:00,9054.4575,9155.265,8317.177604179873,9993.351463188728
2026-01-24 02:00:00+00:00,8453.6725,9125.457,8287.370399360307,9963.544258369162
2026-01-24 03:00:00+00:00,7822.18,8094.016,7255.929192417045,8932.1030514259
2026-01-24 04:00:00+00:00,7401.5425,7328.107,6490.0199760997075,8166.193835108564
2026-01-24 05:00:00+00:00,7361.8025,7005.2236,6167.136878378032,7843.310737386888
2026-01-24 06:00:00+00:00,7242.1475,7055.697,6217.609894530393,7893.783753539248
2026-01-24 07:00:00+00:00,7080.15,6823.611,5985.5238634639745,7661.697722472831
2026-01-24 08:00:00+00:00,6642.0225,6032.6665,5194.579612004965,6870.753471013822
2026-01-24 09:00:00+00:00,6179.6,5795.331,4957.243872683132,6633.417731691989
2026-01-24 10:00:00+00:00,5755.7675,5812.035,4973.948074604416,6650.121933613273
2026-01-24 11:00:00+00:00,5502.2225,4934.4976,4096.410740331757,5772.584599340613
2026-01-24 12:00:00+00:00,5653.665,5144.4595,4306.372771171978,5982.546630180834
2026-01-24 13:00:00+00:00,5814.6625,5323.7266,4485.639617164468,6161.8134761733245
2026-01-24 14:00:00+00:00,5457.4575,5084.1494,4246.062232083538,5922.236091092394
2026-01-24 15:00:00+00:00,5534.4775,5684.0503,4845.963171045749,6522.137030054605
2026-01-24 16:00:00+00:00,6290.9025,6269.484,5431.396729699811,7107.570588708667
2026-01-24 17:00:00+00:00,7474.08,7690.173,6852.085928505744,8528.2597875146
2026-01-24 18:00:00+00:00,7984.18,7165.617,6327.530083261932,8003.703942270789
2026-01-24 19:00:00+00:00,8008.5225,8009.2827,7171.195610380893,8847.369469389749
2026-01-24 20:00:00+00:00,7399.6975,7917.333,7079.245935948915,8755.41979495777
2026-01-24 21:00:00+00:00,6893.0675,6629.0522,5790.965538164742,7467.139397173598
2026-01-24 22:00:00+00:00,6574.422500000001,6563.9224,5725.835210409253,7402.009069418109
2026-01-24 23:00:00+00:00,6230.6075,6265.1826,5427.095562659749,7103.269421668605
2026-01-25 00:00:00+00:00,5839.16,5640.3696,4802.282759895463,6478.45661890432
2026-01-25 01:00:00+00:00,5578.1224999999995,5754.661,4916.574247337368,6592.748106346225
2026-01-25 02:00:00+00:00,5523.1925,5722.3657,4884.278820653096,6560.452679661952
2026-01-25 03:00:00+00:00,5647.59,5621.446,4783.358932107127,6459.532791115983
2026-01-25 04:00:00+00:00,5954.0575,6659.2656,5821.178801205558,7497.352660214414
2026-01-25 05:00:00+00:00,6186.555,6477.3784,5639.291380569679,7315.465239578535
2026-01-25 06:00:00+00:00,6184.5725,5346.486,4508.398640991144,6184.5725
2026-01-25 07:00:00+00:00,6431.6125,5537.862,4699.774897368001,6375.948756376857
2026-01-25 08:00:00+00:00,6351.76,6809.422,5971.334857126743,7647.5087161356005
2026-01-25 09:00:00+00:00,6310.9875,7300.3145,6462.227708115379,8138.401567124234
2026-01-25 10:00:00+00:00,5732.5475,5723.585,4885.497929022516,6561.671788031372
2026-01-25 11:00:00+00:00,5466.9275,5224.1924,4386.105295959813,6062.279154968669
2026-01-25 12:00:00+00:00,5077.8,4702.2354,3864.1483815432402,5540.322240552096
2026-01-25 13:00:00+00:00,4737.275,5392.437,4554.349928075241,6230.523787084097
2026-01-25 14:00:00+00:00,4511.5975,5154.827,4316.740198011886,5992.914057020742
2026-01-25 15:00:00+00:00,4290.5675,4032.8892,3194.802162658716,4870.976021667573
2026-01-25 16:00:00+00:00,3858.2799999999997,4162.502,3324.4147745623773,5000.588633571234
2026-01-25 17:00:00+00:00,3856.2875,3923.0354,3084.9484226473373,4761.122281656194
2026-01-25 18:00:00+00:00,3566.79,3681.745,2843.658232324128,4519.832091332984
2026-01-25 19:00:00+00:00,3072.2325,3438.7944,2600.7074983398747,4276.881357348731
2026-01-25 20:00:00+00:00,2928.2375,3755.6943,2917.6073063849663,4593.781165393822
2026-01-25 21:00:00+00:00,2736.5225,2578.0632,1739.9762177153034,3416.1500767241596
2026-01-25 22:00:00+00:00,2737.6825,3313.6414,2475.5545240774413,4151.728383086297
2026-01-25 23:00:00+00:00,2699.7799999999997,2788.8074,1950.7204345440564,3626.894293552912
2026-01-26 00:00:00+00:00,2578.675,2808.3196,1970.2326006493854,3646.4064596582416
2026-01-26 01:00:00+00:00,2535.6150000000002,2541.2458,1703.158958217694,3379.33281722655
2026-01-26 02:00:00+00:00,2545.1075,2524.8179,1686.7309256844956,3362.9047846933518
2026-01-26 03:00:00+00:00,2569.285,2301.3152,1463.22813960451,3139.4019986133662
2026-01-26 04:00:00+00:00,2477.1225,2618.8848,1780.7978295950816,3456.9716886039378
2026-01-26 05:00:00+00:00,2416.2025,2367.4321,1529.3450830176603,3205.5189420265165
2026-01-26 06:00:00+00:00,2366.055,2403.3655,1565.2784344812767,3241.452293490133
2026-01-26 07:00:00+00:00,2254.91,2387.929,1549.8419973693117,3226.015856378168
2026-01-26 08:00:00+00:00,2185.65,2538.4646,1700.3775527726984,3376.5514117815546
2026-01-26 09:00:00+00:00,2456.535,2384.8345,1546.7474892897394,3222.921348298596
2026-01-26 10:00:00+00:00,2548.2999999999997,2470.664,1632.577034291984,3308.7508933008403
2026-01-26 11:00:00+00:00,2551.3,3051.843,2213.7561111894697,3889.929970198326
2026-01-26 12:00:00+00:00,2745.16,2907.0686,2068.9817272583505,3745.1555862672067
