date,wind_onshore_rte_actual,wind_onshore_rte_fitted,wind_onshore_rte_lower,wind_onshore_rte_upper
2026-02-28 00:00:00+00:00,,6188.46,5350.372967779571,7026.546826788426
2026-02-28 01:00:00+00:00,,9140.17,8302.082695852872,9978.256554861728
2026-02-28 02:00:00+00:00,,8954.501,8116.414285980036,9792.588144988891
2026-02-28 03:00:00+00:00,,8849.14,8011.052448328026,9687.226307336881
2026-02-28 04:00:00+00:00,,9324.389,8486.302409506616,10162.476268515471
2026-02-28 05:00:00+00:00,,9489.482,8651.395681241695,10327.569540250552
2026-02-28 06:00:00+00:00,,10493.376,9655.28945857624,11331.463317585096
2026-02-28 07:00:00+00:00,,10640.924,9802.836948346401,11479.010807355258
2026-02-28 08:00:00+00:00,,9851.739,9013.6523170945,10689.826176103357
2026-02-28 09:00:00+00:00,,10534.441,9696.35466389074,11372.528522899594
2026-02-28 10:00:00+00:00,,8541.476,7703.388545532496,9379.562404541353
2026-02-28 11:00:00+00:00,,9778.017,8939.929407295882,10616.103266304737
2026-02-28 12:00:00+00:00,,12987.99,12149.903679787447,13826.077538796304
2026-02-28 13:00:00+00:00,,8724.254,7886.166617632205,9562.34047664106
2026-02-28 14:00:00+00:00,,7401.67,6563.582910993582,8239.75677000244
2026-02-28 15:00:00+00:00,,6775.4683,5937.381169173064,7613.55502818192
2026-02-28 16:00:00+00:00,,4661.3403,3823.253577513464,5499.42743652232
2026-02-28 17:00:00+00:00,,4222.837,3384.7499531059893,5060.9238121148455
2026-02-28 18:00:00+00:00,,5538.4897,4700.40302192103,6376.576880929886
2026-02-28 19:00:00+00:00,,3740.7505,2902.66365837646,4578.8375173853165
2026-02-28 20:00:00+00:00,,3699.1624,2861.075370396774,4537.24922940563
2026-02-28 21:00:00+00:00,,4193.1904,3355.1035531517623,5031.277412160619
2026-02-28 22:00:00+00:00,,3335.903,2497.8160383997724,4173.989897408629
2026-02-28 23:00:00+00:00,,3533.808,2695.7212835446226,4371.895142553479
2026-03-01 00:00:00+00:00,,3266.786,2428.6989949247654,4104.872853933622
2026-03-01 01:00:00+00:00,,4352.177,3514.0899748266315,5190.263833835488
2026-03-01 02:00:00+00:00,,3111.0776,2272.9906063661037,3949.16446537496
2026-03-01 03:00:00+00:00,,3270.8586,2432.771819056046,4108.9456780649025
2026-03-01 04:00:00+00:00,,4038.8284,3200.741360678676,4876.915219687532
2026-03-01 05:00:00+00:00,,4357.12,3519.033012642083,5195.206871650939
2026-03-01 06:00:00+00:00,,4995.297,4157.210048402021,5833.383907410877
2026-03-01 07:00:00+00:00,,6619.9688,5781.882034429492,7458.055893438348
2026-03-01 08:00:00+00:00,,5407.0474,4568.960346904735,6245.134205913591
2026-03-01 09:00:00+00:00,,4083.8335,3245.7464926841326,4921.920351692989
2026-03-01 10:00:00+00:00,,4300.1484,3462.0615606461433,5138.2354196549995
2026-03-01 11:00:00+00:00,,6265.7275,5427.640535535636,7103.814394544494
2026-03-01 12:00:00+00:00,,5757.788,4919.7013313703055,6595.875190379162
2026-03-01 13:00:00+00:00,,5991.1064,5153.019438940445,6829.193297949301
2026-03-01 14:00:00+00:00,,6227.294,5389.207031523757,7065.380890532613
2026-03-01 15:00:00+00:00,,5867.5933,5029.506259324174,6705.68011833303
2026-03-01 16:00:00+00:00,,3894.3923,3056.3053413077528,4732.4792003166085
2026-03-01 17:00:00+00:00,,4412.572,3574.4848586605676,5250.658717669424
2026-03-01 18:00:00+00:00,,5020.5337,4182.446738032082,5858.620597040938
2026-03-01 19:00:00+00:00,,5530.075,4691.988414553055,6368.162273561911
2026-03-01 20:00:00+00:00,,5012.838,4174.751032157246,5850.924891166103
2026-03-01 21:00:00+00:00,,5228.4976,4390.410560930314,6066.58441993917
2026-03-01 22:00:00+00:00,,8142.5684,7304.481264771586,8980.655123780441
2026-03-01 23:00:00+00:00,,8002.618,7164.53144178094,8840.705300789796
2026-03-02 00:00:00+00:00,,7997.9277,7159.84071198646,8836.014570995316
2026-03-02 01:00:00+00:00,,9215.022,8376.936011982289,10053.109870991146
2026-03-02 02:00:00+00:00,,9362.618,8524.53122448668,10200.705083495537
2026-03-02 03:00:00+00:00,,9534.383,8696.296549447366,10372.470408456222
2026-03-02 04:00:00+00:00,,10892.681,10054.593875482,11730.767734490855
2026-03-02 05:00:00+00:00,,10568.181,9730.093807030533,11406.267666039388
2026-03-02 06:00:00+00:00,,10109.448,9271.361721619583,10947.535580628439
2026-03-02 07:00:00+00:00,,10633.982,9795.895572907619,11472.069431916476
2026-03-02 08:00:00+00:00,,8942.709,8104.621790861731,9780.795649870586
2026-03-02 09:00:00+00:00,,6254.3594,5416.272669006901,7092.446528015758
2026-03-02 10:00:00+00:00,,6620.504,5782.416736543013,7458.59059555187
2026-03-02 11:00:00+00:00,,6737.6855,5899.598458012973,7575.772317021829
2026-03-02 12:00:00+00:00,,6839.259,6001.171733037591,7677.345592046448
2026-03-02 13:00:00+00:00,,7382.5903,6544.503569338702,8220.677428347557
2026-03-02 14:00:00+00:00,,7210.3228,6372.236118217859,8048.409977226715
2026-03-02 15:00:00+00:00,,7147.1494,6309.0624225657875,7985.236281574644
2026-03-02 16:00:00+00:00,,6161.048,5322.961132983111,6999.1349919919685
2026-03-02 17:00:00+00:00,,5499.985,4661.897881935269,6338.071740944125
2026-03-02 18:00:00+00:00,,6191.8853,5353.798111411295,7029.971970420151
2026-03-02 19:00:00+00:00,,5827.2456,4989.158658689385,6665.332517698242
2026-03-02 20:00:00+00:00,,6277.977,5439.890338941951,7116.064197950807
