number,value,params_alpha,params_l1_ratio,state
0,1.4507813511396577,0.47010795165044217,0.12697514887748607,COMPLETE
1,1.4558842997507921,0.41574463940957246,0.12080527636675654,COMPLETE
2,1.3706131460246704,0.3588297779267541,0.6483248582809773,COMPLETE
3,1.3811063088380733,0.5243103099771019,0.6240441705237111,COMPLETE
4,1.3912175405528115,0.43867771196737604,0.9407343261108897,COMPLETE
5,1.4434498307439902,0.1099356245272559,0.8551608441776615,COMPLETE
6,1.4130557954219318,0.34996576151015946,0.3643233648367137,COMPLETE
7,1.3878022991685073,0.7606615478316535,0.4858761775709303,COMPLETE
8,1.3742461083210893,0.39294616087922785,0.6995884058794996,COMPLETE
9,1.3861471875319935,0.5942741406590207,0.30573271658648615,COMPLETE
10,1.4793348103001176,0.01499368852550581,0.7548785818730133,COMPLETE
11,1.4025067288207882,0.23230156405373947,0.657372731634161,COMPLETE
12,1.4058714202731029,0.9633988222448486,0.5608701717487341,COMPLETE
13,1.3817680217773904,0.2537764333344059,0.7838612534068319,COMPLETE
14,1.3799807353976072,0.6909726022761262,0.44310085726050563,COMPLETE
15,1.3724704359183344,0.2726577824935118,0.9881581169303182,COMPLETE
16,1.3851996813261938,0.20002121883021176,0.9569875134913589,COMPLETE
17,1.3722219330976577,0.3102710164621928,0.8475979669861826,COMPLETE
18,1.4587181979919155,0.09048171715395426,0.8451274642448116,COMPLETE
19,1.386458693417526,0.6229267658722245,0.5869032464032335,COMPLETE
20,1.3779299148065733,0.8016855313486616,0.25966159614838763,COMPLETE
21,1.3765174039319137,0.31265563200094076,0.9718315020032678,COMPLETE
22,1.4064064634101143,0.17368406188910027,0.8617327219115629,COMPLETE
23,1.3707660060910722,0.31114071846959546,0.7956635028228987,COMPLETE
24,1.3891115392695925,0.5372418317817662,0.7287903047992523,COMPLETE
25,1.3717019034654578,0.32628591431678194,0.7839189464747224,COMPLETE
26,1.3809171653667571,0.3724842379064673,0.5367477689759462,COMPLETE
27,1.4368896821468653,0.14500852608774836,0.6896302706614323,COMPLETE
28,1.3881659429683388,0.4869596175106732,0.7944281766969048,COMPLETE
29,1.4605114514087096,0.4406077799352062,0.05524608611423831,COMPLETE
30,1.3838813542647983,0.31423307208028906,0.6130130782934338,COMPLETE
31,1.3740443889155818,0.3118400272633232,0.9020081226927844,COMPLETE
32,1.3772841857239368,0.3761431411824642,0.8113632635294218,COMPLETE
33,1.3858349485115722,0.25570961450252366,0.7390839955910817,COMPLETE
34,1.395435477267995,0.4827640371166323,0.9160183109844295,COMPLETE
35,1.3757744677874042,0.43562384997377623,0.6562230284801158,COMPLETE
36,1.3985413465077718,0.549557090951615,0.8575146405028051,COMPLETE
37,1.3742947735256348,0.35242521779286756,0.7926864857346628,COMPLETE
38,1.4725476560655728,0.07657589220211847,0.4971840052222487,COMPLETE
39,1.3894241964005614,0.20198408653073363,0.9022308532607652,COMPLETE
40,1.375081139124825,0.42569332880106064,0.6578696681119277,COMPLETE
41,1.3728753482396907,0.27412132505021836,0.9970514780188311,COMPLETE
42,1.3722329321723354,0.3119738698210339,0.8427226268500344,COMPLETE
43,1.3701133931995788,0.33113160972711075,0.7041917356724177,COMPLETE
44,1.3736819142404506,0.38248259856708944,0.7066331989106152,COMPLETE
45,1.3990163532430693,0.21606306591738755,0.7457922253054132,COMPLETE
46,1.378038991088342,0.33794539434312687,0.6172280766264733,COMPLETE
47,1.4288002541287057,0.1642383984530686,0.6778890247736857,COMPLETE
48,1.3905025301592426,0.4055677571171332,0.42663201593714817,COMPLETE
49,1.3989154097603247,0.28285078103013206,0.5574381531372796,COMPLETE
