date,solar_ampr_actual,solar_ampr_fitted,solar_ampr_lower,solar_ampr_upper
2026-01-24 00:00:00+00:00,0.0,1.8702707,-241.31236479616268,245.05291171665226
2026-01-24 01:00:00+00:00,0.0,1.8702707,-241.31236479616268,245.05291171665226
2026-01-24 02:00:00+00:00,0.0,4.846223,-238.33635570417664,248.0289208086383
2026-01-24 03:00:00+00:00,0.0,4.846223,-238.33635570417664,248.0289208086383
2026-01-24 04:00:00+00:00,0.0,-3.5209646,-246.7036288313575,239.66164768145745
2026-01-24 05:00:00+00:00,0.0,3.5117502,-239.6708502756792,246.69442623713576
2026-01-24 06:00:00+00:00,0.018999999999778083,3.4514475,-239.73118855049165,246.6340879623233
2026-01-24 07:00:00+00:00,91.86950000000002,79.6077,-163.57488236961194,322.7903941432028
2026-01-24 08:00:00+00:00,744.7137500000001,613.32196,370.1393346219884,856.5046111348033
2026-01-24 09:00:00+00:00,2013.8600000000001,1528.3729,1285.1902730076577,1771.5555495204726
2026-01-24 10:00:00+00:00,3154.6989999999996,2285.2642,2042.081428395257,2528.4467049080718
2026-01-24 11:00:00+00:00,4113.5435,2977.56,2734.377482863031,3220.742759375846
2026-01-24 12:00:00+00:00,4239.59375,3277.0684,3033.8857084368665,3520.250984949681
2026-01-24 13:00:00+00:00,3446.31325,2910.4343,2667.251543941103,3153.616820453918
2026-01-24 14:00:00+00:00,1771.232,1662.1853,1419.0026266797202,1905.367903192535
2026-01-24 15:00:00+00:00,383.31399999999985,249.43326,6.25056163019417,492.6158381430091
2026-01-24 16:00:00+00:00,3.4502500000000964,-66.33188,-309.51451912883726,176.85075738397768
2026-01-24 17:00:00+00:00,0.0,-6.2549734,-249.4376579329264,236.9276185798883
2026-01-24 18:00:00+00:00,0.0,-7.247283,-250.42986992731085,235.9354065855041
2026-01-24 19:00:00+00:00,0.0,-6.8710623,-250.05373522718082,236.3115412856339
2026-01-24 20:00:00+00:00,0.0,-5.5867605,-248.7693919490291,237.59588456378583
2026-01-24 21:00:00+00:00,0.0,-4.3329763,-247.51560961526275,238.84966689755197
2026-01-24 22:00:00+00:00,0.0,-2.4914236,-245.67411681254362,240.69115970027133
2026-01-24 23:00:00+00:00,0.0,-1.5240164,-244.7066670192512,241.65860949356352
2026-01-25 00:00:00+00:00,0.0,4.2828684,-238.89977414041277,247.46550237240194
2026-01-25 01:00:00+00:00,0.0,4.2828684,-238.89977414041277,247.46550237240194
2026-01-25 02:00:00+00:00,0.0,7.3403635,-235.8422691967321,250.52300731608284
2026-01-25 03:00:00+00:00,0.0,7.3403635,-235.8422691967321,250.52300731608284
2026-01-25 04:00:00+00:00,0.0,7.3403635,-235.8422691967321,250.52300731608284
2026-01-25 05:00:00+00:00,0.0,6.005891,-237.17676376823465,249.1885127445803
2026-01-25 06:00:00+00:00,0.013500000000021828,5.945588,-237.23710204304712,249.12817446976783
2026-01-25 07:00:00+00:00,57.622249999999894,249.53043,6.347729761061146,492.7130062738761
2026-01-25 08:00:00+00:00,500.90824999999995,734.0653,490.8826481562635,977.2479246690784
2026-01-25 09:00:00+00:00,1165.37625,1328.104,1084.9213875353917,1571.2866640482064
2026-01-25 10:00:00+00:00,1777.7805,2149.0588,1905.8762752174866,2392.2415517303016
2026-01-25 11:00:00+00:00,1989.7745,3928.2568,3685.0742366116338,4171.439513124449
2026-01-25 12:00:00+00:00,1801.53325,4342.9746,4099.791737221291,4586.157013734106
2026-01-25 13:00:00+00:00,1385.0475,2052.3105,1809.1278871675281,2295.493163680343
2026-01-25 14:00:00+00:00,836.9337499999999,1155.8407,912.6580421489726,1399.0233186617875
2026-01-25 15:00:00+00:00,275.7829999999999,175.5419,-67.64078676473673,418.7244897480782
2026-01-25 16:00:00+00:00,4.363000000000056,-18.509491,-261.6921264631578,224.6731500496569
2026-01-25 17:00:00+00:00,0.0,2.742097,-240.4405159058199,245.92476060699505
2026-01-25 18:00:00+00:00,0.0,2.2739573,-240.90864688468992,245.45662962812503
2026-01-25 19:00:00+00:00,0.0,2.2739573,-240.90864688468992,245.45662962812503
2026-01-25 20:00:00+00:00,0.0,2.2739573,-240.90864688468992,245.45662962812503
2026-01-25 21:00:00+00:00,0.0,2.2739573,-240.90864688468992,245.45662962812503
2026-01-25 22:00:00+00:00,0.0,3.4225168,-239.76018226695987,246.60509424585484
2026-01-25 23:00:00+00:00,0.0,3.2482004,-239.9344580113534,246.43081850146132
2026-01-26 00:00:00+00:00,0.0,2.8971262,-240.28551706480812,246.07975944800683
2026-01-26 01:00:00+00:00,0.0,-7.7344656,-250.91712108677075,235.4481554260442
2026-01-26 02:00:00+00:00,0.0,32.96878,-210.2138612350077,276.151415277807
2026-01-26 03:00:00+00:00,0.0,-4.6769705,-247.85961614308985,238.50566036972486
2026-01-26 04:00:00+00:00,0.0,-4.6769705,-247.85961614308985,238.50566036972486
2026-01-26 05:00:00+00:00,0.0,-6.011443,-249.1941107145924,237.17116579822255
2026-01-26 06:00:00+00:00,0.009250000000292857,-6.071868,-249.25444898940486,237.11082752340985
2026-01-26 07:00:00+00:00,14.918249999999944,121.43619,-121.74650959608562,364.6187669167293
2026-01-26 08:00:00+00:00,130.0730000000001,693.3654,450.1827578445227,936.5480343573375
2026-01-26 09:00:00+00:00,368.4072500000002,1042.1342,798.9514644208668,1285.3167409336818
2026-01-26 10:00:00+00:00,728.60325,2360.9702,2117.7876658990126,2604.152942411827
2026-01-26 11:00:00+00:00,879.08825,2480.2612,2237.078668503109,2723.443945015924
2026-01-26 12:00:00+00:00,780.41075,2470.5115,2227.3288652687634,2713.6941417815783
2026-01-26 13:00:00+00:00,600.0554999999999,1808.5531,1565.3704545938629,2051.735731106678
2026-01-26 14:00:00+00:00,366.3677500000001,909.91815,666.7354940028595,1153.1007705156744
2026-01-26 15:00:00+00:00,120.66750000000002,219.5552,-23.6273848290391,462.73789168377584
2026-01-26 16:00:00+00:00,1.1669999999999163,-3.6296072,-246.81223772601993,239.553038786795
2026-01-26 17:00:00+00:00,0.0,-8.060027,-251.24263432517478,235.12264218764017
2026-01-26 18:00:00+00:00,0.0,-8.060027,-251.24263432517478,235.12264218764017
2026-01-26 19:00:00+00:00,0.0,-8.060027,-251.24263432517478,235.12264218764017
2026-01-26 20:00:00+00:00,0.0,-8.060027,-251.24263432517478,235.12264218764017
2026-01-26 21:00:00+00:00,0.0,-8.060027,-251.24263432517478,235.12264218764017
2026-01-26 22:00:00+00:00,0.0,-5.251067,-248.43369172916323,237.93158478365172
2026-01-26 23:00:00+00:00,0.0,-5.251067,-248.43369172916323,237.93158478365172
2026-01-27 00:00:00+00:00,0.0,4.9812326,-238.20141738050506,248.16385913230988
2026-01-27 01:00:00+00:00,0.0,4.9812326,-238.20141738050506,248.16385913230988
2026-01-27 02:00:00+00:00,0.0,8.038728,-235.1439124368244,251.22136407599055
2026-01-27 03:00:00+00:00,0.0,8.038728,-235.1439124368244,251.22136407599055
2026-01-27 04:00:00+00:00,0.0,8.038728,-235.1439124368244,251.22136407599055
2026-01-27 05:00:00+00:00,0.0,6.704255,-236.4784070083267,249.886869504488
2026-01-27 06:00:00+00:00,0.3420000000000982,6.6439524,-236.53874528313918,249.82653122967554
2026-01-27 07:00:00+00:00,261.8795,134.15189,-109.03080588981993,377.334470622995
2026-01-27 08:00:00+00:00,1242.5215,829.97577,586.7930786195891,1073.158355132404
2026-01-27 09:00:00+00:00,2192.51925,1280.706,1037.523400189692,1523.888676702507
2026-01-27 10:00:00+00:00,2795.9877500000002,3307.0193,3063.8365309942496,3550.2018075070646
2026-01-27 11:00:00+00:00,2889.60275,3374.9912,3131.8086162686786,3618.173892781493
2026-01-27 12:00:00+00:00,2414.2690000000002,3457.4863,3214.303732483497,3700.6690089963113
2026-01-27 13:00:00+00:00,1642.12225,2331.0815,2087.8987880250565,2574.2640645378715
2026-01-27 14:00:00+00:00,657.6122500000001,1050.4534,807.2707020123852,1293.6359785252002
2026-01-27 15:00:00+00:00,117.70799999999986,258.05435,14.871725679962765,501.2370021927777
2026-01-27 16:00:00+00:00,1.4282499999999345,47.7117,-195.4709482178339,290.89432829498105
2026-01-27 17:00:00+00:00,0.0,-7.084075,-250.2667215011295,236.09855501168545
2026-01-27 18:00:00+00:00,0.0,-7.45761,-250.64019191379998,235.72508459901474
2026-01-27 19:00:00+00:00,0.0,-7.084075,-250.2667215011295,236.09855501168545
2026-01-27 20:00:00+00:00,0.0,-7.002532,-250.18522564943464,236.1800508633803
2026-01-27 21:00:00+00:00,0.0,-7.002532,-250.18522564943464,236.1800508633803
2026-01-27 22:00:00+00:00,0.0,-4.193694,-247.3762830534231,238.98899345939185
2026-01-27 23:00:00+00:00,0.0,-3.8084402,-246.9910584313734,239.37421808144154
2026-01-28 00:00:00+00:00,0.0,5.0627756,-238.1199215288102,248.24535498400473
2026-01-28 01:00:00+00:00,0.0,5.0627756,-238.1199215288102,248.24535498400473
2026-01-28 02:00:00+00:00,0.0,8.120271,-235.06241658512954,251.3028599276854
2026-01-28 03:00:00+00:00,0.0,8.120271,-235.06241658512954,251.3028599276854
2026-01-28 04:00:00+00:00,0.0,8.120271,-235.06241658512954,251.3028599276854
2026-01-28 05:00:00+00:00,0.0,6.785676,-236.39691115663186,249.96836535618286
2026-01-28 06:00:00+00:00,0.13425000000006548,6.6439524,-236.53874528313918,249.82653122967554
2026-01-28 07:00:00+00:00,80.95449999999983,170.86368,-72.31896209760203,414.0463144152129
2026-01-28 08:00:00+00:00,474.068,626.61176,383.4291139143272,869.7943904271422
2026-01-28 09:00:00+00:00,1106.434,1169.8008,926.6180856408034,1412.9833621536184
2026-01-28 10:00:00+00:00,1627.93,2719.509,2476.3264321305323,2962.691708643347
2026-01-28 11:00:00+00:00,1470.26875,2953.0203,2709.837514689808,3196.202791202623
2026-01-28 12:00:00+00:00,1085.0595,2593.2754,2350.0928057566944,2836.4580822695098
