date,wind_offshore_tenn_actual,wind_offshore_tenn_fitted,wind_offshore_tenn_lower,wind_offshore_tenn_upper
2026-01-24 00:00:00+00:00,6406.235000000001,5295.341136063208,4683.948790484865,5906.733481641551
2026-01-24 01:00:00+00:00,6554.026,5340.593691092272,4729.2013455139295,5951.986036670616
2026-01-24 02:00:00+00:00,6177.0247500000005,5305.455125271001,4694.0627796926565,5916.847470849344
2026-01-24 03:00:00+00:00,6259.03425,5233.4984519014215,4622.106106323077,5844.890797479765
2026-01-24 04:00:00+00:00,6489.4395,5267.128668400108,4655.736322821764,5878.521013978451
2026-01-24 05:00:00+00:00,6650.9995,5290.431050087926,4679.038704509583,5901.82339566627
2026-01-24 06:00:00+00:00,6623.6155,5474.037892264915,4862.645546686572,6085.4302378432585
2026-01-24 07:00:00+00:00,6482.41675,5414.497482547648,4803.105136969305,6025.889828125992
2026-01-24 08:00:00+00:00,6696.901749999999,5355.958993732011,4744.566648153666,5967.351339310354
2026-01-24 09:00:00+00:00,6664.8415,5621.330544499868,5009.938198921525,6232.722890078212
2026-01-24 10:00:00+00:00,6493.5995,5474.513657023003,4863.12131144466,6085.906002601347
2026-01-24 11:00:00+00:00,6121.80875,5574.467754379095,4963.075408800752,6185.860099957439
2026-01-24 12:00:00+00:00,6031.863,5663.0851087363,5051.6927631579565,6274.477454314643
2026-01-24 13:00:00+00:00,6059.510250000001,5352.786239540415,4741.393893962071,5964.178585118759
2026-01-24 14:00:00+00:00,6242.56525,5332.188297865232,4720.79595228689,5943.580643443576
2026-01-24 15:00:00+00:00,6329.6942500000005,5403.66532445751,4792.272978879166,6015.057670035852
2026-01-24 16:00:00+00:00,6322.7115,5405.289817237577,4793.897471659233,6016.68216281592
2026-01-24 17:00:00+00:00,6233.4545,5099.042671592233,4487.650326013889,5710.4350171705755
2026-01-24 18:00:00+00:00,6078.875,4935.180442082956,4323.788096504612,5546.5727876613
2026-01-24 19:00:00+00:00,6054.03725,4943.148292442003,4331.755946863659,5554.540638020347
2026-01-24 20:00:00+00:00,6078.2645,5085.824772259183,4474.43242668084,5697.2171178375265
2026-01-24 21:00:00+00:00,5682.94225,4826.538058053935,4215.145712475592,5437.930403632279
2026-01-24 22:00:00+00:00,5281.07475,4637.560019992929,4026.1676744145852,5248.952365571272
2026-01-24 23:00:00+00:00,5158.6955,4597.420851344665,3986.028505766321,5208.813196923008
2026-01-25 00:00:00+00:00,4709.07475,4148.187819179133,3536.795473600789,4759.580164757476
2026-01-25 01:00:00+00:00,4368.09025,4209.473997099665,3598.081651521321,4820.866342678009
2026-01-25 02:00:00+00:00,4388.751749999999,4132.274043237358,3520.8816976590133,4743.6663888157
2026-01-25 03:00:00+00:00,4382.3825,4128.529326448973,3517.136980870629,4739.921672027316
2026-01-25 04:00:00+00:00,4263.030000000001,4180.634333608068,3569.241988029725,4792.0266791864115
2026-01-25 05:00:00+00:00,4351.798,4427.804887483708,3816.4125419053644,5039.197233062052
2026-01-25 06:00:00+00:00,4823.24575,4306.604197778505,3695.211852200162,4917.996543356849
2026-01-25 07:00:00+00:00,5071.261,4888.796202686015,4277.403857107671,5500.188548264357
2026-01-25 08:00:00+00:00,5404.88625,5036.959671853903,4425.56732627556,5648.352017432247
2026-01-25 09:00:00+00:00,5986.695,5099.967767836928,4488.575422258585,5711.360113415272
2026-01-25 10:00:00+00:00,5969.08825,5476.250102180676,4864.857756602332,6087.642447759019
2026-01-25 11:00:00+00:00,5887.46775,5376.3648167655465,4764.972471187202,5987.75716234389
2026-01-25 12:00:00+00:00,5960.19875,5346.930679975,4735.538334396657,5958.3230255533435
2026-01-25 13:00:00+00:00,6030.975,5300.19423606879,4688.801890490447,5911.586581647134
2026-01-25 14:00:00+00:00,6210.42375,5286.272390127756,4674.880044549413,5897.664735706099
2026-01-25 15:00:00+00:00,6239.28275,5455.949847509326,4844.557501930982,6067.342193087669
2026-01-25 16:00:00+00:00,6184.001249999999,5419.271652718187,4807.879307139843,6030.663998296531
2026-01-25 17:00:00+00:00,6279.974,5485.657704265057,4874.265358686713,6097.0500498434
2026-01-25 18:00:00+00:00,6291.257,5382.750739531859,4771.358393953516,5994.143085110203
2026-01-25 19:00:00+00:00,6261.597,5239.832671215476,4628.440325637133,5851.22501679382
2026-01-25 20:00:00+00:00,5944.68425,5037.919475671685,4426.527130093342,5649.3118212500285
2026-01-25 21:00:00+00:00,5526.32725,4998.692171261148,4387.299825682805,5610.084516839492
2026-01-25 22:00:00+00:00,5243.30925,4746.793225670937,4135.400880092594,5358.185571249282
2026-01-25 23:00:00+00:00,5041.2585,4622.70356373082,4011.3112181524766,5234.095909309163
2026-01-26 00:00:00+00:00,5009.1715,4305.5070632829,3694.114717704557,4916.8994088612435
2026-01-26 01:00:00+00:00,5476.25925,4611.360079930021,3999.967734351678,5222.7524255083645
2026-01-26 02:00:00+00:00,6029.47025,5168.919931072347,4557.527585494005,5780.312276650691
2026-01-26 03:00:00+00:00,6152.702499999999,5214.054763961611,4602.662418383266,5825.447109539954
2026-01-26 04:00:00+00:00,5783.81175,5066.141240216237,4454.748894637893,5677.53358579458
2026-01-26 05:00:00+00:00,4838.746,5105.591535849694,4494.199190271351,5716.983881428037
2026-01-26 06:00:00+00:00,4698.401,5031.984937802228,4420.592592223884,5643.3772833805715
2026-01-26 07:00:00+00:00,5310.66525,5225.61471889415,4614.222373315807,5837.007064472495
2026-01-26 08:00:00+00:00,4816.87375,5218.210754481159,4606.8184089028155,5829.603100059503
2026-01-26 09:00:00+00:00,5212.2275,5359.780524694079,4748.3881791157355,5971.172870272423
2026-01-26 10:00:00+00:00,5263.7927500000005,5395.532336718816,4784.1399911404715,6006.92468229716
2026-01-26 11:00:00+00:00,5628.43425,5484.858427191903,4873.466081613558,6096.250772770246
2026-01-26 12:00:00+00:00,6146.563,5266.100580161628,4654.708234583284,5877.492925739972
2026-01-26 13:00:00+00:00,5700.532,5067.462632096287,4456.070286517945,5678.854977674631
2026-01-26 14:00:00+00:00,5145.86175,4219.757969139297,3608.3656235609524,4831.15031471764
2026-01-26 15:00:00+00:00,4563.3495,4360.102423317903,3748.7100777395594,4971.494768896247
2026-01-26 16:00:00+00:00,4260.04575,3538.3536799075855,2926.961334329242,4149.746025485929
2026-01-26 17:00:00+00:00,3767.7585,3049.484014614469,2438.091669036125,3660.876360192812
2026-01-26 18:00:00+00:00,3187.0074999999997,2966.305955847088,2354.9136102687444,3577.698301425432
2026-01-26 19:00:00+00:00,2552.58925,2683.6765393689584,2072.2841937906146,3295.0688849473017
2026-01-26 20:00:00+00:00,1928.68025,2326.018847420224,1714.6265018418808,2937.411192998568
2026-01-26 21:00:00+00:00,1818.669,2323.655946480994,1712.2636009026505,2935.0482920593377
2026-01-26 22:00:00+00:00,2514.825,2827.6982060330583,2216.3058604547145,3439.0905516114017
2026-01-26 23:00:00+00:00,2752.8675,2822.9247921086526,2211.532446530309,3434.317137686996
2026-01-27 00:00:00+00:00,1644.96275,2436.480016179608,1825.0876706012643,3047.8723617579517
2026-01-27 01:00:00+00:00,1192.98875,1255.6021126217795,644.2097670434359,1866.994458200123
2026-01-27 02:00:00+00:00,2538.1115,1228.9711368661312,617.5787912877877,1840.3634824444748
2026-01-27 03:00:00+00:00,3550.64375,3425.2554247432745,2813.863079164931,4036.647770321618
2026-01-27 04:00:00+00:00,4005.4252500000002,4146.884671699741,3535.492326121397,4758.277017278084
2026-01-27 05:00:00+00:00,5021.63675,4628.071081176226,4016.6787355978813,5239.463426754568
2026-01-27 06:00:00+00:00,5225.8099999999995,5036.343591976849,4424.951246398506,5647.735937555193
2026-01-27 07:00:00+00:00,5172.64725,4917.59277515334,4306.200429574996,5528.985120731683
2026-01-27 08:00:00+00:00,5541.523,5269.508493973224,4658.116148394881,5880.900839551568
2026-01-27 09:00:00+00:00,6199.843999999999,5501.206451808943,4889.8141062305995,6112.598797387287
2026-01-27 10:00:00+00:00,6323.731,5703.640438307853,5092.24809272951,6315.032783886198
2026-01-27 11:00:00+00:00,6291.718,5550.919621665227,4939.527276086884,6162.3119672435705
2026-01-27 12:00:00+00:00,6044.4577500000005,5686.170703593449,5074.7783580151045,6297.563049171791
2026-01-27 13:00:00+00:00,6241.3475,5672.38176822112,5060.989422642777,6283.7741137994635
2026-01-27 14:00:00+00:00,6319.91975,5661.077669807179,5049.685324228834,6272.470015385521
2026-01-27 15:00:00+00:00,6651.088749999999,5647.315899534249,5035.923553955906,6258.708245112593
2026-01-27 16:00:00+00:00,6753.775750000001,5725.022788602166,5113.6304430238215,6336.415134180509
2026-01-27 17:00:00+00:00,6773.290999999999,5787.2839423391015,5175.891596760757,6398.676287917445
2026-01-27 18:00:00+00:00,6737.867749999999,5758.829471316838,5147.437125738494,6370.221816895181
2026-01-27 19:00:00+00:00,6815.1885,5700.998407660658,5089.606062082314,6312.390753239001
2026-01-27 20:00:00+00:00,6797.3372500000005,5458.035845051113,4846.64349947277,6069.428190629456
2026-01-27 21:00:00+00:00,6621.774749999999,5507.146847877646,4895.754502299302,6118.539193455988
2026-01-27 22:00:00+00:00,6509.7755,5476.87418470362,4865.481839125276,6088.266530281962
2026-01-27 23:00:00+00:00,6264.0445,5568.302092694605,4956.90974711626,6179.694438272947
2026-01-28 00:00:00+00:00,6220.849250000001,5726.693524218608,5115.301178640265,6338.0858697969525
2026-01-28 01:00:00+00:00,6209.64425,5490.756307488478,4879.363961910135,6102.148653066823
2026-01-28 02:00:00+00:00,6222.54975,5549.064764924946,4937.672419346602,6160.457110503288
2026-01-28 03:00:00+00:00,5749.9695,5343.93890114886,4732.546555570517,5955.331246727204
2026-01-28 04:00:00+00:00,5848.72225,5316.889498460534,4705.497152882192,5928.281844038878
2026-01-28 05:00:00+00:00,5220.436250000001,5562.349234665275,4950.956889086931,6173.741580243619
2026-01-28 06:00:00+00:00,5518.45175,5541.31773323541,4929.925387657066,6152.710078813753
2026-01-28 07:00:00+00:00,6220.7055,5495.001629524513,4883.609283946169,6106.3939751028565
2026-01-28 08:00:00+00:00,6447.39525,5516.057307781321,4904.664962202976,6127.449653359663
2026-01-28 09:00:00+00:00,6160.76325,5379.590552380616,4768.198206802272,5990.982897958958
2026-01-28 10:00:00+00:00,6115.156000000001,5506.364004866095,4894.971659287751,6117.756350444438
2026-01-28 11:00:00+00:00,5937.48675,5284.262823010076,4672.870477431732,5895.655168588419
2026-01-28 12:00:00+00:00,5793.943499999999,5365.3165818472,4753.9242362688565,5976.708927425543
2026-01-28 13:00:00+00:00,5408.26375,5210.019261746983,4598.62691616864,5821.411607325326
2026-01-28 14:00:00+00:00,5127.3412499999995,5137.737030088047,4526.344684509702,5749.129375666389
2026-01-28 15:00:00+00:00,5525.02975,5093.256187388502,4481.86384181016,5704.648532966847
2026-01-28 16:00:00+00:00,5539.0325,5258.319774542071,4646.927428963728,5869.712120120415
2026-01-28 17:00:00+00:00,6044.17225,5396.012770155427,4784.620424577084,6007.405115733771
2026-01-28 18:00:00+00:00,6502.90475,5335.41969484704,4724.0273492686965,5946.812040425384
2026-01-28 19:00:00+00:00,6531.627,5310.71094467975,4699.318599101407,5922.103290258094
2026-01-28 20:00:00+00:00,6124.7675,5424.467855309973,4813.075509731629,6035.860200888317
2026-01-28 21:00:00+00:00,6494.588249999999,5353.494022874742,4742.1016772963985,5964.886368453086
2026-01-28 22:00:00+00:00,6290.77225,5369.5659470062,4758.173601427857,5980.958292584544
2026-01-28 23:00:00+00:00,6226.516,5301.659526155794,4690.267180577452,5913.051871734138
2026-01-29 00:00:00+00:00,6341.503000000001,5211.105079983077,4599.712734404733,5822.497425561421
2026-01-29 01:00:00+00:00,6147.7015,5313.472754475069,4702.080408896725,5924.865100053413
2026-01-29 02:00:00+00:00,5933.95875,5182.973270857467,4571.580925279123,5794.365616435811
2026-01-29 03:00:00+00:00,5759.6765,5093.709625390073,4482.317279811729,5705.101970968417
2026-01-29 04:00:00+00:00,5779.99475,5250.681582820541,4639.2892372421975,5862.073928398884
2026-01-29 05:00:00+00:00,5818.659250000001,5300.237898533442,4688.845552955097,5911.630244111785
2026-01-29 06:00:00+00:00,5831.6445,5216.014883637416,4604.622538059071,5827.407229215758
2026-01-29 07:00:00+00:00,5588.93025,5317.535407365436,4706.143061787092,5928.9277529437795
2026-01-29 08:00:00+00:00,5574.4725,5367.737739134308,4756.345393555965,5979.130084712651
2026-01-29 09:00:00+00:00,5587.508,5381.146621611202,4769.754276032858,5992.538967189546
2026-01-29 10:00:00+00:00,5670.1745,5455.197656130943,4843.8053105526,6066.590001709286
2026-01-29 11:00:00+00:00,5629.4127499999995,5549.178787732475,4937.786442154132,6160.571133310818
2026-01-29 12:00:00+00:00,6181.742250000001,5477.392571688284,4866.000226109941,6088.784917266628
2026-01-29 13:00:00+00:00,6256.5,5485.868948573606,4874.4766029952625,6097.261294151949
2026-01-29 14:00:00+00:00,6317.49,5262.54925197074,4651.156906392398,5873.941597549085
2026-01-29 15:00:00+00:00,6290.559500000001,5077.433338010463,4466.040992432119,5688.825683588806
2026-01-29 16:00:00+00:00,6151.39525,5095.406752442931,4484.014406864588,5706.799098021274
2026-01-29 17:00:00+00:00,5963.02975,4968.3810381130625,4356.988692534718,5579.773383691406
2026-01-29 18:00:00+00:00,5897.6715,5016.912692718053,4405.520347139709,5628.305038296397
2026-01-29 19:00:00+00:00,5980.434,5111.900335527587,4500.507989949244,5723.2926811059315
2026-01-29 20:00:00+00:00,6047.23525,5306.088657086108,4694.696311507763,5917.481002664451
2026-01-29 21:00:00+00:00,5636.32075,5198.266390552137,4586.874044973793,5809.658736130481
2026-01-29 22:00:00+00:00,5198.9805,5310.054666690923,4698.662321112579,5921.4470122692655
2026-01-29 23:00:00+00:00,5729.812,5269.131987897471,4657.739642319128,5880.524333475814
2026-01-30 00:00:00+00:00,6034.85625,5165.817158837812,4554.4248132594685,5777.209504416156
2026-01-30 01:00:00+00:00,6198.880999999999,5210.130003283427,4598.737657705084,5821.52234886177
2026-01-30 02:00:00+00:00,6600.762999999999,5260.288617453935,4648.896271875592,5871.680963032279
2026-01-30 03:00:00+00:00,6566.0105,5230.103508131913,4618.711162553571,5841.4958537102575
2026-01-30 04:00:00+00:00,6310.48775,5366.429605724952,4755.037260146608,5977.8219513032955
2026-01-30 05:00:00+00:00,6304.96525,5427.43677637507,4816.044430796726,6038.829121953414
2026-01-30 06:00:00+00:00,6516.47925,5235.261573085166,4623.869227506822,5846.653918663509
2026-01-30 07:00:00+00:00,6502.406999999999,5370.730537504196,4759.338191925853,5982.12288308254
2026-01-30 08:00:00+00:00,6125.085499999999,5307.684276408637,4696.2919308302935,5919.07662198698
2026-01-30 09:00:00+00:00,6480.426749999999,5340.153052641763,4728.7607070634185,5951.545398220105
2026-01-30 10:00:00+00:00,6494.302749999999,5511.969051179327,4900.576705600983,6123.36139675767
2026-01-30 11:00:00+00:00,6697.3735,5552.375119411696,4940.982773833353,6163.76746499004
2026-01-30 12:00:00+00:00,6482.58175,5481.549188112072,4870.156842533728,6092.941533690416
2026-01-30 13:00:00+00:00,6121.906999999999,5509.095368733984,4897.703023155641,6120.4877143123285
2026-01-30 14:00:00+00:00,6133.785,5407.009229028282,4795.6168834499385,6018.401574606625
2026-01-30 15:00:00+00:00,6268.3955000000005,5283.621890827256,4672.2295452489125,5895.014236405599
2026-01-30 16:00:00+00:00,6676.68975,5438.817666467188,4827.425320888844,6050.210012045531
2026-01-30 17:00:00+00:00,6156.56825,5427.450426481764,4816.058080903422,6038.8427720601085
2026-01-30 18:00:00+00:00,6210.2825,5451.920686301209,4840.528340722865,6063.313031879552
2026-01-30 19:00:00+00:00,6120.913500000001,5340.98501048251,4729.592664904167,5952.377356060853
2026-01-30 20:00:00+00:00,6103.89275,5317.457977387292,4706.065631808948,5928.850322965635
2026-01-30 21:00:00+00:00,5951.32125,5380.431106865094,4769.038761286751,5991.823452443437
2026-01-30 22:00:00+00:00,5835.4439999999995,5405.823649233332,4794.431303654988,6017.215994811675
2026-01-30 23:00:00+00:00,5821.581,5363.679206275987,4752.286860697643,5975.071551854329
2026-01-31 00:00:00+00:00,6097.75625,5863.419194241547,5258.225314066116,6468.613074416979
2026-01-31 01:00:00+00:00,5959.768749999999,5963.075670373888,5357.881790198457,6568.269550549319
2026-01-31 02:00:00+00:00,6326.730750000001,5854.397330039172,5249.20344986374,6459.591210214602
2026-01-31 03:00:00+00:00,6299.8060000000005,5862.889085237948,5257.695205062517,6468.0829654133795
