date,solar_ampr_actual,solar_ampr_fitted,solar_ampr_lower,solar_ampr_upper
2026-02-28 00:00:00+00:00,,-0.8616269,-141.9418184082699,140.2184609138185
2026-02-28 01:00:00+00:00,,-4.2443175,-145.32451615794594,136.83576316414246
2026-02-28 02:00:00+00:00,,-0.028130813,-141.10831934720068,141.05195997488772
2026-02-28 03:00:00+00:00,,2.5297306,-138.55036234972113,143.6099169723675
2026-02-28 04:00:00+00:00,,2.6869571,-138.3932435966076,143.76703572548104
2026-02-28 05:00:00+00:00,,63.219917,-77.8601918216882,204.3000875004002
2026-02-28 06:00:00+00:00,,309.13556,168.0554720094242,450.2157513315127
2026-02-28 07:00:00+00:00,,1306.6084,1165.5282718926694,1447.688551214758
2026-02-28 08:00:00+00:00,,2488.048,2346.967923108054,2629.1282024301427
2026-02-28 09:00:00+00:00,,3792.5098,3651.429716775927,3933.589996098015
2026-02-28 10:00:00+00:00,,4621.416,4480.335973752854,4762.496253074943
2026-02-28 11:00:00+00:00,,4979.9844,4838.904058444907,5121.064337766995
2026-02-28 12:00:00+00:00,,4826.714,4685.633653169483,4967.793932491572
2026-02-28 13:00:00+00:00,,4146.943,4005.862818066783,4288.023097388871
2026-02-28 14:00:00+00:00,,2991.912,2850.8320391975963,3132.992318519685
2026-02-28 15:00:00+00:00,,1646.1703,1505.090195997734,1787.2504753198227
2026-02-28 16:00:00+00:00,,334.32867,193.2484820789682,475.4087614010567
2026-02-28 17:00:00+00:00,,6.274237,-134.80591990326502,147.35435941882338
2026-02-28 18:00:00+00:00,,-8.253594,-149.33369839533225,132.82658092675638
2026-02-28 19:00:00+00:00,,-1.389703,-142.46983827198505,139.69044105010357
2026-02-28 20:00:00+00:00,,-1.3564999,-142.43666285958784,139.7236164625008
2026-02-28 21:00:00+00:00,,-1.0564511,-142.13662442986674,140.02365489222166
2026-02-28 22:00:00+00:00,,1.5432804,-139.53686641276659,142.62341290932204
2026-02-28 23:00:00+00:00,,-1.9458554,-143.02599088541297,139.13428843667543
2026-03-01 00:00:00+00:00,,1.9950626,-139.08501729591558,143.07526202617282
2026-03-01 01:00:00+00:00,,2.2746036,-138.8055476218808,143.3547317002076
2026-03-01 02:00:00+00:00,,2.3163517,-138.76374660226043,143.3965327198282
2026-03-01 03:00:00+00:00,,1.5363224,-139.54376689854507,142.61651242354333
2026-03-01 04:00:00+00:00,,8.696601,-132.38358399166555,149.77669533042308
2026-03-01 05:00:00+00:00,,38.749825,-102.33037600592024,179.82990331616816
2026-03-01 06:00:00+00:00,,345.55035,204.4702643748219,486.6305436969103
2026-03-01 07:00:00+00:00,,1233.5146,1092.4344947652485,1374.594774087337
2026-03-01 08:00:00+00:00,,2360.3374,2219.2572489108143,2501.4175282329024
2026-03-01 09:00:00+00:00,,3427.8801,3286.799953432293,3568.9602327543817
2026-03-01 10:00:00+00:00,,4040.358,3899.2779147300053,4181.438194052094
2026-03-01 11:00:00+00:00,,4691.1406,4550.060605286563,4832.220884608652
2026-03-01 12:00:00+00:00,,4551.38,4410.29975874591,4692.4600380679985
2026-03-01 13:00:00+00:00,,3896.0042,3754.9239986937737,4037.0842780158623
2026-03-01 14:00:00+00:00,,2666.7864,2525.7062299201452,2807.8665092422334
2026-03-01 15:00:00+00:00,,1181.5304,1040.4502159585093,1322.610495280598
2026-03-01 16:00:00+00:00,,326.45428,185.37409889399987,467.5343782160885
2026-03-01 17:00:00+00:00,,-7.559747,-148.6399341712804,133.52034515080823
2026-03-01 18:00:00+00:00,,3.2194278,-137.86071187680636,144.29956744528204
2026-03-01 19:00:00+00:00,,3.1626651,-137.9175081828305,144.2427711392579
2026-03-01 20:00:00+00:00,,4.1326356,-136.94745912433427,145.21282019775435
2026-03-01 21:00:00+00:00,,2.3826358,-138.69752847911536,143.46275084297304
2026-03-01 22:00:00+00:00,,2.7150333,-138.3651108468946,143.7951684751938
2026-03-01 23:00:00+00:00,,-1.3009579,-142.3810608684098,139.7792184536786
2026-03-02 00:00:00+00:00,,-1.2357724,-142.3159043584617,139.84437496362693
2026-03-02 01:00:00+00:00,,-0.6980527,-141.77819727432666,140.38208204776197
2026-03-02 02:00:00+00:00,,2.351752,-138.72844796346953,143.43183135861887
2026-03-02 03:00:00+00:00,,3.363959,-137.71619978040394,144.4440795416847
2026-03-02 04:00:00+00:00,,8.648871,-132.43122388386791,149.72905543822048
2026-03-02 05:00:00+00:00,,62.534737,-78.54546314016648,203.61481618192215
2026-03-02 06:00:00+00:00,,398.12433,257.0442029615101,539.2044822835987
2026-03-02 07:00:00+00:00,,1543.6965,1402.616364883668,1684.7766442057566
2026-03-02 08:00:00+00:00,,2848.372,2707.2919823782945,2989.452261700383
2026-03-02 09:00:00+00:00,,4373.226,4232.145936349434,4514.306215671522
2026-03-02 10:00:00+00:00,,5086.7363,4945.656165860167,5227.816445182255
2026-03-02 11:00:00+00:00,,5456.0845,5315.004136354941,5597.164415677029
2026-03-02 12:00:00+00:00,,5175.015,5033.934876636125,5316.0951559582145
2026-03-02 13:00:00+00:00,,4231.4336,4090.353162150272,4372.513441472361
2026-03-02 14:00:00+00:00,,3006.9248,2865.844709517262,3148.0049888393505
2026-03-02 15:00:00+00:00,,1400.6576,1259.5774641378928,1541.7377434599814
2026-03-02 16:00:00+00:00,,377.2326,236.15245146009806,518.3127307821866
2026-03-02 17:00:00+00:00,,15.176703,-125.90349703893003,156.2567822831586
2026-03-02 18:00:00+00:00,,-13.344171,-154.42426637522,127.73601294686841
2026-03-02 19:00:00+00:00,,7.362738,-133.7173682716857,148.44291105040293
2026-03-02 20:00:00+00:00,,1.277045,-139.8030659218423,142.35721340024634
2026-03-02 21:00:00+00:00,,1.277045,-139.8030659218423,142.35721340024634
2026-03-02 22:00:00+00:00,,2.034003,-139.04613571258596,143.11414360950243
2026-03-02 23:00:00+00:00,,2.034003,-139.04613571258596,143.11414360950243
2026-03-03 00:00:00+00:00,,2.4440372,-138.63608761535556,143.52419170673284
2026-03-03 01:00:00+00:00,,2.4440372,-138.63608761535556,143.52419170673284
2026-03-03 02:00:00+00:00,,2.4440372,-138.63608761535556,143.52419170673284
2026-03-03 03:00:00+00:00,,2.4440372,-138.63608761535556,143.52419170673284
2026-03-03 04:00:00+00:00,,12.927192,-128.1529227011149,154.0073566209735
2026-03-03 05:00:00+00:00,,106.55207,-34.528060568158935,247.63221875392946
