date,solar_ampr_actual,solar_ampr_fitted,solar_ampr_lower,solar_ampr_upper
2026-02-05 14:00:00+00:00,2193.06275,1912.2771,1751.1476264983667,2073.4066219079346
2026-02-05 15:00:00+00:00,705.1130000000002,563.4028,402.2732882775001,724.5322836870681
2026-02-05 16:00:00+00:00,32.11674999999991,58.046906,-103.08256644339167,219.17642896617645
2026-02-05 17:00:00+00:00,0.0039999999999054126,-3.7616873,-164.89121448781725,157.36778092175086
2026-02-05 18:00:00+00:00,0.0,4.522126,-156.6073178858319,165.65167752373623
2026-02-05 19:00:00+00:00,0.0,1.4972239,-159.6322244888347,162.6267709207334
2026-02-05 20:00:00+00:00,0.0,1.6860666,-159.44337352481102,162.8156218847571
2026-02-05 21:00:00+00:00,0.0,2.568513,-158.5610242074231,163.69797120214503
2026-02-05 22:00:00+00:00,0.0,0.96414274,-160.1653954262688,162.09359998329933
2026-02-05 23:00:00+00:00,0.0,-0.55612093,-161.68560650596032,160.5733889036078
2026-02-06 00:00:00+00:00,0.0,-1.426116,-162.55557472280248,159.70342068676564
2026-02-06 01:00:00+00:00,0.0,0.12503141,-161.00448925314186,161.25450615642626
2026-02-06 02:00:00+00:00,0.0,0.12503141,-161.00448925314186,161.25450615642626
2026-02-06 03:00:00+00:00,0.0,-1.3499441,-162.47940744602602,159.7795879635421
2026-02-06 04:00:00+00:00,0.0,2.5240793,-158.60537675748014,163.65361865208797
2026-02-06 05:00:00+00:00,0.0,-20.100433,-181.22987897029225,141.02911643927587
2026-02-06 06:00:00+00:00,2.272999999999911,43.19632,-117.93314801847782,204.3258473910903
2026-02-06 07:00:00+00:00,229.35775000000012,452.13174,291.00230027482894,613.261295684397
2026-02-06 08:00:00+00:00,887.994,1150.7139,989.58438837643,1311.8433837859982
2026-02-06 09:00:00+00:00,1720.08975,1985.9293,1824.7997963227826,2147.0587917323505
2026-02-06 10:00:00+00:00,2392.956,2707.038,2545.9086699765576,2868.167665386126
2026-02-06 11:00:00+00:00,2419.5122499999998,2919.4526,2758.3230624581115,3080.5820578676794
2026-02-06 12:00:00+00:00,2130.62925,2801.0454,2639.9157804958304,2962.1747759053987
