date,wind_onshore_rte_actual,wind_onshore_rte_fitted,wind_onshore_rte_lower,wind_onshore_rte_upper
2026-01-24 00:00:00+00:00,9248.9925,8543.75,8130.775687610239,8956.724276486442
2026-01-24 01:00:00+00:00,9054.4575,9051.9795,8639.004963003626,9464.95355187983
2026-01-24 02:00:00+00:00,8453.6725,10341.766,9928.79111679782,10754.739705674025
2026-01-24 03:00:00+00:00,7822.18,7395.015,6982.040714516654,7807.9893033928565
2026-01-24 04:00:00+00:00,7401.5425,6399.579,5986.604961863724,6812.553550739928
2026-01-24 05:00:00+00:00,7361.8025,4747.6733,4334.699154619352,5160.647743495556
2026-01-24 06:00:00+00:00,7242.1475,4274.901,3861.9266387858643,4687.875227662068
2026-01-24 07:00:00+00:00,7080.15,3938.5923,3525.6179428570213,4351.566531733225
2026-01-24 08:00:00+00:00,6642.0225,3087.8176,2674.8433882590284,3500.791977135232
2026-01-24 09:00:00+00:00,6179.6,4992.0186,4579.044287244379,5404.992876120583
2026-01-24 10:00:00+00:00,5755.7675,4299.844,3886.869963281755,4712.818552157959
2026-01-24 11:00:00+00:00,5502.2225,3950.3528,3537.378484492407,4363.327073368611
2026-01-24 12:00:00+00:00,5653.665,3455.0278,3042.0534364347272,3868.002025310931
2026-01-24 13:00:00+00:00,5814.6625,3668.7485,3255.774203193445,4081.722792069649
2026-01-24 14:00:00+00:00,5457.4575,4127.2993,3714.325097831934,4540.273686708138
2026-01-24 15:00:00+00:00,5534.4775,4146.7646,3733.790215546017,4559.738804422221
2026-01-24 16:00:00+00:00,6290.9025,5256.146,4843.171517690223,5669.120106566426
2026-01-24 17:00:00+00:00,7474.08,5733.602,5320.627773493802,6146.576362370006
2026-01-24 18:00:00+00:00,7984.18,6660.1006,6247.126169140605,7073.07475801681
2026-01-24 19:00:00+00:00,8008.5225,6736.648,6323.673642335176,7149.622231211379
2026-01-24 20:00:00+00:00,7399.6975,7425.3765,7012.402333013879,7838.350921890083
2026-01-24 21:00:00+00:00,6893.0675,8705.433,8292.458236278937,9118.40682515514
2026-01-24 22:00:00+00:00,6574.422500000001,7562.559,7149.584652399501,7975.533241275704
2026-01-24 23:00:00+00:00,6230.6075,6756.371,6343.3966184317105,7169.345207307914
2026-01-25 00:00:00+00:00,5839.16,5088.472,4675.497872528091,5501.4464614042945
2026-01-25 01:00:00+00:00,5578.1224999999995,5299.6157,4886.641326339451,5712.589915215654
2026-01-25 02:00:00+00:00,5523.1925,6014.351,5601.376884144383,6427.325473020587
2026-01-25 03:00:00+00:00,5647.59,4948.423,4535.448622851754,5361.397211727958
2026-01-25 04:00:00+00:00,5954.0575,3743.0005,3330.0261091264924,4155.974698002697
2026-01-25 05:00:00+00:00,6186.555,4531.054,4118.079763449687,4944.02835232589
2026-01-25 06:00:00+00:00,6184.5725,3408.1182,2995.143752353208,3821.092341229412
2026-01-25 07:00:00+00:00,6431.6125,4954.822,4541.847670914047,5367.796259790251
2026-01-25 08:00:00+00:00,6351.76,6125.615,5712.6409865698615,6538.589575446065
2026-01-25 09:00:00+00:00,6310.9875,7206.122,6793.14790773108,7619.096496607283
2026-01-25 10:00:00+00:00,5732.5475,5802.948,5389.973989838187,6215.9225787143905
2026-01-25 11:00:00+00:00,5466.9275,4773.5024,4360.528079490763,5186.476668366967
2026-01-25 12:00:00+00:00,5077.8,3298.3882,2885.413935833215,3711.3625247094187
2026-01-25 13:00:00+00:00,4737.275,4482.36,4069.3856381520063,4895.33422702821
2026-01-25 14:00:00+00:00,4511.5975,4717.1357,4304.16150018305,5130.110089059254
2026-01-25 15:00:00+00:00,4290.5675,5441.35,5028.375668355064,5854.324257231268
2026-01-25 16:00:00+00:00,3858.2799999999997,5614.347,5201.372758584249,6027.321347460453
2026-01-25 17:00:00+00:00,3856.2875,6224.295,5811.32060397897,6637.269192855174
2026-01-25 18:00:00+00:00,3566.79,5057.1724,4644.197983577879,5470.146572454083
2026-01-25 19:00:00+00:00,3072.2325,5876.9785,5464.003985057066,6289.952573933269
2026-01-25 20:00:00+00:00,2928.2375,4153.764,3740.789636353933,4566.738225230138
2026-01-25 21:00:00+00:00,2736.5225,3345.3142,2932.3398041463424,3758.288393022546
2026-01-25 22:00:00+00:00,2737.6825,3892.8608,3479.8864915856034,4305.835080461808
2026-01-25 23:00:00+00:00,2699.7799999999997,3162.9016,2749.9272259437885,3575.8758148199922
2026-01-26 00:00:00+00:00,2578.675,2768.4639,2355.4896979688615,3181.4382868450652
2026-01-26 01:00:00+00:00,2535.6150000000002,2347.8135,1934.8391095323104,2760.7876984085137
2026-01-26 02:00:00+00:00,2545.1075,1639.7649,1226.7905961162382,2052.739184992442
2026-01-26 03:00:00+00:00,2569.285,1895.9624,1482.988019926835,2308.936608803039
2026-01-26 04:00:00+00:00,2477.1225,3742.8484,3329.874122592478,4155.822711468682
2026-01-26 05:00:00+00:00,2416.2025,2218.2888,1805.314421579214,2631.2630104554173
2026-01-26 06:00:00+00:00,2366.055,2555.0803,2142.1059989569094,2968.054587833113
2026-01-26 07:00:00+00:00,2254.91,2584.3965,2171.422074594207,2997.370663470411
2026-01-26 08:00:00+00:00,2185.65,2243.4912,1830.5167975259128,2656.465386402116
2026-01-26 09:00:00+00:00,2456.535,2068.1875,1655.2131430573177,2481.161731933521
2026-01-26 10:00:00+00:00,2548.2999999999997,2697.685,2284.710658401768,3110.659247277972
2026-01-26 11:00:00+00:00,2551.3,2905.7268,2492.7525235322273,3318.701112408431
2026-01-26 12:00:00+00:00,2745.16,3317.584,2904.6097832066607,3730.5583720828645
