date,wind_onshore_tenn_actual,wind_onshore_tenn_fitted,wind_onshore_tenn_lower,wind_onshore_tenn_upper
2026-01-24 00:00:00+00:00,11227.58075,10711.252,10120.376059245133,11302.127046206711
2026-01-24 01:00:00+00:00,10589.34475,9729.583,9138.707527115788,10320.458514077363
2026-01-24 02:00:00+00:00,9855.24925,9683.685,9092.809166460167,10274.560153421744
2026-01-24 03:00:00+00:00,9349.25425,9629.883,9039.007484121967,10220.758471083544
2026-01-24 04:00:00+00:00,8979.3665,9809.64,9218.764227823955,10400.515214785533
2026-01-24 05:00:00+00:00,9183.65625,10095.839,9504.96279869587,10686.713785657446
2026-01-24 06:00:00+00:00,8571.08225,9760.611,9169.735824028825,10351.486810990402
2026-01-24 07:00:00+00:00,8077.121,10371.271,9780.395669865826,10962.146656827403
2026-01-24 08:00:00+00:00,7718.3715,9994.646,9403.770485412628,10585.521472374203
2026-01-24 09:00:00+00:00,7178.78175,10248.979,9658.103002307193,10839.85398926877
2026-01-24 10:00:00+00:00,6698.17175,7276.068,6685.192572251671,7866.943559213248
2026-01-24 11:00:00+00:00,5602.26875,6228.5996,5637.724293603967,6819.475280565544
2026-01-24 12:00:00+00:00,5037.46025,5850.4385,5259.563138433569,6441.314125395146
2026-01-24 13:00:00+00:00,5043.33275,6191.3945,5600.519214352358,6782.270201313935
2026-01-24 14:00:00+00:00,4845.08375,6726.7583,6135.88291275765,7317.633899719227
2026-01-24 15:00:00+00:00,5064.4805,5775.9575,5185.0821839958635,6366.83317095744
2026-01-24 16:00:00+00:00,5475.2294999999995,6239.0283,5648.153053075851,6829.904040037428
2026-01-24 17:00:00+00:00,5530.74025,5666.634,5075.758301199166,6257.509288160743
2026-01-24 18:00:00+00:00,5395.535,5495.504,4904.628651996193,6086.37963895777
2026-01-24 19:00:00+00:00,5123.242,5484.1216,4893.246001883554,6074.9969888451305
2026-01-24 20:00:00+00:00,5178.651,6133.5273,5542.652026592551,6724.403013554128
2026-01-24 21:00:00+00:00,5137.999,5613.4155,5022.5401964840285,6204.291183445605
2026-01-24 22:00:00+00:00,5076.775,6285.196,5694.320196192087,6876.071183153664
2026-01-24 23:00:00+00:00,5324.9425,6343.8296,5752.9540036721255,6934.704990633702
2026-01-25 00:00:00+00:00,5673.937,6795.6,6204.724370442896,7386.475357404473
2026-01-25 01:00:00+00:00,5403.31525,6465.8516,5874.976088610477,7056.727075572054
2026-01-25 02:00:00+00:00,5100.572,4967.876,4377.0004103845395,5558.751397346116
2026-01-25 03:00:00+00:00,4539.90075,4997.532,4406.65655111007,5588.407538071647
2026-01-25 04:00:00+00:00,4242.052,5224.4663,4633.59059131795,5815.341578279527
2026-01-25 05:00:00+00:00,4345.53175,5335.064,4744.188339256548,5925.939326218125
2026-01-25 06:00:00+00:00,4648.529,4809.3545,4218.479157081905,5400.230144043482
