date,wind_onshore_tran_actual,wind_onshore_tran_fitted,wind_onshore_tran_lower,wind_onshore_tran_upper
2026-01-24 00:00:00+00:00,576.3847499999999,518.244,450.89183444537775,585.5962323350127
2026-01-24 01:00:00+00:00,369.92325,420.43506,353.0828603965699,487.78725828620475
2026-01-24 02:00:00+00:00,301.75275,392.3072,324.9549838914609,459.6593817810958
2026-01-24 03:00:00+00:00,231.29525,360.97476,293.6225703002349,428.3269681898697
2026-01-24 04:00:00+00:00,203.279,328.36923,261.0170217659551,395.72141965558995
2026-01-24 05:00:00+00:00,206.83575,286.741,219.38878170402577,354.09317959366064
2026-01-24 06:00:00+00:00,199.9515,258.90933,191.5571441856997,326.2615420753346
2026-01-24 07:00:00+00:00,187.0145,237.27098,169.91877749854288,304.62317538817774
2026-01-24 08:00:00+00:00,174.12224999999998,219.1981,151.84590448637144,286.5503023760063
2026-01-24 09:00:00+00:00,145.111,175.39041,108.0382197995591,242.742617689194
2026-01-24 10:00:00+00:00,130.722,137.8806,70.52841030872969,205.23280819836455
2026-01-24 11:00:00+00:00,101.53824999999998,128.4269,61.07469444568585,195.7790923353207
2026-01-24 12:00:00+00:00,124.209,128.2531,60.90089452489116,195.60529241452605
2026-01-24 13:00:00+00:00,119.85699999999997,129.54105,62.188843411622145,196.893241301257
2026-01-24 14:00:00+00:00,148.82875,151.85818,84.50598707218364,219.2103849618185
2026-01-24 15:00:00+00:00,257.42575,243.93272,176.58051569883816,311.28491358847305
2026-01-24 16:00:00+00:00,242.86275,286.9607,219.60849926607324,354.3128971557081
2026-01-24 17:00:00+00:00,255.12975,300.81964,233.4674474789383,368.17184536857314
2026-01-24 18:00:00+00:00,230.31824999999998,345.03024,277.6780350038627,412.38243289349754
2026-01-24 19:00:00+00:00,194.311,364.75507,297.40287546545215,432.107273355087
2026-01-24 20:00:00+00:00,195.93525,402.1323,334.78010667520783,469.4845045648427
2026-01-24 21:00:00+00:00,186.2525,468.77652,401.4243138556541,536.1287117452889
2026-01-24 22:00:00+00:00,178.9535,457.3587,390.00648870410964,524.7108865937445
2026-01-24 23:00:00+00:00,168.465,466.73996,399.38775956956886,534.0921574592037
2026-01-25 00:00:00+00:00,147.68824999999998,483.13995,415.78774984350633,550.4921477331412
2026-01-25 01:00:00+00:00,148.281,460.3602,393.00798355411723,527.7123814437521
2026-01-25 02:00:00+00:00,148.33075,434.288,366.93578304914547,501.6401809387803
2026-01-25 03:00:00+00:00,146.05025,381.0739,313.7217147910602,448.42611268069504
2026-01-25 04:00:00+00:00,106.75774999999999,346.61066,279.2584449361668,413.96284282580166
2026-01-25 05:00:00+00:00,85.94299999999998,289.779,222.42678623751735,357.1311841271522
2026-01-25 06:00:00+00:00,87.67075,242.78209,175.42988364059306,310.13428153022795
2026-01-25 07:00:00+00:00,88.47375,238.42046,171.0682608180214,305.77265870765626
2026-01-25 08:00:00+00:00,80.18299999999999,197.5541,130.20188983361228,264.90628772324715
2026-01-25 09:00:00+00:00,77.45999999999998,171.6449,104.29269323232339,238.99709112195825
2026-01-25 10:00:00+00:00,81.72249999999997,131.66899,64.31679688494046,199.02119477457535
2026-01-25 11:00:00+00:00,91.58875,121.012375,53.660181349772415,188.3645792394073
2026-01-25 12:00:00+00:00,104.90725000000003,121.522064,54.16985972214934,188.8742576117842
2026-01-25 13:00:00+00:00,110.64474999999999,115.60646,48.25425926015424,182.9586571497891
2026-01-25 14:00:00+00:00,100.9555,126.275024,58.922830187670684,193.62722807730555
2026-01-25 15:00:00+00:00,86.64249999999998,133.8611,66.50890954566597,201.21330743530086
2026-01-25 16:00:00+00:00,97.11500000000001,154.21788,86.86568795518826,221.57008584482313
2026-01-25 17:00:00+00:00,104.84100000000001,153.59323,86.24102934145333,220.9454272310882
2026-01-25 18:00:00+00:00,111.17599999999999,177.66502,110.31282892207676,245.01722681171162
2026-01-25 19:00:00+00:00,122.38049999999998,169.31395,101.96175336436337,236.66615125399824
2026-01-25 20:00:00+00:00,133.16125,174.59052,107.23831470510123,241.94271259473612
2026-01-25 21:00:00+00:00,151.666,191.8534,124.5011992491971,259.205597138832
2026-01-25 22:00:00+00:00,190.2375,222.08531,154.73311046557498,289.43750835520984
2026-01-25 23:00:00+00:00,226.80875,254.76076,187.40855922197727,322.11295711161216
2026-01-26 00:00:00+00:00,280.265,269.99805,202.64585568062066,337.3502535702555
2026-01-26 01:00:00+00:00,325.94875,338.4267,271.0744822834767,405.77888017311153
2026-01-26 02:00:00+00:00,471.57025,398.8254,331.4732068603424,466.17760474997726
2026-01-26 03:00:00+00:00,473.48275,397.6321,330.2799145798007,464.9843124694355
2026-01-26 04:00:00+00:00,465.07275,426.51547,359.1632676439232,493.86766553355807
2026-01-26 05:00:00+00:00,469.592,460.83124,393.4790409037031,528.1834387933379
2026-01-26 06:00:00+00:00,517.10575,502.64542,435.2932064622965,569.9976043519314
2026-01-26 07:00:00+00:00,569.20775,551.22705,483.87484737006025,618.5792452596952
2026-01-26 08:00:00+00:00,670.8825,643.8244,576.4721904096168,711.1765882992518
2026-01-26 09:00:00+00:00,751.087,750.0811,682.7289308472265,817.4333287368613
2026-01-26 10:00:00+00:00,799.6435,793.2469,725.8947045658651,860.5991024555
2026-01-26 11:00:00+00:00,856.60925,853.49677,786.1445637668764,920.8489616565113
2026-01-26 12:00:00+00:00,920.74575,914.0083,846.6561226772653,981.3605205669002
2026-01-26 13:00:00+00:00,1051.0775,977.4253,910.0731397494823,1044.7775376391173
